 Off Market Transaction 

MEMBER , TO , MEMBER 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

10-Dec-24,13-Dec-24,(+) 006 (-) 084,AIRLINK,Air Link Commun,275000,197.84,54406000
10-Dec-24,13-Dec-24,(+) 006 (-) 084,GAL,Ghandhara Automobile,200000,306.50,61300000
10-Dec-24,12-Dec-24,(+) 019 (-) 124,FFC,Fauji Fert,750000,350.00,262500000
10-Dec-24,11-Dec-24,(+) 058 (-) 204,BBFL,Big Bird Foods Ltd.,1000000,35.00,35000000
10-Dec-24,12-Dec-24,(+) 084 (-) 006,AIRLINK,Air Link Commun,275000,178.07,48969250
10-Dec-24,12-Dec-24,(+) 084 (-) 006,GAL,Ghandhara Automobile,200000,282.56,56512000
10-Dec-24,12-Dec-24,(+) 482 (-) 975,WAVESAPP,Waves Home App,2000000,12.05,24100000
10-Dec-24,11-Dec-24,(+) 525 (-) 145,HTL,HI-Tech Lub.,30000,58.50,1755000
10-Dec-24,11-Dec-24,(+) 525 (-) 145,HTL,HI-Tech Lub.,5000,59.25,296250

CROSS ,TRANSACTIONS, BETWEEN, CLIENT TO ,CLIENT & FINANCIAL, INSTITUTIONS 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

10-Dec-24,10-Dec-24,006,PACE,Pace (Pak) Ltd.,5000,7.60,38000
10-Dec-24,11-Dec-24,006,PACE,Pace (Pak) Ltd.,25000,7.60,190000
10-Dec-24,10-Dec-24,006,PACE,Pace (Pak) Ltd.,25000,7.60,190000
10-Dec-24,11-Dec-24,006,PACE,Pace (Pak) Ltd.,5000,7.60,38000
10-Dec-24,10-Dec-24,010,MARI,Mari Petroleum,4,655.00,2620
10-Dec-24,11-Dec-24,018,NPL,Nishat Power,10000,36.00,360000
10-Dec-24,11-Dec-24,044,CNERGY,Cnergyico PK,1200,7.39,8868
10-Dec-24,12-Dec-24,066,CPHL,Citi Pharma Ltd,2200,60.40,132880
10-Dec-24,10-Dec-24,082,LOTCHEM,Lotte Chemical,25000,19.90,497500
10-Dec-24,10-Dec-24,084,TELE,Telecard Limited,866,9.95,8617
10-Dec-24,12-Dec-24,084,AIRLINK,Air Link Commun,1400000,197.50,276500000
10-Dec-24,11-Dec-24,084,MARI,Mari Petroleum,5000,618.50,3092500
10-Dec-24,11-Dec-24,084,AIRLINK,Air Link Commun,1400000,178.07,249298000
10-Dec-24,12-Dec-24,107,SNGP,Sui North Gas,5000,94.90,474500
10-Dec-24,10-Dec-24,124,UBL,United Bank,2000,368.83,737660
10-Dec-24,11-Dec-24,124,MEBL,Meezan Bank Ltd,24950,245.83,6133458
10-Dec-24,12-Dec-24,124,MEBL,Meezan Bank Ltd,30000,244.04,7321200
10-Dec-24,11-Dec-24,145,TRG,TRG Pak Ltd,500,60.65,30325
10-Dec-24,11-Dec-24,181,HASCOL,Hascol Petrol,250,15.00,3750
10-Dec-24,12-Dec-24,187,GTYR,Ghandhara Tyre,25000,49.90,1247500
10-Dec-24,10-Dec-24,187,NRL,National Refinery,2729,280.00,764120
10-Dec-24,11-Dec-24,188,MLCF,Maple Leaf,3811,48.10,183309
10-Dec-24,12-Dec-24,194,PRL,Pak Refinery,150000,34.00,5100000
10-Dec-24,12-Dec-24,194,PTC,P.T.C.L.,123000,26.00,3198000
10-Dec-24,12-Dec-24,194,PTC,P.T.C.L.,260000,26.00,6760000
10-Dec-24,12-Dec-24,194,PHDL,Pak Hotels,10000,63.07,630700
10-Dec-24,12-Dec-24,194,PRL,Pak Refinery,100000,34.00,3400000
10-Dec-24,12-Dec-24,194,FCCL,Fauji Cement,87500,39.50,3456250
10-Dec-24,11-Dec-24,194,INIL,Int. Ind.Ltd.,500,183.00,91500
10-Dec-24,10-Dec-24,194,NETSOL,Netsol Tech.,100,170.00,17000
10-Dec-24,12-Dec-24,194,SEARL,The Searle Company,100000,125.00,12500000
10-Dec-24,12-Dec-24,194,SSGC,Sui South Gas,285000,34.00,9690000
10-Dec-24,11-Dec-24,199,FFL,Fauji Foods Ltd,5000,14.14,70700
10-Dec-24,10-Dec-24,332,HCAR,Honda Atlas Cars,1000,308.50,308500
10-Dec-24,10-Dec-24,482,AGP,AGP Limited,4500,172.00,774000
10-Dec-24,11-Dec-24,525,TRG,TRG Pak Ltd,1500,61.00,91500
10-Dec-24,11-Dec-24,525,SEARL,The Searle Company,500,125.00,62500
10-Dec-24,11-Dec-24,525,AICL,Adamjee Ins.,4000,52.50,210000
10-Dec-24,11-Dec-24,525,SSGC,Sui South Gas,1500,34.00,51000
10-Dec-24,11-Dec-24,525,KEL,K-Electric Ltd.,26500,6.00,159000
10-Dec-24,11-Dec-24,526,KAPCO,Kot Addu Power,100000,30.00,3000000
10-Dec-24,11-Dec-24,527,CNERGY,Cnergyico PK,25000,7.28,182000
10-Dec-24,11-Dec-24,995,PACE,Pace (Pak) Ltd.,1000,6.94,6940
