"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0028","Technology and Communication","FUTURE CONTRACT-MAR","0","0","(40,000)","(6,003,775)","(40,000)","(6,003,775)","(38,240)"
"FOREIGN CORPORATES ","S0005","Cement","OFF-MARKET","293,189","84,529,679","(293,189)","(84,529,679)","0","0","0"
"FOREIGN CORPORATES ","S0007","Fertilizer","OFF-MARKET","107,902","32,957,587","(107,902)","(32,957,587)","0","0","0"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","OFF-MARKET","379,414","65,374,493","(379,414)","(65,374,493)","0","0","0"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","OFF-MARKET","132,998","32,145,617","(132,998)","(32,145,617)","0","0","0"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","OFF-MARKET","373,904","32,473,562","(373,904)","(32,473,562)","0","0","0"
"FOREIGN CORPORATES ","S0026","Commercial Banks","OFF-MARKET","1,748,533","137,729,248","(1,748,533)","(137,729,248)","0","0","0"
"FOREIGN CORPORATES ","S1111","All other Sectors","OFF-MARKET","24,600","31,926,618","(24,600)","(31,926,618)","0","0","0"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","70,690","34,593,762","(93,000)","(24,856,640)","(22,310)","9,737,122","62,019"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","70,293","11,662,375","(105,460)","(10,245,568)","(35,167)","1,416,808","9,024"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","0","0","(80)","(486,480)","(80)","(486,480)","(3,098)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","477,938","49,423,893","(131,938)","(16,211,756)","346,000","33,212,137","211,542"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","27,168","6,567,535","(2,500)","(605,361)","24,668","5,962,174","37,975"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","254,707","19,158,517","(55,698)","(4,837,848)","199,009","14,320,669","91,214"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","1,402,207","154,245,511","(7,170,271)","(855,831,879)","(5,768,064)","(701,586,369)","(4,468,702)"
"FOREIGN CORPORATES ","S0028","Technology and Communication","REGULAR","31,000","15,251,300","(4,000)","(1,969,014)","27,000","13,282,286","84,600"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(69,000)","(5,203,835)","(69,000)","(5,203,835)","(33,145)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","2,829,350","139,184,596","(2,929,647)","(74,478,199)","(100,297)","64,706,397","412,142"
"","","","TOTAL","8,223,893","847,224,292","(13,662,134)","(1,417,867,159)","(5,438,241)","(570,642,866)","(3,634,669)"
"FOREIGN INDIVIDUAL","S0005","Cement","FUTURE CONTRACT-MAR","0","0","(3,000)","(32,250)","(3,000)","(32,250)","(205)"
"FOREIGN INDIVIDUAL","S0007","Fertilizer","FUTURE CONTRACT-MAR","4,000","101,520","(13,500)","(3,146,230)","(9,500)","(3,044,710)","(19,393)"
"FOREIGN INDIVIDUAL","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAR","0","0","(500)","(15,700)","(500)","(15,700)","(100)"
"FOREIGN INDIVIDUAL","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-MAR","2,000","478,000","(1,000)","(238,090)","1,000","239,910","1,528"
"FOREIGN INDIVIDUAL","S0028","Technology and Communication","FUTURE CONTRACT-MAR","0","0","(2,000)","(301,600)","(2,000)","(301,600)","(1,921)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","FUTURE CONTRACT-MAR","37,000","3,887,000","(10,500)","(739,910)","26,500","3,147,090","20,045"
"FOREIGN INDIVIDUAL","S0007","Fertilizer","REGULAR","0","0","(1,400)","(427,104)","(1,400)","(427,104)","(2,720)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","16,000","2,268,914","(306,600)","(3,242,231)","(290,600)","(973,317)","(6,199)"
"","","","TOTAL","59,000","6,735,434","(338,500)","(8,143,115)","(279,500)","(1,407,681)","(8,965)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAR","82,500","12,585,570","(76,000)","(9,314,340)","6,500","3,271,230","20,835"
