"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"FOREIGN CORPORATES ","S0005","Cement","REGULAR","618,208","16,698,550","(5,045)","(1,810,127)","613,163","14,888,423","52,240"
"FOREIGN CORPORATES ","S0007","Fertilizer","REGULAR","2,000","200,000","(2,400)","(239,980)","(400)","(39,980)","(140)"
"FOREIGN CORPORATES ","S0008","Food and Personal Care Products","REGULAR","0","0","(5,000)","(1,450,000)","(5,000)","(1,450,000)","(5,087)"
"FOREIGN CORPORATES ","S0019","Oil and Gas Exploration Companies","REGULAR","55,503","3,884,619","0","0","55,503","3,884,619","13,630"
"FOREIGN CORPORATES ","S0020","Oil and Gas Marketing Companies","REGULAR","85,466","9,491,144","0","0","85,466","9,491,144","33,302"
"FOREIGN CORPORATES ","S0023","Power Generation and Distribution","REGULAR","0","0","(16,335)","(374,974)","(16,335)","(374,974)","(1,315)"
"FOREIGN CORPORATES ","S0026","Commercial Banks","REGULAR","1,177,739","88,795,591","(815,301)","(72,012,137)","362,438","16,783,454","58,889"
"FOREIGN CORPORATES ","S0029","Textile Composite","REGULAR","0","0","(1,000)","(55,691)","(1,000)","(55,691)","(195)"
"FOREIGN CORPORATES ","S1111","All other Sectors","REGULAR","0","0","(5,000)","(515,200)","(5,000)","(515,200)","(1,807)"
"","","","TOTAL","1,938,916","119,069,904","(850,081)","(76,458,109)","1,088,835","42,611,795","149,517"
"FOREIGN INDIVIDUAL","S0005","Cement","REGULAR","0","0","(18,000)","(2,205,000)","(18,000)","(2,205,000)","(7,736)"
"FOREIGN INDIVIDUAL","S1111","All other Sectors","REGULAR","4,500","74,105","0","0","4,500","74,105","260"
"","","","TOTAL","4,500","74,105","(18,000)","(2,205,000)","(13,500)","(2,130,895)","(7,476)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-JUN","0","0","(500)","(86,750)","(500)","(86,750)","(304)"
"OVERSEAS PAKISTANI","S0005","Cement","FUTURE CONTRACT-MAY","187,500","16,711,775","(491,000)","(37,257,565)","(303,500)","(20,545,790)","(72,090)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","FUTURE CONTRACT-MAY","7,000","1,878,280","(5,500)","(1,464,255)","1,500","414,025","1,452"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","FUTURE CONTRACT-MAY","5,000","72,525","(54,000)","(619,270)","(49,000)","(546,745)","(1,918)"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","FUTURE CONTRACT-MAY","52,500","3,646,165","(54,000)","(3,864,220)","(1,500)","(218,055)","(765)"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","FUTURE CONTRACT-MAY","114,500","4,962,760","(166,500)","(7,079,310)","(52,000)","(2,116,550)","(7,426)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","FUTURE CONTRACT-MAY","5,500","21,400","(16,500)","(32,895)","(11,000)","(11,495)","(40)"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","FUTURE CONTRACT-MAY","9,000","138,450","(500)","(7,725)","8,500","130,725","458"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","FUTURE CONTRACT-MAY","209,500","11,033,625","(153,000)","(15,691,805)","56,500","(4,658,180)","(16,344)"
"OVERSEAS PAKISTANI","S0029","Textile Composite","FUTURE CONTRACT-MAY","500","28,000","(3,000)","(168,970)","(2,500)","(140,970)","(494)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","FUTURE CONTRACT-MAY","229,500","6,390,100","(833,000)","(9,163,000)","(603,500)","(2,772,900)","(9,729)"
"OVERSEAS PAKISTANI","S0005","Cement","REGULAR","262,404","18,124,391","(542,875)","(29,933,247)","(280,471)","(11,808,856)","(41,434)"
"OVERSEAS PAKISTANI","S0007","Fertilizer","REGULAR","118,024","20,940,436","(27,175)","(4,170,387)","90,849","16,770,049","58,842"
"OVERSEAS PAKISTANI","S0008","Food and Personal Care Products","REGULAR","525,172","6,165,528","(385,410)","(5,714,900)","139,762","450,627","1,581"
"OVERSEAS PAKISTANI","S0019","Oil and Gas Exploration Companies","REGULAR","348,408","26,007,365","(184,845)","(15,836,529)","163,563","10,170,835","35,687"
"OVERSEAS PAKISTANI","S0020","Oil and Gas Marketing Companies","REGULAR","382,134","13,755,669","(520,484)","(16,547,095)","(138,350)","(2,791,426)","(9,794)"
"OVERSEAS PAKISTANI","S0023","Power Generation and Distribution","REGULAR","204,732","4,830,874","(81,738)","(2,912,742)","122,994","1,918,132","6,730"
"OVERSEAS PAKISTANI","S0026","Commercial Banks","REGULAR","297,254","7,776,900","(170,965)","(4,640,783)","126,289","3,136,116","11,003"
"OVERSEAS PAKISTANI","S0028","Technology and Communication","REGULAR","652,595","21,266,346","(337,735)","(16,096,778)","314,860","5,169,567","18,138"
"OVERSEAS PAKISTANI","S0029","Textile Composite","REGULAR","32,941","1,907,740","(85,513)","(3,947,512)","(52,572)","(2,039,771)","(7,157)"
"OVERSEAS PAKISTANI","S1111","All other Sectors","REGULAR","1,218,406","22,050,926","(1,527,907)","(23,088,997)","(309,501)","(1,038,070)","(3,642)"
"","","","TOTAL","4,862,570","187,709,255","(5,642,147)","(198,324,735)","(779,577)","(10,615,482)","(37,246)"
" ","---","---","GRAND-TOTAL","6,805,986","306,853,270","(6,510,228)","(276,987,852)","295,758","29,865,417","104,790"
