"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S1111","All other Sectors","OMKT","0","0","(3,518,892)","(3,518,892)","(3,518,892)","(3,518,892)","(12,657)"
"BANKS / DFI","S0005","Cement","REG","639,331","42,266,737","(1,239,223)","(25,465,174)","(599,892)","16,801,563","60,437"
"BANKS / DFI","S0007","Fertilizer","REG","1,505,000","151,803,578","(52,789)","(20,117,548)","1,452,211","131,686,030","473,690"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","0","0","(500,000)","(6,692,821)","(500,000)","(6,692,821)","(24,074)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","659,200","182,764,246","(93,163)","(33,222,532)","566,037","149,541,713","537,919"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","62,000","17,521,710","(112,000)","(33,081,034)","(50,000)","(15,559,324)","(55,968)"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","799,858","35,838,584","(4,260,114)","(117,478,031)","(3,460,256)","(81,639,446)","(293,667)"
"BANKS / DFI","S0026","Commercial Banks","REG","1,100,000","42,815,602","(1,470,000)","(180,250,235)","(370,000)","(137,434,632)","(494,369)"
"BANKS / DFI","S0028","Technology and Communication","REG","999,000","44,756,779","(4,376,597)","(63,913,326)","(3,377,597)","(19,156,547)","(68,908)"
"BANKS / DFI","S0029","Textile Composite","REG","0","0","(220,127)","(8,367,911)","(220,127)","(8,367,911)","(30,100)"
"BANKS / DFI","S1111","All other Sectors","REG","6,476,942","300,991,306","(4,442,096)","(313,251,658)","2,034,846","(12,260,351)","(44,101)"
"","","","TOTAL","12,241,331","818,758,542","(20,285,001)","(805,359,162)","(8,043,670)","13,399,382","48,202"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","0","0","(10)","(54,829)","(10)","(54,829)","(197)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","2,658,500","77,457,440","(4,010,000)","(103,643,460)","(1,351,500)","(26,186,020)","(94,194)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","88,000","18,776,160","(76,000)","(19,777,375)","12,000","(1,001,215)","(3,601)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","1,691,500","37,408,750","(1,146,000)","(25,246,360)","545,500","12,162,390","43,749"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","409,000","73,483,415","(178,500)","(31,900,790)","230,500","41,582,625","149,577"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","3,384,500","174,039,735","(2,691,500)","(144,424,245)","693,000","29,615,490","106,530"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","1,917,500","79,207,090","(1,356,000)","(93,370,395)","561,500","(14,163,305)","(50,947)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","2,543,500","58,730,170","(1,664,500)","(57,261,955)","879,000","1,468,215","5,281"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","16,938,000","395,853,815","(20,193,500)","(349,143,435)","(3,255,500)","46,710,380","168,022"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","43,500","2,053,960","(13,500)","(527,255)","30,000","1,526,705","5,491"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","30,103,500","749,731,720","(33,344,000)","(759,917,610)","(3,240,500)","(10,185,890)","(36,639)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","GEM","0","0","(102)","(1,426)","(102)","(1,426)","(5)"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","500","4,550","0","0","500","4,550","16"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","OMKT","0","0","(500,000)","(27,200,000)","(500,000)","(27,200,000)","(97,841)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","OMKT","0","0","(5,000)","(2,350,000)","(5,000)","(2,350,000)","(8,453)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","6,500","214,500","0","0","6,500","214,500","771"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","5,000,500","7,734,350","(7,500)","(413,475)","4,993,000","7,320,875","26,334"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","9,545,719","429,313,724","(6,126,000)","(274,287,250)","3,419,719","155,026,474","557,649"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","11,825,537","423,485,164","(8,930,060)","(343,054,578)","2,895,477","80,430,586","289,318"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,629,104","171,348,243","(2,989,471)","(247,551,516)","(1,360,367)","(76,203,272)","(274,112)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","5,311,306","140,317,302","(5,187,775)","(125,027,671)","123,531","15,289,630","54,998"
