"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0036","Debt Market","BNB","200","861,900","0","0","200","861,900","3,100"
"BANKS / DFI","S0005","Cement","REG","869,484","63,041,507","(295,971)","(10,509,732)","573,513","52,531,774","188,963"
"BANKS / DFI","S0007","Fertilizer","REG","775,000","93,465,060","(3,337,369)","(415,831,480)","(2,562,369)","(322,366,420)","(1,159,591)"
"BANKS / DFI","S0008","Food and Personal Care Products","REG","25,000","5,014,984","(14,712)","(2,992,776)","10,288","2,022,207","7,274"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","1,675,000","213,837,640","(21,400)","(3,031,950)","1,653,600","210,805,689","758,293"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","3,520,039","432,228,645","(924,450)","(83,729,796)","2,595,589","348,498,849","1,253,592"
"BANKS / DFI","S0026","Commercial Banks","REG","830,228","111,636,149","(49,647)","(4,321,431)","780,581","107,314,717","386,024"
"BANKS / DFI","S0028","Technology and Communication","REG","0","0","(200,000)","(22,095,146)","(200,000)","(22,095,146)","(79,478)"
"BANKS / DFI","S0029","Textile Composite","REG","0","0","(9,700)","(640,200)","(9,700)","(640,200)","(2,302)"
"BANKS / DFI","S1111","All other Sectors","REG","5,173,014","256,923,331","(3,714,223)","(134,384,802)","1,458,791","122,538,529","440,786"
"","","","TOTAL","12,867,965","1,177,009,216","(8,567,472)","(677,537,313)","4,300,493","499,471,899","1,796,661"
"BROKER PROPRIETARY TRADING","S0036","Debt Market","BNB","0","0","(3)","(13,311)","(3)","(13,311)","(47)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","1,245,500","45,874,720","(1,184,000)","(52,918,180)","61,500","(7,043,460)","(25,336)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","1,045,500","66,423,510","(1,007,500)","(76,354,160)","38,000","(9,930,650)","(35,721)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","1,360,500","53,259,320","(1,406,000)","(45,060,545)","(45,500)","8,198,775","29,491"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","1,002,000","128,854,965","(719,500)","(90,724,150)","282,500","38,130,815","137,161"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","378,500","30,103,725","(388,500)","(27,046,650)","(10,000)","3,057,075","10,996"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","412,500","17,368,680","(521,000)","(31,270,880)","(108,500)","(13,902,200)","(50,007)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","944,500","51,975,225","(475,500)","(20,694,615)","469,000","31,280,610","112,520"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","4,557,500","97,650,860","(4,199,000)","(105,586,175)","358,500","(7,935,315)","(28,544)"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","0","0","(1,000)","(66,415)","(1,000)","(66,415)","(238)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","6,319,500","376,388,945","(20,066,000)","(558,657,275)","(13,746,500)","(182,268,330)","(655,641)"
"BROKER PROPRIETARY TRADING","S0005","Cement","OMKT","32,000","799,000","0","0","32,000","799,000","2,874"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","OMKT","500,000","15,000,000","(508,000)","(16,456,000)","(8,000)","(1,456,000)","(5,237)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","OMKT","71,003","2,776,217","(71,003)","(2,776,217)","0","0","0"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","150,000","20,212,500","(150,000)","(20,212,500)","0","0","0"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","600","79,380","(600)","(79,404)","0","(24)","0"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","49,500","3,913,535","(58,863)","(672,211)","(9,363)","3,241,323","11,659"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","3,963,978","109,815,456","(3,142,087)","(88,319,268)","821,891","21,496,188","77,324"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,896,134","181,848,603","(2,198,321)","(188,692,982)","(302,187)","(6,844,378)","(24,620)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","6,320,966","142,934,163","(5,224,487)","(142,956,767)","1,096,479","(22,604)","(81)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","2,330,912","295,242,285","(2,180,166)","(278,606,073)","150,746","16,636,212","59,842"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","674,072","35,815,636","(636,329)","(45,350,346)","37,743","(9,534,710)","(34,297)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","1,290,346","82,412,232","(1,539,419)","(65,101,360)","(249,073)","17,310,871","62,269"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","3,971,998","77,201,698","(2,533,367)","(104,400,894)","1,438,631","(27,199,195)","(97,838)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","9,594,677","168,028,718","(8,843,160)","(167,314,963)","751,517","713,755","2,567"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","55,434","1,057,108","(96,991)","(5,077,092)","(41,557)","(4,019,984)","(14,460)"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","44,207,672","1,012,330,348","(29,574,420)","(877,760,358)","14,633,252","134,569,989","484,064"
"","","","TOTAL","92,375,292","3,017,366,829","(86,725,216)","(3,012,168,791)","5,650,076","5,198,037","18,700"
"COMPANIES","S0005","Cement","FUT","57,500","2,746,010","(408,000)","(13,685,255)","(350,500)","(10,939,245)","(39,349)"
"COMPANIES","S0007","Fertilizer","FUT","11,000","1,236,225","(57,000)","(10,143,485)","(46,000)","(8,907,260)","(32,040)"
"COMPANIES","S0008","Food and Personal Care Products","FUT","24,000","631,195","(2,000)","(53,060)","22,000","578,135","2,079"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","21,500","2,443,940","(250,000)","(33,015,000)","(228,500)","(30,571,060)","(109,967)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","0","0","(104,500)","(6,899,535)","(104,500)","(6,899,535)","(24,818)"
"COMPANIES","S0023","Power Generation and Distribution","FUT","3,000","12,550","(2,000)","(31,950)","1,000","(19,400)","(69)"
"COMPANIES","S0026","Commercial Banks","FUT","9,000","358,790","(11,000)","(352,755)","(2,000)","6,035","21"
"COMPANIES","S0028","Technology and Communication","FUT","134,000","5,343,865","(1,009,500)","(14,849,190)","(875,500)","(9,505,325)","(34,191)"
"COMPANIES","S1111","All other Sectors","FUT","86,000","12,187,560","(108,500)","(8,896,785)","(22,500)","3,290,775","11,837"
"COMPANIES","S0005","Cement","OMKT","900,000","144,000,000","(900,000)","(144,000,000)","0","0","0"
"COMPANIES","S1111","All other Sectors","OMKT","3,125,751","19,617,036","(3,125,751)","(19,617,036)","0","0","0"
"COMPANIES","S0005","Cement","REG","1,676,103","46,877,275","(1,785,368)","(159,917,842)","(109,265)","(113,040,567)","(406,620)"
"COMPANIES","S0007","Fertilizer","REG","222,372","18,294,642","(161,872)","(30,017,064)","60,500","(11,722,422)","(42,166)"
"COMPANIES","S0008","Food and Personal Care Products","REG","509,186","10,527,493","(322,392)","(16,675,300)","186,794","(6,147,807)","(22,114)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","320,838","48,097,855","(125,702)","(18,854,791)","195,136","29,243,063","105,190"
"COMPANIES","S0020","Oil and Gas Marketing Companies","REG","130,128","10,548,588","(113,000)","(6,786,450)","17,128","3,762,138","13,532"
"COMPANIES","S0023","Power Generation and Distribution","REG","259,200","29,757,148","(3,597,094)","(488,123,038)","(3,337,894)","(458,365,890)","(1,648,798)"
"COMPANIES","S0026","Commercial Banks","REG","1,029,500","99,856,764","(1,259,484)","(132,268,444)","(229,984)","(32,411,680)","(116,588)"
"COMPANIES","S0028","Technology and Communication","REG","1,126,844","17,762,810","(45,625)","(3,538,496)","1,081,219","14,224,314","51,166"
"COMPANIES","S0029","Textile Composite","REG","134,262","4,391,644","(67,000)","(6,585,240)","67,262","(2,193,596)","(7,890)"
"COMPANIES","S1111","All other Sectors","REG","932,206","39,047,632","(5,000,909)","(88,036,269)","(4,068,703)","(48,988,637)","(176,218)"
"","","","TOTAL","10,712,390","513,739,022","(18,456,697)","(1,202,346,985)","(7,744,307)","(688,607,964)","(2,477,003)"
"INDIVIDUALS","S0005","Cement","FUT","3,602,000","192,539,095","(3,380,000)","(177,636,410)","222,000","14,902,685","53,606"
"INDIVIDUALS","S0007","Fertilizer","FUT","1,592,500","144,516,020","(1,479,000)","(117,480,680)","113,500","27,035,340","97,249"
"INDIVIDUALS","S0008","Food and Personal Care Products","FUT","7,690,000","278,667,350","(7,848,000)","(293,119,165)","(158,000)","(14,451,815)","(51,984)"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","FUT","2,970,500","367,149,225","(3,113,500)","(386,525,605)","(143,000)","(19,376,380)","(69,699)"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","FUT","1,460,000","120,834,725","(1,324,500)","(117,523,815)","135,500","3,310,910","11,909"
"INDIVIDUALS","S0023","Power Generation and Distribution","FUT","931,500","81,914,115","(828,000)","(67,832,555)","103,500","14,081,560","50,653"
"INDIVIDUALS","S0026","Commercial Banks","FUT","2,996,500","137,049,155","(2,952,500)","(101,512,650)","44,000","35,536,505","127,829"
"INDIVIDUALS","S0028","Technology and Communication","FUT","12,454,500","1,055,079,730","(11,992,000)","(1,037,346,995)","462,500","17,732,735","63,786"
"INDIVIDUALS","S0029","Textile Composite","FUT","3,000","182,125","(3,000)","(188,710)","0","(6,585)","(23)"
"INDIVIDUALS","S1111","All other Sectors","FUT","62,215,000","3,088,617,695","(48,869,000)","(2,943,781,055)","13,346,000","144,836,640","520,995"
"INDIVIDUALS","S1111","All other Sectors","GEM","14","1,019","(14)","(1,019)","0","0","0"
"INDIVIDUALS","S1111","All other Sectors","ODL","271","3,598","(371)","(4,978)","(100)","(1,380)","(4)"
"INDIVIDUALS","S0005","Cement","OMKT","5,000","415,000","(35,000)","(1,045,000)","(30,000)","(630,000)","(2,266)"
"INDIVIDUALS","S0008","Food and Personal Care Products","OMKT","609,500","17,348,800","(601,500)","(15,892,800)","8,000","1,456,000","5,237"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","OMKT","3,000","394,500","(3,000)","(394,500)","0","0","0"
"INDIVIDUALS","S0026","Commercial Banks","OMKT","152,500","20,549,625","(152,500)","(20,549,625)","0","0","0"
"INDIVIDUALS","S0028","Technology and Communication","OMKT","2,100","284,904","(2,100)","(284,880)","0","24","0"
"INDIVIDUALS","S1111","All other Sectors","OMKT","555,432","11,594,565","(546,069)","(14,835,888)","9,363","(3,241,323)","(11,659)"
"INDIVIDUALS","S0005","Cement","REG","16,935,393","561,057,962","(16,726,575)","(469,689,876)","208,818","91,368,086","328,662"
"INDIVIDUALS","S0007","Fertilizer","REG","14,347,603","1,959,288,129","(15,630,051)","(2,058,837,266)","(1,282,448)","(99,549,137)","(358,090)"
"INDIVIDUALS","S0008","Food and Personal Care Products","REG","28,439,508","854,893,365","(29,064,864)","(831,897,779)","(625,356)","22,995,585","82,717"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","REG","9,855,261","1,366,596,591","(9,821,522)","(1,320,230,770)","33,739","46,365,821","166,783"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","REG","8,947,224","394,943,114","(8,720,717)","(372,804,380)","226,507","22,138,734","79,635"
"INDIVIDUALS","S0023","Power Generation and Distribution","REG","12,813,086","699,136,558","(10,799,831)","(525,853,576)","2,013,255","173,282,981","623,320"
"INDIVIDUALS","S0026","Commercial Banks","REG","14,883,852","595,016,261","(12,551,753)","(744,483,633)","2,332,099","(149,467,371)","(537,652)"
"INDIVIDUALS","S0028","Technology and Communication","REG","40,735,846","1,443,669,860","(39,431,358)","(1,423,905,442)","1,304,488","19,764,418","71,095"
"INDIVIDUALS","S0029","Textile Composite","REG","2,521,762","48,679,668","(2,262,059)","(34,206,532)","259,703","14,473,136","52,061"
"INDIVIDUALS","S1111","All other Sectors","REG","220,567,478","7,087,314,432","(231,400,441)","(7,230,169,006)","(10,832,963)","(142,854,573)","(513,865)"
"","","","TOTAL","467,290,330","20,527,737,186","(459,539,225)","(20,308,034,590)","7,751,105","219,702,596","790,295"
"INSURANCE COMPANIES","S0005","Cement","REG","28,500","1,428,702","(813,952)","(40,634,093)","(785,452)","(39,205,391)","(141,026)"
"INSURANCE COMPANIES","S0007","Fertilizer","REG","4,020,000","682,648,430","(1,187,300)","(220,654,974)","2,832,700","461,993,456","1,661,846"
"INSURANCE COMPANIES","S0019","Oil and Gas Exploration Companies","REG","275,000","33,451,182","(9,500)","(1,217,920)","265,500","32,233,262","115,946"
"INSURANCE COMPANIES","S0020","Oil and Gas Marketing Companies","REG","57,529","23,999,559","(12,373)","(866,277)","45,156","23,133,281","83,213"
"INSURANCE COMPANIES","S0023","Power Generation and Distribution","REG","630,609","29,688,908","0","0","630,609","29,688,908","106,794"
"INSURANCE COMPANIES","S0026","Commercial Banks","REG","486,826","71,563,084","(1,000)","(238,600)","485,826","71,324,484","256,562"
"INSURANCE COMPANIES","S0028","Technology and Communication","REG","11,000","1,462,839","(2,000)","(221,600)","9,000","1,241,239","4,464"
"INSURANCE COMPANIES","S1111","All other Sectors","REG","182,393","11,353,719","(929,229)","(60,583,450)","(746,836)","(49,229,731)","(177,085)"
"","","","TOTAL","5,691,857","855,596,423","(2,955,354)","(324,416,914)","2,736,503","531,179,508","1,910,714"
