"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BANKS / DFI","S0005","Cement","REG","425,000","33,221,719","(557,058)","(43,291,222)","(132,058)","(10,069,503)","(35,834)"
"BANKS / DFI","S0007","Fertilizer","REG","10,000","3,198,929","(395,699)","(39,300,291)","(385,699)","(36,101,362)","(128,474)"
"BANKS / DFI","S0019","Oil and Gas Exploration Companies","REG","300,000","37,656,975","(615,000)","(76,702,716)","(315,000)","(39,045,741)","(138,952)"
"BANKS / DFI","S0020","Oil and Gas Marketing Companies","REG","800,000","71,707,233","(391,702)","(30,160,589)","408,298","41,546,644","147,852"
"BANKS / DFI","S0023","Power Generation and Distribution","REG","6,100,000","34,962,296","(101,950)","(12,099,891)","5,998,050","22,862,404","81,360"
"BANKS / DFI","S0026","Commercial Banks","REG","400,000","40,648,695","(642,554)","(35,977,601)","(242,554)","4,671,093","16,623"
"BANKS / DFI","S0028","Technology and Communication","REG","30,000","12,745,214","0","0","30,000","12,745,214","45,356"
"BANKS / DFI","S1111","All other Sectors","REG","450,000","26,593,210","(1,982,491)","(31,399,828)","(1,532,491)","(4,806,618)","(17,105)"
"","","","TOTAL","8,515,000","260,734,271","(4,686,454)","(268,932,138)","3,828,546","(8,197,869)","(29,174)"
"BROKER PROPRIETARY TRADING","S0005","Cement","FUT","1,077,500","70,794,565","(867,000)","(65,087,210)","210,500","5,707,355","20,310"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","FUT","260,500","18,459,470","(368,500)","(45,870,155)","(108,000)","(27,410,685)","(97,546)"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","FUT","1,775,500","26,417,400","(999,500)","(15,091,875)","776,000","11,325,525","40,304"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","FUT","996,000","125,863,890","(1,505,000)","(189,802,325)","(509,000)","(63,938,435)","(227,538)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","FUT","642,000","52,336,445","(909,500)","(73,946,365)","(267,500)","(21,609,920)","(76,903)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","FUT","9,976,500","67,517,650","(4,345,500)","(29,485,045)","5,631,000","38,032,605","135,347"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","FUT","1,155,000","18,694,955","(760,000)","(6,670,240)","395,000","12,024,715","42,792"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","FUT","3,792,000","102,703,210","(2,771,000)","(90,365,160)","1,021,000","12,338,050","43,907"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","FUT","20,000","956,390","(16,000)","(386,690)","4,000","569,700","2,027"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","FUT","11,144,500","214,562,370","(7,657,000)","(202,945,220)","3,487,500","11,617,150","41,342"
"BROKER PROPRIETARY TRADING","S0005","Cement","ODL","0","0","(15)","(266)","(15)","(266)","0"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","ODL","0","0","(10)","(351)","(10)","(351)","(1)"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","ODL","50","382","(962)","(7,538)","(912)","(7,156)","(25)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","ODL","79","1,817","(64)","(203)","15","1,613","5"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","ODL","763","6,386","(7,065)","(235,749)","(6,302)","(229,362)","(816)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","OMKT","0","0","(82)","(9,225)","(82)","(9,225)","(32)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","OMKT","0","0","(3,741)","(80,019)","(3,741)","(80,019)","(284)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","OMKT","5,000,000","7,150,000","0","0","5,000,000","7,150,000","25,444"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","OMKT","3,500","45,500","(2,816,000)","(13,235,200)","(2,812,500)","(13,189,700)","(46,938)"
"BROKER PROPRIETARY TRADING","S0005","Cement","REG","1,519,107","107,101,918","(1,856,709)","(113,511,333)","(337,602)","(6,409,414)","(22,809)"
"BROKER PROPRIETARY TRADING","S0007","Fertilizer","REG","1,692,973","122,499,600","(1,158,987)","(77,919,065)","533,986","44,580,535","158,649"
"BROKER PROPRIETARY TRADING","S0008","Food and Personal Care Products","REG","1,530,137","27,879,601","(3,019,296)","(40,638,374)","(1,489,159)","(12,758,772)","(45,404)"
"BROKER PROPRIETARY TRADING","S0019","Oil and Gas Exploration Companies","REG","2,403,934","306,403,666","(1,938,744)","(247,197,486)","465,190","59,206,180","210,698"
"BROKER PROPRIETARY TRADING","S0020","Oil and Gas Marketing Companies","REG","2,864,254","121,041,895","(2,815,355)","(159,955,796)","48,899","(38,913,900)","(138,483)"
"BROKER PROPRIETARY TRADING","S0023","Power Generation and Distribution","REG","13,551,754","87,491,580","(18,874,031)","(123,073,180)","(5,322,277)","(35,581,599)","(126,624)"
"BROKER PROPRIETARY TRADING","S0026","Commercial Banks","REG","2,273,765","37,374,169","(7,785,366)","(82,710,558)","(5,511,601)","(45,336,388)","(161,339)"
"BROKER PROPRIETARY TRADING","S0028","Technology and Communication","REG","5,215,868","152,677,319","(7,175,603)","(136,058,909)","(1,959,735)","16,618,410","59,140"
