Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
786,786 Investments Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
AABS,Al-Abbas Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,1,1
AAL,Agro Allianz Limited,830,TEXTILE SPINNING,1,1
AASM,Al-Abid Silk Mills Limited,827,SYNTHETIC & RAYON,500,1
AATM,Ali Asghar Textile Mills Limited,830,TEXTILE SPINNING,500,1
ABL,Allied Bank Limited,807,COMMERCIAL BANKS,500,1
ABOT,Abbott Laboratories (Pakistan) Limited,823,PHARMACEUTICALS,1,1
ABSON,Abson Industries Limited,822,"PAPER, BOARD & PACKAGING",500,0
ACIETF,Alfalah Consumer Index (ETF),837,EXCHANGE TRADED FUNDS,500,1
ACPL,Attock Cement Pakistan Limited,804,CEMENT,1,1
ADAMS,Adam Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
ADMM,Artistic Denim Mills Limited,829,TEXTILE COMPOSITE,500,1
AGHA,Agha Steel Ind.Ltd,808,ENGINEERING,1,1
AGIC,Askari General Insurance Company Limited,812,INSURANCE,500,1
AGIL,Agriauto Industries Limited,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
AGL,Agritech Limited,805,CHEMICAL,1,1
AGLNCPS,Agritech Non-Voting (Pref) Class A,805,CHEMICAL,500,1
AGP,AGP Limited,823,PHARMACEUTICALS,1,1
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
AGTL,Al-Ghazi Tractors Limited,801,AUTOMOBILE ASSEMBLER,1,1
AHCL,Arif Habib Corporation Limited,809,FERTILIZER,500,1
AHL,Arif Habib Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
AHTM,Ahmad Hassan Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
AICL,Adamjee Insurance Company Limited,812,INSURANCE,500,1
AIRLINK,Air Link Communication Limited,828,TECHNOLOGY & COMMUNICATION,1,1
AKBL,Askari Bank Limited,807,COMMERCIAL BANKS,500,1
AKDHL,AKD Hospitality Limited,818,MISCELLANEOUS,1,1
AKDSL,AKD Securities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
AKGL,Al-Khair Gadoon Limited,818,MISCELLANEOUS,500,1
ALAC,Askari Life Assurance Company Limited,812,INSURANCE,500,1
ALIFE,Adamjee Life Assurance Company Limited,812,INSURANCE,500,1
ALNRS,Al-Noor Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
ALTN,Altern Energy Limited,824,POWER GENERATION & DISTRIBUTION,500,1
AMBL,Apna Microfinance Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
AMSL,Al-Mal Securities & Services Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,0
AMTEX,Amtex Limited,830,TEXTILE SPINNING,500,1
ANL,Azgard Nine Limited,829,TEXTILE COMPOSITE,1,1
ANLNV,Azgard Nine Non-Voting Ordinary Shares,829,TEXTILE COMPOSITE,500,0
ANLPS,Azgard Nine 8.95%(Pref),829,TEXTILE COMPOSITE,500,1
ANNT,Annoor Textile Mills Limited,830,TEXTILE SPINNING,500,0
ANSM,Ansari Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
ANTM,AN Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
APL,Attock Petroleum Limited,821,OIL & GAS MARKETING COMPANIES,1,1
APOT,Apollo Textile Mills Limited,830,TEXTILE SPINNING,500,1
ARCTM,Arctic Textile Mills Limited,830,TEXTILE SPINNING,500,1
ARPAK,Arpak International Investments Ltd.,818,MISCELLANEOUS,500,1
ARPL,Archroma Pakistan Limited,805,CHEMICAL,1,1
ARUJ,Aruj Industries Limited,829,TEXTILE COMPOSITE,500,1
ASC,Al Shaheer Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
ASHT,Ashfaq Textile Mills Limited,831,TEXTILE WEAVING,500,1
ASIC,Asia Insurance Company Limited,812,INSURANCE,500,1
ASL,Aisha Steel Mills Limited,808,ENGINEERING,1,1
ASLCPS,Aisha Steel Convt (Pref) Right,808,ENGINEERING,500,1
ASLPS,Aisha Steel Convertible (Pref),808,ENGINEERING,500,1
ASTL,Amreli Steels Limited,808,ENGINEERING,1,1
ASTM,Asim Textile Mills Limited,830,TEXTILE SPINNING,500,1
ATBA,Atlas Battery Limited,802,AUTOMOBILE PARTS & ACCESSORIES,1,1
ATIL,Atlas Insurance Limited,812,INSURANCE,500,1
ATLH,Atlas Honda Limited,801,AUTOMOBILE ASSEMBLER,1,1
ATRL,Attock Refinery Limited,825,REFINERY,1,1
