Symbol,Date,Open,High,Low,Close,Volume
786,02-Jan-2014,2.01,2.01,2.01,2.01,500
786,06-Jan-2014,2.50,2.50,2.50,2.50,5000
786,16-Jan-2014,2.05,2.31,2.05,2.31,1500
786,17-Jan-2014,2.75,2.75,2.75,2.75,8500
786,20-Jan-2014,3.00,3.00,3.00,3.00,40000
786,22-Jan-2014,3.00,3.01,3.00,3.00,25500
786,27-Jan-2014,3.00,3.25,3.00,3.25,53500
786,28-Jan-2014,3.25,3.25,3.25,3.25,17000
786,03-Feb-2014,2.61,3.24,2.61,3.24,1500
786,04-Feb-2014,2.60,2.60,2.60,2.60,500
786,06-Feb-2014,2.90,2.90,2.90,2.90,500
786,11-Feb-2014,3.29,3.29,3.29,3.29,1000
786,13-Feb-2014,2.33,2.33,2.33,3.29,2500
786,20-Feb-2014,2.37,2.37,2.37,2.37,500
786,10-Mar-2014,2.50,2.50,2.15,2.50,3500
786,20-Mar-2014,2.79,2.80,2.79,2.80,1000
786,01-Apr-2014,2.21,2.31,2.01,2.31,13000
786,03-Apr-2014,2.12,2.69,2.10,2.69,11500
786,07-Apr-2014,2.50,2.50,2.50,2.50,1000
786,08-Apr-2014,2.26,2.26,2.25,2.25,2500
786,10-Apr-2014,2.75,2.75,2.75,2.75,500
786,14-Apr-2014,2.25,2.25,2.25,2.25,500
786,18-Apr-2014,2.28,2.28,2.28,2.28,1000
786,24-Apr-2014,2.70,2.70,2.70,2.70,500
786,30-Apr-2014,2.10,2.20,2.10,2.11,36000
786,15-May-2014,1.80,2.45,1.80,2.45,3000
786,20-May-2014,2.15,2.15,2.15,2.15,5000
786,21-May-2014,2.13,2.55,2.13,2.52,12500
786,27-May-2014,2.10,2.10,2.00,2.10,1000
786,02-Jun-2014,2.01,2.01,2.01,2.01,500
786,05-Jun-2014,2.00,2.00,2.00,2.00,500
786,11-Jun-2014,2.02,2.25,2.02,2.25,1000
786,12-Jun-2014,2.44,2.44,2.44,2.44,1000
786,19-Jun-2014,2.00,2.00,2.00,2.00,3000
786,01-Jul-2014,2.00,2.00,2.00,2.00,1000
786,10-Jul-2014,2.03,2.39,2.03,2.39,11000
786,17-Jul-2014,2.00,2.00,2.00,2.00,2000
786,24-Jul-2014,1.81,1.81,1.81,1.81,500
786,05-Aug-2014,2.10,2.15,2.10,2.15,11500
786,06-Aug-2014,2.19,2.19,2.19,2.19,1000
786,11-Aug-2014,2.05,2.05,2.05,2.05,2000
786,13-Aug-2014,2.20,2.20,2.20,2.20,1000
786,15-Aug-2014,2.20,2.20,2.20,2.20,5500
786,04-Sep-2014,2.40,2.40,2.40,2.40,5500
786,08-Sep-2014,1.90,1.90,1.90,1.90,3000
786,11-Sep-2014,2.44,2.44,2.44,2.44,500
786,23-Sep-2014,2.44,2.44,2.44,2.44,50000
786,10-Oct-2014,2.01,2.01,2.01,2.01,500
786,15-Oct-2014,2.39,2.39,2.39,2.39,50000
786,23-Oct-2014,2.40,2.40,2.40,2.40,1000
786,27-Oct-2014,2.01,2.01,2.01,2.01,5000
786,06-Nov-2014,2.01,2.01,2.01,2.01,500
786,11-Nov-2014,2.02,2.99,2.00,2.20,538000
786,12-Nov-2014,2.20,2.20,2.00,2.16,258000
786,13-Nov-2014,2.20,2.20,2.20,2.20,5000
