Symbol,Date,Open,High,Low,Close,Volume
AABS,01-Jan-2014,98.00,98.00,98.00,98.00,500
AABS,03-Jan-2014,96.00,96.00,96.00,96.00,500
AABS,06-Jan-2014,96.50,98.50,95.80,98.05,2700
AABS,07-Jan-2014,96.00,96.00,94.50,96.00,8500
AABS,08-Jan-2014,95.00,95.00,94.50,94.50,6200
AABS,09-Jan-2014,94.90,94.90,94.50,94.50,1400
AABS,10-Jan-2014,95.50,96.75,95.50,96.00,1600
AABS,13-Jan-2014,95.00,95.16,95.00,95.01,15000
AABS,15-Jan-2014,95.01,96.49,94.88,95.00,8900
AABS,16-Jan-2014,98.00,98.00,98.00,95.00,100
AABS,17-Jan-2014,96.49,96.50,96.49,96.50,3000
AABS,20-Jan-2014,98.51,98.51,95.00,96.50,22200
AABS,21-Jan-2014,97.99,98.00,97.99,96.50,200
AABS,22-Jan-2014,95.50,95.50,95.00,95.50,1400
AABS,23-Jan-2014,95.50,96.50,95.50,95.67,900
AABS,24-Jan-2014,95.51,95.51,95.50,95.50,500
AABS,27-Jan-2014,95.00,95.00,95.00,95.00,1700
AABS,28-Jan-2014,97.00,97.00,96.50,96.58,700
AABS,30-Jan-2014,91.76,97.00,91.76,97.00,500
AABS,06-Feb-2014,98.00,98.20,97.40,98.20,3400
AABS,10-Feb-2014,97.00,97.00,97.00,98.20,2000
AABS,12-Feb-2014,93.31,94.00,93.30,94.00,700
AABS,13-Feb-2014,95.00,95.00,95.00,94.00,100
AABS,14-Feb-2014,96.99,96.99,96.99,94.00,1800
AABS,17-Feb-2014,96.90,96.95,94.00,94.00,2500
AABS,18-Feb-2014,94.00,96.80,94.00,96.75,1700
AABS,19-Feb-2014,98.25,98.45,98.25,96.75,200
AABS,20-Feb-2014,98.30,98.35,98.30,96.75,200
AABS,21-Feb-2014,93.50,93.50,93.50,93.50,1000
AABS,24-Feb-2014,95.45,95.50,95.45,95.50,1100
AABS,26-Feb-2014,96.93,96.99,96.93,96.99,1000
AABS,27-Feb-2014,94.00,101.65,94.00,98.00,108900
AABS,28-Feb-2014,98.00,98.01,98.00,98.01,9500
AABS,04-Mar-2014,93.50,93.50,93.50,98.01,1800
AABS,05-Mar-2014,93.20,93.20,93.20,93.20,500
AABS,10-Mar-2014,93.00,93.00,93.00,93.00,500
AABS,11-Mar-2014,92.00,92.00,92.00,92.00,500
AABS,12-Mar-2014,95.70,96.00,92.00,94.00,1500
AABS,14-Mar-2014,95.50,95.50,95.50,95.50,500
AABS,24-Mar-2014,96.80,99.90,91.00,99.90,3600
AABS,27-Mar-2014,99.90,99.90,99.90,99.90,200
AABS,28-Mar-2014,95.00,95.00,95.00,95.00,300
AABS,02-Apr-2014,99.60,99.74,99.60,99.65,600
AABS,03-Apr-2014,99.00,99.00,94.70,95.00,3300
AABS,08-Apr-2014,95.00,95.00,95.00,95.00,18500
AABS,10-Apr-2014,95.00,95.00,95.00,95.00,200
AABS,11-Apr-2014,96.00,96.00,96.00,96.00,900
AABS,14-Apr-2014,98.00,100.80,97.75,100.78,233400
AABS,15-Apr-2014,100.00,105.81,100.00,105.81,165200
AABS,16-Apr-2014,109.50,111.10,109.00,111.10,28700
AABS,17-Apr-2014,109.90,116.65,109.90,112.00,23200
AABS,18-Apr-2014,108.15,108.15,108.05,108.11,1000
AABS,21-Apr-2014,105.00,105.00,105.00,105.00,500
AABS,22-Apr-2014,107.50,107.50,107.50,107.50,5500
AABS,23-Apr-2014,107.00,109.90,107.00,108.01,16400
AABS,24-Apr-2014,110.00,110.00,106.00,107.50,6300
AABS,25-Apr-2014,110.00,112.87,110.00,110.96,5200
AABS,28-Apr-2014,106.50,108.94,106.50,108.94,6300
AABS,29-Apr-2014,106.50,107.50,106.00,106.00,8700
AABS,08-May-2014,106.00,106.00,106.00,106.00,16700
AABS,12-May-2014,107.10,107.10,107.10,107.10,2500
AABS,13-May-2014,107.90,108.00,107.90,107.99,2300
AABS,14-May-2014,103.00,108.00,103.00,107.99,200
AABS,15-May-2014,108.00,108.00,108.00,108.00,600
AABS,19-May-2014,108.00,108.00,108.00,108.00,100
AABS,20-May-2014,109.25,109.25,108.00,108.00,200
AABS,21-May-2014,112.00,113.40,112.00,113.40,1600
AABS,22-May-2014,119.00,119.07,115.00,119.07,2600
AABS,23-May-2014,120.00,125.00,120.00,122.29,1900
AABS,26-May-2014,124.90,124.90,118.00,119.80,1400
AABS,27-May-2014,118.02,120.00,118.00,118.01,2300
AABS,28-May-2014,116.01,116.01,116.00,116.01,1000
AABS,29-May-2014,116.00,116.00,116.00,116.00,500
AABS,30-May-2014,113.01,118.00,110.20,111.44,14300
AABS,02-Jun-2014,107.00,110.80,105.87,108.63,153500
AABS,03-Jun-2014,113.85,113.90,113.85,113.90,5200
AABS,04-Jun-2014,117.95,117.95,117.95,117.95,1400
AABS,05-Jun-2014,112.06,112.06,112.06,112.06,700
AABS,06-Jun-2014,109.00,115.45,109.00,109.77,4700
AABS,09-Jun-2014,114.95,114.95,114.95,114.95,1400
AABS,10-Jun-2014,113.95,113.95,113.95,113.95,2500
AABS,11-Jun-2014,117.95,117.95,117.95,117.95,1500
AABS,12-Jun-2014,117.95,117.95,117.95,117.95,200
AABS,23-Jun-2014,118.50,118.50,107.70,115.95,3000
AABS,24-Jun-2014,110.16,110.16,110.16,110.16,3800
AABS,25-Jun-2014,105.00,105.00,104.70,104.90,300
