Symbol,Date,Open,High,Low,Close,Volume
AATM,01-Jan-2014,5.78,5.87,5.45,5.87,93000
AATM,02-Jan-2014,6.55,6.87,5.75,6.03,275500
AATM,03-Jan-2014,5.30,5.78,5.12,5.51,26500
AATM,06-Jan-2014,6.00,6.00,5.02,5.35,55000
AATM,07-Jan-2014,5.65,6.35,5.41,6.20,112000
AATM,08-Jan-2014,6.35,7.20,6.20,7.20,118000
AATM,09-Jan-2014,7.65,8.15,7.50,7.50,93000
AATM,10-Jan-2014,7.25,7.75,7.00,7.08,14500
AATM,13-Jan-2014,7.01,7.70,7.00,7.11,39000
AATM,15-Jan-2014,7.20,7.20,6.60,6.70,20500
AATM,16-Jan-2014,6.25,6.78,6.03,6.78,2500
AATM,20-Jan-2014,5.78,6.68,5.78,6.68,6500
AATM,21-Jan-2014,6.20,7.68,6.20,7.28,27500
AATM,22-Jan-2014,6.81,7.94,6.80,7.80,64000
AATM,23-Jan-2014,7.90,8.20,7.10,7.67,104000
AATM,24-Jan-2014,7.50,7.50,7.05,7.29,13000
AATM,27-Jan-2014,6.85,7.54,6.85,7.54,7000
AATM,28-Jan-2014,7.70,7.70,7.70,7.70,5000
AATM,30-Jan-2014,7.48,7.68,7.00,7.68,6000
AATM,31-Jan-2014,7.16,7.16,7.15,7.15,5000
AATM,03-Feb-2014,7.28,7.28,6.55,6.60,4000
AATM,04-Feb-2014,6.20,7.45,6.20,7.30,25500
AATM,06-Feb-2014,6.35,7.43,6.35,7.43,6000
AATM,07-Feb-2014,6.51,6.51,6.46,6.50,2500
AATM,10-Feb-2014,6.15,6.20,6.15,6.20,1000
AATM,12-Feb-2014,6.30,6.30,6.30,6.30,1000
AATM,13-Feb-2014,6.25,6.30,6.25,6.30,7000
AATM,17-Feb-2014,5.90,6.30,5.60,5.62,18000
AATM,18-Feb-2014,5.40,5.40,5.40,5.40,500
AATM,19-Feb-2014,6.39,6.40,5.45,6.40,22000
AATM,20-Feb-2014,6.75,6.85,5.85,5.94,15500
AATM,21-Feb-2014,5.65,5.65,5.65,5.65,1000
AATM,24-Feb-2014,5.05,5.05,5.05,5.05,1000
AATM,25-Feb-2014,5.01,5.01,5.00,5.00,9000
AATM,26-Feb-2014,4.95,4.95,4.95,5.00,10000
AATM,28-Feb-2014,4.90,4.90,4.90,4.90,5000
AATM,03-Mar-2014,5.00,5.00,5.00,5.00,4500
AATM,04-Mar-2014,5.00,6.00,5.00,6.00,65500
AATM,05-Mar-2014,6.70,7.00,5.95,7.00,135500
AATM,06-Mar-2014,7.80,8.00,7.49,8.00,161500
AATM,07-Mar-2014,8.50,9.00,8.00,8.35,192500
AATM,10-Mar-2014,8.00,8.24,7.35,7.37,13500
AATM,11-Mar-2014,6.37,7.00,6.37,6.65,7000
AATM,12-Mar-2014,5.85,7.40,5.85,6.06,9000
AATM,13-Mar-2014,5.80,6.24,5.51,5.51,12000
AATM,14-Mar-2014,6.50,6.51,6.01,6.24,11000
AATM,17-Mar-2014,5.55,6.30,5.55,6.16,3000
AATM,18-Mar-2014,6.01,6.60,6.01,6.60,4000
AATM,19-Mar-2014,6.15,6.15,5.82,6.05,11000
AATM,20-Mar-2014,6.70,6.70,6.00,6.00,1000
AATM,21-Mar-2014,5.51,5.51,5.51,5.51,500
AATM,24-Mar-2014,5.49,5.50,5.49,5.50,1500
AATM,26-Mar-2014,5.05,5.50,5.05,5.50,3000
AATM,27-Mar-2014,5.25,5.25,5.25,5.25,500
AATM,28-Mar-2014,5.25,5.25,4.82,4.82,3500
AATM,01-Apr-2014,4.70,5.82,4.70,5.82,9000
AATM,02-Apr-2014,5.30,6.80,5.30,6.15,16500
AATM,03-Apr-2014,6.68,6.69,6.68,6.69,5500
AATM,04-Apr-2014,5.69,7.69,5.69,6.99,11000
AATM,07-Apr-2014,6.17,6.20,6.17,6.20,1500
AATM,08-Apr-2014,6.05,6.05,6.05,6.05,1000
AATM,09-Apr-2014,5.99,6.00,5.99,6.00,3500
AATM,10-Apr-2014,6.00,6.00,6.00,6.00,2500
AATM,11-Apr-2014,5.35,5.35,5.35,5.35,4000
AATM,16-Apr-2014,5.00,5.11,5.00,5.11,5500
AATM,18-Apr-2014,4.11,6.11,4.11,5.25,15000
AATM,21-Apr-2014,4.65,5.50,4.65,5.50,5000
AATM,22-Apr-2014,5.05,5.50,5.05,5.42,3500
AATM,23-Apr-2014,5.50,6.09,5.50,5.65,5000
AATM,24-Apr-2014,5.10,5.10,5.10,5.10,1000
AATM,25-Apr-2014,5.05,5.30,4.52,4.54,6500
AATM,29-Apr-2014,4.66,5.50,4.66,5.00,2000
AATM,02-May-2014,4.75,4.75,4.75,4.75,2000
AATM,05-May-2014,5.00,5.01,5.00,5.00,6000
AATM,07-May-2014,5.00,5.11,5.00,5.11,2000
AATM,15-May-2014,4.60,4.60,4.60,4.60,2000
AATM,16-May-2014,5.55,5.60,5.20,5.38,20500
AATM,26-May-2014,6.25,6.25,5.05,5.06,4000
AATM,03-Jun-2014,5.05,5.05,5.01,5.01,7000
AATM,04-Jun-2014,5.36,5.36,5.36,5.36,500
AATM,06-Jun-2014,5.85,5.85,5.85,5.85,500
AATM,11-Jun-2014,4.90,4.90,4.85,4.86,13500
AATM,12-Jun-2014,4.52,5.00,4.52,5.00,10500
AATM,13-Jun-2014,4.55,4.55,4.51,4.53,1000
AATM,16-Jun-2014,4.55,4.55,4.50,4.50,1500
AATM,17-Jun-2014,4.50,4.50,4.50,4.50,500
AATM,19-Jun-2014,4.21,4.21,4.20,4.20,3500
AATM,01-Jul-2014,4.15,4.50,4.15,4.26,34500
AATM,07-Jul-2014,5.00,5.26,4.99,5.02,69500
AATM,08-Jul-2014,5.10,6.02,5.10,5.96,25000
AATM,09-Jul-2014,6.55,6.89,5.65,6.76,14500
AATM,10-Jul-2014,6.00,7.72,5.85,6.99,24000
AATM,11-Jul-2014,7.40,7.40,7.40,7.40,500
AATM,14-Jul-2014,7.50,7.70,7.50,7.70,2000
AATM,23-Jul-2014,6.70,7.65,6.70,6.70,13500
AATM,24-Jul-2014,6.99,6.99,6.99,6.99,500
AATM,04-Aug-2014,6.00,6.00,5.99,5.99,1500
AATM,05-Aug-2014,6.60,6.60,6.60,6.60,500
AATM,07-Aug-2014,6.70,7.35,6.70,7.35,2000
AATM,12-Aug-2014,6.32,6.32,6.32,6.32,500
AATM,13-Aug-2014,6.98,6.98,5.32,5.32,71000
AATM,15-Aug-2014,5.79,5.79,4.56,5.65,11000
AATM,18-Aug-2014,5.85,5.85,5.85,5.85,1000
AATM,19-Aug-2014,5.25,5.82,4.85,5.51,49000
AATM,21-Aug-2014,5.80,5.80,5.50,5.79,4500
AATM,22-Aug-2014,6.20,6.20,6.20,6.20,1000
AATM,26-Aug-2014,5.75,5.75,5.20,5.40,10500
AATM,27-Aug-2014,5.80,5.80,5.80,5.80,500
AATM,29-Aug-2014,5.99,6.45,5.99,6.45,1500
AATM,03-Sep-2014,6.70,7.45,6.70,7.45,4000
AATM,04-Sep-2014,6.45,7.15,6.45,6.62,38000
AATM,05-Sep-2014,6.09,6.45,5.62,5.62,128500
AATM,08-Sep-2014,5.80,5.80,5.10,5.46,7500
AATM,09-Sep-2014,5.10,5.47,5.10,5.27,15500
AATM,10-Sep-2014,5.75,5.78,5.00,5.08,6000
AATM,11-Sep-2014,5.01,5.79,5.01,5.75,28500
AATM,12-Sep-2014,5.35,5.60,5.27,5.60,8000
AATM,15-Sep-2014,5.36,5.69,5.35,5.59,7000
AATM,16-Sep-2014,5.32,5.39,5.30,5.31,5000
AATM,17-Sep-2014,5.37,5.37,5.00,5.00,23500
AATM,18-Sep-2014,5.30,5.40,5.30,5.40,2500
AATM,19-Sep-2014,5.60,5.70,5.58,5.70,11500
AATM,22-Sep-2014,5.70,6.00,5.70,6.00,5000
AATM,23-Sep-2014,5.35,5.60,5.25,5.60,3500
AATM,26-Sep-2014,5.00,5.60,5.00,5.60,6000
AATM,29-Sep-2014,5.15,5.15,4.92,4.92,8000
AATM,01-Oct-2014,5.37,5.37,5.30,5.37,3500
AATM,03-Oct-2014,5.09,5.09,5.09,5.09,1000
AATM,09-Oct-2014,4.90,5.09,4.85,4.85,1500
AATM,13-Oct-2014,5.50,5.50,4.71,5.13,12500
AATM,15-Oct-2014,5.00,5.00,4.85,4.85,6000
AATM,16-Oct-2014,4.71,4.71,4.71,4.71,500
AATM,17-Oct-2014,5.05,5.49,5.05,5.35,15000
AATM,21-Oct-2014,4.71,4.71,4.70,4.71,3000
AATM,27-Oct-2014,4.25,4.25,4.25,4.25,500
AATM,05-Nov-2014,4.90,4.90,4.90,4.90,500
AATM,07-Nov-2014,4.90,4.91,4.90,4.91,2000
AATM,10-Nov-2014,4.95,5.00,4.95,5.00,3500
AATM,11-Nov-2014,5.20,5.50,5.20,5.50,19000
AATM,12-Nov-2014,5.50,6.00,5.50,5.76,35000
AATM,13-Nov-2014,5.98,5.99,5.30,5.88,13500
AATM,14-Nov-2014,6.00,6.00,5.50,5.50,4500
AATM,17-Nov-2014,5.20,5.20,5.20,5.20,500
AATM,04-Dec-2014,5.95,5.95,5.95,5.95,500
AATM,08-Dec-2014,5.68,5.68,5.02,5.02,6000
AATM,09-Dec-2014,5.29,5.29,5.29,5.29,500
AATM,12-Dec-2014,5.53,5.53,5.53,5.53,500
AATM,22-Dec-2014,4.80,4.80,4.80,4.80,500
AATM,24-Dec-2014,4.50,4.55,4.50,4.50,5000
AATM,29-Dec-2014,5.00,5.00,5.00,5.00,12000
AATM,02-Jan-2015,5.15,5.15,5.15,5.15,500
AATM,09-Jan-2015,4.75,4.75,4.40,4.40,3000
AATM,15-Jan-2015,4.85,4.90,4.85,4.89,2500
AATM,16-Jan-2015,4.60,4.60,4.59,4.59,17000
AATM,21-Jan-2015,4.70,4.70,4.70,4.70,3000
AATM,26-Jan-2015,4.46,4.46,4.46,4.46,1000
AATM,02-Feb-2015,4.70,4.70,4.40,4.55,2000
AATM,03-Feb-2015,4.30,4.55,4.30,4.35,1500
AATM,04-Feb-2015,4.20,4.35,4.20,4.35,1500
AATM,06-Feb-2015,4.20,4.20,4.20,4.20,500
AATM,10-Feb-2015,4.40,4.45,4.21,4.23,2000
AATM,13-Feb-2015,4.10,4.10,4.10,4.10,500
AATM,17-Feb-2015,4.11,4.11,4.11,4.11,2000
AATM,18-Feb-2015,4.15,4.15,4.02,4.02,8000
AATM,24-Feb-2015,3.85,3.85,3.50,3.51,16500
AATM,25-Feb-2015,3.75,3.75,3.75,3.75,500
AATM,26-Feb-2015,3.99,4.10,3.99,4.10,2500
AATM,27-Feb-2015,4.00,4.25,4.00,4.23,5500
AATM,02-Mar-2015,4.00,4.00,3.75,3.75,1500
AATM,04-Mar-2015,3.55,3.60,3.50,3.60,10500
AATM,10-Mar-2015,3.50,3.50,3.50,3.50,500
AATM,13-Mar-2015,3.11,3.50,3.10,3.50,2000
AATM,16-Mar-2015,3.66,3.66,3.66,3.66,500
AATM,17-Mar-2015,3.51,4.66,3.50,4.07,199000
AATM,18-Mar-2015,3.60,3.60,3.20,3.41,12000
AATM,19-Mar-2015,3.17,3.17,3.17,3.17,1000
AATM,20-Mar-2015,3.20,3.60,3.20,3.59,2000
AATM,24-Mar-2015,3.50,3.50,3.50,3.50,1000
AATM,25-Mar-2015,3.50,3.50,3.50,3.50,2500
AATM,01-Apr-2015,3.03,3.06,3.00,3.00,6000
AATM,03-Apr-2015,3.50,3.68,3.50,3.53,6500
AATM,07-Apr-2015,3.90,3.95,3.40,3.40,1500
AATM,15-Apr-2015,3.50,3.50,3.50,3.50,500
