Symbol,Date,Open,High,Low,Close,Volume
ABL,01-Jan-2014,89.50,90.50,89.50,90.00,41000
ABL,02-Jan-2014,90.50,91.50,89.50,91.44,38500
ABL,03-Jan-2014,91.00,91.00,90.60,90.90,3000
ABL,06-Jan-2014,91.80,91.80,91.00,91.80,2000
ABL,07-Jan-2014,90.50,90.50,90.01,90.50,2000
ABL,08-Jan-2014,91.95,92.00,90.71,90.71,27500
ABL,09-Jan-2014,94.30,94.40,91.70,93.00,76000
ABL,10-Jan-2014,93.20,94.80,93.00,94.51,51000
ABL,13-Jan-2014,94.60,94.60,93.05,93.06,17500
ABL,15-Jan-2014,93.50,95.00,93.50,94.40,41500
ABL,16-Jan-2014,94.00,94.00,92.00,92.58,30500
ABL,17-Jan-2014,93.00,93.30,92.50,92.50,30000
ABL,20-Jan-2014,91.25,92.50,91.20,91.99,251500
ABL,21-Jan-2014,92.00,92.00,91.50,91.50,231000
ABL,22-Jan-2014,91.51,92.00,90.52,91.50,84000
ABL,23-Jan-2014,91.00,91.99,91.00,91.00,13000
ABL,24-Jan-2014,90.01,91.48,90.00,90.62,30000
ABL,27-Jan-2014,90.00,90.50,89.51,89.67,38500
ABL,28-Jan-2014,89.00,90.50,89.00,89.50,33500
ABL,29-Jan-2014,88.60,90.48,88.55,88.57,12000
ABL,30-Jan-2014,90.00,90.00,88.00,88.17,11000
ABL,31-Jan-2014,90.00,90.00,89.00,89.00,148500
ABL,03-Feb-2014,89.99,91.00,88.06,88.80,90500
ABL,04-Feb-2014,88.20,88.20,85.50,86.13,130000
ABL,06-Feb-2014,85.00,87.84,85.00,87.18,20500
ABL,07-Feb-2014,87.75,87.75,86.20,87.04,14000
ABL,10-Feb-2014,87.70,88.20,86.62,88.00,35500
ABL,11-Feb-2014,88.10,92.00,88.00,88.54,316000
ABL,12-Feb-2014,90.00,91.00,88.55,88.99,159500
ABL,13-Feb-2014,89.40,90.10,89.00,89.82,284000
ABL,14-Feb-2014,90.50,91.00,89.80,90.00,86500
ABL,17-Feb-2014,90.00,90.50,89.51,89.60,135500
ABL,18-Feb-2014,90.00,90.00,89.50,89.50,35500
ABL,19-Feb-2014,90.00,90.00,89.65,89.79,154500
ABL,20-Feb-2014,90.00,90.00,89.00,89.00,3500
ABL,21-Feb-2014,89.90,90.00,89.00,89.25,11000
ABL,24-Feb-2014,89.95,90.00,89.30,89.59,32500
ABL,25-Feb-2014,90.00,90.00,88.56,88.79,11500
ABL,26-Feb-2014,88.50,89.00,87.51,87.51,15000
ABL,27-Feb-2014,87.99,88.00,87.50,87.99,4500
ABL,28-Feb-2014,88.00,88.50,87.75,88.46,42500
ABL,03-Mar-2014,88.85,89.00,88.50,88.50,12500
ABL,04-Mar-2014,88.90,89.40,88.89,89.10,24500
ABL,05-Mar-2014,89.15,90.90,89.15,90.69,284000
ABL,06-Mar-2014,91.90,93.00,91.00,92.88,201000
ABL,07-Mar-2014,93.10,94.50,92.25,94.05,80000
ABL,10-Mar-2014,94.90,95.45,93.60,95.18,110000
ABL,11-Mar-2014,95.20,95.74,95.20,95.50,55000
ABL,12-Mar-2014,95.73,95.80,94.70,95.25,30500
ABL,13-Mar-2014,94.00,94.90,94.00,94.38,29000
ABL,14-Mar-2014,94.00,94.05,93.00,93.05,45500
ABL,17-Mar-2014,92.80,94.65,92.80,94.33,60500
ABL,18-Mar-2014,94.00,94.90,94.00,94.04,27500
ABL,19-Mar-2014,95.49,96.00,94.50,95.62,97000
ABL,20-Mar-2014,84.90,86.00,83.75,85.00,67000
ABL,21-Mar-2014,84.10,86.00,84.00,84.42,33500
ABL,24-Mar-2014,83.11,84.00,83.00,83.16,13000
ABL,25-Mar-2014,83.21,84.00,83.21,83.90,22500
ABL,26-Mar-2014,84.85,88.09,84.85,88.01,123000
ABL,27-Mar-2014,89.90,92.41,89.00,92.41,108500
ABL,28-Mar-2014,94.00,97.03,93.50,97.03,162000
ABL,31-Mar-2014,101.00,101.00,96.60,96.93,424500
ABL,01-Apr-2014,96.30,97.00,94.10,95.98,99500
ABL,02-Apr-2014,95.70,98.40,95.70,97.44,142000
ABL,03-Apr-2014,97.99,98.40,96.10,97.12,474500
ABL,04-Apr-2014,97.10,97.10,95.40,96.00,31000
ABL,07-Apr-2014,96.00,100.80,96.00,100.79,1254000
ABL,08-Apr-2014,102.00,105.82,101.95,105.69,727500
ABL,09-Apr-2014,106.00,110.97,103.25,109.07,1578000
ABL,10-Apr-2014,108.70,111.50,107.10,110.67,212000
ABL,11-Apr-2014,111.00,112.50,107.20,109.90,228500
ABL,14-Apr-2014,109.87,115.00,109.87,112.95,513000
ABL,15-Apr-2014,113.50,118.59,112.05,118.59,1193500
ABL,16-Apr-2014,121.00,124.51,120.50,124.51,1273500
ABL,17-Apr-2014,126.05,127.10,119.10,125.89,1363500
ABL,18-Apr-2014,124.51,126.00,121.80,122.29,114000
ABL,21-Apr-2014,121.00,123.25,120.25,122.39,58500
ABL,22-Apr-2014,123.36,128.50,123.25,128.26,1434000
ABL,23-Apr-2014,128.75,130.85,123.00,126.50,715000
ABL,24-Apr-2014,124.00,129.00,124.00,127.47,481000
ABL,25-Apr-2014,128.00,128.30,124.00,127.39,860500
ABL,28-Apr-2014,127.00,129.25,125.00,125.44,180500
ABL,29-Apr-2014,126.25,126.25,122.20,123.12,274500
ABL,30-Apr-2014,125.19,126.45,123.30,125.75,181500
ABL,02-May-2014,125.00,128.49,124.00,127.26,599000
ABL,05-May-2014,128.45,130.00,125.40,126.43,677500
ABL,06-May-2014,126.50,127.25,125.10,125.49,37500
ABL,07-May-2014,125.94,126.50,124.75,125.10,49000
ABL,08-May-2014,123.25,127.50,123.00,126.84,196500
ABL,09-May-2014,126.80,129.90,125.56,125.82,181500
ABL,12-May-2014,126.00,126.00,124.00,124.40,29000
ABL,13-May-2014,124.50,127.00,124.00,125.50,261500
ABL,14-May-2014,126.95,127.50,125.15,126.00,90500
ABL,15-May-2014,127.50,130.00,126.90,128.34,744000
ABL,16-May-2014,129.48,129.48,127.50,127.50,45000
ABL,19-May-2014,127.00,128.00,126.90,127.79,14500
ABL,20-May-2014,127.50,127.75,127.00,127.00,42500
ABL,21-May-2014,127.00,128.00,125.51,126.26,45500
ABL,22-May-2014,127.50,127.50,126.11,126.27,62000
ABL,23-May-2014,127.84,128.00,127.00,127.00,28500
ABL,26-May-2014,127.00,129.00,126.75,128.78,268000
ABL,27-May-2014,129.81,130.75,128.00,128.78,252000
ABL,28-May-2014,129.80,129.80,128.00,128.07,33500
ABL,29-May-2014,129.40,129.49,127.50,128.74,38000
ABL,30-May-2014,130.50,135.00,128.50,132.76,767000
ABL,02-Jun-2014,131.00,132.99,129.01,129.60,70500
ABL,03-Jun-2014,129.00,130.50,123.12,127.75,100000
ABL,04-Jun-2014,127.74,128.50,124.25,125.67,69000
ABL,05-Jun-2014,128.45,128.45,126.05,126.05,13500
ABL,06-Jun-2014,125.75,132.00,125.75,128.48,176500
ABL,09-Jun-2014,129.40,130.50,129.00,129.85,62000
ABL,10-Jun-2014,130.00,131.50,130.00,131.49,73000
ABL,11-Jun-2014,133.50,133.50,131.50,131.88,73000
ABL,12-Jun-2014,131.00,132.79,131.00,131.00,16500
ABL,13-Jun-2014,131.80,131.88,130.26,130.50,34500
ABL,16-Jun-2014,128.30,131.50,128.30,130.00,11500
ABL,17-Jun-2014,130.00,135.00,128.00,128.22,199500
ABL,18-Jun-2014,129.05,130.00,128.55,128.78,10500
ABL,19-Jun-2014,128.55,128.55,126.00,126.71,38000
ABL,20-Jun-2014,128.95,130.00,128.00,128.00,40000
ABL,23-Jun-2014,129.00,129.98,129.00,129.56,3000
ABL,24-Jun-2014,126.50,133.80,126.50,132.04,79000
ABL,25-Jun-2014,132.50,132.50,130.00,130.03,46500
ABL,26-Jun-2014,130.99,134.50,130.99,134.00,108500
ABL,27-Jun-2014,131.55,131.95,131.50,131.74,4000
ABL,30-Jun-2014,133.50,138.00,133.50,137.41,219000
ABL,01-Jul-2014,138.00,138.00,136.05,136.50,2500
ABL,02-Jul-2014,133.50,136.00,132.00,134.95,18400
ABL,03-Jul-2014,133.05,133.06,130.50,132.49,17700
ABL,04-Jul-2014,132.00,132.00,131.00,131.27,3900
ABL,07-Jul-2014,130.05,131.95,128.00,128.41,30100
ABL,08-Jul-2014,127.42,128.00,121.99,124.74,183700
ABL,09-Jul-2014,123.00,123.00,119.00,119.27,60800
ABL,10-Jul-2014,116.40,119.80,116.00,117.31,265000
ABL,11-Jul-2014,116.10,116.99,116.00,116.69,12700
ABL,14-Jul-2014,118.45,121.35,117.71,119.99,58600
ABL,15-Jul-2014,119.05,121.80,116.25,117.70,34500
ABL,16-Jul-2014,117.00,118.49,115.80,117.41,41100
ABL,17-Jul-2014,120.61,123.28,120.00,123.28,133000
ABL,18-Jul-2014,124.10,126.00,122.76,123.18,38400
ABL,21-Jul-2014,124.97,125.00,122.50,122.84,58600
ABL,22-Jul-2014,123.99,124.97,122.55,122.87,48500
ABL,23-Jul-2014,122.50,124.40,122.50,123.01,29000
ABL,24-Jul-2014,123.00,124.80,123.00,124.54,48900
ABL,28-Jul-2014,123.00,124.00,122.90,124.00,13800
ABL,04-Aug-2014,122.00,122.00,120.00,120.95,14200
ABL,05-Aug-2014,122.05,124.06,122.00,122.04,1117100
ABL,06-Aug-2014,122.95,123.00,118.50,120.01,268400
ABL,07-Aug-2014,120.00,120.50,119.05,119.36,6400
ABL,08-Aug-2014,119.01,119.01,114.00,115.53,34700
ABL,11-Aug-2014,109.76,114.50,109.76,109.76,241900
ABL,12-Aug-2014,106.00,112.80,104.51,111.99,209400
ABL,13-Aug-2014,112.00,116.50,112.00,114.93,319800
ABL,15-Aug-2014,115.05,116.00,114.00,114.05,70900
ABL,18-Aug-2014,114.00,115.00,112.20,112.52,114400
ABL,19-Aug-2014,107.91,110.45,107.00,109.77,27800
ABL,20-Aug-2014,108.80,111.00,108.80,109.50,5200
ABL,21-Aug-2014,112.00,114.95,112.00,112.75,49500
ABL,22-Aug-2014,112.00,113.00,111.70,112.13,700
ABL,25-Aug-2014,112.00,112.00,110.00,110.19,8300
ABL,26-Aug-2014,110.11,111.00,109.02,109.46,10100
ABL,27-Aug-2014,107.00,107.00,105.11,107.00,25400
