Symbol,Date,Open,High,Low,Close,Volume
ABOT,01-Jan-2014,397.00,400.00,394.51,396.93,3100
ABOT,02-Jan-2014,399.00,416.77,399.00,415.96,69300
ABOT,03-Jan-2014,418.00,425.00,409.00,409.71,11300
ABOT,06-Jan-2014,410.00,411.90,400.00,400.25,6200
ABOT,07-Jan-2014,409.00,409.90,397.00,399.62,13400
ABOT,08-Jan-2014,400.00,400.01,390.00,399.00,10600
ABOT,09-Jan-2014,397.05,402.00,391.00,392.17,12800
ABOT,10-Jan-2014,395.00,396.00,393.00,393.78,2900
ABOT,13-Jan-2014,395.00,399.95,394.00,394.99,4100
ABOT,15-Jan-2014,396.11,410.00,395.00,401.04,60200
ABOT,16-Jan-2014,398.50,399.99,398.00,399.99,2300
ABOT,17-Jan-2014,400.20,403.00,398.00,398.33,10800
ABOT,20-Jan-2014,396.00,403.00,396.00,398.26,28900
ABOT,21-Jan-2014,398.00,406.00,398.00,399.84,51000
ABOT,22-Jan-2014,400.00,402.00,392.00,392.28,23000
ABOT,23-Jan-2014,394.00,400.00,393.50,394.18,14800
ABOT,24-Jan-2014,394.00,394.00,388.00,390.43,14300
ABOT,27-Jan-2014,390.00,392.00,385.00,385.81,5200
ABOT,28-Jan-2014,380.01,400.00,380.01,399.96,85600
ABOT,29-Jan-2014,398.00,398.00,393.25,393.25,20300
ABOT,30-Jan-2014,394.90,395.00,385.01,387.74,14500
ABOT,31-Jan-2014,389.00,390.75,389.00,390.00,14300
ABOT,03-Feb-2014,390.01,409.50,390.01,404.45,788700
ABOT,04-Feb-2014,405.00,405.00,396.00,396.85,169500
ABOT,06-Feb-2014,399.90,400.50,391.00,391.73,86500
ABOT,07-Feb-2014,391.16,395.00,382.10,385.18,81100
ABOT,10-Feb-2014,385.00,385.00,373.01,375.66,80000
ABOT,11-Feb-2014,377.00,379.50,361.06,364.45,32500
ABOT,12-Feb-2014,370.00,382.67,370.00,381.73,47200
ABOT,13-Feb-2014,385.01,394.00,367.00,378.66,170200
ABOT,14-Feb-2014,375.70,382.00,372.10,376.53,19300
ABOT,17-Feb-2014,368.00,370.00,358.50,364.07,14400
ABOT,18-Feb-2014,366.00,374.00,355.01,370.87,35000
ABOT,19-Feb-2014,370.00,370.00,362.00,362.01,3600
ABOT,20-Feb-2014,360.00,364.00,355.00,359.78,15800
ABOT,21-Feb-2014,368.00,368.00,355.00,360.00,1600
ABOT,24-Feb-2014,365.00,375.00,359.00,373.40,34900
ABOT,25-Feb-2014,373.00,373.00,363.00,364.00,11700
ABOT,26-Feb-2014,360.00,365.00,360.00,361.43,107000
ABOT,27-Feb-2014,364.00,366.00,360.00,360.60,19500
ABOT,28-Feb-2014,360.05,365.50,360.05,365.33,7500
ABOT,03-Mar-2014,366.00,366.00,360.00,360.10,11600
ABOT,04-Mar-2014,360.00,362.00,359.50,361.54,8200
ABOT,05-Mar-2014,365.00,365.00,356.00,360.17,6100
ABOT,06-Mar-2014,360.00,376.00,358.01,374.96,107100
ABOT,07-Mar-2014,375.00,382.00,374.00,378.61,68500
ABOT,10-Mar-2014,377.00,393.00,373.00,390.64,176500
ABOT,11-Mar-2014,393.00,401.00,390.00,394.46,107500
ABOT,12-Mar-2014,395.00,414.18,395.00,409.85,452800
ABOT,13-Mar-2014,410.00,425.00,410.00,414.68,95100
ABOT,14-Mar-2014,413.00,422.00,407.05,420.39,270600
ABOT,17-Mar-2014,422.00,422.97,412.50,415.14,33800
ABOT,18-Mar-2014,417.98,419.00,412.05,412.76,12600
ABOT,19-Mar-2014,411.10,422.00,411.10,419.20,68800
ABOT,20-Mar-2014,423.99,436.00,417.00,426.74,73600
ABOT,21-Mar-2014,423.00,427.78,418.00,418.88,12500
ABOT,24-Mar-2014,413.00,417.00,410.10,410.40,8400
ABOT,25-Mar-2014,418.00,418.00,412.00,413.67,7300
ABOT,26-Mar-2014,414.00,414.50,408.05,410.53,20600
ABOT,27-Mar-2014,414.85,414.90,411.00,412.00,12400
ABOT,28-Mar-2014,408.00,420.00,407.00,417.28,66500
ABOT,31-Mar-2014,422.75,432.00,417.00,419.07,350400
ABOT,01-Apr-2014,420.10,429.00,417.00,420.94,161400
ABOT,02-Apr-2014,416.50,424.00,416.10,422.23,38600
ABOT,03-Apr-2014,420.50,429.00,420.50,423.23,96400
ABOT,04-Apr-2014,423.95,444.39,423.00,444.32,202500
ABOT,07-Apr-2014,444.99,463.45,444.99,452.69,125900
ABOT,08-Apr-2014,452.75,467.75,448.10,459.84,130200
ABOT,09-Apr-2014,463.70,482.83,456.00,476.98,136100
ABOT,10-Apr-2014,479.00,499.90,478.00,496.31,187900
ABOT,11-Apr-2014,506.99,506.99,475.00,486.43,104600
ABOT,14-Apr-2014,486.00,497.00,486.00,489.34,52300
ABOT,15-Apr-2014,488.00,492.00,477.50,483.95,32200
ABOT,16-Apr-2014,489.99,497.00,481.50,488.63,43100
ABOT,17-Apr-2014,470.00,492.00,470.00,474.44,110600
ABOT,18-Apr-2014,474.99,484.00,473.00,474.29,20400
ABOT,21-Apr-2014,475.00,489.00,470.05,483.65,33200
ABOT,22-Apr-2014,487.90,507.83,487.00,507.83,115200
ABOT,23-Apr-2014,518.00,533.22,518.00,524.83,134100
ABOT,24-Apr-2014,531.99,549.00,530.00,532.28,138500
ABOT,25-Apr-2014,534.99,543.00,515.00,529.95,74200
ABOT,28-Apr-2014,524.00,524.00,512.00,517.25,15200
ABOT,29-Apr-2014,508.00,509.00,491.39,499.46,160500
ABOT,30-Apr-2014,505.00,520.00,504.99,516.59,27700
ABOT,02-May-2014,520.00,522.00,510.00,516.37,26300
ABOT,05-May-2014,510.00,516.00,490.56,490.68,34700
ABOT,06-May-2014,485.00,490.68,470.25,471.14,25900
ABOT,07-May-2014,475.00,475.00,460.00,468.27,8900
ABOT,08-May-2014,463.00,483.70,463.00,476.66,20000
ABOT,09-May-2014,483.00,493.40,475.30,482.31,23200
ABOT,12-May-2014,481.00,483.99,470.00,472.68,19100
ABOT,13-May-2014,472.68,487.00,472.68,483.62,34700
ABOT,14-May-2014,489.00,507.80,489.00,507.80,66700
ABOT,15-May-2014,511.00,533.19,511.00,533.19,152900
ABOT,16-May-2014,550.00,554.84,531.06,538.59,76800
ABOT,19-May-2014,546.00,550.60,541.00,547.93,58000
ABOT,20-May-2014,554.00,565.00,549.00,551.00,57100
ABOT,21-May-2014,551.00,552.95,535.00,542.59,67700
ABOT,22-May-2014,540.00,542.50,515.50,521.10,62700
ABOT,23-May-2014,524.59,532.90,515.10,520.03,38400
ABOT,26-May-2014,516.50,546.03,516.50,546.03,52200
ABOT,27-May-2014,558.00,558.00,533.50,535.87,19300
ABOT,28-May-2014,535.05,557.00,535.05,552.66,72000
ABOT,29-May-2014,556.00,567.00,549.00,560.37,81900
ABOT,30-May-2014,564.00,588.38,564.00,588.38,132500
ABOT,02-Jun-2014,587.90,607.00,586.50,589.37,54300
ABOT,03-Jun-2014,589.37,600.00,559.91,579.02,96600
ABOT,04-Jun-2014,582.00,599.55,553.00,589.73,275200
ABOT,05-Jun-2014,589.90,599.00,580.00,582.35,45100
ABOT,06-Jun-2014,588.00,597.00,580.00,582.94,24000
ABOT,09-Jun-2014,582.00,587.80,577.00,579.29,14700
ABOT,10-Jun-2014,579.00,585.00,572.01,574.98,10700
ABOT,11-Jun-2014,581.95,589.00,575.00,580.79,44400
ABOT,12-Jun-2014,580.00,586.00,575.60,577.25,16200
ABOT,13-Jun-2014,579.99,579.99,570.00,571.59,4500
ABOT,16-Jun-2014,575.00,600.16,570.00,589.15,164600
ABOT,17-Jun-2014,595.00,599.00,580.00,580.21,19900
ABOT,18-Jun-2014,568.00,579.00,568.00,574.16,11700
ABOT,19-Jun-2014,579.98,579.99,550.00,566.91,39700
ABOT,20-Jun-2014,568.00,590.00,568.00,581.12,22400
ABOT,23-Jun-2014,575.00,589.00,575.00,580.79,22200
ABOT,24-Jun-2014,570.01,584.99,570.01,573.19,9300
ABOT,25-Jun-2014,577.00,577.00,565.05,569.42,6300
ABOT,26-Jun-2014,560.00,570.00,560.00,565.00,37000
ABOT,27-Jun-2014,565.00,575.00,550.00,572.10,40300
ABOT,30-Jun-2014,560.10,577.00,560.10,572.32,8800
ABOT,01-Jul-2014,573.00,575.00,566.25,569.94,8500
ABOT,02-Jul-2014,565.10,571.35,565.10,565.26,4100
ABOT,03-Jul-2014,560.00,570.00,560.00,566.55,3900
ABOT,04-Jul-2014,561.05,565.00,555.00,559.26,3000
ABOT,07-Jul-2014,555.00,563.99,555.00,561.24,300
ABOT,08-Jul-2014,560.00,560.00,555.00,556.75,750
ABOT,09-Jul-2014,550.00,555.99,550.00,555.99,350
ABOT,10-Jul-2014,555.00,570.00,551.82,560.00,53000
ABOT,11-Jul-2014,555.10,558.00,554.00,555.01,11400
ABOT,14-Jul-2014,558.01,568.99,558.01,562.00,4150
ABOT,15-Jul-2014,562.50,569.00,560.00,560.19,3650
ABOT,16-Jul-2014,556.01,568.44,555.00,567.83,23700
ABOT,17-Jul-2014,567.00,588.00,567.00,574.81,30000
ABOT,18-Jul-2014,576.00,578.00,560.00,565.76,9400
ABOT,21-Jul-2014,565.50,584.00,565.10,579.52,15700
ABOT,22-Jul-2014,577.00,578.95,570.01,573.47,7100
ABOT,23-Jul-2014,579.00,579.00,570.00,575.02,2800
ABOT,24-Jul-2014,575.00,596.00,575.00,592.67,71700
ABOT,28-Jul-2014,590.01,599.00,580.20,591.62,17950
ABOT,04-Aug-2014,572.00,575.00,568.00,573.00,10300
ABOT,05-Aug-2014,580.00,580.00,568.00,569.00,4000
ABOT,06-Aug-2014,568.05,568.05,560.00,560.55,7300
ABOT,07-Aug-2014,562.00,570.00,562.00,570.00,4100
ABOT,08-Aug-2014,565.00,565.00,562.00,562.00,400
ABOT,11-Aug-2014,536.00,570.00,533.90,533.90,46900
ABOT,12-Aug-2014,510.00,540.00,507.21,523.59,11850
ABOT,13-Aug-2014,528.00,539.00,504.00,517.67,18950
ABOT,15-Aug-2014,532.00,532.00,520.00,523.25,4950
ABOT,18-Aug-2014,516.50,528.00,516.50,518.00,8100
