Symbol,Date,Open,High,Low,Close,Volume
ADOS,01-Jan-2014,52.00,52.10,52.00,52.00,6000
ADOS,02-Jan-2014,53.99,53.99,49.50,51.90,14000
ADOS,03-Jan-2014,52.50,53.99,52.00,52.66,2000
ADOS,06-Jan-2014,52.66,54.00,52.66,54.00,2000
ADOS,07-Jan-2014,51.56,56.70,51.56,56.70,2500
ADOS,08-Jan-2014,58.89,58.90,58.75,58.90,2000
ADOS,09-Jan-2014,58.90,59.00,56.01,56.01,3500
ADOS,10-Jan-2014,57.99,57.99,57.99,57.99,1000
ADOS,13-Jan-2014,59.96,59.96,58.80,58.80,1000
ADOS,15-Jan-2014,59.40,59.40,59.40,59.40,500
ADOS,22-Jan-2014,59.00,59.00,56.43,56.43,8000
ADOS,23-Jan-2014,53.62,53.62,53.61,53.61,14000
ADOS,24-Jan-2014,53.00,53.00,50.93,50.96,8500
ADOS,27-Jan-2014,49.02,49.02,49.02,49.02,500
ADOS,28-Jan-2014,49.03,49.03,49.00,49.00,1500
ADOS,30-Jan-2014,50.00,50.00,48.50,49.90,5000
ADOS,03-Feb-2014,49.70,50.00,49.70,50.00,5000
ADOS,04-Feb-2014,48.00,48.00,47.50,47.50,3000
ADOS,06-Feb-2014,45.14,45.14,45.14,45.14,500
ADOS,10-Feb-2014,44.50,46.95,42.89,42.89,6500
ADOS,11-Feb-2014,43.50,43.50,43.50,43.50,500
ADOS,12-Feb-2014,42.02,45.00,42.02,45.00,1000
ADOS,13-Feb-2014,46.00,46.00,46.00,46.00,1000
ADOS,18-Feb-2014,47.49,47.49,47.49,47.49,500
ADOS,19-Feb-2014,49.34,49.34,48.00,48.00,1500
ADOS,21-Feb-2014,48.75,48.84,45.60,45.60,3000
ADOS,26-Feb-2014,47.30,47.39,43.32,43.32,3500
ADOS,27-Feb-2014,45.48,45.48,45.30,45.40,2000
ADOS,03-Mar-2014,43.13,43.13,43.13,43.13,1000
ADOS,06-Mar-2014,39.86,39.86,39.86,39.86,3000
ADOS,07-Mar-2014,37.87,37.87,37.87,37.87,1000
ADOS,10-Mar-2014,35.98,35.98,35.98,35.98,500
ADOS,11-Mar-2014,34.20,34.20,34.20,34.20,500
ADOS,12-Mar-2014,35.91,35.91,35.91,35.91,4000
ADOS,13-Mar-2014,37.70,37.70,37.69,37.70,4000
ADOS,14-Mar-2014,39.58,39.58,39.58,39.58,3500
ADOS,17-Mar-2014,41.55,41.55,41.55,41.55,7500
ADOS,18-Mar-2014,43.62,43.62,43.62,43.62,6000
ADOS,19-Mar-2014,45.80,45.80,45.80,45.80,20500
ADOS,20-Mar-2014,48.09,48.09,46.00,46.01,10000
ADOS,21-Mar-2014,45.50,47.00,45.50,46.85,4000
ADOS,24-Mar-2014,47.00,47.15,46.00,46.00,2500
ADOS,25-Mar-2014,45.00,47.44,45.00,47.44,1500
ADOS,26-Mar-2014,45.11,47.00,45.10,47.00,2500
ADOS,28-Mar-2014,45.21,45.21,44.65,44.75,3500
ADOS,31-Mar-2014,43.12,44.99,43.12,44.62,5000
ADOS,02-Apr-2014,43.05,45.99,43.05,45.99,4000
ADOS,03-Apr-2014,44.00,45.50,44.00,44.00,9000
ADOS,04-Apr-2014,42.00,43.99,41.80,43.95,9000
ADOS,07-Apr-2014,42.10,42.10,42.00,42.00,3500
ADOS,08-Apr-2014,42.00,42.00,42.00,42.00,1000
ADOS,09-Apr-2014,43.90,43.90,43.00,43.00,1500
ADOS,10-Apr-2014,41.00,41.02,41.00,41.00,8500
ADOS,11-Apr-2014,42.48,42.49,42.48,42.49,1000
ADOS,15-Apr-2014,42.00,42.00,40.50,41.25,1000
ADOS,16-Apr-2014,42.80,42.80,42.60,42.60,3500
ADOS,17-Apr-2014,40.51,40.52,40.47,40.47,5500
ADOS,18-Apr-2014,40.00,40.00,38.60,38.60,3500
ADOS,21-Apr-2014,37.11,37.15,37.00,37.02,6500
ADOS,22-Apr-2014,36.50,37.86,36.00,37.00,4000
ADOS,23-Apr-2014,36.50,37.89,36.00,37.89,5500
ADOS,24-Apr-2014,37.10,37.11,37.10,37.10,1000
ADOS,29-Apr-2014,37.00,37.39,35.25,37.37,5000
ADOS,30-Apr-2014,38.84,39.23,38.84,39.23,6000
ADOS,05-May-2014,43.24,43.24,43.24,43.24,1000
ADOS,06-May-2014,45.40,45.40,45.40,45.40,16500
ADOS,07-May-2014,47.67,47.67,47.40,47.67,27000
ADOS,08-May-2014,50.00,50.05,50.00,50.05,1000
ADOS,09-May-2014,52.55,52.55,52.55,52.55,6000
ADOS,12-May-2014,55.15,55.17,50.30,50.72,32000
ADOS,13-May-2014,49.05,49.10,48.19,48.19,10000
ADOS,14-May-2014,47.49,47.50,45.79,46.73,16000
ADOS,15-May-2014,45.20,48.50,45.20,47.25,7500
ADOS,16-May-2014,47.00,49.61,47.00,49.61,10500
ADOS,19-May-2014,51.00,52.09,51.00,52.09,12500
ADOS,20-May-2014,54.00,54.69,54.00,54.50,24500
ADOS,21-May-2014,56.45,56.49,52.00,52.34,23000
ADOS,22-May-2014,52.20,54.95,50.00,54.95,26000
ADOS,23-May-2014,56.89,57.69,56.89,57.62,33000
ADOS,26-May-2014,59.90,60.50,59.69,60.50,31500
ADOS,27-May-2014,62.50,63.52,62.50,63.52,16000
ADOS,28-May-2014,65.75,66.69,65.75,66.69,37500
ADOS,29-May-2014,70.02,70.02,70.02,70.02,37500
ADOS,30-May-2014,73.50,73.50,66.52,66.52,88500
ADOS,02-Jun-2014,63.52,63.52,63.20,63.20,6000
ADOS,03-Jun-2014,60.04,60.04,60.04,60.04,11500
ADOS,04-Jun-2014,58.00,63.04,58.00,63.04,50500
ADOS,05-Jun-2014,65.00,66.19,65.00,66.19,42500
ADOS,06-Jun-2014,68.98,69.00,65.10,65.60,17500
ADOS,09-Jun-2014,63.10,66.19,63.00,63.72,34500
ADOS,10-Jun-2014,64.85,64.85,63.00,64.00,4000
ADOS,11-Jun-2014,62.50,65.00,62.00,64.26,20000
ADOS,12-Jun-2014,63.50,64.88,63.50,63.76,12500
ADOS,13-Jun-2014,66.20,66.20,62.52,62.74,13500
ADOS,16-Jun-2014,62.00,62.00,59.61,59.77,18000
ADOS,17-Jun-2014,58.30,58.30,57.05,57.50,14500
ADOS,18-Jun-2014,55.10,60.00,55.10,58.00,2500
ADOS,19-Jun-2014,56.55,56.60,56.55,56.60,2000
ADOS,20-Jun-2014,53.81,55.99,53.77,54.51,15000
ADOS,23-Jun-2014,54.00,54.50,54.00,54.50,4500
ADOS,24-Jun-2014,56.50,56.83,56.00,56.00,2000
ADOS,25-Jun-2014,56.50,57.96,56.50,57.32,6500
ADOS,26-Jun-2014,59.89,59.89,58.00,59.75,9000
ADOS,27-Jun-2014,62.50,62.50,59.50,61.50,7500
ADOS,30-Jun-2014,62.00,62.25,60.00,62.25,3500
ADOS,02-Jul-2014,61.49,61.49,59.51,61.49,1000
ADOS,03-Jul-2014,63.00,63.00,58.42,59.39,5000
ADOS,04-Jul-2014,57.50,59.23,57.50,57.50,1500
ADOS,07-Jul-2014,59.47,59.47,59.47,59.47,1000
ADOS,08-Jul-2014,59.00,59.99,59.00,59.50,2000
ADOS,09-Jul-2014,57.10,58.20,56.53,57.07,23000
ADOS,10-Jul-2014,55.10,57.20,55.10,56.00,4000
ADOS,14-Jul-2014,56.45,57.46,56.25,56.25,1500
ADOS,15-Jul-2014,55.61,55.61,53.50,54.51,16000
ADOS,16-Jul-2014,54.00,55.89,53.00,53.27,8000
ADOS,17-Jul-2014,52.50,53.88,52.50,53.50,3000
ADOS,18-Jul-2014,54.25,56.17,53.99,56.17,13000
ADOS,21-Jul-2014,57.00,58.10,57.00,57.80,5500
ADOS,22-Jul-2014,59.00,59.00,57.00,57.00,3000
ADOS,23-Jul-2014,55.01,56.49,55.01,56.00,4500
ADOS,24-Jul-2014,55.01,55.01,53.20,53.73,10000
ADOS,28-Jul-2014,53.75,54.79,53.00,54.34,6000
ADOS,04-Aug-2014,51.63,53.50,51.63,51.63,6500
ADOS,05-Aug-2014,52.00,52.80,51.00,51.24,4000
ADOS,06-Aug-2014,49.80,49.80,49.80,49.80,1000
ADOS,07-Aug-2014,51.98,51.98,51.98,51.98,1000
ADOS,11-Aug-2014,49.39,50.00,49.39,49.39,3000
ADOS,12-Aug-2014,46.93,51.49,46.93,47.00,14500
ADOS,13-Aug-2014,49.35,49.35,49.00,49.35,5500
ADOS,15-Aug-2014,51.81,51.81,51.00,51.25,3500
ADOS,18-Aug-2014,51.50,51.50,48.69,48.90,26500
ADOS,19-Aug-2014,46.46,47.99,46.46,47.99,4000
ADOS,20-Aug-2014,48.50,48.50,47.55,47.55,4500
ADOS,21-Aug-2014,49.90,49.90,47.50,49.00,22000
ADOS,22-Aug-2014,49.00,49.00,47.02,47.02,8000
ADOS,25-Aug-2014,47.50,48.45,47.50,47.50,2500
ADOS,26-Aug-2014,46.50,46.50,46.05,46.10,5000
ADOS,28-Aug-2014,45.00,45.65,45.00,45.65,1500
ADOS,29-Aug-2014,47.92,47.92,47.00,47.00,2500
ADOS,01-Sep-2014,46.50,46.50,46.23,46.46,8500
ADOS,02-Sep-2014,46.90,48.49,46.90,48.49,24000
ADOS,03-Sep-2014,48.90,50.00,48.90,50.00,14500
ADOS,04-Sep-2014,50.50,50.50,50.50,50.50,1000
ADOS,05-Sep-2014,48.10,48.10,48.10,48.10,500
ADOS,08-Sep-2014,48.50,48.50,48.00,48.00,2000
ADOS,09-Sep-2014,48.00,48.20,47.71,47.84,5000
ADOS,10-Sep-2014,46.50,47.25,46.01,47.25,10000
