Symbol,Date,Open,High,Low,Close,Volume
AGIC,01-Jan-2014,19.60,20.50,19.50,20.29,75000
AGIC,02-Jan-2014,20.55,20.60,20.55,20.59,3000
AGIC,06-Jan-2014,19.90,19.90,19.75,19.78,2500
AGIC,08-Jan-2014,20.29,20.29,19.51,20.00,7000
AGIC,09-Jan-2014,19.65,19.65,19.14,19.14,22000
AGIC,10-Jan-2014,19.10,19.10,19.10,19.10,1000
AGIC,13-Jan-2014,19.25,19.89,19.01,19.80,14000
AGIC,15-Jan-2014,19.99,20.00,19.35,19.75,6000
AGIC,16-Jan-2014,19.50,19.50,19.50,19.50,5000
AGIC,17-Jan-2014,19.01,19.99,19.00,19.00,198000
AGIC,20-Jan-2014,19.90,19.90,19.00,19.00,29000
AGIC,21-Jan-2014,19.00,19.27,19.00,19.21,172500
AGIC,22-Jan-2014,19.21,19.95,19.21,19.90,73000
AGIC,23-Jan-2014,20.49,20.49,19.85,19.98,128500
AGIC,24-Jan-2014,20.39,20.85,20.12,20.66,164000
AGIC,27-Jan-2014,21.65,21.69,21.45,21.69,451500
AGIC,28-Jan-2014,22.76,22.77,22.48,22.77,499500
AGIC,29-Jan-2014,23.89,23.90,23.26,23.90,584000
AGIC,30-Jan-2014,24.49,25.09,23.75,24.65,1231500
AGIC,31-Jan-2014,24.51,25.00,23.57,23.94,231000
AGIC,03-Feb-2014,24.50,24.65,23.00,23.92,330500
AGIC,04-Feb-2014,23.35,24.19,23.35,23.99,89500
AGIC,06-Feb-2014,24.20,24.45,23.82,23.89,71000
AGIC,07-Feb-2014,23.40,23.41,22.72,22.77,76000
AGIC,10-Feb-2014,22.80,23.00,22.00,22.19,99000
AGIC,11-Feb-2014,21.41,22.70,21.40,22.58,17000
AGIC,12-Feb-2014,22.89,23.50,22.89,23.11,206000
AGIC,13-Feb-2014,23.55,23.55,22.72,22.74,14000
AGIC,14-Feb-2014,22.50,22.70,22.50,22.67,21500
AGIC,17-Feb-2014,22.50,22.50,21.54,21.55,166500
AGIC,18-Feb-2014,21.02,21.95,20.50,21.68,16000
AGIC,19-Feb-2014,20.80,21.75,20.80,21.50,56000
AGIC,20-Feb-2014,20.82,21.45,20.80,21.09,20000
AGIC,21-Feb-2014,21.49,21.50,20.70,21.00,23500
AGIC,24-Feb-2014,21.03,21.80,21.03,21.30,18000
AGIC,25-Feb-2014,21.70,21.70,21.00,21.01,17500
AGIC,26-Feb-2014,21.01,22.06,21.01,21.94,33500
AGIC,27-Feb-2014,21.50,21.85,21.50,21.85,11000
AGIC,28-Feb-2014,21.55,22.40,21.55,21.94,35000
