Symbol,Date,Open,High,Low,Close,Volume
AGLNCPS,01-Jan-2015,5.02,6.02,5.02,6.02,2000
AGLNCPS,02-Jan-2015,7.02,7.02,7.02,7.02,2000
AGLNCPS,06-Jan-2015,8.02,8.02,8.02,8.02,2500
AGLNCPS,08-Jan-2015,7.02,7.02,7.02,7.02,500
AGLNCPS,12-Jan-2015,6.02,6.02,6.02,6.02,1000
AGLNCPS,19-Jan-2015,5.04,5.04,5.04,5.04,1000
AGLNCPS,29-Jan-2015,5.00,5.00,5.00,5.00,500
AGLNCPS,12-Feb-2015,4.00,4.00,4.00,4.00,1000
AGLNCPS,12-May-2015,3.00,3.00,3.00,3.00,500
AGLNCPS,27-Jul-2015,3.00,3.00,3.00,3.00,1000
AGLNCPS,21-Jan-2016,2.00,2.00,2.00,2.00,500
AGLNCPS,29-Apr-2024,6.59,6.59,6.59,6.59,5000
AGLNCPS,30-Apr-2024,7.59,7.59,7.59,7.59,500
AGLNCPS,02-May-2024,8.59,8.59,8.59,8.59,500
AGLNCPS,03-May-2024,9.59,9.59,9.59,9.59,1000
AGLNCPS,06-May-2024,10.59,10.59,10.59,10.59,500
AGLNCPS,07-May-2024,11.59,11.59,11.59,11.59,500
AGLNCPS,08-May-2024,12.59,12.59,12.59,12.59,2000
AGLNCPS,09-May-2024,13.59,13.59,13.59,13.59,3000
AGLNCPS,10-May-2024,14.61,14.61,14.61,14.61,500
AGLNCPS,13-May-2024,15.71,15.71,15.71,15.71,500
AGLNCPS,16-May-2024,19.31,19.31,19.31,19.31,500
AGLNCPS,17-May-2024,17.86,17.86,17.86,17.86,500
AGLNCPS,31-May-2024,19.29,19.29,19.29,17.86,2
AGLNCPS,03-Jun-2024,16.43,16.43,16.43,17.86,457
AGLNCPS,04-Jun-2024,16.43,16.43,16.43,17.86,1
AGLNCPS,05-Jun-2024,19.29,19.29,19.29,17.86,10
AGLNCPS,06-Jun-2024,19.29,19.29,16.43,17.86,2
AGLNCPS,20-Jun-2024,19.00,19.00,19.00,17.86,1
AGLNCPS,28-Jun-2024,17.68,17.68,17.68,17.86,29
AGLNCPS,01-Jul-2024,19.47,19.47,19.47,17.86,5
AGLNCPS,03-Jul-2024,19.47,19.47,19.47,17.86,7
AGLNCPS,04-Jul-2024,18.86,19.47,18.86,17.86,126
AGLNCPS,05-Jul-2024,19.47,19.47,19.47,17.86,2
AGLNCPS,08-Jul-2024,19.47,19.47,19.47,17.86,2
AGLNCPS,09-Jul-2024,19.56,19.56,19.55,17.86,3
AGLNCPS,19-Jul-2024,21.00,21.00,21.00,19.52,2
AGLNCPS,23-Jul-2024,17.60,17.60,17.60,19.52,1
AGLNCPS,27-Aug-2024,19.40,21.43,19.40,19.44,510
AGLNCPS,18-Sep-2024,21.36,21.36,21.36,19.44,1
AGLNCPS,30-Sep-2024,19.00,19.00,19.00,19.00,500
AGLNCPS,01-Oct-2024,19.00,19.00,19.00,19.00,120
AGLNCPS,02-Oct-2024,20.90,20.90,20.90,19.00,10
AGLNCPS,03-Oct-2024,20.00,20.00,20.00,20.00,9
AGLNCPS,14-Oct-2024,21.99,21.99,21.99,20.00,1
AGLNCPS,15-Oct-2024,21.99,21.99,21.99,22.00,1
AGLNCPS,25-Oct-2024,24.17,24.17,24.17,22.00,1
