Symbol,Date,Open,High,Low,Close,Volume
AGSML,13-Jan-2014,8.15,8.30,8.15,8.30,3500
AGSML,15-Jan-2014,9.30,9.30,9.29,9.29,8000
AGSML,16-Jan-2014,8.50,8.50,8.29,8.29,3000
AGSML,20-Jan-2014,8.00,8.00,7.42,7.42,2000
AGSML,21-Jan-2014,8.30,8.42,8.30,8.34,2500
AGSML,24-Jan-2014,9.00,9.25,8.85,8.85,3000
AGSML,27-Jan-2014,8.51,8.51,8.50,8.51,2000
AGSML,28-Jan-2014,8.00,8.00,8.00,8.00,2500
AGSML,30-Jan-2014,7.55,7.65,7.55,7.65,1500
AGSML,31-Jan-2014,7.60,8.40,7.60,8.40,8500
AGSML,04-Feb-2014,7.75,9.40,7.75,9.40,3500
AGSML,10-Feb-2014,8.40,8.40,8.40,8.40,500
AGSML,13-Feb-2014,7.51,7.51,7.40,7.50,2500
AGSML,17-Feb-2014,7.25,7.25,7.25,7.25,500
AGSML,24-Feb-2014,6.66,6.66,6.66,6.66,500
AGSML,27-Feb-2014,6.87,6.87,6.50,6.50,1000
AGSML,05-Mar-2014,6.88,6.89,6.00,6.00,1500
AGSML,11-Mar-2014,5.80,5.80,5.80,5.80,500
AGSML,12-Mar-2014,5.16,5.16,5.15,5.15,1500
AGSML,14-Mar-2014,6.00,6.00,6.00,6.00,1000
AGSML,25-Mar-2014,6.40,6.40,6.40,6.40,500
AGSML,27-Mar-2014,6.50,6.50,6.50,6.50,500
AGSML,04-Apr-2014,6.00,6.00,6.00,6.00,500
AGSML,23-Apr-2014,6.66,6.66,6.66,6.66,500
AGSML,24-Apr-2014,7.50,7.50,7.50,7.50,500
AGSML,25-Apr-2014,8.50,8.50,8.50,8.50,500
AGSML,30-Apr-2014,9.50,9.50,9.50,9.50,500
AGSML,08-May-2014,9.18,9.18,9.18,9.18,500
AGSML,19-May-2014,9.29,9.29,9.29,9.29,500
AGSML,26-May-2014,7.64,7.64,7.64,7.64,500
AGSML,29-May-2014,6.65,6.65,6.65,6.65,500
AGSML,02-Jun-2014,5.71,5.71,5.71,5.71,500
AGSML,03-Jun-2014,6.10,6.40,6.10,6.39,5500
AGSML,12-Jun-2014,6.15,6.15,6.15,6.15,500
AGSML,16-Jun-2014,5.34,5.34,5.34,5.34,500
AGSML,17-Jun-2014,6.15,6.33,6.15,6.33,1000
AGSML,18-Jun-2014,5.80,6.25,5.80,6.25,1000
AGSML,19-Jun-2014,5.75,5.95,5.75,5.95,1000
AGSML,23-Jun-2014,5.51,5.51,5.51,5.51,1000
AGSML,24-Jun-2014,5.93,5.93,5.93,5.93,500
AGSML,27-Jun-2014,5.71,5.71,5.52,5.52,2000
