Symbol,Date,Open,High,Low,Close,Volume
AHCL,01-Jan-2014,22.10,22.55,22.10,22.46,175000
AHCL,02-Jan-2014,22.50,23.58,22.50,23.58,4480000
AHCL,03-Jan-2014,23.50,24.20,23.35,23.37,900000
AHCL,06-Jan-2014,23.74,23.75,23.10,23.16,382000
AHCL,07-Jan-2014,23.15,23.25,22.95,23.06,526000
AHCL,08-Jan-2014,23.10,23.45,23.00,23.10,429500
AHCL,09-Jan-2014,23.15,23.30,22.96,22.96,227500
AHCL,10-Jan-2014,22.95,23.20,22.75,23.09,71500
AHCL,13-Jan-2014,23.00,23.69,22.90,23.53,595000
AHCL,15-Jan-2014,23.60,23.70,23.50,23.52,462500
AHCL,16-Jan-2014,23.50,23.89,23.20,23.25,138500
AHCL,17-Jan-2014,23.35,23.50,23.10,23.24,248500
AHCL,20-Jan-2014,23.30,23.48,23.10,23.31,79000
AHCL,21-Jan-2014,23.20,23.38,23.16,23.16,129500
AHCL,22-Jan-2014,23.01,23.69,23.00,23.51,695000
AHCL,23-Jan-2014,23.65,24.40,23.60,23.98,3360500
AHCL,24-Jan-2014,24.01,24.19,23.50,23.59,145000
AHCL,27-Jan-2014,23.65,23.65,23.20,23.42,247500
AHCL,28-Jan-2014,23.49,23.80,23.45,23.52,94000
AHCL,29-Jan-2014,23.38,23.70,23.13,23.32,1231000
AHCL,30-Jan-2014,23.21,23.30,23.00,23.06,193500
AHCL,31-Jan-2014,23.02,23.49,23.00,23.37,263000
AHCL,03-Feb-2014,23.21,23.94,23.06,23.83,557500
AHCL,04-Feb-2014,23.75,23.75,23.41,23.70,160000
AHCL,06-Feb-2014,23.56,23.86,23.50,23.71,124000
AHCL,07-Feb-2014,23.56,23.69,23.35,23.37,29500
AHCL,10-Feb-2014,23.11,23.25,22.60,22.93,491000
AHCL,11-Feb-2014,23.01,23.01,22.70,22.98,63000
AHCL,12-Feb-2014,22.71,23.17,22.70,23.15,135500
AHCL,13-Feb-2014,23.25,24.30,23.25,24.30,2546000
AHCL,14-Feb-2014,24.75,25.19,24.30,24.39,2043500
AHCL,17-Feb-2014,24.40,24.60,23.75,23.87,402000
AHCL,18-Feb-2014,24.00,24.00,23.55,23.91,367500
AHCL,19-Feb-2014,24.25,24.50,23.85,23.87,301000
AHCL,20-Feb-2014,24.00,24.00,23.45,23.50,251500
AHCL,21-Feb-2014,23.74,23.74,23.25,23.26,207500
AHCL,24-Feb-2014,23.25,23.66,23.25,23.43,178000
AHCL,25-Feb-2014,23.36,23.50,23.36,23.42,64500
AHCL,26-Feb-2014,23.25,23.40,23.25,23.35,244500
AHCL,27-Feb-2014,23.35,23.45,23.15,23.38,138500
AHCL,28-Feb-2014,23.16,23.49,23.16,23.32,167500
