Symbol,Date,Open,High,Low,Close,Volume
AHL,01-Jan-2014,32.02,33.60,32.02,33.46,272500
AHL,02-Jan-2014,33.50,35.13,33.50,35.13,383500
AHL,03-Jan-2014,35.88,36.88,34.00,34.43,727000
AHL,06-Jan-2014,34.50,34.65,33.92,34.50,272500
AHL,07-Jan-2014,34.55,34.65,34.50,34.50,116000
AHL,08-Jan-2014,34.50,35.25,34.50,34.54,82500
AHL,09-Jan-2014,34.50,34.80,33.05,33.35,132000
AHL,10-Jan-2014,33.30,34.30,33.30,34.12,92500
AHL,13-Jan-2014,34.39,34.99,34.39,34.60,121500
AHL,15-Jan-2014,34.50,35.50,34.50,35.15,246500
AHL,16-Jan-2014,35.55,35.90,34.32,34.85,67500
AHL,17-Jan-2014,35.25,35.75,34.85,35.07,109000
AHL,20-Jan-2014,35.30,35.50,34.70,35.31,72500
AHL,21-Jan-2014,35.00,35.74,35.00,35.17,139000
AHL,22-Jan-2014,35.39,35.40,34.76,35.14,86000
AHL,23-Jan-2014,35.10,36.85,35.10,36.25,335500
AHL,24-Jan-2014,36.25,36.25,34.50,34.73,175500
AHL,27-Jan-2014,34.60,34.89,34.20,34.27,94500
AHL,28-Jan-2014,34.31,35.00,34.30,34.46,114000
AHL,29-Jan-2014,34.17,34.39,33.85,33.95,82500
AHL,30-Jan-2014,33.70,33.99,33.25,33.33,62000
AHL,31-Jan-2014,33.65,34.99,33.30,34.01,217000
AHL,03-Feb-2014,34.01,35.45,34.01,35.04,323500
AHL,04-Feb-2014,35.00,35.96,34.60,34.75,177000
AHL,06-Feb-2014,35.29,35.40,34.75,34.81,77000
AHL,07-Feb-2014,34.80,34.99,34.36,34.46,33000
AHL,10-Feb-2014,34.94,34.94,33.50,34.15,43500
AHL,11-Feb-2014,34.50,34.50,33.50,34.03,59500
AHL,12-Feb-2014,34.80,34.80,34.22,34.30,18500
AHL,13-Feb-2014,34.35,36.01,34.35,36.01,486000
AHL,14-Feb-2014,36.87,37.81,35.45,35.74,555000
AHL,17-Feb-2014,35.80,36.15,34.85,35.02,104000
AHL,18-Feb-2014,34.70,35.49,34.60,35.08,80500
AHL,19-Feb-2014,35.45,35.45,34.90,34.98,92500
AHL,20-Feb-2014,35.00,35.49,34.61,35.19,56000
AHL,21-Feb-2014,35.69,35.70,34.70,35.30,73000
AHL,24-Feb-2014,35.36,37.06,35.35,36.20,147500
AHL,25-Feb-2014,36.49,36.89,35.70,36.47,87500
AHL,26-Feb-2014,36.20,36.69,35.55,36.31,36500
AHL,27-Feb-2014,36.00,36.00,35.50,35.82,7000
AHL,28-Feb-2014,35.99,36.00,35.25,35.64,24000
AHL,03-Mar-2014,35.97,35.97,34.50,34.86,80000
AHL,04-Mar-2014,34.40,34.90,34.40,34.72,44000
AHL,05-Mar-2014,34.94,36.45,34.94,36.00,371500
AHL,06-Mar-2014,36.40,37.45,36.00,37.25,339000
AHL,07-Mar-2014,37.36,38.60,36.70,38.22,225000
AHL,10-Mar-2014,38.20,40.13,38.20,40.05,253000
AHL,11-Mar-2014,40.30,40.75,39.51,40.01,148500
AHL,12-Mar-2014,39.81,39.89,39.10,39.30,54000
AHL,13-Mar-2014,39.48,39.50,38.75,38.96,14000
AHL,14-Mar-2014,38.70,39.15,38.05,39.00,79000
AHL,17-Mar-2014,39.25,40.95,39.25,40.95,1286500
AHL,18-Mar-2014,41.74,42.99,41.25,42.99,345000
AHL,19-Mar-2014,43.20,44.00,42.05,43.02,253500
AHL,20-Mar-2014,43.65,43.65,41.50,41.75,1087500
AHL,21-Mar-2014,41.85,43.83,41.85,43.83,241500
AHL,24-Mar-2014,45.00,45.00,43.50,43.67,113000
AHL,25-Mar-2014,44.00,44.84,44.00,44.31,139500
AHL,26-Mar-2014,43.60,46.52,43.60,46.52,424000
AHL,27-Mar-2014,46.90,47.80,44.20,44.23,228500
AHL,28-Mar-2014,44.50,44.50,42.52,42.65,59500
AHL,31-Mar-2014,42.65,44.50,42.65,44.43,107500
AHL,01-Apr-2014,44.70,46.65,43.55,46.65,263000
AHL,02-Apr-2014,46.40,47.50,45.55,46.70,112500
AHL,03-Apr-2014,46.90,49.03,46.60,49.03,368000
AHL,04-Apr-2014,50.10,51.35,48.70,50.50,235500
AHL,07-Apr-2014,50.50,50.89,49.01,49.26,37500
AHL,08-Apr-2014,49.50,49.95,48.05,48.65,525000
AHL,09-Apr-2014,48.99,50.97,48.01,50.50,179500
AHL,10-Apr-2014,50.53,51.40,49.00,49.29,156500
AHL,11-Apr-2014,49.70,50.89,48.10,49.16,64500
AHL,14-Apr-2014,49.30,49.70,47.76,47.98,76500
AHL,15-Apr-2014,48.00,49.20,47.54,47.81,127500
AHL,16-Apr-2014,48.25,50.20,48.25,50.20,125000
AHL,17-Apr-2014,51.50,52.71,50.00,50.66,467000
AHL,18-Apr-2014,51.35,51.35,48.82,49.14,118000
AHL,21-Apr-2014,49.15,50.38,48.00,49.69,1304500
AHL,22-Apr-2014,50.34,51.60,50.16,51.09,176500
AHL,23-Apr-2014,51.88,53.64,51.88,53.59,554000
AHL,24-Apr-2014,54.99,56.26,53.05,56.06,636000
AHL,25-Apr-2014,56.75,58.86,56.75,58.86,229500
AHL,28-Apr-2014,61.50,61.80,60.31,61.80,226000
AHL,29-Apr-2014,62.97,64.89,61.11,64.77,346500
AHL,30-Apr-2014,66.20,68.00,64.00,65.05,360000
AHL,02-May-2014,64.90,64.90,61.80,61.80,242000
AHL,05-May-2014,60.25,62.00,58.71,59.06,183500
AHL,06-May-2014,58.60,59.85,58.00,58.75,136500
AHL,07-May-2014,58.80,59.89,58.01,58.96,71500
AHL,08-May-2014,59.24,61.90,58.50,61.13,149500
AHL,09-May-2014,62.40,64.18,62.40,64.18,287000
AHL,12-May-2014,64.20,65.80,60.98,62.98,257500
AHL,13-May-2014,63.70,63.88,60.51,61.50,98500
AHL,14-May-2014,62.48,62.75,61.31,61.60,50500
AHL,15-May-2014,61.50,63.60,61.49,62.11,128500
AHL,16-May-2014,62.98,63.94,61.65,62.54,51000
AHL,19-May-2014,62.01,63.30,62.00,62.78,23500
AHL,20-May-2014,63.00,63.00,61.50,62.16,31000
AHL,21-May-2014,62.25,65.26,61.00,64.28,269500
AHL,22-May-2014,64.60,66.90,63.30,63.92,214500
AHL,23-May-2014,64.50,64.50,63.45,63.63,32000
AHL,26-May-2014,63.60,64.15,63.05,63.36,19000
AHL,27-May-2014,63.50,64.15,63.50,63.64,26000
AHL,28-May-2014,63.70,65.00,63.10,63.76,114500
AHL,29-May-2014,63.61,66.93,63.61,65.34,304000
AHL,30-May-2014,65.00,65.50,63.75,63.89,107500
AHL,02-Jun-2014,63.40,63.75,62.70,62.99,73500
AHL,03-Jun-2014,63.50,63.75,60.01,61.64,86000
AHL,04-Jun-2014,62.00,62.50,61.72,62.10,28500
AHL,05-Jun-2014,62.50,62.99,61.50,61.55,34000
AHL,06-Jun-2014,61.10,62.45,61.10,61.97,69000
AHL,09-Jun-2014,62.55,62.55,61.00,61.18,27000
