Symbol,Date,Open,High,Low,Close,Volume
AHTM,05-Jan-2015,26.00,26.00,26.00,26.00,500
AHTM,07-Jan-2015,27.20,27.20,27.20,27.20,500
AHTM,08-Jan-2015,27.20,27.20,27.20,27.20,500
AHTM,14-Jan-2015,28.56,28.56,28.56,28.56,1000
AHTM,30-Jan-2015,28.00,28.00,28.00,28.00,3500
AHTM,23-Feb-2015,29.40,29.40,29.40,29.40,1000
AHTM,24-Feb-2015,30.75,30.87,30.75,30.81,1500
AHTM,12-Mar-2015,31.00,31.00,31.00,31.00,3500
AHTM,05-Jun-2015,28.06,28.06,28.06,28.06,1000
AHTM,08-Jun-2015,26.66,26.66,26.66,26.66,1000
AHTM,09-Jun-2015,25.33,25.33,25.33,25.33,500
AHTM,11-Jun-2015,24.07,24.07,24.07,24.07,1000
AHTM,01-Jul-2015,24.00,24.00,24.00,24.00,500
AHTM,15-Jul-2015,26.25,26.25,26.25,26.25,500
AHTM,16-Jul-2015,27.56,27.56,27.56,27.56,500
AHTM,23-Jul-2015,28.93,28.93,28.93,28.93,500
AHTM,27-Jul-2015,30.37,30.37,30.37,30.37,500
AHTM,30-Jul-2015,31.87,31.87,28.86,28.86,4500
AHTM,06-Aug-2015,27.42,27.42,27.42,27.42,500
AHTM,11-Aug-2015,27.42,27.42,27.42,27.42,500
AHTM,11-Jul-2016,25.25,25.72,25.20,25.72,2500
AHTM,12-Aug-2016,24.44,24.44,24.44,24.44,500
AHTM,05-Oct-2016,24.00,24.00,24.00,24.00,500
AHTM,21-Oct-2016,22.81,22.81,22.81,22.81,1000
AHTM,16-Nov-2016,22.50,22.50,22.50,22.50,1000
AHTM,23-Nov-2016,22.00,22.00,22.00,22.00,1000
AHTM,28-Nov-2016,22.00,22.00,22.00,22.00,500
AHTM,06-Dec-2016,23.00,23.10,23.00,23.10,1000
AHTM,07-Dec-2016,21.95,24.25,21.95,24.25,1000
AHTM,15-Dec-2016,23.04,25.46,23.04,25.46,4000
AHTM,19-Dec-2016,26.73,26.73,26.73,26.73,1000
AHTM,29-Dec-2016,28.05,28.06,28.05,28.06,1000
AHTM,02-Jan-2017,26.66,26.66,26.66,26.66,500
AHTM,25-Jan-2017,25.30,25.30,25.30,25.30,500
AHTM,09-Feb-2017,23.89,23.89,23.89,23.89,500
AHTM,16-Feb-2017,25.20,25.20,25.20,25.20,1000
AHTM,17-Feb-2017,26.46,26.46,26.46,26.46,500
AHTM,20-Feb-2017,27.78,27.78,27.10,27.10,1000
AHTM,08-Mar-2017,28.45,28.45,28.45,28.45,500
AHTM,26-Apr-2017,25.91,26.00,25.91,26.00,1000
AHTM,04-May-2017,26.00,27.30,26.00,27.30,1000
AHTM,10-Jul-2017,24.65,24.65,24.65,24.65,500
AHTM,25-Sep-2017,25.70,25.70,25.70,25.70,500
AHTM,09-Oct-2017,28.32,28.32,28.32,28.32,500
AHTM,10-Oct-2017,29.73,29.73,29.73,29.73,500
AHTM,17-Oct-2017,27.55,27.55,27.55,27.55,500
AHTM,04-Dec-2017,27.00,27.00,27.00,27.00,1500
AHTM,08-Dec-2017,27.00,27.00,27.00,27.00,6000
AHTM,14-Dec-2017,28.35,28.35,28.35,28.35,10000
AHTM,15-Dec-2017,29.75,29.75,29.75,29.75,500
AHTM,18-Dec-2017,31.23,31.23,31.23,31.23,500
AHTM,16-Feb-2018,30.00,30.00,30.00,30.00,500
AHTM,20-Feb-2018,30.25,30.25,30.25,30.25,5500
AHTM,22-Feb-2018,30.00,30.00,30.00,30.00,1000
AHTM,01-Mar-2018,31.50,31.50,31.50,31.50,1000
AHTM,08-Mar-2018,33.07,33.07,33.07,33.07,500
AHTM,22-Mar-2018,34.70,34.70,34.70,34.70,500
AHTM,30-Apr-2018,38.16,38.16,38.16,38.16,500
AHTM,19-Jul-2018,40.00,40.06,40.00,40.03,1000
AHTM,08-Oct-2018,40.00,40.00,40.00,40.00,500
AHTM,08-Apr-2019,40.00,40.00,40.00,40.00,4000
AHTM,30-Oct-2019,39.58,39.58,39.58,39.58,500
AHTM,31-Oct-2019,41.55,41.55,41.55,41.55,500
AHTM,25-Nov-2019,42.50,43.00,42.50,43.00,1000
AHTM,01-Jan-2020,45.15,45.15,45.15,45.15,500
AHTM,16-Apr-2020,48.37,48.37,48.37,48.37,500
AHTM,20-May-2020,51.99,51.99,51.99,51.99,1000
AHTM,15-Jun-2020,48.10,48.10,48.10,48.10,1000
AHTM,17-Jun-2020,44.50,44.50,44.50,44.50,1500
AHTM,05-Aug-2020,45.50,45.50,45.50,45.50,500
AHTM,07-Aug-2020,48.90,48.90,48.90,48.90,500
AHTM,11-Aug-2020,48.00,48.00,48.00,48.00,500
AHTM,13-Aug-2020,45.46,45.46,45.46,45.46,500
AHTM,19-Aug-2020,48.86,48.86,48.86,48.86,500
AHTM,21-Aug-2020,48.00,48.00,48.00,48.00,500
AHTM,25-Aug-2020,49.00,49.00,49.00,49.00,500
AHTM,10-Sep-2020,46.47,46.47,46.47,46.47,1000
AHTM,28-Sep-2020,49.45,49.45,49.45,49.45,2000
AHTM,28-Dec-2020,45.54,45.54,45.54,45.54,500
AHTM,31-Dec-2020,48.92,48.94,48.92,48.94,2000
AHTM,21-Jan-2021,45.54,45.54,45.54,45.54,500
AHTM,10-Mar-2021,45.00,45.00,45.00,45.00,500
AHTM,24-Jun-2021,48.35,48.35,48.35,48.35,4000
AHTM,30-Jun-2021,48.35,48.35,48.35,48.35,7000
AHTM,02-Jul-2021,50.00,50.00,50.00,50.00,500
AHTM,05-Jul-2021,53.70,53.70,53.70,53.70,1000
AHTM,08-Jul-2021,56.10,56.10,56.10,56.10,500
AHTM,11-Aug-2021,59.01,59.01,59.01,59.01,500
AHTM,04-Nov-2021,61.27,61.27,61.27,61.27,1500
AHTM,12-Nov-2021,65.86,65.86,65.86,65.86,1500
AHTM,11-Jan-2022,67.72,67.72,67.72,67.72,500
AHTM,26-Jan-2022,62.00,62.00,62.00,62.00,500
AHTM,01-Feb-2022,57.19,57.19,57.19,57.19,500
AHTM,14-Mar-2022,53.00,53.00,53.00,53.00,500
AHTM,22-Apr-2022,49.05,49.05,49.05,49.05,500
AHTM,16-May-2022,45.38,45.38,45.38,45.38,500
AHTM,08-Jun-2022,49.01,49.01,49.01,49.01,3500
AHTM,01-Jul-2022,50.52,50.52,50.52,50.52,500
AHTM,18-Oct-2022,52.00,53.00,50.00,50.00,3000
AHTM,31-Oct-2022,44.17,47.75,44.17,44.17,500
AHTM,11-Nov-2022,47.00,47.00,47.00,47.00,500
AHTM,14-Nov-2022,47.00,47.00,47.00,47.00,1000
AHTM,15-Nov-2022,50.52,50.52,50.52,50.52,500
AHTM,27-Jan-2023,54.00,54.00,54.00,54.00,1500
AHTM,30-Jan-2023,57.90,57.90,57.90,57.90,3000
AHTM,02-Mar-2023,55.00,55.00,55.00,55.00,1000
AHTM,03-Mar-2023,55.00,55.00,55.00,55.00,1000
AHTM,15-Mar-2023,52.00,52.00,52.00,52.00,2000
AHTM,20-Mar-2023,49.00,49.00,49.00,49.00,1000
AHTM,17-Apr-2023,48.00,48.00,48.00,48.00,500
AHTM,06-Jun-2023,51.60,51.60,51.60,51.60,3000
AHTM,13-Jul-2023,51.50,51.50,51.50,51.50,3000
AHTM,31-Jul-2023,50.00,50.00,50.00,50.00,1000
AHTM,23-Oct-2023,45.56,45.56,45.56,45.56,500
AHTM,17-Nov-2023,42.14,42.14,42.14,42.14,1000
AHTM,27-Nov-2023,45.30,45.30,45.30,45.30,1000
AHTM,29-Nov-2023,45.00,45.00,45.00,45.00,500
AHTM,06-Dec-2023,48.38,48.38,48.38,48.38,500
AHTM,07-Dec-2023,49.99,49.99,49.99,49.99,500
AHTM,13-Dec-2023,53.74,53.74,53.74,53.74,500
AHTM,15-Dec-2023,57.77,57.77,57.77,57.77,500
AHTM,28-Feb-2024,62.10,62.10,62.10,62.10,500
AHTM,06-May-2024,62.90,62.90,62.90,62.90,500
AHTM,11-Jul-2024,68.00,68.88,56.92,62.90,141
AHTM,15-Jul-2024,62.90,62.90,62.90,62.90,3
AHTM,18-Jul-2024,56.92,56.92,56.92,62.90,1
AHTM,19-Jul-2024,56.92,56.92,56.92,56.92,10
AHTM,23-Jul-2024,55.00,55.00,55.00,55.00,1020
AHTM,25-Jul-2024,60.00,60.00,60.00,55.00,1
AHTM,02-Aug-2024,55.00,55.00,55.00,55.00,10
AHTM,12-Aug-2024,50.51,50.51,50.51,55.00,4
AHTM,20-Aug-2024,49.50,50.00,49.50,55.00,2
AHTM,03-Sep-2024,53.12,53.12,53.12,55.00,1
AHTM,05-Sep-2024,52.00,52.00,52.00,55.00,19
AHTM,06-Sep-2024,52.00,52.00,52.00,55.00,285
AHTM,18-Sep-2024,60.00,60.00,60.00,55.00,60
AHTM,26-Sep-2024,49.50,49.50,49.50,55.00,1
AHTM,03-Oct-2024,49.50,60.42,49.50,55.00,90
AHTM,09-Oct-2024,60.00,60.00,60.00,55.00,5
AHTM,18-Oct-2024,60.50,60.50,60.50,55.00,1
AHTM,23-Oct-2024,55.00,55.00,55.00,55.00,10
