Symbol,Date,Open,High,Low,Close,Volume
AKDCL,03-Jan-2014,64.62,64.62,64.61,64.61,1500
AKDCL,06-Jan-2014,65.00,65.00,65.00,65.00,500
AKDCL,13-Jan-2014,66.50,66.50,66.50,66.50,500
AKDCL,15-Jan-2014,68.00,68.00,66.50,66.50,1000
AKDCL,20-Jan-2014,65.25,65.25,65.25,65.25,500
AKDCL,21-Jan-2014,65.00,67.98,65.00,66.00,2500
AKDCL,22-Jan-2014,68.00,69.30,68.00,69.30,1500
AKDCL,23-Jan-2014,69.50,72.76,69.50,72.76,14500
AKDCL,24-Jan-2014,76.39,76.39,76.25,76.38,10500
AKDCL,27-Jan-2014,80.19,80.19,75.00,76.00,2000
AKDCL,29-Jan-2014,73.90,73.90,73.00,73.00,1000
AKDCL,31-Jan-2014,73.00,73.00,71.01,71.50,9000
AKDCL,04-Feb-2014,69.50,71.00,69.50,71.00,2000
AKDCL,06-Feb-2014,69.00,69.00,69.00,69.00,1000
AKDCL,07-Feb-2014,69.10,69.10,69.00,69.00,1000
AKDCL,10-Feb-2014,69.10,69.10,69.00,69.00,2000
AKDCL,13-Feb-2014,69.00,69.00,69.00,69.00,500
AKDCL,14-Feb-2014,69.00,69.00,69.00,69.00,1000
AKDCL,17-Feb-2014,69.00,69.00,69.00,69.00,500
AKDCL,18-Feb-2014,69.00,69.00,68.90,68.90,1000
AKDCL,19-Feb-2014,69.00,69.00,69.00,69.00,2000
AKDCL,20-Feb-2014,69.00,69.00,69.00,69.00,1500
AKDCL,21-Feb-2014,69.00,69.00,69.00,69.00,500
AKDCL,24-Feb-2014,70.00,72.45,70.00,72.45,1500
AKDCL,28-Feb-2014,76.07,76.07,76.00,76.00,1500
AKDCL,06-Mar-2014,74.00,74.00,74.00,74.00,1000
AKDCL,07-Mar-2014,73.00,73.00,73.00,73.00,2000
AKDCL,11-Mar-2014,70.00,70.00,70.00,70.00,500
AKDCL,17-Mar-2014,70.00,73.00,70.00,73.00,1500
AKDCL,26-Mar-2014,69.50,69.50,69.50,69.50,500
AKDCL,27-Mar-2014,70.00,70.00,70.00,70.00,500
AKDCL,31-Mar-2014,70.00,70.00,70.00,70.00,500
AKDCL,03-Apr-2014,70.00,70.00,70.00,70.00,500
AKDCL,08-Apr-2014,66.50,66.50,66.50,66.50,500
AKDCL,17-Apr-2014,69.80,69.82,69.80,69.82,1500
AKDCL,02-May-2014,72.99,73.00,72.99,73.00,2000
AKDCL,12-May-2014,72.30,73.00,72.30,73.00,1000
AKDCL,13-May-2014,70.00,71.00,70.00,71.00,1000
AKDCL,14-May-2014,70.00,70.00,70.00,70.00,1000
AKDCL,16-May-2014,70.00,70.00,70.00,70.00,500
AKDCL,02-Jun-2014,70.00,70.00,70.00,70.00,500
AKDCL,03-Jun-2014,70.00,70.00,70.00,70.00,1000
AKDCL,04-Jun-2014,70.00,70.00,70.00,70.00,500
AKDCL,09-Jun-2014,70.00,70.00,69.50,70.00,1500
AKDCL,10-Jun-2014,70.00,70.00,70.00,70.00,1000
AKDCL,12-Jun-2014,70.00,70.00,70.00,70.00,15000
AKDCL,17-Jun-2014,70.00,70.00,70.00,70.00,500
AKDCL,02-Jul-2014,70.00,70.00,70.00,70.00,3000
AKDCL,07-Jul-2014,70.00,70.00,70.00,70.00,500
AKDCL,10-Jul-2014,71.00,71.00,71.00,71.00,500
AKDCL,22-Jul-2014,70.00,70.00,70.00,70.00,3000
AKDCL,23-Jul-2014,70.05,70.05,70.05,70.05,500
AKDCL,06-Aug-2014,66.60,66.60,66.60,66.60,5500
AKDCL,29-Aug-2014,64.00,64.00,64.00,64.00,4000
AKDCL,05-Sep-2014,67.20,67.20,67.20,67.20,1000
AKDCL,23-Sep-2014,67.20,67.20,67.20,67.20,500
AKDCL,24-Sep-2014,70.00,70.00,70.00,70.00,500
AKDCL,02-Oct-2014,66.03,66.03,66.03,66.03,500
AKDCL,10-Oct-2014,66.00,66.00,66.00,66.00,500
AKDCL,13-Oct-2014,66.00,66.00,66.00,66.00,500
AKDCL,24-Oct-2014,65.00,65.00,65.00,65.00,500
AKDCL,31-Oct-2014,61.75,61.75,61.75,61.75,4500
AKDCL,10-Nov-2014,60.00,60.00,59.00,59.00,1500
AKDCL,12-Nov-2014,61.94,61.94,61.94,61.94,500
AKDCL,21-Nov-2014,63.99,64.00,63.99,64.00,2000
AKDCL,27-Nov-2014,60.80,65.00,60.80,62.90,2000
AKDCL,03-Dec-2014,59.76,59.76,59.76,59.76,500
AKDCL,04-Dec-2014,62.74,62.74,62.74,62.74,2000
AKDCL,12-Dec-2014,61.00,61.00,60.50,60.50,1500
AKDCL,13-Jan-2015,60.00,60.00,60.00,60.00,500
AKDCL,15-Jan-2015,62.98,62.99,62.90,62.99,1500
AKDCL,16-Jan-2015,66.13,66.13,64.00,64.00,2500
AKDCL,19-Jan-2015,66.00,66.00,66.00,66.00,1000
AKDCL,26-Jan-2015,66.50,66.50,66.00,66.00,1500
AKDCL,27-Jan-2015,67.99,67.99,65.00,65.00,1000
AKDCL,04-Feb-2015,64.25,64.25,61.75,61.75,4000
AKDCL,10-Feb-2015,58.90,58.90,58.86,58.86,2000
AKDCL,16-Feb-2015,59.00,59.00,59.00,59.00,500
AKDCL,06-Mar-2015,58.50,58.50,58.25,58.25,1000
