Symbol,Date,Open,High,Low,Close,Volume
AKDHL,09-Jul-2021,376.05,400.00,376.02,400.00,400
AKDHL,12-Jul-2021,403.00,413.00,400.00,407.05,8200
AKDHL,13-Jul-2021,390.00,390.00,390.00,390.00,200
AKDHL,14-Jul-2021,399.99,399.99,398.90,398.90,3600
AKDHL,15-Jul-2021,374.12,388.00,374.12,388.00,300
AKDHL,16-Jul-2021,371.00,417.00,360.02,409.06,6800
AKDHL,19-Jul-2021,412.00,430.00,412.00,425.00,4900
AKDHL,23-Jul-2021,447.99,456.87,435.00,442.75,4400
AKDHL,26-Jul-2021,464.49,464.49,433.00,445.00,700
AKDHL,27-Jul-2021,458.47,458.47,411.65,415.00,3500
AKDHL,28-Jul-2021,422.00,422.00,422.00,422.00,100
AKDHL,29-Jul-2021,391.01,409.90,391.00,394.14,1900
AKDHL,02-Aug-2021,405.00,423.70,405.00,423.70,9600
AKDHL,03-Aug-2021,430.00,430.00,420.01,420.01,300
AKDHL,05-Aug-2021,409.99,424.00,409.99,424.00,200
AKDHL,09-Aug-2021,427.00,428.00,427.00,427.63,2000
AKDHL,11-Aug-2021,406.00,427.00,405.00,427.00,700
AKDHL,16-Aug-2021,405.10,420.00,404.01,417.34,900
AKDHL,20-Aug-2021,410.00,442.00,410.00,430.00,3200
AKDHL,23-Aug-2021,440.00,442.00,434.99,435.60,2000
AKDHL,24-Aug-2021,430.00,438.00,425.00,438.00,1300
AKDHL,25-Aug-2021,411.02,435.00,411.00,425.00,3100
AKDHL,26-Aug-2021,406.02,425.00,406.00,406.00,1400
AKDHL,30-Aug-2021,414.00,414.00,410.00,410.00,200
AKDHL,31-Aug-2021,415.00,416.00,415.00,415.37,300
AKDHL,01-Sep-2021,407.04,407.04,407.03,407.03,400
AKDHL,02-Sep-2021,404.01,404.01,376.51,379.48,9100
AKDHL,03-Sep-2021,376.00,389.90,365.00,366.98,8400
AKDHL,06-Sep-2021,365.00,367.00,365.00,367.00,3500
AKDHL,08-Sep-2021,360.01,360.01,340.05,345.75,2100
AKDHL,09-Sep-2021,345.01,371.68,340.01,370.00,4700
AKDHL,10-Sep-2021,365.01,365.01,350.01,354.99,2500
AKDHL,13-Sep-2021,359.98,374.98,355.01,360.00,6200
AKDHL,14-Sep-2021,360.00,387.00,360.00,387.00,6300
AKDHL,15-Sep-2021,394.99,416.02,394.99,407.16,12500
AKDHL,16-Sep-2021,395.01,403.99,390.00,399.59,1300
AKDHL,17-Sep-2021,400.00,404.99,385.01,391.36,3200
AKDHL,20-Sep-2021,395.01,402.99,385.00,393.58,3200
AKDHL,21-Sep-2021,404.99,423.09,400.00,422.10,5800
AKDHL,22-Sep-2021,429.00,429.00,390.51,399.99,2100
AKDHL,23-Sep-2021,400.00,400.00,370.00,370.00,1300
AKDHL,24-Sep-2021,342.25,365.00,342.25,342.25,6900
AKDHL,27-Sep-2021,330.00,340.00,330.00,340.00,200
AKDHL,29-Sep-2021,314.50,340.00,314.50,314.50,5400
AKDHL,30-Sep-2021,319.00,324.99,310.00,318.18,1600
AKDHL,01-Oct-2021,302.00,318.18,300.01,309.99,1300
