Symbol,Date,Open,High,Low,Close,Volume
AKGL,01-Jan-2014,12.80,12.80,12.80,12.80,1000
AKGL,08-Jan-2014,12.10,12.10,12.10,12.10,1000
AKGL,16-Jan-2014,12.10,12.10,12.10,12.10,50000
AKGL,17-Jan-2014,12.85,12.85,12.85,12.85,10000
AKGL,22-Jan-2014,13.25,13.85,13.25,13.85,10000
AKGL,23-Jan-2014,14.85,14.85,14.85,14.85,2500
AKGL,24-Jan-2014,15.85,15.85,15.80,15.85,11500
AKGL,27-Jan-2014,15.75,16.50,15.75,16.50,11500
AKGL,25-Mar-2014,15.50,16.50,15.50,15.50,3500
AKGL,27-Mar-2014,14.50,14.50,14.50,14.50,2500
AKGL,08-May-2014,13.50,13.50,13.50,13.50,1500
AKGL,29-May-2014,12.50,12.50,12.50,12.50,1500
AKGL,30-May-2014,12.00,13.00,11.75,13.00,27500
AKGL,11-Jun-2014,12.01,13.25,12.01,12.01,3500
AKGL,12-Jun-2014,13.00,13.00,13.00,13.00,500
AKGL,09-Jul-2014,12.00,12.00,12.00,12.00,1000
AKGL,11-Aug-2014,11.00,11.00,11.00,11.00,1000
AKGL,12-Aug-2014,12.00,12.00,12.00,12.00,500
AKGL,02-Sep-2014,12.50,12.50,12.50,12.50,1000
AKGL,16-Oct-2014,11.50,12.45,11.50,12.43,2000
AKGL,10-Nov-2014,11.50,12.50,11.50,12.13,3500
AKGL,11-Nov-2014,11.25,11.99,11.25,11.99,5500
AKGL,13-Nov-2014,11.30,12.90,11.30,12.90,1000
AKGL,18-Nov-2014,12.09,12.09,11.90,11.90,2500
AKGL,21-Nov-2014,12.50,12.50,12.50,12.50,1000
AKGL,27-Nov-2014,11.50,12.00,11.50,12.00,1000
AKGL,04-Dec-2014,11.50,11.50,11.50,11.50,500
AKGL,05-Dec-2014,11.95,11.95,11.95,11.95,500
AKGL,23-Dec-2014,11.60,11.60,11.55,11.55,1000
AKGL,05-Jan-2015,12.20,12.20,12.20,12.20,500
AKGL,06-Jan-2015,13.10,13.10,13.10,13.10,500
AKGL,15-Jan-2015,13.00,13.00,13.00,13.00,1500
AKGL,26-Jan-2015,12.50,12.99,12.50,12.99,1500
AKGL,27-Jan-2015,12.50,12.50,12.50,12.50,1000
AKGL,30-Jan-2015,12.00,12.00,12.00,12.00,500
