Symbol,Date,Open,High,Low,Close,Volume
ALNRS,01-Jan-2014,40.60,40.60,40.60,40.60,500
ALNRS,02-Jan-2014,42.63,42.63,42.63,42.63,1000
ALNRS,03-Jan-2014,42.50,42.99,42.50,42.99,1000
ALNRS,06-Jan-2014,42.50,42.50,42.50,42.50,1000
ALNRS,09-Jan-2014,42.00,42.00,42.00,42.00,500
ALNRS,10-Jan-2014,40.00,42.00,39.90,41.00,6000
ALNRS,13-Jan-2014,41.95,42.00,41.50,41.50,4500
ALNRS,15-Jan-2014,42.95,43.57,42.95,43.57,7500
ALNRS,20-Jan-2014,45.50,45.50,43.00,43.00,44000
ALNRS,21-Jan-2014,43.00,44.00,42.80,43.09,4500
ALNRS,22-Jan-2014,41.00,41.00,41.00,41.00,500
ALNRS,23-Jan-2014,42.05,42.05,42.05,42.05,500
ALNRS,28-Jan-2014,41.00,41.00,41.00,41.00,500
ALNRS,29-Jan-2014,41.00,41.00,38.95,38.96,4000
ALNRS,30-Jan-2014,39.10,39.10,38.90,38.90,2000
ALNRS,31-Jan-2014,39.00,40.84,39.00,40.80,21000
ALNRS,06-Feb-2014,39.01,39.01,39.01,39.01,500
ALNRS,07-Feb-2014,39.01,39.01,39.01,39.01,500
ALNRS,11-Feb-2014,40.00,40.96,40.00,40.96,12500
ALNRS,12-Feb-2014,40.00,43.00,40.00,43.00,134500
ALNRS,13-Feb-2014,43.00,44.00,43.00,43.03,107000
ALNRS,14-Feb-2014,44.00,45.18,44.00,45.18,9500
ALNRS,17-Feb-2014,47.00,47.43,43.75,44.00,79500
ALNRS,18-Feb-2014,44.00,44.00,42.50,42.92,8000
ALNRS,20-Feb-2014,44.50,45.06,44.50,45.06,15000
ALNRS,21-Feb-2014,47.30,47.31,47.30,47.31,24500
ALNRS,24-Feb-2014,49.00,49.67,49.00,49.67,10000
ALNRS,25-Feb-2014,52.00,52.15,47.65,50.10,155500
ALNRS,26-Feb-2014,49.20,49.99,48.49,48.61,114500
ALNRS,27-Feb-2014,48.25,48.30,48.00,48.00,151000
ALNRS,28-Feb-2014,47.10,47.10,45.60,45.60,319500
ALNRS,03-Mar-2014,43.51,43.51,43.32,43.35,93500
ALNRS,04-Mar-2014,41.66,43.45,41.20,41.39,54500
ALNRS,05-Mar-2014,42.85,42.95,42.85,42.90,6000
ALNRS,06-Mar-2014,42.00,43.45,42.00,43.40,2000
ALNRS,07-Mar-2014,41.51,41.51,41.25,41.25,10000
ALNRS,10-Mar-2014,40.00,42.90,40.00,42.90,6000
ALNRS,11-Mar-2014,43.65,43.75,43.65,43.75,1000
ALNRS,12-Mar-2014,41.60,41.60,41.60,41.60,5000
ALNRS,14-Mar-2014,39.60,39.60,39.60,39.60,500
ALNRS,17-Mar-2014,40.00,41.58,40.00,40.00,13000
ALNRS,24-Mar-2014,40.00,40.00,40.00,40.00,500
ALNRS,26-Mar-2014,39.00,39.00,38.10,38.33,3000
ALNRS,02-Apr-2014,40.24,40.24,40.24,40.24,500
ALNRS,03-Apr-2014,40.00,42.00,40.00,41.99,18500
ALNRS,04-Apr-2014,40.10,40.10,39.90,39.95,15000
ALNRS,14-Apr-2014,39.00,40.00,39.00,39.28,3000
ALNRS,21-Apr-2014,40.50,40.50,40.50,40.50,500
ALNRS,28-Apr-2014,38.48,40.50,38.48,40.50,1500
ALNRS,30-Apr-2014,41.00,41.00,41.00,41.00,500
ALNRS,15-May-2014,40.00,42.89,40.00,42.89,12000
ALNRS,16-May-2014,41.50,41.50,41.50,41.50,1000
ALNRS,20-May-2014,40.01,40.01,39.43,39.72,2000
ALNRS,22-May-2014,38.05,38.05,38.05,38.05,500
ALNRS,23-May-2014,39.95,39.95,39.94,39.94,1000
ALNRS,26-May-2014,41.70,41.93,41.69,41.93,7500
ALNRS,27-May-2014,41.85,41.85,41.85,41.85,500
ALNRS,28-May-2014,40.00,40.01,39.76,39.76,6000
ALNRS,29-May-2014,38.05,38.05,38.05,38.05,500
ALNRS,30-May-2014,39.00,39.00,39.00,39.00,500
ALNRS,03-Jun-2014,39.10,39.10,38.30,38.30,4000
ALNRS,05-Jun-2014,37.14,37.14,37.14,37.14,500
ALNRS,10-Jun-2014,37.80,37.80,37.01,37.06,2000
ALNRS,11-Jun-2014,38.00,38.00,38.00,38.00,500
ALNRS,16-Jun-2014,37.01,37.01,37.01,37.01,500
ALNRS,17-Jun-2014,37.50,37.50,37.01,37.50,4500
ALNRS,18-Jun-2014,36.10,36.10,36.10,36.10,1500
ALNRS,19-Jun-2014,35.00,35.00,35.00,35.00,500
ALNRS,24-Jun-2014,35.50,35.50,35.00,35.18,7000
ALNRS,26-Jun-2014,36.50,36.50,36.50,36.50,1000
ALNRS,30-Jun-2014,38.30,38.30,36.00,36.66,7000
ALNRS,07-Jul-2014,38.48,38.49,38.48,38.49,1000
ALNRS,09-Jul-2014,36.61,36.61,36.61,36.61,500
ALNRS,10-Jul-2014,37.00,37.00,37.00,37.00,1000
ALNRS,11-Jul-2014,36.90,36.90,36.90,36.90,500
ALNRS,18-Jul-2014,36.05,37.25,36.05,36.95,4500
ALNRS,21-Jul-2014,37.00,37.00,37.00,37.00,4500
ALNRS,22-Jul-2014,38.24,38.24,37.00,37.00,1000
ALNRS,23-Jul-2014,36.60,37.37,36.50,36.55,1500
ALNRS,24-Jul-2014,38.00,38.00,36.50,36.50,6500
ALNRS,04-Aug-2014,36.00,36.00,35.01,35.01,2500
ALNRS,05-Aug-2014,34.50,34.50,34.50,34.50,500
ALNRS,06-Aug-2014,34.70,34.70,33.15,33.15,4000
ALNRS,07-Aug-2014,34.80,34.80,34.00,34.00,1500
ALNRS,08-Aug-2014,32.35,35.70,32.35,33.68,7000
ALNRS,11-Aug-2014,32.01,32.01,32.01,32.01,500
ALNRS,13-Aug-2014,32.81,32.81,32.81,32.81,1000
ALNRS,19-Aug-2014,33.00,33.00,33.00,33.00,3000
ALNRS,20-Aug-2014,34.00,34.50,34.00,34.36,7000
ALNRS,21-Aug-2014,35.75,35.90,35.00,35.00,14000
ALNRS,22-Aug-2014,34.00,34.00,34.00,34.00,3500
ALNRS,27-Aug-2014,34.00,34.00,34.00,34.00,1000
ALNRS,04-Sep-2014,34.05,34.05,34.05,34.05,500
ALNRS,08-Sep-2014,35.75,35.75,35.75,35.75,1000
ALNRS,09-Sep-2014,37.50,37.50,36.50,36.50,5000
ALNRS,10-Sep-2014,38.24,38.24,37.00,37.42,4500
ALNRS,12-Sep-2014,38.94,38.94,38.94,38.94,500
ALNRS,15-Sep-2014,39.00,40.00,39.00,40.00,4000
ALNRS,16-Sep-2014,39.50,39.50,38.00,38.00,11500
ALNRS,23-Sep-2014,37.60,37.60,37.60,37.60,500
ALNRS,24-Sep-2014,38.00,38.00,38.00,38.00,1500
ALNRS,29-Sep-2014,36.55,36.55,36.50,36.52,8000
ALNRS,01-Oct-2014,38.00,38.34,38.00,38.00,11500
ALNRS,13-Oct-2014,39.50,39.89,39.50,39.71,16500
ALNRS,14-Oct-2014,40.50,41.69,40.00,41.69,35000
ALNRS,15-Oct-2014,43.60,43.77,42.80,42.80,94000
ALNRS,16-Oct-2014,43.77,43.77,41.60,41.63,13000
ALNRS,17-Oct-2014,42.75,42.75,42.75,42.75,500
ALNRS,20-Oct-2014,40.63,43.40,40.62,41.11,20000
ALNRS,22-Oct-2014,40.10,40.10,40.05,40.06,3500
ALNRS,23-Oct-2014,39.65,39.75,39.60,39.75,29500
ALNRS,24-Oct-2014,40.00,40.00,40.00,40.00,6500
ALNRS,27-Oct-2014,41.90,42.00,40.05,42.00,27000
ALNRS,28-Oct-2014,41.00,41.00,41.00,41.00,10000
ALNRS,05-Nov-2014,40.00,40.00,39.61,39.85,10000
ALNRS,10-Nov-2014,40.00,40.25,40.00,40.10,10000
ALNRS,11-Nov-2014,40.00,40.00,40.00,40.00,2500
ALNRS,12-Nov-2014,40.00,40.10,39.90,39.90,16000
ALNRS,13-Nov-2014,41.00,41.00,40.00,40.03,18500
ALNRS,14-Nov-2014,41.00,41.00,41.00,41.00,500
ALNRS,17-Nov-2014,41.00,41.00,40.00,40.13,31000
ALNRS,18-Nov-2014,41.40,42.13,40.00,40.00,24500
ALNRS,19-Nov-2014,39.30,40.10,39.01,39.50,9000
ALNRS,20-Nov-2014,39.00,39.00,38.00,38.00,7500
ALNRS,21-Nov-2014,38.01,39.50,38.00,39.50,5500
