Symbol,Date,Open,High,Low,Close,Volume
AMBL,03-Jan-2014,9.99,9.99,9.99,9.99,1000
AMBL,07-Jan-2014,10.50,10.50,10.50,10.50,1000
AMBL,09-Jan-2014,10.30,10.30,10.00,10.00,10500
AMBL,16-Jan-2014,10.00,10.00,10.00,10.00,3000
AMBL,20-Jan-2014,10.00,10.49,10.00,10.49,1500
AMBL,21-Jan-2014,10.05,10.05,10.00,10.00,5000
AMBL,22-Jan-2014,10.00,10.00,10.00,10.00,2500
AMBL,23-Jan-2014,9.99,9.99,9.99,9.99,500
AMBL,24-Jan-2014,10.00,10.00,9.98,10.00,3500
AMBL,27-Jan-2014,10.00,10.00,10.00,10.00,8500
AMBL,28-Jan-2014,10.90,11.00,10.50,10.86,12500
AMBL,29-Jan-2014,11.50,11.50,11.05,11.05,4000
AMBL,30-Jan-2014,11.44,12.05,11.44,12.00,70000
AMBL,31-Jan-2014,12.80,13.00,12.78,13.00,61500
AMBL,03-Feb-2014,13.78,14.00,13.78,14.00,145000
AMBL,04-Feb-2014,15.00,15.00,13.01,13.57,22500
AMBL,06-Feb-2014,12.62,12.62,12.57,12.57,7000
AMBL,07-Feb-2014,12.50,13.57,12.50,12.50,6500
AMBL,10-Feb-2014,13.50,13.50,13.00,13.22,39500
AMBL,11-Feb-2014,12.64,13.55,12.63,13.55,2500
AMBL,12-Feb-2014,14.24,14.24,13.98,13.98,3500
AMBL,13-Feb-2014,13.01,13.01,13.00,13.00,2000
AMBL,14-Feb-2014,12.00,12.00,12.00,12.00,500
AMBL,17-Feb-2014,11.01,11.01,11.00,11.00,11500
AMBL,18-Feb-2014,11.47,11.48,11.47,11.47,3000
AMBL,19-Feb-2014,11.60,11.60,11.60,11.60,1000
AMBL,20-Feb-2014,10.62,10.62,10.61,10.61,1000
AMBL,21-Feb-2014,10.00,10.00,10.00,10.00,500
AMBL,24-Feb-2014,9.80,9.80,9.80,9.80,2500
AMBL,26-Feb-2014,9.60,9.60,9.60,9.60,500
