Symbol,Date,Open,High,Low,Close,Volume
ANL,01-Jan-2014,7.20,8.14,7.20,8.14,31135000
ANL,02-Jan-2014,8.39,8.60,8.10,8.29,29436000
ANL,03-Jan-2014,8.30,8.40,7.88,7.99,7106000
ANL,06-Jan-2014,8.16,8.30,7.86,8.06,7064000
ANL,07-Jan-2014,8.10,8.49,8.06,8.24,10427000
ANL,08-Jan-2014,8.40,8.88,8.40,8.73,19935500
ANL,09-Jan-2014,9.00,9.28,8.53,8.76,28459000
ANL,10-Jan-2014,8.81,8.99,8.58,8.67,5616000
ANL,13-Jan-2014,8.63,8.85,8.46,8.52,3921000
ANL,15-Jan-2014,8.65,9.32,8.50,9.20,21593000
ANL,16-Jan-2014,9.39,9.50,8.95,9.11,20629000
ANL,17-Jan-2014,9.15,9.28,8.86,8.92,14661500
ANL,20-Jan-2014,8.99,9.10,8.70,8.76,7994000
ANL,21-Jan-2014,8.82,9.38,8.76,9.07,20801000
ANL,22-Jan-2014,9.18,9.37,8.97,9.09,12946000
ANL,23-Jan-2014,9.13,9.56,9.05,9.13,14544000
ANL,24-Jan-2014,9.21,9.21,8.85,8.94,5441000
ANL,27-Jan-2014,8.91,9.38,8.65,9.15,9392500
ANL,28-Jan-2014,9.34,10.15,9.25,9.83,48428500
ANL,29-Jan-2014,9.91,10.16,9.49,9.90,20685000
ANL,30-Jan-2014,10.05,10.65,9.71,10.26,28496500
ANL,31-Jan-2014,10.31,10.44,9.75,9.84,8256500
ANL,03-Feb-2014,9.98,10.14,9.60,9.74,12514000
ANL,04-Feb-2014,9.77,9.77,9.25,9.46,24155000
ANL,06-Feb-2014,9.56,9.82,9.40,9.59,11153500
ANL,07-Feb-2014,9.62,9.87,8.69,8.77,23471000
ANL,10-Feb-2014,8.87,8.97,8.26,8.61,7029000
ANL,11-Feb-2014,8.68,9.07,8.60,9.00,10739000
ANL,12-Feb-2014,9.09,9.18,8.83,9.00,4229000
ANL,13-Feb-2014,9.15,9.16,8.75,8.79,3123500
ANL,14-Feb-2014,8.75,8.93,8.51,8.58,3722000
ANL,17-Feb-2014,8.65,8.69,7.90,7.97,5976000
ANL,18-Feb-2014,7.95,8.22,7.60,8.14,7375000
ANL,19-Feb-2014,8.25,8.37,7.90,8.03,3188500
ANL,20-Feb-2014,8.00,8.08,7.75,7.92,3412000
ANL,21-Feb-2014,8.00,8.25,7.94,8.12,4084000
ANL,24-Feb-2014,8.20,8.20,7.91,7.95,1913000
ANL,25-Feb-2014,7.98,8.09,7.70,7.80,1787000
ANL,26-Feb-2014,7.76,7.88,7.41,7.54,1834500
ANL,27-Feb-2014,7.51,7.68,7.34,7.44,2371500
ANL,28-Feb-2014,7.50,7.65,7.30,7.35,3806000
ANL,03-Mar-2014,7.45,7.85,7.45,7.69,3240500
ANL,04-Mar-2014,7.65,7.99,7.58,7.87,2443500
ANL,05-Mar-2014,7.86,7.90,7.70,7.77,721000
ANL,06-Mar-2014,7.85,8.10,7.80,7.89,3173000
ANL,07-Mar-2014,7.99,8.00,7.62,7.72,2644500
ANL,10-Mar-2014,7.70,7.85,7.45,7.56,3442000
ANL,11-Mar-2014,7.65,7.83,7.60,7.70,3101500
ANL,12-Mar-2014,7.78,7.83,7.49,7.52,2478000
ANL,13-Mar-2014,7.62,7.65,7.45,7.59,3841000
ANL,14-Mar-2014,7.60,7.82,7.53,7.61,1521500
ANL,17-Mar-2014,7.74,7.85,7.67,7.70,1900000
ANL,18-Mar-2014,7.79,7.81,7.50,7.52,1095500
ANL,19-Mar-2014,7.59,7.67,7.44,7.52,588000
ANL,20-Mar-2014,7.59,7.60,7.35,7.41,912000
ANL,21-Mar-2014,7.43,7.51,7.15,7.24,2371000
ANL,24-Mar-2014,7.21,7.27,7.10,7.20,541500
ANL,25-Mar-2014,7.27,7.35,7.19,7.29,825500
ANL,26-Mar-2014,7.22,7.44,7.21,7.26,691500
ANL,27-Mar-2014,7.35,7.43,7.20,7.23,1017000
ANL,28-Mar-2014,7.26,7.39,7.20,7.25,592000
ANL,31-Mar-2014,7.25,7.40,7.15,7.25,596000
ANL,01-Apr-2014,7.30,7.43,7.29,7.38,1080000
ANL,02-Apr-2014,7.42,7.55,7.38,7.42,1972500
ANL,03-Apr-2014,7.43,7.55,7.32,7.36,1752000
ANL,04-Apr-2014,7.35,7.54,7.35,7.38,1561000
ANL,07-Apr-2014,7.43,7.46,7.30,7.35,746500
ANL,08-Apr-2014,7.40,7.44,7.25,7.38,1125000
ANL,09-Apr-2014,7.37,7.70,7.27,7.50,3857500
ANL,10-Apr-2014,7.61,7.61,7.31,7.40,2422000
ANL,11-Apr-2014,7.47,7.53,7.28,7.31,1711500
ANL,14-Apr-2014,7.32,7.55,7.20,7.44,3612000
ANL,15-Apr-2014,7.49,7.50,7.24,7.27,1590500
ANL,16-Apr-2014,7.35,7.46,7.25,7.29,2499000
ANL,17-Apr-2014,7.31,7.35,7.09,7.12,1718000
ANL,18-Apr-2014,7.20,7.85,7.20,7.43,10830000
ANL,21-Apr-2014,7.48,7.68,7.35,7.39,2544500
ANL,22-Apr-2014,7.45,7.50,7.25,7.30,917500
ANL,23-Apr-2014,7.40,7.40,7.05,7.10,1787500
ANL,24-Apr-2014,7.15,7.18,6.66,6.76,3268500
ANL,25-Apr-2014,6.84,6.90,6.60,6.65,1428000
ANL,28-Apr-2014,6.75,6.80,6.44,6.50,1483500
ANL,29-Apr-2014,6.55,6.61,6.15,6.27,3252000
ANL,30-Apr-2014,6.29,6.80,6.29,6.66,4528500
ANL,02-May-2014,6.54,6.66,6.40,6.51,1577000
ANL,05-May-2014,6.52,6.53,6.21,6.30,1048500
ANL,06-May-2014,6.28,6.29,6.09,6.12,1570500
ANL,07-May-2014,6.11,6.29,6.11,6.16,764000
ANL,08-May-2014,6.16,6.25,6.09,6.14,830500
ANL,09-May-2014,6.18,6.38,6.18,6.29,1854000
ANL,12-May-2014,6.38,6.38,6.14,6.19,447500
ANL,13-May-2014,6.17,6.20,6.04,6.13,475000
ANL,14-May-2014,6.10,6.28,6.09,6.19,582500
ANL,15-May-2014,6.25,6.30,6.22,6.26,475000
ANL,16-May-2014,6.31,6.68,6.26,6.54,3637500
ANL,19-May-2014,6.45,6.49,6.36,6.41,538500
ANL,20-May-2014,6.54,6.54,6.26,6.37,357500
ANL,21-May-2014,6.31,6.40,6.26,6.29,488000
ANL,22-May-2014,6.30,6.34,6.10,6.17,670000
ANL,23-May-2014,6.26,6.30,6.14,6.23,447000
ANL,26-May-2014,6.22,6.40,6.22,6.37,351000
ANL,27-May-2014,6.44,6.45,6.26,6.39,251500
ANL,28-May-2014,6.31,6.46,6.30,6.39,830000
ANL,29-May-2014,6.35,6.67,6.35,6.58,2084000
ANL,30-May-2014,6.69,6.69,6.38,6.45,1015000
ANL,02-Jun-2014,6.37,6.60,6.37,6.49,722500
ANL,03-Jun-2014,6.54,6.55,5.71,6.15,4078500
ANL,04-Jun-2014,6.70,6.84,6.55,6.73,8363000
ANL,05-Jun-2014,6.85,6.87,6.42,6.47,1896500
ANL,06-Jun-2014,6.41,6.45,6.30,6.32,1342500
ANL,09-Jun-2014,6.28,6.46,6.24,6.27,2014000
ANL,10-Jun-2014,6.33,6.74,6.30,6.49,3543000
ANL,11-Jun-2014,6.55,6.58,6.34,6.43,1240000
ANL,12-Jun-2014,6.41,6.65,6.41,6.51,3124500
ANL,13-Jun-2014,6.46,6.60,6.30,6.38,704000
ANL,16-Jun-2014,6.40,6.44,6.20,6.22,856000
ANL,17-Jun-2014,6.30,6.32,6.00,6.10,1398500
ANL,18-Jun-2014,6.22,6.35,6.01,6.08,860500
ANL,19-Jun-2014,6.10,6.13,5.78,5.86,1710000
ANL,20-Jun-2014,5.86,5.97,5.80,5.82,841500
ANL,23-Jun-2014,5.75,6.08,5.70,6.03,893500
ANL,24-Jun-2014,6.04,6.12,5.96,6.00,2098000
ANL,25-Jun-2014,6.05,6.11,5.76,5.80,1345500
ANL,26-Jun-2014,5.88,5.98,5.83,5.93,424500
ANL,27-Jun-2014,5.90,6.04,5.80,5.99,564500
ANL,30-Jun-2014,5.98,6.14,5.92,5.96,337000
ANL,01-Jul-2014,6.00,6.00,5.85,5.90,229500
ANL,02-Jul-2014,6.00,6.14,5.98,6.03,352500
ANL,03-Jul-2014,6.11,6.19,6.01,6.03,481000
ANL,04-Jul-2014,6.05,6.05,5.92,6.00,232000
ANL,07-Jul-2014,6.00,6.08,5.97,5.99,303500
ANL,08-Jul-2014,6.05,6.05,5.90,5.91,287500
ANL,09-Jul-2014,5.90,5.98,5.83,5.90,153500
ANL,10-Jul-2014,5.90,5.94,5.81,5.83,264500
ANL,11-Jul-2014,5.89,5.89,5.80,5.82,264000
ANL,14-Jul-2014,5.89,6.05,5.82,5.95,1386000
ANL,15-Jul-2014,5.91,6.02,5.80,5.82,639500
ANL,16-Jul-2014,5.80,5.91,5.75,5.76,325500
ANL,17-Jul-2014,5.84,5.94,5.70,5.80,489000
ANL,18-Jul-2014,5.80,5.94,5.73,5.77,201500
ANL,21-Jul-2014,5.72,5.89,5.71,5.75,579000
ANL,22-Jul-2014,5.72,5.86,5.71,5.75,400500
ANL,23-Jul-2014,5.82,5.85,5.75,5.75,287000
ANL,24-Jul-2014,5.74,5.79,5.66,5.71,267000
ANL,28-Jul-2014,5.75,5.75,5.55,5.69,92500
ANL,04-Aug-2014,5.72,5.72,5.15,5.40,2455500
ANL,05-Aug-2014,5.42,5.55,5.34,5.39,939000
ANL,06-Aug-2014,5.47,5.47,5.25,5.27,684500
ANL,07-Aug-2014,5.35,5.39,5.21,5.32,848000
ANL,08-Aug-2014,5.30,5.37,5.26,5.29,337500
ANL,11-Aug-2014,5.20,5.20,4.44,4.52,6816000
ANL,12-Aug-2014,4.44,4.78,4.44,4.69,1928000
ANL,13-Aug-2014,4.60,4.89,4.60,4.83,1484500
ANL,15-Aug-2014,5.05,5.12,4.90,5.03,1347000
ANL,18-Aug-2014,4.92,5.10,4.80,4.99,518500
ANL,19-Aug-2014,4.79,4.90,4.79,4.82,1501500
ANL,20-Aug-2014,4.94,5.09,4.85,4.95,2495000
ANL,21-Aug-2014,5.10,5.18,4.95,5.00,727000
ANL,22-Aug-2014,5.03,5.03,4.95,5.01,158500
ANL,25-Aug-2014,4.97,5.00,4.87,4.90,542000
ANL,26-Aug-2014,4.85,5.26,4.83,4.92,513000
ANL,27-Aug-2014,4.84,4.94,4.71,4.90,636000
ANL,28-Aug-2014,4.72,4.90,4.72,4.78,511000
ANL,29-Aug-2014,4.99,5.25,4.82,4.89,983000
ANL,01-Sep-2014,4.70,5.05,4.65,4.93,1606000
ANL,02-Sep-2014,4.93,5.32,4.93,5.29,2674000
ANL,03-Sep-2014,5.40,5.54,5.30,5.37,2218000
ANL,04-Sep-2014,5.50,5.60,5.10,5.47,1597500
ANL,05-Sep-2014,5.41,5.58,5.35,5.50,2542000
ANL,08-Sep-2014,5.49,5.53,5.38,5.42,217500
ANL,09-Sep-2014,5.44,5.50,5.39,5.41,487000
ANL,10-Sep-2014,5.42,5.42,5.26,5.35,215000
ANL,11-Sep-2014,5.34,5.35,5.18,5.28,439000
ANL,12-Sep-2014,5.30,5.36,5.20,5.30,1497500
ANL,15-Sep-2014,5.30,5.40,5.25,5.28,332500
ANL,16-Sep-2014,5.37,5.37,5.05,5.15,530500
ANL,17-Sep-2014,5.12,5.20,5.11,5.18,377500
ANL,18-Sep-2014,5.18,5.18,5.05,5.11,152000
ANL,19-Sep-2014,5.12,5.59,5.10,5.41,2811500
ANL,22-Sep-2014,5.46,5.50,5.38,5.42,494000
ANL,23-Sep-2014,5.38,5.53,5.36,5.40,570000
ANL,24-Sep-2014,5.49,5.50,5.36,5.42,502000
ANL,25-Sep-2014,5.40,5.45,5.19,5.23,454500
ANL,26-Sep-2014,5.28,5.38,5.17,5.23,274000
ANL,29-Sep-2014,5.16,5.39,5.16,5.21,253000
ANL,30-Sep-2014,5.20,5.23,5.01,5.09,424000
ANL,01-Oct-2014,5.20,5.30,5.12,5.24,465000
ANL,02-Oct-2014,5.22,5.30,5.16,5.18,1285500
ANL,03-Oct-2014,5.10,5.15,4.99,5.08,1704000
ANL,09-Oct-2014,5.10,5.12,5.00,5.03,461500
ANL,10-Oct-2014,5.09,5.25,5.06,5.13,663500
ANL,13-Oct-2014,5.05,5.30,5.05,5.17,1048500
ANL,14-Oct-2014,5.24,5.31,5.11,5.20,1029500
ANL,15-Oct-2014,5.20,5.20,5.08,5.14,256500
ANL,16-Oct-2014,5.16,5.18,5.08,5.11,321000
ANL,17-Oct-2014,5.17,5.24,5.10,5.11,634500
ANL,20-Oct-2014,5.10,5.19,5.00,5.02,1083000
ANL,21-Oct-2014,5.03,5.10,5.01,5.03,1583500
ANL,22-Oct-2014,5.09,5.14,5.04,5.08,521500
ANL,23-Oct-2014,5.06,5.15,5.04,5.07,1104500
ANL,24-Oct-2014,5.10,5.15,5.05,5.06,470500
ANL,27-Oct-2014,5.05,5.10,5.02,5.07,459500
ANL,28-Oct-2014,5.10,5.11,5.01,5.02,692500
ANL,29-Oct-2014,5.05,5.05,4.95,4.97,465500
ANL,30-Oct-2014,4.91,5.10,4.91,5.00,248500
ANL,31-Oct-2014,5.05,5.05,4.95,5.01,445500
ANL,05-Nov-2014,5.01,5.35,5.01,5.23,2033000
ANL,06-Nov-2014,5.25,5.36,5.10,5.15,998500
ANL,07-Nov-2014,5.24,5.99,5.24,5.90,9289500
ANL,10-Nov-2014,6.10,6.19,5.70,5.82,5752500
ANL,11-Nov-2014,5.90,5.92,5.71,5.75,1520500
ANL,12-Nov-2014,5.75,6.25,5.75,6.01,6328000
ANL,13-Nov-2014,6.00,6.36,5.95,6.01,5697000
ANL,14-Nov-2014,6.24,6.24,5.90,5.94,3471000
ANL,17-Nov-2014,6.09,6.10,5.75,6.00,3386500
ANL,18-Nov-2014,6.04,6.13,5.76,5.86,1907000
ANL,19-Nov-2014,5.81,6.13,5.70,5.82,3691000
ANL,20-Nov-2014,5.80,5.85,5.51,5.57,1922500
ANL,21-Nov-2014,5.68,5.98,5.58,5.83,3062500
ANL,24-Nov-2014,5.85,6.03,5.75,5.79,2186500
ANL,25-Nov-2014,5.82,5.82,5.68,5.70,765500
ANL,26-Nov-2014,5.79,5.95,5.66,5.69,1534000
ANL,27-Nov-2014,5.78,5.80,5.51,5.54,827500
ANL,28-Nov-2014,5.51,5.68,5.51,5.65,939000
ANL,01-Dec-2014,5.66,5.75,5.55,5.68,928000
ANL,02-Dec-2014,5.74,6.44,5.67,6.31,11549000
ANL,03-Dec-2014,6.34,6.37,6.01,6.10,3394000
ANL,04-Dec-2014,6.04,6.20,5.94,5.97,2095500
ANL,05-Dec-2014,6.00,6.12,5.92,5.98,1000000
ANL,08-Dec-2014,5.99,6.47,5.99,6.39,6325000
ANL,09-Dec-2014,6.35,6.48,6.25,6.26,2835500
ANL,10-Dec-2014,6.25,6.30,6.05,6.08,1734000
ANL,11-Dec-2014,6.20,6.28,6.02,6.05,794500
ANL,12-Dec-2014,6.02,6.45,5.95,6.31,3349500
ANL,15-Dec-2014,6.35,6.60,6.25,6.55,4487500
ANL,16-Dec-2014,6.49,6.63,6.15,6.20,3408500
ANL,17-Dec-2014,6.34,6.35,5.68,5.75,3161000
ANL,18-Dec-2014,6.11,6.20,5.86,5.96,2939500
ANL,19-Dec-2014,6.08,6.08,5.85,5.93,550500
ANL,22-Dec-2014,5.91,6.10,5.91,5.95,1282000
ANL,23-Dec-2014,5.98,6.15,5.85,6.04,1301000
ANL,24-Dec-2014,5.96,6.14,5.84,5.88,1466000
ANL,26-Dec-2014,5.93,5.99,5.81,5.85,1090000
ANL,29-Dec-2014,5.82,6.10,5.82,5.89,1292500
ANL,30-Dec-2014,5.98,6.00,5.82,5.87,420500
ANL,31-Dec-2014,5.90,6.00,5.85,5.89,783000
ANL,01-Jan-2015,5.98,6.20,5.85,6.12,2706500
ANL,02-Jan-2015,6.25,6.40,6.18,6.29,4300500
ANL,05-Jan-2015,6.21,6.33,6.16,6.21,1683500
