Symbol,Date,Open,High,Low,Close,Volume
ANTM,01-Jan-2014,30.65,30.68,30.65,30.68,3000
ANTM,02-Jan-2014,32.21,32.21,32.00,32.21,26500
ANTM,03-Jan-2014,33.80,33.82,30.65,32.44,49000
ANTM,06-Jan-2014,34.06,34.06,33.50,34.06,19500
ANTM,07-Jan-2014,35.70,35.76,35.70,35.76,37000
ANTM,08-Jan-2014,37.00,37.00,34.00,34.95,18000
ANTM,09-Jan-2014,36.00,36.69,33.21,35.60,23500
ANTM,10-Jan-2014,35.98,37.38,35.98,37.38,15500
ANTM,13-Jan-2014,35.60,39.24,35.60,39.24,10500
ANTM,15-Jan-2014,41.20,41.20,41.20,41.20,3000
ANTM,16-Jan-2014,43.26,43.26,43.26,43.26,1500
ANTM,17-Jan-2014,45.42,45.42,44.00,45.42,16000
ANTM,20-Jan-2014,47.35,47.69,47.35,47.69,8000
ANTM,21-Jan-2014,50.07,50.07,50.07,50.07,3000
ANTM,22-Jan-2014,52.57,52.57,52.57,52.57,2000
ANTM,23-Jan-2014,55.00,55.15,54.50,55.15,5500
ANTM,24-Jan-2014,55.15,57.90,55.15,57.90,7000
ANTM,27-Jan-2014,60.69,60.79,60.69,60.79,8500
ANTM,28-Jan-2014,63.79,63.82,63.79,63.82,1500
ANTM,29-Jan-2014,67.00,67.01,67.00,67.00,4000
ANTM,30-Jan-2014,70.35,70.35,70.00,70.00,2500
ANTM,31-Jan-2014,67.05,69.00,67.00,67.00,3000
ANTM,21-Feb-2014,37.11,37.11,37.11,37.11,1500
ANTM,24-Feb-2014,35.26,38.96,35.26,38.96,16500
ANTM,25-Feb-2014,40.90,40.90,37.02,40.90,15000
ANTM,27-Feb-2014,39.00,42.94,38.86,42.94,41000
ANTM,28-Feb-2014,40.80,40.80,40.80,40.80,500
ANTM,03-Mar-2014,38.76,38.76,38.76,38.76,1000
ANTM,05-Mar-2014,35.66,35.66,35.66,35.66,1000
ANTM,06-Mar-2014,33.88,35.26,33.88,34.76,6500
ANTM,07-Mar-2014,33.13,33.13,33.03,33.03,1500
ANTM,10-Mar-2014,31.40,31.90,31.38,31.38,3500
ANTM,11-Mar-2014,29.82,30.19,29.82,29.82,8500
ANTM,12-Mar-2014,28.33,28.33,28.33,28.33,1000
ANTM,13-Mar-2014,26.92,28.00,26.92,27.00,2500
ANTM,14-Mar-2014,27.01,27.01,25.70,26.20,3500
ANTM,17-Mar-2014,27.51,27.51,26.75,26.75,4000
ANTM,18-Mar-2014,28.08,28.08,28.08,28.08,152500
ANTM,19-Mar-2014,29.48,29.48,29.48,29.48,319500
