Symbol,Date,Open,High,Low,Close,Volume
APL,01-Jan-2014,502.75,508.00,500.00,503.43,30800
APL,02-Jan-2014,503.05,511.00,500.00,509.50,61500
APL,03-Jan-2014,510.00,514.00,508.00,509.17,64600
APL,06-Jan-2014,510.00,513.00,508.00,509.46,17700
APL,07-Jan-2014,508.24,511.00,506.05,507.65,35300
APL,08-Jan-2014,510.00,511.00,508.00,509.23,17700
APL,09-Jan-2014,510.99,512.00,499.00,501.55,90800
APL,10-Jan-2014,503.85,505.00,499.10,500.03,86300
APL,13-Jan-2014,503.80,506.70,502.00,502.79,26400
APL,15-Jan-2014,504.00,510.18,504.00,505.18,61300
APL,16-Jan-2014,508.00,514.00,506.50,513.22,119400
APL,17-Jan-2014,513.98,525.00,511.30,520.28,145900
APL,20-Jan-2014,524.19,527.00,518.00,520.43,39900
APL,21-Jan-2014,524.00,528.00,521.50,525.10,85900
APL,22-Jan-2014,528.00,531.99,504.11,508.65,339500
APL,23-Jan-2014,510.50,518.00,508.02,515.19,47300
APL,24-Jan-2014,515.00,528.00,509.50,512.61,160100
APL,27-Jan-2014,513.00,515.98,511.50,512.04,34200
APL,28-Jan-2014,515.00,516.00,507.00,507.91,66600
APL,29-Jan-2014,509.99,513.00,508.51,509.04,66200
APL,30-Jan-2014,509.00,522.00,509.00,520.28,95800
APL,31-Jan-2014,522.35,535.00,520.30,532.08,90900
APL,03-Feb-2014,528.00,551.98,528.00,549.08,195100
APL,04-Feb-2014,545.09,549.50,535.00,536.34,51300
APL,06-Feb-2014,518.00,518.00,508.00,509.75,230500
APL,07-Feb-2014,510.25,510.99,503.00,504.89,29200
APL,10-Feb-2014,505.10,506.00,497.61,504.27,49900
APL,11-Feb-2014,506.50,509.00,503.00,503.15,20900
APL,12-Feb-2014,507.00,512.00,505.00,507.38,49700
APL,13-Feb-2014,508.98,510.50,505.00,506.79,35300
APL,14-Feb-2014,506.25,509.00,506.20,507.99,15200
APL,17-Feb-2014,509.99,511.99,501.05,504.73,49600
APL,18-Feb-2014,502.00,506.99,499.20,504.99,51100
APL,19-Feb-2014,508.99,508.99,503.25,503.93,21900
APL,20-Feb-2014,502.00,504.00,500.00,502.02,9700
APL,21-Feb-2014,502.50,503.50,500.00,500.65,26900
APL,24-Feb-2014,500.00,505.00,500.00,501.45,22700
APL,25-Feb-2014,502.00,504.00,499.00,500.67,13400
APL,26-Feb-2014,500.01,501.00,496.00,496.82,24100
APL,27-Feb-2014,502.00,502.00,496.00,497.20,11200
APL,28-Feb-2014,495.50,500.00,495.50,499.89,13800
APL,03-Mar-2014,503.95,504.90,499.30,502.45,19600
APL,04-Mar-2014,502.00,507.50,501.60,506.54,21400
APL,05-Mar-2014,506.02,516.00,506.01,514.56,59700
APL,06-Mar-2014,514.90,526.00,514.90,522.58,71100
APL,07-Mar-2014,523.00,529.00,522.00,528.64,43800
APL,10-Mar-2014,526.00,540.00,526.00,539.05,78900
APL,11-Mar-2014,540.00,542.00,537.00,538.97,31000
APL,12-Mar-2014,540.00,551.00,540.00,546.23,65300
APL,13-Mar-2014,547.00,549.99,536.51,538.52,14200
APL,14-Mar-2014,535.00,545.99,535.00,539.78,7800
APL,17-Mar-2014,542.01,550.00,540.00,547.03,25000
