Symbol,Date,Open,High,Low,Close,Volume
ARCTM,26-May-2022,12.65,12.65,10.65,10.65,17000
ARCTM,30-May-2022,10.01,10.01,10.00,10.00,16000
ARCTM,01-Jun-2022,10.20,10.99,10.20,10.79,4500
ARCTM,03-Jun-2022,10.01,10.01,10.01,10.01,1000
ARCTM,06-Jun-2022,10.02,10.02,10.02,10.02,1000
ARCTM,13-Jul-2022,9.06,9.10,9.02,9.02,5500
ARCTM,15-Jul-2022,8.50,9.45,8.25,9.45,6000
ARCTM,05-Aug-2022,8.22,9.00,8.22,9.00,3000
ARCTM,10-Aug-2022,9.25,9.25,9.25,9.25,500
ARCTM,16-Aug-2022,9.49,9.49,9.00,9.00,5500
ARCTM,24-Aug-2022,8.99,10.00,8.99,9.88,15000
ARCTM,25-Aug-2022,10.79,10.88,10.79,10.88,9500
ARCTM,26-Aug-2022,11.88,11.88,10.01,11.88,71000
ARCTM,29-Aug-2022,11.50,12.88,11.50,12.88,53500
ARCTM,30-Aug-2022,13.88,13.88,13.88,13.88,42000
ARCTM,31-Aug-2022,14.50,14.92,13.56,14.48,106000
ARCTM,01-Sep-2022,13.51,14.20,13.41,13.59,32000
ARCTM,02-Sep-2022,13.01,14.60,13.00,14.60,72500
ARCTM,05-Sep-2022,15.49,15.69,15.40,15.69,40000
ARCTM,06-Sep-2022,15.40,15.40,15.00,15.10,2500
ARCTM,07-Sep-2022,14.75,14.75,14.01,14.09,12500
ARCTM,08-Sep-2022,14.30,14.50,13.81,14.02,7500
ARCTM,09-Sep-2022,14.02,15.07,14.02,15.04,81500
ARCTM,12-Sep-2022,15.00,15.00,15.00,15.00,1000
ARCTM,13-Sep-2022,14.80,15.29,14.66,14.86,14000
ARCTM,14-Sep-2022,14.50,15.97,14.30,15.70,62500
ARCTM,15-Sep-2022,15.75,15.75,15.00,15.42,15500
ARCTM,16-Sep-2022,14.95,14.95,14.75,14.79,4500
ARCTM,19-Sep-2022,14.70,15.89,14.00,14.26,147500
ARCTM,20-Sep-2022,13.62,13.62,13.62,13.62,500
ARCTM,21-Sep-2022,13.60,13.60,13.60,13.60,1000
ARCTM,26-Sep-2022,14.20,14.20,14.20,14.20,500
ARCTM,27-Sep-2022,14.00,14.05,14.00,14.00,19000
ARCTM,28-Sep-2022,14.00,14.00,13.50,13.50,1500
ARCTM,30-Sep-2022,13.85,13.85,13.50,13.85,1500
ARCTM,03-Oct-2022,13.50,14.88,13.30,14.27,24000
ARCTM,04-Oct-2022,15.00,15.00,13.50,14.30,23000
ARCTM,06-Oct-2022,13.70,14.25,13.70,14.25,1500
ARCTM,07-Oct-2022,13.85,13.85,13.80,13.83,2000
ARCTM,10-Oct-2022,13.75,13.75,13.40,13.40,11000
ARCTM,18-Oct-2022,13.40,14.30,13.40,14.30,11500
ARCTM,20-Oct-2022,14.98,14.98,14.98,14.98,500
ARCTM,21-Oct-2022,15.00,15.25,15.00,15.25,1500
ARCTM,26-Oct-2022,14.11,14.11,14.11,14.11,1000
