Symbol,Date,Open,High,Low,Close,Volume
ARM,02-Jan-2014,39.50,39.50,39.50,39.50,2000
ARM,06-Jan-2014,41.47,41.47,41.47,41.47,500
ARM,07-Jan-2014,43.54,43.54,43.54,43.54,500
ARM,08-Jan-2014,44.00,44.00,44.00,44.00,500
ARM,13-Jan-2014,43.00,44.00,43.00,44.00,2000
ARM,15-Jan-2014,44.00,44.00,44.00,44.00,500
ARM,16-Jan-2014,44.00,44.00,44.00,44.00,1000
ARM,17-Jan-2014,44.00,46.00,44.00,46.00,3000
ARM,24-Jan-2014,46.00,46.00,46.00,46.00,2000
ARM,30-Jan-2014,47.00,48.00,47.00,48.00,4000
ARM,31-Jan-2014,48.00,48.00,48.00,48.00,3000
ARM,03-Feb-2014,49.00,50.40,49.00,50.40,2500
ARM,04-Feb-2014,51.00,52.80,50.80,51.00,5000
ARM,06-Feb-2014,51.00,51.05,51.00,51.00,19000
ARM,07-Feb-2014,51.00,51.00,51.00,51.00,1000
ARM,10-Feb-2014,51.00,51.00,50.50,51.00,12500
ARM,11-Feb-2014,51.00,51.00,51.00,51.00,3000
ARM,12-Feb-2014,51.00,51.00,51.00,51.00,500
ARM,17-Feb-2014,51.00,51.00,51.00,51.00,1000
ARM,18-Feb-2014,51.00,52.00,51.00,51.00,12000
ARM,21-Feb-2014,51.00,51.00,51.00,51.00,12500
ARM,26-Feb-2014,51.01,51.01,51.00,51.01,1000
ARM,28-Feb-2014,51.00,51.00,51.00,51.00,2000
ARM,05-Mar-2014,51.00,51.00,51.00,51.00,500
ARM,20-Mar-2014,52.90,52.90,52.90,52.90,500
ARM,26-Mar-2014,51.05,51.05,51.00,51.00,4500
ARM,27-Mar-2014,51.50,51.50,51.50,51.50,6000
ARM,31-Mar-2014,51.90,52.00,51.90,52.00,2000
ARM,04-Apr-2014,52.00,52.00,52.00,52.00,5000
ARM,07-Apr-2014,52.00,52.00,52.00,52.00,2000
ARM,08-Apr-2014,52.90,52.90,52.90,52.90,1000
ARM,09-Apr-2014,52.89,52.90,52.89,52.90,1500
ARM,10-Apr-2014,53.90,53.90,53.90,53.90,1000
ARM,11-Apr-2014,52.01,52.01,51.25,52.00,10000
ARM,16-Apr-2014,52.00,52.00,52.00,52.00,1000
ARM,18-Apr-2014,52.00,52.00,52.00,52.00,1000
ARM,21-Apr-2014,52.50,52.50,52.50,52.50,500
ARM,23-Apr-2014,52.90,52.90,52.90,52.90,2000
ARM,25-Apr-2014,53.90,53.90,53.90,53.90,1000
ARM,29-Apr-2014,53.00,53.90,53.00,53.80,15500
ARM,30-Apr-2014,53.06,53.06,53.05,53.05,1000
ARM,02-May-2014,53.00,53.00,53.00,53.00,1000
ARM,05-May-2014,53.00,53.00,53.00,53.00,11000
ARM,06-May-2014,53.00,53.00,53.00,53.00,21000
ARM,08-May-2014,53.00,53.00,53.00,53.00,11000
ARM,13-May-2014,53.01,53.01,53.00,53.00,5500
ARM,16-May-2014,52.01,52.01,52.01,52.01,2500
ARM,21-May-2014,53.00,53.85,53.00,53.85,2500
ARM,23-May-2014,53.00,53.00,53.00,53.00,500
ARM,28-May-2014,53.90,54.00,53.90,54.00,6500
ARM,03-Jun-2014,54.50,54.50,54.00,54.00,5500
ARM,06-Jun-2014,54.00,54.00,54.00,54.00,1000
ARM,12-Jun-2014,54.00,54.00,54.00,54.00,500
ARM,17-Jun-2014,54.00,54.00,54.00,54.00,3000
ARM,19-Jun-2014,54.00,54.00,54.00,54.00,7000
ARM,20-Jun-2014,54.00,54.00,54.00,54.00,5000
ARM,23-Jun-2014,54.00,54.00,54.00,54.00,5000
ARM,26-Jun-2014,54.05,54.05,54.00,54.00,10000
ARM,30-Jun-2014,54.00,56.70,54.00,56.70,15500
ARM,18-Jul-2014,54.00,54.00,54.00,54.00,10000
ARM,11-Aug-2014,51.32,51.32,51.31,51.31,1000
ARM,28-Aug-2014,51.00,53.87,51.00,53.85,14000
ARM,02-Sep-2014,54.00,54.00,54.00,54.00,2500
ARM,03-Sep-2014,54.00,54.00,54.00,54.00,1000
ARM,04-Sep-2014,55.00,55.00,55.00,55.00,500
ARM,05-Sep-2014,56.00,57.70,56.00,56.14,12000
ARM,10-Sep-2014,57.50,57.50,57.50,57.50,500
ARM,16-Sep-2014,56.95,60.34,56.95,60.34,23500
ARM,17-Sep-2014,61.30,62.90,61.30,62.35,25000
ARM,18-Sep-2014,63.00,64.90,63.00,64.75,9500
ARM,19-Sep-2014,65.00,65.00,65.00,65.00,500
ARM,22-Sep-2014,66.85,66.85,66.85,66.85,500
ARM,23-Sep-2014,65.00,65.00,65.00,65.00,4500
ARM,26-Sep-2014,61.75,61.75,61.75,61.75,3000
ARM,02-Oct-2014,60.00,60.00,59.00,59.00,2000
ARM,09-Oct-2014,58.01,61.94,58.01,61.94,1000
ARM,10-Oct-2014,64.89,64.90,64.89,64.90,5500
ARM,13-Oct-2014,62.15,62.15,62.10,62.14,3500
ARM,14-Oct-2014,65.00,65.00,62.00,63.50,2500
ARM,16-Oct-2014,65.80,66.67,65.80,66.67,5000
ARM,17-Oct-2014,68.95,68.95,68.95,68.95,2500
ARM,20-Oct-2014,65.52,66.40,65.51,65.81,3500
ARM,21-Oct-2014,64.00,66.01,64.00,65.74,7000
ARM,22-Oct-2014,56.25,58.50,56.25,58.50,3000
ARM,27-Oct-2014,55.60,55.60,55.58,55.58,12500
ARM,07-Nov-2014,52.85,52.85,52.85,52.85,2500
ARM,10-Nov-2014,51.10,51.10,51.10,51.10,500
ARM,11-Nov-2014,50.70,50.70,50.70,50.70,1000
ARM,17-Nov-2014,53.00,53.00,51.50,51.50,1500
ARM,26-Nov-2014,51.50,51.50,51.50,51.50,2000
ARM,01-Dec-2014,51.50,52.00,50.00,52.00,35500
ARM,02-Dec-2014,52.50,52.50,52.50,52.50,1500
ARM,08-Dec-2014,50.00,51.00,50.00,51.00,2000
ARM,10-Dec-2014,51.00,51.01,51.00,51.01,3500
ARM,11-Dec-2014,51.90,51.90,50.50,50.50,2000
ARM,12-Dec-2014,51.87,51.87,51.00,51.00,1000
ARM,18-Dec-2014,50.50,51.50,50.50,51.50,2500
ARM,24-Dec-2014,51.74,51.74,51.74,51.74,500
ARM,29-Dec-2014,50.50,50.50,50.50,50.50,500
ARM,02-Jan-2015,51.70,51.70,51.70,51.70,500
ARM,07-Jan-2015,51.00,51.00,51.00,51.00,500
ARM,15-Jan-2015,50.50,50.50,50.50,50.50,1000
ARM,19-Jan-2015,49.39,49.49,49.39,49.49,1000
ARM,21-Jan-2015,49.50,49.50,49.50,49.50,1000
ARM,23-Jan-2015,48.20,48.20,48.20,48.20,1000
ARM,26-Jan-2015,47.73,47.73,47.70,47.70,1000
ARM,03-Feb-2015,45.50,45.50,45.50,45.50,2000
ARM,11-Feb-2015,47.00,47.75,47.00,47.56,21000
ARM,16-Feb-2015,46.00,46.00,46.00,46.00,500
ARM,18-Feb-2015,45.00,45.00,45.00,45.00,500
ARM,19-Feb-2015,46.00,46.00,46.00,46.00,500
ARM,23-Feb-2015,47.50,47.50,47.50,47.50,500
ARM,24-Feb-2015,45.25,45.90,45.25,45.90,25000
ARM,18-Mar-2015,43.62,43.65,43.61,43.65,7000
ARM,19-Mar-2015,41.50,41.50,41.47,41.47,1500
ARM,30-Mar-2015,39.40,39.40,39.40,39.40,1000
ARM,01-Apr-2015,40.00,40.00,40.00,40.00,500
ARM,02-Apr-2015,40.30,40.30,40.30,40.30,500
ARM,06-Apr-2015,40.00,40.00,40.00,40.00,1000
ARM,07-Apr-2015,41.90,41.90,41.50,41.90,1000
ARM,10-Apr-2015,40.00,40.00,40.00,40.00,12500
ARM,13-Apr-2015,39.80,39.80,39.80,39.80,500
ARM,14-Apr-2015,40.00,40.00,40.00,40.00,1500
ARM,17-Apr-2015,40.00,40.00,40.00,40.00,2500
ARM,20-Apr-2015,40.00,40.00,40.00,40.00,500
ARM,21-Apr-2015,38.50,40.00,38.50,40.00,7500
ARM,22-Apr-2015,39.39,39.39,39.39,39.39,1000
ARM,27-Apr-2015,38.55,38.55,38.50,38.50,2500
ARM,30-Apr-2015,37.50,37.50,37.50,37.50,1000
ARM,05-May-2015,38.00,38.00,38.00,38.00,1500
ARM,06-May-2015,39.00,39.00,39.00,39.00,500
ARM,13-May-2015,40.00,40.00,40.00,40.00,500
ARM,21-May-2015,39.10,39.10,38.00,38.00,5000
ARM,03-Jun-2015,39.65,39.65,39.65,39.65,5000
ARM,04-Jun-2015,39.64,39.90,39.64,39.90,37000
ARM,05-Jun-2015,39.65,39.90,39.65,39.90,35000
ARM,15-Jun-2015,39.65,39.65,38.25,38.25,5000
ARM,22-Jun-2015,39.60,39.90,39.60,39.69,2000
ARM,23-Jun-2015,39.90,39.90,39.90,39.90,10000
ARM,29-Jun-2015,40.90,40.90,40.90,40.90,1000
ARM,30-Jun-2015,40.90,40.90,40.90,40.90,4500
ARM,01-Jul-2015,40.90,40.90,40.90,40.90,2000
ARM,07-Jul-2015,40.05,40.05,40.00,40.03,1000
ARM,08-Jul-2015,39.50,39.50,39.50,39.50,1500
ARM,09-Jul-2015,40.00,40.00,40.00,40.00,3000
ARM,10-Jul-2015,39.50,39.50,39.50,39.50,2000
ARM,14-Jul-2015,40.00,40.45,39.90,39.90,6500
ARM,15-Jul-2015,40.00,40.45,40.00,40.45,37500
ARM,16-Jul-2015,40.45,40.45,40.45,40.45,40500
ARM,22-Jul-2015,40.45,40.45,40.25,40.25,37000
ARM,23-Jul-2015,40.45,40.45,40.45,40.45,30000
ARM,24-Jul-2015,40.00,40.10,40.00,40.10,2500
ARM,27-Jul-2015,40.40,40.45,40.00,40.00,10500
ARM,28-Jul-2015,38.50,40.01,38.50,40.01,1500
ARM,29-Jul-2015,40.40,40.45,40.40,40.45,6500
ARM,30-Jul-2015,40.45,41.25,40.45,40.96,14000
ARM,04-Aug-2015,40.00,40.20,39.82,40.20,7000
ARM,05-Aug-2015,40.90,41.50,40.00,41.50,19000
ARM,06-Aug-2015,41.50,41.50,41.45,41.45,5000
ARM,07-Aug-2015,41.44,41.45,41.44,41.45,2500
ARM,10-Aug-2015,40.51,40.51,40.00,40.13,6500
ARM,13-Aug-2015,41.00,41.00,41.00,41.00,1000
ARM,17-Aug-2015,40.90,40.90,40.00,40.89,5500
ARM,18-Aug-2015,40.90,40.90,40.88,40.88,1000
ARM,21-Aug-2015,38.84,39.00,38.84,38.84,4500
ARM,27-Aug-2015,39.80,40.78,39.80,40.78,47500
ARM,28-Aug-2015,42.81,42.81,42.00,42.81,27500
ARM,31-Aug-2015,43.00,43.00,42.99,43.00,4500
ARM,01-Sep-2015,41.50,43.00,41.50,43.00,6000
ARM,02-Sep-2015,42.00,44.00,42.00,44.00,8500
ARM,03-Sep-2015,42.00,42.16,41.80,41.81,22000
ARM,08-Sep-2015,41.00,41.00,41.00,41.00,1000
ARM,09-Sep-2015,40.25,41.88,40.25,41.88,6500
ARM,10-Sep-2015,40.90,40.90,40.51,40.63,2000
ARM,11-Sep-2015,41.90,41.95,41.60,41.83,4000
ARM,14-Sep-2015,40.51,40.51,39.75,39.75,4000
ARM,15-Sep-2015,40.90,40.90,40.90,40.90,500
ARM,16-Sep-2015,41.00,41.70,39.00,39.40,13500
ARM,17-Sep-2015,40.00,40.00,40.00,40.00,1000
ARM,18-Sep-2015,40.00,40.00,40.00,40.00,1000
ARM,29-Sep-2015,40.00,40.00,40.00,40.00,1000
ARM,01-Oct-2015,40.10,40.10,40.08,40.10,5500
ARM,02-Oct-2015,40.00,40.00,40.00,40.00,500
ARM,05-Oct-2015,40.00,40.00,39.99,39.99,6000
ARM,06-Oct-2015,39.99,40.00,39.99,40.00,4500
ARM,07-Oct-2015,38.50,39.00,38.50,39.00,1000
ARM,09-Oct-2015,39.99,39.99,39.50,39.50,20000
ARM,13-Oct-2015,39.19,39.50,39.03,39.50,2500
ARM,14-Oct-2015,38.50,39.00,38.50,38.50,1500
ARM,15-Oct-2015,39.00,39.25,38.60,38.60,5000
ARM,16-Oct-2015,38.75,38.75,38.75,38.75,5000
ARM,19-Oct-2015,39.00,39.00,38.50,38.50,2500
ARM,20-Oct-2015,38.50,38.75,38.50,38.50,4000
ARM,21-Oct-2015,38.00,38.00,37.63,37.64,11500
ARM,22-Oct-2015,35.90,35.90,35.90,35.90,500
ARM,26-Oct-2015,34.12,34.40,34.11,34.11,3000
ARM,27-Oct-2015,34.25,34.25,34.25,34.25,500
ARM,30-Oct-2015,32.60,32.60,32.56,32.58,1000
ARM,02-Nov-2015,33.00,33.00,33.00,33.00,1500
ARM,04-Nov-2015,32.50,32.50,32.50,32.50,1000
ARM,09-Nov-2015,31.00,31.00,30.90,30.90,1500
ARM,10-Nov-2015,31.00,31.00,31.00,31.00,500
ARM,11-Nov-2015,31.80,31.90,31.80,31.90,6000
ARM,16-Nov-2015,31.74,31.90,31.74,31.85,8000
ARM,17-Nov-2015,28.91,30.00,28.91,30.00,8500
ARM,20-Nov-2015,30.00,30.00,30.00,30.00,2500
ARM,23-Nov-2015,30.00,30.00,29.50,29.50,2500
ARM,24-Nov-2015,29.95,29.95,29.90,29.90,6000
ARM,25-Nov-2015,29.20,29.20,29.20,29.20,4000
ARM,26-Nov-2015,29.01,29.01,29.00,29.00,5000
ARM,27-Nov-2015,29.85,29.85,29.85,29.85,500
ARM,01-Dec-2015,29.00,29.00,29.00,29.00,18000
ARM,02-Dec-2015,27.55,30.45,27.55,30.45,22000
ARM,03-Dec-2015,31.97,31.97,31.97,31.97,500
ARM,04-Dec-2015,33.25,33.25,30.38,30.38,3000
ARM,07-Dec-2015,28.87,28.91,28.87,28.90,13000
ARM,09-Dec-2015,28.50,28.50,28.00,28.00,2000
ARM,16-Dec-2015,26.75,27.50,26.70,27.50,2000
ARM,18-Dec-2015,27.00,27.00,27.00,27.00,500
ARM,21-Dec-2015,27.50,27.50,27.50,27.50,500
ARM,22-Dec-2015,27.90,27.90,27.90,27.90,500
ARM,23-Dec-2015,28.00,28.35,28.00,28.35,2500
ARM,28-Dec-2015,28.35,28.35,28.35,28.35,500
ARM,30-Dec-2015,29.00,29.69,29.00,29.69,1000
ARM,31-Dec-2015,30.49,30.49,29.99,30.00,1500
ARM,05-Jan-2016,29.00,29.00,29.00,29.00,500
ARM,06-Jan-2016,27.55,27.56,27.55,27.55,16000
ARM,08-Jan-2016,26.45,26.45,26.18,26.18,5500
ARM,12-Jan-2016,25.00,25.00,25.00,25.00,3000
ARM,13-Jan-2016,26.00,26.00,26.00,26.00,500
ARM,19-Jan-2016,27.27,27.27,27.27,27.27,500
ARM,26-Jan-2016,28.49,28.63,28.20,28.20,5500
ARM,27-Jan-2016,28.85,28.90,28.85,28.89,2500
ARM,02-Feb-2016,28.73,28.73,28.73,28.73,500
ARM,08-Feb-2016,28.50,28.50,28.50,28.50,500
ARM,16-Feb-2016,27.08,27.08,27.08,27.08,500
ARM,19-Feb-2016,25.80,25.80,25.80,25.80,500
ARM,22-Feb-2016,24.60,24.60,24.51,24.51,1000
ARM,24-Feb-2016,23.31,23.31,23.30,23.30,10500
ARM,25-Feb-2016,23.00,23.00,23.00,23.00,500
ARM,08-Mar-2016,22.60,22.60,22.60,22.60,500
ARM,09-Mar-2016,21.61,21.61,21.61,21.61,1000
ARM,11-Mar-2016,21.00,21.02,21.00,21.02,1500
ARM,14-Mar-2016,21.15,21.45,21.15,21.45,1500
ARM,17-Mar-2016,22.52,22.52,22.52,22.52,4500
ARM,18-Mar-2016,23.50,23.64,23.50,23.64,1500
ARM,24-Mar-2016,24.00,24.00,24.00,24.00,1000
ARM,25-Mar-2016,25.00,25.00,24.00,24.00,4500
ARM,04-Apr-2016,23.50,23.50,23.00,23.50,2000
ARM,05-Apr-2016,23.50,23.50,23.50,23.50,500
ARM,06-Apr-2016,23.50,24.50,23.00,24.50,3500
ARM,07-Apr-2016,24.90,24.90,24.90,24.90,5000
ARM,08-Apr-2016,25.25,25.25,23.66,23.66,5500
ARM,12-Apr-2016,24.75,24.81,24.75,24.81,2000
ARM,14-Apr-2016,24.85,24.90,24.85,24.90,4000
ARM,15-Apr-2016,24.11,24.11,24.05,24.09,3000
ARM,19-Apr-2016,24.11,24.11,24.00,24.00,4000
ARM,25-Apr-2016,23.50,23.53,23.50,23.53,5000
ARM,26-Apr-2016,22.69,22.69,22.59,22.59,1000
