Symbol,Date,Open,High,Low,Close,Volume
ASC,24-Aug-2015,90.25,90.25,90.25,90.25,572000
ASC,25-Aug-2015,85.74,88.95,85.74,87.40,1610500
ASC,26-Aug-2015,87.00,89.49,83.03,83.03,1541500
ASC,27-Aug-2015,82.98,85.75,79.01,79.53,2038500
ASC,28-Aug-2015,80.00,82.84,79.75,80.72,1201500
ASC,31-Aug-2015,81.28,84.75,80.00,84.75,1209000
ASC,01-Sep-2015,86.11,88.35,82.02,83.45,1653000
ASC,02-Sep-2015,82.60,87.62,81.50,87.62,1109000
ASC,03-Sep-2015,89.00,92.00,89.00,92.00,1278500
ASC,04-Sep-2015,95.99,95.99,88.30,90.26,3119000
ASC,07-Sep-2015,90.41,91.80,85.75,85.82,1479500
ASC,08-Sep-2015,87.00,87.99,81.53,84.44,1505500
ASC,09-Sep-2015,86.10,87.40,84.65,85.67,518500
ASC,10-Sep-2015,85.00,86.25,84.11,84.90,275000
ASC,11-Sep-2015,85.90,88.40,82.49,83.99,567500
ASC,14-Sep-2015,83.98,84.50,81.60,82.10,206500
ASC,15-Sep-2015,82.01,86.20,81.30,86.13,1865500
ASC,16-Sep-2015,86.50,87.95,84.42,85.04,778000
ASC,17-Sep-2015,85.40,87.15,83.35,83.89,620500
ASC,18-Sep-2015,84.25,85.00,81.20,81.59,496500
ASC,21-Sep-2015,80.71,82.59,80.30,82.27,461000
ASC,22-Sep-2015,82.90,83.60,81.51,81.80,222500
ASC,23-Sep-2015,81.90,84.50,81.50,84.00,587500
ASC,28-Sep-2015,84.80,86.95,84.00,84.51,1754500
ASC,29-Sep-2015,83.20,83.99,81.76,82.70,697000
ASC,30-Sep-2015,83.80,85.09,81.11,82.10,1172000
ASC,01-Oct-2015,82.11,86.20,82.11,86.07,2417000
ASC,02-Oct-2015,86.50,86.99,84.30,84.65,1190000
ASC,05-Oct-2015,84.52,84.52,82.60,82.82,818500
ASC,06-Oct-2015,83.97,84.75,82.81,83.50,993500
ASC,07-Oct-2015,83.90,85.75,80.02,82.24,2529500
ASC,08-Oct-2015,80.75,86.35,80.75,86.35,2361000
ASC,09-Oct-2015,88.00,90.66,88.00,90.66,657000
ASC,12-Oct-2015,93.00,94.70,92.51,92.96,2582500
ASC,13-Oct-2015,92.60,92.99,90.00,90.47,795000
ASC,14-Oct-2015,90.50,94.99,90.50,93.20,2835000
ASC,15-Oct-2015,93.89,96.99,93.65,96.34,4108500
ASC,16-Oct-2015,96.98,97.98,94.50,96.27,3066500
ASC,19-Oct-2015,96.11,97.30,95.10,95.34,1149000
ASC,20-Oct-2015,95.50,97.90,94.71,95.14,1986500
ASC,21-Oct-2015,95.45,99.89,95.45,99.80,7498000
ASC,22-Oct-2015,101.62,102.90,99.01,99.66,4087500
ASC,26-Oct-2015,100.49,102.48,99.01,100.11,2152500
ASC,27-Oct-2015,101.00,101.79,95.11,96.50,3531500
ASC,28-Oct-2015,97.00,98.80,95.50,96.50,1376000
ASC,29-Oct-2015,96.97,99.78,95.76,99.41,2512500
ASC,30-Oct-2015,100.90,104.38,99.90,100.76,9396500
ASC,02-Nov-2015,101.98,101.98,100.00,100.75,1341000
ASC,03-Nov-2015,101.48,101.80,100.00,100.21,909500
ASC,04-Nov-2015,100.48,100.50,98.12,98.34,926000
ASC,05-Nov-2015,98.50,99.99,97.60,98.06,788500
ASC,06-Nov-2015,98.40,98.89,97.70,97.96,476000
ASC,09-Nov-2015,98.26,101.89,97.75,100.71,2121500
ASC,10-Nov-2015,101.00,101.00,98.00,98.20,782500
ASC,11-Nov-2015,97.30,100.90,96.69,100.45,1005500
ASC,12-Nov-2015,100.65,101.50,100.50,100.80,807000
ASC,13-Nov-2015,100.26,100.90,98.01,98.65,617500
ASC,16-Nov-2015,98.89,98.90,97.50,98.62,339500
ASC,17-Nov-2015,99.00,100.25,98.65,99.04,1011500
ASC,18-Nov-2015,99.50,99.60,96.50,98.35,2120500
ASC,19-Nov-2015,74.00,75.44,73.90,74.60,600500
ASC,20-Nov-2015,74.92,75.40,74.00,74.45,535000
ASC,23-Nov-2015,74.69,74.69,71.01,71.36,396000
ASC,24-Nov-2015,70.61,71.74,68.21,68.72,375500
ASC,25-Nov-2015,69.00,69.25,66.00,66.61,350000
ASC,26-Nov-2015,67.00,68.00,65.61,65.93,262500
ASC,27-Nov-2015,65.10,65.75,64.60,65.05,300500
ASC,30-Nov-2015,65.05,65.05,62.30,62.59,412000
ASC,01-Dec-2015,63.40,65.60,60.75,61.05,642500
ASC,02-Dec-2015,61.25,64.10,60.00,64.05,792500
ASC,03-Dec-2015,64.12,65.50,63.51,64.49,301500
ASC,04-Dec-2015,64.94,65.10,64.07,64.32,158000
ASC,07-Dec-2015,64.50,64.84,63.50,63.69,233500
ASC,08-Dec-2015,63.85,66.87,63.01,66.87,819500
ASC,09-Dec-2015,69.00,69.25,67.50,68.54,667000
ASC,10-Dec-2015,68.74,69.40,67.80,68.15,243500
ASC,11-Dec-2015,68.40,68.40,66.00,66.12,135000
ASC,14-Dec-2015,66.00,66.00,63.80,64.51,182500
ASC,15-Dec-2015,64.00,66.65,64.00,65.14,498500
ASC,16-Dec-2015,65.00,65.80,62.65,63.78,252500
ASC,17-Dec-2015,64.39,66.75,64.11,65.94,613000
ASC,18-Dec-2015,66.99,66.99,65.55,65.90,256500
ASC,21-Dec-2015,65.25,65.90,64.76,64.83,208000
ASC,22-Dec-2015,65.10,65.15,63.70,63.94,147000
ASC,23-Dec-2015,63.99,64.24,63.00,63.09,200500
ASC,28-Dec-2015,62.86,63.95,62.85,63.09,174500
ASC,29-Dec-2015,63.47,63.70,61.36,61.51,393500
ASC,30-Dec-2015,61.60,62.20,61.60,61.76,178000
ASC,31-Dec-2015,61.60,62.50,61.26,62.18,114000
ASC,01-Jan-2016,62.00,64.35,62.00,63.75,278000
ASC,04-Jan-2016,63.75,63.95,62.01,62.95,185000
ASC,05-Jan-2016,62.00,62.39,61.20,62.08,533500
ASC,06-Jan-2016,62.00,63.10,62.00,62.69,262000
ASC,07-Jan-2016,62.50,62.50,61.20,61.30,282500
ASC,08-Jan-2016,61.88,61.88,60.50,60.87,155500
ASC,11-Jan-2016,60.60,61.00,59.70,60.02,168500
ASC,12-Jan-2016,59.50,60.00,57.02,57.14,556000
ASC,13-Jan-2016,57.14,58.39,56.00,56.20,188500
ASC,14-Jan-2016,55.22,55.22,53.39,53.39,904000
ASC,15-Jan-2016,53.30,54.45,50.76,51.43,345000
ASC,18-Jan-2016,50.03,51.49,48.86,50.48,1465000
ASC,19-Jan-2016,51.40,53.00,50.42,53.00,970000
ASC,20-Jan-2016,52.12,54.50,51.60,54.21,707500
ASC,21-Jan-2016,54.50,54.85,52.90,52.99,400000
ASC,22-Jan-2016,53.01,53.98,52.51,53.34,245000
