Symbol,Date,Open,High,Low,Close,Volume
ASHT,01-Jan-2014,16.50,17.00,16.50,16.97,7500
ASHT,02-Jan-2014,17.25,17.26,17.25,17.26,1000
ASHT,03-Jan-2014,17.25,17.25,17.25,17.25,500
ASHT,08-Jan-2014,17.40,17.40,16.95,16.95,2500
ASHT,09-Jan-2014,17.20,17.25,17.01,17.01,4000
ASHT,15-Jan-2014,16.55,16.55,16.51,16.53,1000
ASHT,17-Jan-2014,16.00,16.00,15.60,15.60,1500
ASHT,20-Jan-2014,16.60,16.60,16.60,16.60,2000
ASHT,21-Jan-2014,17.60,17.60,17.60,17.60,5500
ASHT,22-Jan-2014,16.85,18.50,16.85,18.50,2000
ASHT,23-Jan-2014,18.00,18.10,18.00,18.10,1500
ASHT,24-Jan-2014,17.94,17.94,17.94,17.94,500
ASHT,27-Jan-2014,17.89,17.89,17.56,17.56,1000
ASHT,29-Jan-2014,17.00,17.50,17.00,17.50,4500
ASHT,14-Feb-2014,16.50,16.50,16.50,16.50,1000
ASHT,17-Feb-2014,15.50,15.50,15.50,15.50,2500
ASHT,25-Feb-2014,16.25,16.25,16.25,16.25,500
ASHT,26-Feb-2014,15.25,15.25,15.25,15.25,3000
ASHT,28-Feb-2014,14.30,14.30,14.25,14.25,1500
ASHT,10-Mar-2014,13.50,13.50,13.50,13.50,1000
ASHT,11-Mar-2014,13.50,13.50,13.50,13.50,500
ASHT,14-Mar-2014,13.10,13.10,13.00,13.05,1000
ASHT,18-Mar-2014,14.00,14.00,13.00,14.00,9000
ASHT,19-Mar-2014,15.00,15.00,15.00,15.00,500
ASHT,20-Mar-2014,16.00,16.00,14.01,15.74,2000
ASHT,21-Mar-2014,16.74,16.74,16.74,16.74,500
ASHT,24-Mar-2014,17.74,17.74,15.74,15.74,2500
ASHT,26-Mar-2014,14.75,14.75,14.75,14.75,500
ASHT,27-Mar-2014,13.80,13.80,13.75,13.75,2000
ASHT,28-Mar-2014,14.70,14.70,14.70,14.70,500
ASHT,01-Apr-2014,15.43,15.43,15.43,15.43,7000
ASHT,02-Apr-2014,15.85,16.25,15.85,15.98,4000
ASHT,04-Apr-2014,15.00,15.00,14.98,14.99,1000
ASHT,10-Apr-2014,15.90,15.99,15.90,15.99,3000
ASHT,11-Apr-2014,16.90,16.90,16.90,16.90,500
ASHT,14-Apr-2014,17.89,17.89,17.89,17.89,500
ASHT,15-Apr-2014,16.89,17.50,16.89,17.50,2000
ASHT,18-Apr-2014,17.75,18.50,16.50,18.19,11500
ASHT,21-Apr-2014,18.00,19.19,18.00,19.00,2000
ASHT,24-Apr-2014,18.00,19.30,18.00,19.30,1000
ASHT,25-Apr-2014,19.98,19.98,19.98,19.98,500
ASHT,30-Apr-2014,20.00,20.98,19.25,19.25,4500
ASHT,12-May-2014,18.95,20.10,18.95,20.10,12500
ASHT,16-May-2014,20.90,21.10,19.75,19.75,7500
ASHT,19-May-2014,20.50,20.50,18.75,19.44,22500
ASHT,21-May-2014,18.44,19.00,18.44,19.00,1000
ASHT,23-May-2014,18.00,18.00,18.00,18.00,3500
ASHT,27-May-2014,17.00,19.00,17.00,19.00,5500
ASHT,28-May-2014,18.00,19.79,18.00,19.79,4000
ASHT,29-May-2014,20.24,20.24,18.80,18.80,1000
ASHT,04-Jun-2014,19.00,19.00,19.00,19.00,1000
ASHT,05-Jun-2014,19.00,20.00,19.00,19.40,4000
ASHT,19-Jun-2014,19.15,19.15,19.15,19.15,500
ASHT,20-Jun-2014,20.00,20.15,20.00,20.15,1000
ASHT,24-Jun-2014,21.00,21.00,21.00,21.00,500
ASHT,25-Jun-2014,22.00,22.00,22.00,22.00,1000
ASHT,26-Jun-2014,23.10,23.10,20.99,21.39,9000
ASHT,27-Jun-2014,20.33,20.90,20.33,20.33,1000
ASHT,30-Jun-2014,19.32,20.50,19.32,20.50,1000
ASHT,12-Aug-2014,17.52,17.52,17.52,17.52,500
ASHT,03-Sep-2014,16.52,16.52,16.52,16.52,500
ASHT,04-Sep-2014,15.60,15.60,15.60,15.60,500
ASHT,08-Sep-2014,16.01,16.01,16.01,16.01,500
ASHT,09-Sep-2014,16.50,16.50,16.50,16.50,500
ASHT,29-Sep-2014,15.50,15.50,15.50,15.50,500
ASHT,03-Oct-2014,16.50,16.50,16.50,16.50,1500
ASHT,13-Oct-2014,15.50,15.50,15.50,15.50,2000
ASHT,14-Oct-2014,14.50,14.50,14.50,14.50,500
ASHT,15-Oct-2014,14.00,14.00,13.75,13.75,1500
ASHT,23-Oct-2014,13.50,13.50,13.50,13.50,1000
ASHT,12-Nov-2014,13.60,13.60,13.60,13.60,1000
ASHT,13-Nov-2014,13.60,13.60,13.60,13.60,500
ASHT,14-Nov-2014,12.75,12.75,12.75,12.75,500
ASHT,05-Dec-2014,11.77,11.77,11.77,11.77,500
ASHT,16-Dec-2014,10.77,10.77,10.77,10.77,1000
ASHT,07-Jan-2015,10.30,10.45,10.30,10.45,2500
ASHT,08-Jan-2015,10.00,10.50,10.00,10.50,4000
ASHT,09-Jan-2015,10.50,10.50,10.50,10.50,2000
ASHT,15-Jan-2015,11.51,11.51,11.50,11.50,1000
ASHT,19-Jan-2015,12.50,12.50,12.50,12.50,3000
ASHT,21-Jan-2015,13.49,13.49,12.50,12.51,1500
ASHT,22-Jan-2015,12.60,13.00,12.60,13.00,2000
ASHT,26-Jan-2015,12.00,12.00,12.00,12.00,1500
ASHT,30-Jan-2015,12.00,12.00,12.00,12.00,500
ASHT,06-Apr-2015,11.65,11.65,11.65,11.65,500
ASHT,13-Apr-2015,10.15,10.15,10.15,10.15,3000
ASHT,15-Apr-2015,9.50,9.50,9.50,9.50,1500
ASHT,17-Apr-2015,8.46,8.46,8.46,8.46,500
ASHT,20-Apr-2015,8.05,8.05,8.00,8.00,1000
ASHT,21-Apr-2015,8.02,8.02,8.00,8.00,1500
ASHT,29-Apr-2015,8.50,8.50,8.50,8.50,500
ASHT,27-May-2015,7.51,7.51,7.51,7.51,500
ASHT,01-Jun-2015,7.45,7.50,7.45,7.50,2500
ASHT,08-Jun-2015,8.50,8.50,8.50,8.50,1500
