Symbol,Date,Open,High,Low,Close,Volume
ASTL,01-Dec-2015,53.55,53.55,53.55,53.55,20500
ASTL,02-Dec-2015,55.45,56.22,54.71,56.22,6956000
ASTL,03-Dec-2015,56.50,59.03,56.40,59.03,4820500
ASTL,04-Dec-2015,61.75,61.98,60.80,61.98,3087500
ASTL,07-Dec-2015,64.49,65.07,62.13,63.23,7727500
ASTL,08-Dec-2015,63.05,64.50,62.10,62.42,3791000
ASTL,09-Dec-2015,62.50,63.60,61.13,61.39,2946500
ASTL,10-Dec-2015,62.75,62.95,61.51,61.73,3670000
ASTL,11-Dec-2015,61.95,62.70,60.25,60.58,3000000
ASTL,14-Dec-2015,60.80,61.48,58.98,59.73,2827000
ASTL,15-Dec-2015,59.72,60.40,57.75,58.14,2590500
ASTL,16-Dec-2015,58.55,58.73,57.00,57.72,1736500
ASTL,17-Dec-2015,57.80,60.60,57.00,60.60,2836500
ASTL,18-Dec-2015,61.05,62.40,61.01,61.29,2940500
ASTL,21-Dec-2015,61.20,62.75,60.60,61.51,2530000
ASTL,22-Dec-2015,62.00,62.35,61.22,61.42,1092000
ASTL,23-Dec-2015,61.75,61.75,60.10,60.28,793000
ASTL,28-Dec-2015,60.50,61.30,59.70,60.62,1200500
ASTL,29-Dec-2015,60.65,61.20,60.01,60.15,1070000
ASTL,30-Dec-2015,60.49,60.70,59.60,59.74,1147000
ASTL,31-Dec-2015,59.69,60.33,59.16,60.07,791500
ASTL,01-Jan-2016,60.00,61.49,59.21,60.67,1335000
ASTL,04-Jan-2016,60.70,60.70,59.41,59.54,1067500
ASTL,05-Jan-2016,58.39,60.45,57.10,59.76,1681000
ASTL,06-Jan-2016,59.20,61.20,59.20,60.25,2562500
ASTL,07-Jan-2016,60.30,60.65,59.50,59.71,1663000
ASTL,08-Jan-2016,59.98,60.10,59.10,59.27,779500
ASTL,11-Jan-2016,59.55,59.98,58.80,58.93,759000
ASTL,12-Jan-2016,59.00,59.89,58.36,59.02,1389500
ASTL,13-Jan-2016,59.25,61.25,59.10,59.41,3428000
ASTL,14-Jan-2016,59.00,59.00,56.46,56.67,2468500
ASTL,15-Jan-2016,57.40,59.10,56.22,57.83,1869500
ASTL,18-Jan-2016,57.20,58.10,55.11,57.58,2207000
ASTL,19-Jan-2016,58.20,59.75,57.92,59.03,2940000
ASTL,20-Jan-2016,58.49,59.60,58.10,59.43,1794500
ASTL,21-Jan-2016,59.75,60.44,58.60,58.79,1408500
ASTL,22-Jan-2016,59.20,59.50,58.53,58.68,383500
ASTL,25-Jan-2016,58.90,59.50,57.89,58.19,1375500
ASTL,26-Jan-2016,57.95,58.15,56.80,57.47,974500
ASTL,27-Jan-2016,57.69,57.95,57.00,57.06,386000
ASTL,28-Jan-2016,57.05,57.50,56.80,56.92,578000
ASTL,29-Jan-2016,57.01,57.75,56.85,57.15,1428000
ASTL,01-Feb-2016,57.39,57.99,57.11,57.67,830000
ASTL,02-Feb-2016,57.52,58.35,57.50,58.12,1303000
ASTL,03-Feb-2016,57.80,59.30,57.80,59.03,1638000
ASTL,04-Feb-2016,59.40,59.51,58.66,58.87,1016000
ASTL,08-Feb-2016,58.99,59.50,58.65,59.21,1032500
ASTL,09-Feb-2016,59.35,59.35,58.25,58.40,829000
ASTL,10-Feb-2016,58.31,60.50,57.60,59.65,1943500
ASTL,11-Feb-2016,59.39,59.48,57.50,57.66,749500
ASTL,12-Feb-2016,58.00,58.00,56.30,56.74,886500
ASTL,15-Feb-2016,57.68,57.79,56.81,57.01,591000
ASTL,16-Feb-2016,57.55,58.00,54.17,54.43,2274000
ASTL,17-Feb-2016,53.95,54.25,51.83,52.25,2197000
ASTL,18-Feb-2016,52.65,52.80,49.64,49.70,1468000
ASTL,19-Feb-2016,48.90,48.90,47.22,47.23,3384000
ASTL,22-Feb-2016,46.53,46.75,44.87,44.87,1506000
ASTL,23-Feb-2016,44.25,45.70,42.65,44.21,1380500
ASTL,24-Feb-2016,44.99,46.25,44.00,46.00,2276500
ASTL,25-Feb-2016,46.49,48.30,46.25,48.12,2450000
ASTL,26-Feb-2016,48.90,50.30,48.30,50.02,2055000
ASTL,29-Feb-2016,49.81,50.75,48.50,49.32,1399500
ASTL,01-Mar-2016,48.35,49.14,48.25,48.96,241000
ASTL,02-Mar-2016,49.25,50.75,49.05,50.17,1750500
ASTL,03-Mar-2016,50.10,50.35,48.30,48.54,539000
ASTL,04-Mar-2016,48.70,49.50,48.55,48.69,436000
ASTL,07-Mar-2016,48.91,50.25,48.80,50.00,722000
ASTL,08-Mar-2016,51.00,52.50,50.30,52.34,3170500
ASTL,09-Mar-2016,52.00,52.20,50.51,50.93,717000
ASTL,10-Mar-2016,51.25,51.70,50.07,50.23,345000
ASTL,11-Mar-2016,50.40,50.90,49.50,50.52,305500
ASTL,14-Mar-2016,50.72,51.12,50.20,50.60,242500
ASTL,15-Mar-2016,49.41,49.98,49.17,49.38,231000
ASTL,16-Mar-2016,49.65,50.20,49.15,49.89,258500
ASTL,17-Mar-2016,50.43,50.43,49.45,49.53,294000
ASTL,18-Mar-2016,49.05,49.55,48.00,48.58,367000
ASTL,21-Mar-2016,49.50,51.00,49.50,51.00,1439000
ASTL,22-Mar-2016,51.77,51.88,50.80,51.15,1534000
ASTL,24-Mar-2016,51.52,52.63,51.35,51.89,2316500
ASTL,25-Mar-2016,51.95,52.20,51.50,52.03,680000
ASTL,28-Mar-2016,52.00,52.00,51.01,51.27,211000
ASTL,29-Mar-2016,51.39,51.65,51.20,51.49,298500
ASTL,30-Mar-2016,51.55,52.48,51.50,52.20,763000
ASTL,31-Mar-2016,52.40,52.75,51.85,52.17,759500
ASTL,01-Apr-2016,52.00,54.20,52.00,53.70,1008000
ASTL,04-Apr-2016,53.85,55.00,52.40,54.76,1156500
ASTL,05-Apr-2016,54.85,56.09,54.85,55.40,1117500
ASTL,06-Apr-2016,55.00,57.65,54.80,56.40,1484500
ASTL,07-Apr-2016,56.89,57.60,56.05,56.81,1167000
ASTL,08-Apr-2016,57.40,57.70,56.50,56.80,293500
ASTL,11-Apr-2016,57.00,57.40,54.15,55.00,686000
ASTL,12-Apr-2016,54.50,55.20,54.30,55.05,337500
ASTL,13-Apr-2016,55.39,55.50,53.85,54.43,187500
ASTL,14-Apr-2016,54.45,55.49,54.20,54.34,195000
ASTL,15-Apr-2016,54.70,55.85,54.40,54.78,517000
ASTL,18-Apr-2016,54.98,55.00,54.00,54.25,127500
ASTL,19-Apr-2016,53.90,54.39,53.86,53.93,152500
ASTL,20-Apr-2016,54.30,54.80,53.90,54.02,226000
ASTL,21-Apr-2016,54.50,55.23,52.50,53.37,413000
ASTL,22-Apr-2016,54.00,54.50,52.80,53.35,1258500
ASTL,25-Apr-2016,53.30,53.35,51.81,52.09,287500
ASTL,26-Apr-2016,52.00,52.45,51.76,51.92,242500
ASTL,27-Apr-2016,51.99,52.74,51.99,52.37,250500
ASTL,28-Apr-2016,52.80,53.74,52.30,53.02,860000
ASTL,29-Apr-2016,52.80,53.00,52.35,52.49,151500
ASTL,02-May-2016,52.01,52.74,52.01,52.32,97000
ASTL,03-May-2016,52.25,52.85,52.00,52.33,200000
ASTL,04-May-2016,52.33,53.00,51.75,51.91,912500
ASTL,05-May-2016,52.06,52.20,51.80,51.86,370500
ASTL,06-May-2016,52.00,52.25,51.45,51.73,316000
ASTL,09-May-2016,51.99,52.55,51.50,52.25,541000
ASTL,10-May-2016,52.25,53.42,51.91,53.26,1142000
ASTL,11-May-2016,53.40,53.98,52.35,52.51,824500
ASTL,12-May-2016,52.26,53.49,52.25,52.64,1241500
ASTL,13-May-2016,52.70,54.00,52.50,53.05,1142500
ASTL,16-May-2016,53.15,53.49,52.50,52.56,537000
ASTL,17-May-2016,52.86,53.75,52.55,52.78,667000
ASTL,18-May-2016,52.80,53.10,52.65,52.81,346500
ASTL,19-May-2016,52.61,53.70,52.61,53.13,861000
ASTL,20-May-2016,53.05,53.11,52.18,52.31,874500
ASTL,23-May-2016,52.50,52.60,52.13,52.50,269000
ASTL,24-May-2016,52.50,52.50,52.15,52.30,631000
ASTL,25-May-2016,52.50,52.50,51.82,52.14,202500
ASTL,26-May-2016,52.40,52.44,51.85,51.92,277000
ASTL,27-May-2016,52.23,52.24,51.90,52.03,176000
ASTL,30-May-2016,52.00,52.34,51.11,51.24,429000
ASTL,31-May-2016,51.11,51.60,50.75,50.91,377500
ASTL,01-Jun-2016,50.99,51.55,50.81,51.49,131000
ASTL,02-Jun-2016,51.50,51.69,51.26,51.55,103500
ASTL,03-Jun-2016,51.25,52.50,50.98,51.95,617500
ASTL,06-Jun-2016,51.60,51.84,51.00,51.07,127500
ASTL,07-Jun-2016,51.00,51.25,50.10,50.21,136000
ASTL,08-Jun-2016,50.00,50.80,50.00,50.01,522500
ASTL,09-Jun-2016,50.20,50.50,48.80,49.01,386000
ASTL,10-Jun-2016,49.00,49.00,47.50,47.72,507000
ASTL,13-Jun-2016,47.01,48.20,47.00,47.13,333000
ASTL,14-Jun-2016,47.44,47.99,47.35,47.47,420000
ASTL,15-Jun-2016,47.81,47.99,46.47,47.07,5702000
ASTL,16-Jun-2016,47.70,48.20,47.01,47.31,1325500
ASTL,17-Jun-2016,47.20,47.50,46.80,47.02,134000
ASTL,20-Jun-2016,47.30,47.47,46.90,47.09,123500
ASTL,21-Jun-2016,47.01,47.35,46.90,47.08,254500
ASTL,22-Jun-2016,46.96,47.48,46.80,46.87,223000
ASTL,23-Jun-2016,47.25,47.25,46.30,46.51,1540000
ASTL,24-Jun-2016,46.80,47.09,44.30,45.80,941000
ASTL,27-Jun-2016,46.00,46.38,45.21,45.37,494500
ASTL,28-Jun-2016,45.70,46.20,45.06,45.32,203500
ASTL,29-Jun-2016,45.65,47.15,45.65,46.98,399000
ASTL,30-Jun-2016,46.18,47.40,46.18,47.02,129000
ASTL,04-Jul-2016,46.60,47.20,46.60,46.90,74500
ASTL,11-Jul-2016,47.00,47.99,46.92,47.82,523000
ASTL,12-Jul-2016,48.00,48.75,47.45,48.53,704500
ASTL,13-Jul-2016,48.75,48.99,47.90,48.02,260000
ASTL,14-Jul-2016,48.01,49.40,48.00,48.39,542500
ASTL,15-Jul-2016,48.48,50.80,48.45,50.80,1610000
ASTL,18-Jul-2016,51.80,53.34,51.05,53.34,2793500
ASTL,19-Jul-2016,53.98,54.40,52.80,54.08,1949000
ASTL,20-Jul-2016,54.38,54.38,53.05,53.90,692000
ASTL,21-Jul-2016,53.90,54.90,53.50,54.59,1457500
ASTL,22-Jul-2016,55.00,57.20,54.75,56.24,4219000
ASTL,25-Jul-2016,56.03,57.25,55.31,56.26,1532000
ASTL,26-Jul-2016,56.00,57.00,55.40,56.60,1157000
ASTL,27-Jul-2016,56.60,56.69,55.85,56.05,533000
ASTL,28-Jul-2016,56.03,56.60,55.06,55.66,628000
ASTL,29-Jul-2016,55.00,55.99,54.91,55.40,199000
ASTL,01-Aug-2016,55.40,55.84,54.90,55.02,799000
ASTL,02-Aug-2016,55.00,55.50,54.65,54.86,337000
ASTL,03-Aug-2016,54.90,57.60,54.70,57.06,3335000
ASTL,04-Aug-2016,57.15,57.70,56.75,56.78,618000
ASTL,05-Aug-2016,56.30,56.80,56.00,56.02,326000
ASTL,08-Aug-2016,56.00,56.40,55.40,56.20,371500
ASTL,09-Aug-2016,56.00,56.19,56.00,56.02,327000
ASTL,10-Aug-2016,56.00,56.47,55.75,56.20,202500
ASTL,11-Aug-2016,56.70,56.70,55.50,55.78,434000
ASTL,12-Aug-2016,55.65,56.70,55.45,56.00,1206500
ASTL,15-Aug-2016,56.01,56.35,55.70,56.07,237000
ASTL,16-Aug-2016,56.00,58.85,55.90,57.88,2493000
ASTL,17-Aug-2016,58.00,58.85,57.95,58.22,859000
ASTL,18-Aug-2016,58.00,58.75,57.75,57.77,757500
ASTL,19-Aug-2016,57.55,57.55,55.75,55.89,701000
ASTL,22-Aug-2016,56.05,56.05,55.25,55.98,254500
ASTL,23-Aug-2016,56.00,58.15,55.60,57.06,991000
ASTL,24-Aug-2016,57.25,58.48,57.00,58.03,1282500
ASTL,25-Aug-2016,58.00,59.94,57.75,59.16,1916500
ASTL,26-Aug-2016,59.49,62.11,59.00,61.47,3875000
ASTL,29-Aug-2016,62.60,62.85,60.80,61.63,1867500
ASTL,30-Aug-2016,61.90,63.50,61.53,62.49,2476000
ASTL,31-Aug-2016,62.65,62.95,62.05,62.37,659000
ASTL,01-Sep-2016,62.31,65.15,61.81,64.88,3209000
ASTL,02-Sep-2016,64.99,66.50,64.99,65.98,2138000
ASTL,05-Sep-2016,65.81,67.40,65.10,65.32,1134500
ASTL,06-Sep-2016,65.45,65.70,64.61,65.31,587000
ASTL,07-Sep-2016,64.81,66.00,64.40,64.93,2649000
ASTL,08-Sep-2016,64.22,65.00,63.50,63.91,1243000
ASTL,09-Sep-2016,63.60,65.90,62.75,65.29,1664000
ASTL,15-Sep-2016,64.01,65.97,63.80,65.30,992500
ASTL,16-Sep-2016,64.36,66.95,64.36,66.15,747000
ASTL,19-Sep-2016,66.02,67.01,65.30,66.88,819000
ASTL,20-Sep-2016,67.45,70.22,66.40,70.22,1717500
ASTL,21-Sep-2016,71.25,72.89,69.25,72.05,2736500
ASTL,22-Sep-2016,72.50,74.00,72.00,72.94,1788500
ASTL,23-Sep-2016,72.10,72.50,70.12,71.41,1144500
ASTL,26-Sep-2016,71.50,72.50,71.50,72.24,931500
ASTL,27-Sep-2016,72.10,72.25,71.60,72.00,454500
ASTL,28-Sep-2016,71.20,72.00,70.75,71.10,685000
ASTL,29-Sep-2016,70.50,72.19,70.00,70.63,660500
ASTL,30-Sep-2016,70.35,71.50,70.15,71.29,311500
ASTL,03-Oct-2016,71.90,74.50,71.50,74.04,862500
ASTL,04-Oct-2016,74.00,74.47,73.00,74.10,503000
ASTL,05-Oct-2016,74.20,76.25,74.20,74.99,1586500
ASTL,06-Oct-2016,75.70,77.50,74.06,76.40,2320000
ASTL,07-Oct-2016,76.70,77.40,74.85,75.47,903000
ASTL,10-Oct-2016,75.50,76.50,75.50,76.15,738500
ASTL,13-Oct-2016,74.10,76.88,73.50,76.23,577500
ASTL,14-Oct-2016,75.17,77.29,74.50,76.92,597500
ASTL,17-Oct-2016,76.55,77.50,74.80,75.23,410500
ASTL,18-Oct-2016,73.20,73.85,72.55,72.98,677500
