Symbol,Date,Open,High,Low,Close,Volume
ATIL,01-Jan-2014,62.75,63.50,62.75,63.16,2000
ATIL,03-Jan-2014,63.65,63.65,63.65,63.65,500
ATIL,06-Jan-2014,63.50,63.50,62.05,63.40,3000
ATIL,07-Jan-2014,62.55,63.94,62.55,63.90,2000
ATIL,08-Jan-2014,61.55,63.50,61.55,63.45,6500
ATIL,09-Jan-2014,64.00,64.00,62.75,63.00,14500
ATIL,10-Jan-2014,62.06,63.00,62.00,63.00,5500
ATIL,13-Jan-2014,63.15,63.15,63.00,63.00,1500
ATIL,15-Jan-2014,64.59,65.00,64.10,64.50,26500
ATIL,16-Jan-2014,64.99,65.00,64.95,65.00,6000
ATIL,17-Jan-2014,65.00,65.35,64.00,65.30,10000
ATIL,20-Jan-2014,64.90,65.00,64.90,65.00,15000
ATIL,21-Jan-2014,65.01,67.00,65.00,66.76,17500
ATIL,22-Jan-2014,66.05,66.05,66.00,66.00,1500
ATIL,23-Jan-2014,65.50,65.89,64.50,64.75,5000
ATIL,24-Jan-2014,65.00,66.00,65.00,66.00,11000
ATIL,27-Jan-2014,66.80,66.80,66.80,66.80,500
ATIL,28-Jan-2014,66.89,67.50,65.90,66.56,15000
ATIL,29-Jan-2014,66.30,66.30,65.75,65.75,10000
ATIL,30-Jan-2014,66.95,67.80,65.09,67.80,4500
ATIL,31-Jan-2014,69.75,69.80,64.41,66.56,45500
ATIL,03-Feb-2014,67.70,67.75,66.80,67.00,10000
ATIL,04-Feb-2014,67.49,67.50,67.49,67.50,2500
ATIL,06-Feb-2014,66.06,66.80,66.00,66.32,8500
ATIL,07-Feb-2014,65.11,66.01,65.11,65.81,7000
ATIL,10-Feb-2014,65.51,66.00,64.10,65.53,7500
ATIL,11-Feb-2014,64.51,65.00,64.51,64.60,12000
ATIL,12-Feb-2014,64.75,65.11,64.75,65.00,6500
ATIL,13-Feb-2014,65.36,66.00,65.30,65.32,32000
ATIL,14-Feb-2014,64.75,65.00,64.75,65.00,2500
ATIL,17-Feb-2014,65.00,65.00,62.80,64.18,10500
ATIL,18-Feb-2014,62.50,63.00,62.00,63.00,8500
ATIL,19-Feb-2014,63.50,64.90,63.50,64.90,49500
ATIL,20-Feb-2014,63.11,63.11,61.70,62.43,72000
ATIL,21-Feb-2014,63.39,63.39,62.10,62.53,9000
ATIL,24-Feb-2014,64.40,64.40,63.45,63.48,14000
ATIL,25-Feb-2014,63.90,63.90,62.70,62.72,15000
ATIL,26-Feb-2014,62.75,62.75,61.00,61.00,28500
ATIL,27-Feb-2014,60.86,62.50,60.00,61.75,26500
ATIL,28-Feb-2014,61.00,64.83,60.70,61.00,302000
ATIL,03-Mar-2014,61.90,63.00,61.49,62.88,48500
ATIL,04-Mar-2014,62.50,62.80,62.10,62.77,12000
ATIL,05-Mar-2014,62.30,63.45,62.00,63.45,28000
ATIL,06-Mar-2014,63.00,64.30,63.00,63.82,38500
ATIL,07-Mar-2014,63.90,64.25,63.25,64.15,18500
ATIL,10-Mar-2014,64.00,64.93,64.00,64.91,20000
ATIL,11-Mar-2014,65.10,65.10,63.90,63.97,25000
ATIL,12-Mar-2014,64.50,64.50,64.00,64.25,28000
ATIL,13-Mar-2014,64.15,64.49,64.00,64.15,52500
ATIL,14-Mar-2014,65.60,65.99,64.00,64.27,45000
ATIL,17-Mar-2014,64.71,65.15,64.70,65.00,14000
ATIL,18-Mar-2014,65.50,65.95,64.85,64.90,31000
ATIL,19-Mar-2014,64.99,65.00,64.50,64.72,43500
ATIL,20-Mar-2014,64.50,64.80,64.31,64.48,40000
ATIL,21-Mar-2014,64.74,65.24,64.50,64.50,52500
ATIL,24-Mar-2014,64.00,65.50,64.00,65.46,30500
ATIL,25-Mar-2014,65.40,66.00,65.20,65.85,12500
ATIL,26-Mar-2014,65.80,66.00,65.20,65.55,20500
ATIL,27-Mar-2014,65.75,66.60,64.50,65.90,101000
ATIL,28-Mar-2014,66.49,66.50,65.50,65.78,47000
ATIL,31-Mar-2014,65.65,66.49,65.65,66.31,35000
ATIL,01-Apr-2014,66.75,67.20,66.25,67.08,113500
ATIL,02-Apr-2014,56.75,58.00,56.50,56.58,81000
ATIL,03-Apr-2014,56.60,57.25,56.25,56.82,35000
ATIL,04-Apr-2014,55.50,57.70,55.50,56.80,14500
ATIL,07-Apr-2014,57.49,58.00,56.45,57.42,75500
ATIL,08-Apr-2014,57.10,57.90,57.05,57.10,26500
ATIL,09-Apr-2014,57.95,59.40,57.06,58.89,89000
ATIL,10-Apr-2014,60.85,60.85,58.72,59.46,48500
ATIL,11-Apr-2014,60.98,60.98,58.77,59.43,34000
ATIL,14-Apr-2014,59.79,62.40,59.79,62.08,169000
ATIL,15-Apr-2014,62.95,64.85,61.55,62.74,24000
ATIL,16-Apr-2014,63.00,63.00,61.70,62.00,12500
ATIL,17-Apr-2014,60.30,62.50,60.10,62.00,17000
ATIL,18-Apr-2014,61.14,62.00,60.00,60.14,15500
ATIL,21-Apr-2014,61.40,61.40,60.05,60.55,3000
ATIL,22-Apr-2014,59.50,61.85,59.50,59.61,8000
ATIL,23-Apr-2014,59.15,59.16,58.66,58.66,4000
ATIL,24-Apr-2014,58.00,58.70,57.50,57.99,20500
ATIL,25-Apr-2014,58.50,59.00,58.50,59.00,5000
ATIL,28-Apr-2014,57.81,58.00,57.80,58.00,2000
ATIL,29-Apr-2014,56.85,57.99,56.61,57.70,4000
ATIL,30-Apr-2014,58.40,59.90,58.40,59.90,10000
ATIL,02-May-2014,59.30,60.00,58.90,59.73,20000
ATIL,05-May-2014,58.60,60.24,58.60,60.00,26500
ATIL,06-May-2014,59.00,59.00,58.00,58.00,4500
ATIL,07-May-2014,58.35,59.00,58.00,58.00,5500
ATIL,08-May-2014,58.12,60.00,58.11,59.87,28500
