Symbol,Date,Open,High,Low,Close,Volume
ATLH,01-Jan-2014,260.00,261.00,258.25,258.54,3500
ATLH,02-Jan-2014,265.00,265.00,265.00,265.00,100
ATLH,03-Jan-2014,258.02,263.00,258.02,259.00,1600
ATLH,06-Jan-2014,264.90,266.00,262.00,262.14,9600
ATLH,07-Jan-2014,265.74,267.00,262.00,265.63,4900
ATLH,08-Jan-2014,269.80,269.80,265.00,268.20,5100
ATLH,09-Jan-2014,266.01,268.00,264.00,264.67,3100
ATLH,10-Jan-2014,265.00,265.00,261.00,261.67,800
ATLH,13-Jan-2014,265.00,266.00,262.50,263.31,1600
ATLH,15-Jan-2014,267.48,272.99,265.00,265.00,3200
ATLH,16-Jan-2014,264.90,265.95,262.00,265.95,800
ATLH,17-Jan-2014,266.95,278.94,266.50,269.62,11100
ATLH,20-Jan-2014,277.00,277.00,268.00,272.00,7200
ATLH,21-Jan-2014,270.00,274.00,268.30,272.66,5400
ATLH,22-Jan-2014,274.00,274.00,270.00,273.00,10000
ATLH,23-Jan-2014,268.00,285.00,268.00,278.15,14500
ATLH,24-Jan-2014,278.91,292.05,276.00,286.87,25100
ATLH,27-Jan-2014,292.00,296.00,272.53,275.14,10000
ATLH,28-Jan-2014,266.00,272.00,265.90,268.43,5900
ATLH,29-Jan-2014,277.50,277.50,266.50,274.50,1000
ATLH,30-Jan-2014,275.00,276.00,267.00,269.00,4100
ATLH,31-Jan-2014,271.00,276.76,270.00,276.76,800
ATLH,03-Feb-2014,274.70,274.70,269.00,272.00,800
ATLH,04-Feb-2014,270.00,272.00,269.00,270.00,3900
ATLH,06-Feb-2014,268.05,270.00,267.00,269.10,4800
ATLH,07-Feb-2014,268.01,270.00,265.00,265.00,2100
ATLH,10-Feb-2014,263.00,266.66,258.01,258.01,5300
ATLH,11-Feb-2014,267.00,267.00,262.00,265.00,2200
ATLH,12-Feb-2014,268.99,268.99,268.99,268.99,200
ATLH,13-Feb-2014,260.75,267.00,260.75,267.00,1900
