Symbol,Date,Open,High,Low,Close,Volume
ATRL,01-Jan-2014,207.77,213.60,207.77,212.40,1143300
ATRL,02-Jan-2014,213.39,217.70,212.50,214.21,1508400
ATRL,03-Jan-2014,215.00,215.80,213.41,213.81,365800
ATRL,06-Jan-2014,214.20,216.88,214.00,215.42,852100
ATRL,07-Jan-2014,217.00,220.39,215.00,217.11,1568200
ATRL,08-Jan-2014,217.90,222.10,216.50,219.70,1372300
ATRL,09-Jan-2014,220.10,225.50,217.50,224.02,2058400
ATRL,10-Jan-2014,223.99,224.74,220.00,220.29,727900
ATRL,13-Jan-2014,220.60,223.70,220.25,221.18,525000
ATRL,15-Jan-2014,222.00,223.75,219.99,220.24,585100
ATRL,16-Jan-2014,220.75,221.40,216.70,218.15,457200
ATRL,17-Jan-2014,219.00,220.90,217.50,217.85,337700
ATRL,20-Jan-2014,219.10,222.24,214.00,219.98,2094600
ATRL,21-Jan-2014,221.60,224.49,216.10,221.31,2917600
ATRL,22-Jan-2014,218.00,222.22,216.71,221.52,3558800
ATRL,23-Jan-2014,222.00,230.50,221.51,224.49,3700500
ATRL,24-Jan-2014,224.00,224.30,218.00,220.08,977200
ATRL,27-Jan-2014,220.00,220.05,212.50,215.57,1493900
ATRL,28-Jan-2014,216.90,216.90,213.50,214.09,377100
ATRL,29-Jan-2014,214.50,216.25,212.70,213.92,1336600
ATRL,30-Jan-2014,214.00,218.00,214.00,216.35,1372800
ATRL,31-Jan-2014,217.10,220.25,216.00,216.74,1751100
ATRL,03-Feb-2014,216.75,218.19,213.50,214.29,810600
ATRL,04-Feb-2014,214.50,216.00,212.60,214.75,325500
ATRL,06-Feb-2014,215.00,216.30,213.64,214.19,214200
ATRL,07-Feb-2014,214.84,214.84,210.61,213.46,232400
ATRL,10-Feb-2014,213.00,213.20,208.80,211.47,349800
ATRL,11-Feb-2014,212.90,212.90,210.50,211.31,209300
ATRL,12-Feb-2014,212.40,214.90,211.60,213.73,828800
ATRL,13-Feb-2014,214.00,214.20,210.52,211.33,319800
ATRL,14-Feb-2014,210.75,212.99,209.00,209.22,568000
ATRL,17-Feb-2014,208.50,209.24,205.05,206.77,504100
ATRL,18-Feb-2014,205.25,208.48,204.11,207.15,296300
ATRL,19-Feb-2014,208.00,209.50,205.10,206.61,208000
ATRL,20-Feb-2014,208.00,208.39,203.35,203.87,291100
ATRL,21-Feb-2014,203.10,206.37,201.25,204.99,221900
ATRL,24-Feb-2014,206.89,206.89,204.51,204.87,203500
ATRL,25-Feb-2014,205.75,206.50,204.00,204.64,146000
ATRL,26-Feb-2014,205.12,205.60,203.05,203.78,67200
ATRL,27-Feb-2014,204.06,205.84,202.10,204.19,177000
ATRL,28-Feb-2014,205.00,207.89,204.50,206.43,465100
ATRL,03-Mar-2014,208.50,210.90,206.85,208.27,560000
ATRL,04-Mar-2014,208.00,214.00,208.00,212.83,656500
ATRL,05-Mar-2014,213.25,215.78,211.11,214.39,672300
ATRL,06-Mar-2014,213.50,215.00,211.10,212.28,510600
ATRL,07-Mar-2014,212.90,215.99,211.00,212.35,1024200
ATRL,10-Mar-2014,213.00,222.87,212.55,222.22,2819200
ATRL,11-Mar-2014,222.21,228.97,220.20,226.70,4466500
ATRL,12-Mar-2014,227.00,231.18,222.61,223.92,2461200
ATRL,13-Mar-2014,224.00,225.60,221.50,223.52,606400
ATRL,14-Mar-2014,223.00,227.90,222.50,223.26,925200
ATRL,17-Mar-2014,224.49,226.00,223.00,224.86,404800
ATRL,18-Mar-2014,224.48,229.00,224.05,226.58,1981400
ATRL,19-Mar-2014,227.99,230.50,226.01,226.72,1667500
ATRL,20-Mar-2014,227.90,228.45,221.01,221.63,1262000
ATRL,21-Mar-2014,222.90,223.40,215.01,216.21,745700
ATRL,24-Mar-2014,217.90,220.99,214.80,219.47,811200
ATRL,25-Mar-2014,220.98,222.50,217.59,218.71,1012900
ATRL,26-Mar-2014,219.00,221.85,218.25,221.24,1007400
ATRL,27-Mar-2014,221.98,224.25,221.00,221.85,1529500
ATRL,28-Mar-2014,222.48,222.61,218.01,218.81,794900
ATRL,31-Mar-2014,218.40,222.10,218.40,220.86,602000
ATRL,01-Apr-2014,221.50,224.75,220.84,222.70,4014700
ATRL,02-Apr-2014,224.00,228.20,224.00,226.10,3018700
ATRL,03-Apr-2014,227.35,227.51,223.51,224.05,1170000
ATRL,04-Apr-2014,224.50,225.64,222.61,223.57,744100
ATRL,07-Apr-2014,223.15,227.20,223.15,224.67,1214300
ATRL,08-Apr-2014,225.50,226.35,223.76,224.05,428800
ATRL,09-Apr-2014,224.00,226.80,223.20,224.51,1026400
ATRL,10-Apr-2014,225.50,229.39,225.50,228.37,3028700
ATRL,11-Apr-2014,230.00,239.78,230.00,239.14,6722900
ATRL,14-Apr-2014,242.00,242.05,231.30,232.33,3103600
ATRL,15-Apr-2014,232.00,234.40,226.01,232.56,5555700
ATRL,16-Apr-2014,233.60,239.99,233.33,234.99,5157300
ATRL,17-Apr-2014,235.00,237.00,227.75,232.26,6120700
ATRL,18-Apr-2014,233.00,233.00,226.12,227.65,1907500
ATRL,21-Apr-2014,227.25,229.00,222.15,222.85,749900
ATRL,22-Apr-2014,224.05,226.88,224.05,225.29,767600
ATRL,23-Apr-2014,226.48,226.50,215.70,219.42,816900
ATRL,24-Apr-2014,223.00,223.00,217.06,218.04,530700
