Symbol,Date,Open,High,Low,Close,Volume
AWTX,15-Oct-2014,340.00,340.00,340.00,340.00,100
AWTX,24-Oct-2014,330.00,330.00,330.00,330.00,200
AWTX,27-Oct-2014,342.00,346.50,342.00,346.50,200
AWTX,28-Oct-2014,359.00,363.82,359.00,363.82,200
AWTX,31-Oct-2014,381.00,382.00,381.00,382.00,200
AWTX,07-Nov-2014,363.00,363.00,363.00,363.00,1300
AWTX,27-Nov-2014,380.50,381.15,380.50,381.15,200
AWTX,01-Dec-2014,399.50,400.00,365.10,365.10,300
AWTX,07-May-2015,332.50,332.50,332.50,332.50,100
AWTX,03-Oct-2016,360.00,360.00,360.00,360.00,100
AWTX,10-Jan-2018,378.00,378.00,378.00,378.00,200
AWTX,22-May-2018,359.10,359.10,359.10,359.10,100
AWTX,05-Dec-2019,325.00,325.00,325.00,325.00,200
AWTX,31-Dec-2019,341.25,341.25,341.25,341.25,300
AWTX,10-Aug-2021,366.84,366.84,366.84,366.84,100
AWTX,11-Aug-2021,394.35,394.35,394.35,394.35,100
AWTX,08-Sep-2021,1166.71,1166.71,1166.71,1166.71,200
AWTX,13-Sep-2021,1449.39,1449.39,1449.39,1449.39,100
AWTX,14-Sep-2021,1558.09,1558.09,1449.39,1558.09,300
AWTX,15-Sep-2021,1674.93,1674.93,1674.93,1674.93,100
AWTX,16-Sep-2021,1550.00,1800.54,1550.00,1800.54,400
AWTX,26-Oct-2021,1897.00,1897.00,1897.00,1897.00,400
AWTX,27-Oct-2021,2019.00,2019.00,2019.00,2019.00,100
AWTX,29-Oct-2021,2170.42,2170.42,2170.42,2170.42,100
AWTX,01-Nov-2021,2299.99,2299.99,2299.99,2299.99,100
AWTX,02-Nov-2021,2449.90,2449.90,2449.90,2449.90,100
AWTX,04-Nov-2021,2549.99,2549.99,2549.99,2549.99,100
AWTX,19-Nov-2021,2714.00,2714.00,2714.00,2714.00,100
AWTX,07-Dec-2021,2902.00,2902.00,2497.50,2497.50,200
AWTX,04-Feb-2022,2366.06,2366.06,2366.06,2366.06,20
AWTX,14-Feb-2022,2150.73,2150.73,2150.73,2150.73,20
AWTX,15-Feb-2022,1989.43,1989.43,1989.43,1989.43,20
AWTX,16-Feb-2022,1840.23,1840.23,1840.23,1840.23,20
AWTX,17-Feb-2022,1702.22,1702.22,1702.22,1702.22,20
AWTX,18-Feb-2022,1574.56,1574.56,1574.56,1574.56,80
AWTX,21-Feb-2022,1456.47,1456.47,1456.47,1456.47,60
AWTX,04-Mar-2022,1347.26,1456.47,1347.26,1347.26,60
AWTX,14-Mar-2022,1347.26,1347.26,1347.26,1347.26,20
AWTX,15-Mar-2022,1347.26,1347.26,1347.26,1347.26,20
AWTX,29-Mar-2022,1347.26,1347.26,1347.26,1347.26,20
AWTX,31-Mar-2022,1246.22,1246.22,1246.22,1246.22,40
AWTX,30-Jun-2022,1419.00,1419.00,1419.00,1419.00,80
AWTX,01-Jul-2022,1525.00,1525.42,1525.00,1525.42,40
AWTX,05-Jul-2022,1639.82,1639.82,1639.82,1639.82,60
AWTX,06-Jul-2022,1759.50,1760.10,1759.50,1760.00,240
AWTX,07-Jul-2022,1890.00,1892.00,1890.00,1891.33,60
AWTX,13-Jul-2022,2033.17,2033.17,2033.17,2033.17,60
AWTX,14-Jul-2022,2035.00,2035.00,2035.00,2035.00,20
AWTX,15-Jul-2022,2187.62,2187.62,2187.62,2187.62,100
AWTX,18-Jul-2022,2024.00,2350.00,2024.00,2350.00,80
AWTX,19-Jul-2022,2526.25,2526.25,2526.25,2526.25,100
