Symbol,Date,Open,High,Low,Close,Volume
AWWAL,29-Dec-2015,10.90,11.00,10.90,10.99,6000
AWWAL,30-Dec-2015,11.00,11.01,11.00,11.00,2000
AWWAL,31-Dec-2015,10.50,11.50,10.50,10.97,8000
AWWAL,01-Jan-2016,10.99,11.00,10.99,11.00,1000
AWWAL,04-Jan-2016,10.98,11.00,10.01,10.71,29000
AWWAL,05-Jan-2016,10.69,10.69,10.11,10.15,9000
AWWAL,06-Jan-2016,10.84,10.85,10.84,10.85,1000
AWWAL,08-Jan-2016,9.85,9.85,9.85,9.85,5000
AWWAL,13-Jan-2016,10.25,10.50,10.25,10.50,1500
AWWAL,14-Jan-2016,10.00,10.00,9.50,9.54,7000
AWWAL,20-Jan-2016,9.00,9.99,9.00,9.00,4500
AWWAL,12-Feb-2016,10.00,10.00,8.00,9.14,68500
AWWAL,15-Feb-2016,9.99,10.10,9.99,10.09,319500
AWWAL,16-Feb-2016,9.71,9.71,9.50,9.57,5500
AWWAL,18-Feb-2016,9.98,10.00,9.98,10.00,9500
AWWAL,22-Feb-2016,9.01,9.01,9.00,9.01,1000
AWWAL,23-Feb-2016,9.50,9.99,9.50,9.99,11000
AWWAL,24-Feb-2016,10.00,10.90,9.98,10.84,334500
AWWAL,25-Feb-2016,10.00,11.39,9.90,11.25,163500
AWWAL,26-Feb-2016,10.26,11.00,10.25,11.00,69500
AWWAL,29-Feb-2016,10.31,11.00,10.31,11.00,16000
AWWAL,01-Mar-2016,10.01,10.26,10.01,10.26,1000
AWWAL,02-Mar-2016,10.25,10.25,10.25,10.25,1000
AWWAL,07-Mar-2016,9.37,10.00,9.37,10.00,1500
AWWAL,08-Mar-2016,10.90,10.90,9.11,9.11,4000
AWWAL,10-Mar-2016,9.50,9.50,9.50,9.50,500
AWWAL,14-Mar-2016,8.65,8.65,8.65,8.65,500
AWWAL,15-Mar-2016,9.11,9.65,9.11,9.65,1500
AWWAL,17-Mar-2016,9.25,9.25,9.25,9.25,4500
AWWAL,28-Mar-2016,10.00,10.00,10.00,10.00,500
AWWAL,27-Apr-2016,9.01,9.01,9.01,9.01,500
AWWAL,18-May-2016,8.51,8.51,8.51,8.51,500
