Symbol,Date,Open,High,Low,Close,Volume
BAFL,01-Jan-2014,27.26,27.66,27.10,27.32,6086500
BAFL,02-Jan-2014,27.47,27.85,27.20,27.72,4885000
BAFL,03-Jan-2014,27.41,28.00,27.41,27.60,2689500
BAFL,06-Jan-2014,27.90,27.93,27.50,27.79,3936000
BAFL,07-Jan-2014,27.76,27.95,27.41,27.50,3889000
BAFL,08-Jan-2014,27.51,27.75,27.36,27.60,2652000
BAFL,09-Jan-2014,27.70,27.92,27.25,27.35,2757000
BAFL,10-Jan-2014,27.31,27.58,27.00,27.10,4013000
BAFL,13-Jan-2014,27.05,27.26,27.05,27.10,419500
BAFL,15-Jan-2014,27.10,27.75,27.10,27.65,10766000
BAFL,16-Jan-2014,27.70,27.85,27.26,27.61,2254000
BAFL,17-Jan-2014,27.51,28.20,27.51,27.96,6719500
BAFL,20-Jan-2014,28.00,28.19,27.70,27.90,4300500
BAFL,21-Jan-2014,27.90,28.51,27.66,28.28,6930000
BAFL,22-Jan-2014,28.15,28.94,28.15,28.66,7771500
BAFL,23-Jan-2014,28.55,29.10,28.20,28.48,4966500
BAFL,24-Jan-2014,28.54,28.55,28.01,28.21,909000
BAFL,27-Jan-2014,28.20,28.20,27.49,27.78,3562000
BAFL,28-Jan-2014,27.51,27.95,27.51,27.69,308000
BAFL,29-Jan-2014,27.51,28.00,27.45,27.88,2373500
BAFL,30-Jan-2014,28.00,28.19,27.80,27.91,2732000
BAFL,31-Jan-2014,28.00,28.14,27.51,27.64,4319500
BAFL,03-Feb-2014,27.89,27.89,27.50,27.60,2407500
BAFL,04-Feb-2014,27.57,27.70,27.00,27.16,5010000
BAFL,06-Feb-2014,27.45,27.95,27.15,27.52,2899000
BAFL,07-Feb-2014,27.41,27.80,27.41,27.69,1799500
BAFL,10-Feb-2014,27.69,28.00,26.71,26.99,7603500
BAFL,11-Feb-2014,27.01,27.15,26.70,26.90,2460000
BAFL,12-Feb-2014,27.14,27.80,27.00,27.69,4145500
BAFL,13-Feb-2014,27.50,28.25,27.32,27.80,6258500
BAFL,14-Feb-2014,27.99,28.19,27.52,27.95,1415500
BAFL,17-Feb-2014,27.95,28.00,27.33,27.59,1693500
BAFL,18-Feb-2014,27.25,27.55,26.75,27.40,3027500
BAFL,19-Feb-2014,27.60,27.78,27.25,27.54,2705500
BAFL,20-Feb-2014,27.56,27.84,27.41,27.76,1664000
BAFL,21-Feb-2014,27.60,28.25,27.50,27.97,4134500
BAFL,24-Feb-2014,28.05,28.44,27.60,28.11,2685500
BAFL,25-Feb-2014,28.25,28.25,27.70,27.98,1974000
BAFL,26-Feb-2014,27.80,28.55,27.80,28.31,5449000
BAFL,27-Feb-2014,28.30,28.30,27.80,27.93,1574000
BAFL,28-Feb-2014,28.00,28.47,27.52,27.83,7281000
BAFL,03-Mar-2014,28.19,28.20,27.50,27.54,7115500
