Symbol,Date,Open,High,Low,Close,Volume
BATA,01-Jan-2014,2851.01,2932.08,2851.01,2932.08,520
BATA,02-Jan-2014,3078.68,3078.68,3036.00,3078.68,13780
BATA,03-Jan-2014,3030.00,3200.00,3030.00,3120.00,1200
BATA,06-Jan-2014,3150.00,3150.00,3020.00,3100.00,780
BATA,07-Jan-2014,3075.00,3080.00,3049.00,3049.60,240
BATA,08-Jan-2014,3000.00,3000.00,3000.00,3000.00,100
BATA,09-Jan-2014,2930.00,2930.00,2850.00,2855.56,1360
BATA,10-Jan-2014,2850.00,2950.00,2800.00,2950.00,460
BATA,13-Jan-2014,3000.00,3000.00,2900.00,2900.00,120
BATA,15-Jan-2014,2950.00,2950.00,2900.00,2900.50,380
BATA,16-Jan-2014,2900.00,2960.00,2900.00,2900.00,780
BATA,17-Jan-2014,2950.00,3045.00,2950.00,3045.00,1040
BATA,21-Jan-2014,3353.37,3353.37,3349.00,3353.37,1180
BATA,22-Jan-2014,3521.00,3521.03,3285.00,3495.00,820
BATA,23-Jan-2014,3340.00,3475.00,3340.00,3474.50,80
BATA,24-Jan-2014,3316.00,3350.00,3306.00,3306.60,260
BATA,27-Jan-2014,3210.00,3290.00,3141.27,3142.76,500
BATA,29-Jan-2014,3200.00,3200.00,3200.00,3200.00,20
BATA,31-Jan-2014,3100.00,3249.00,3100.00,3249.00,820
BATA,03-Feb-2014,3280.00,3280.00,3130.00,3280.00,80
BATA,04-Feb-2014,3120.01,3120.01,3116.00,3116.01,200
BATA,06-Feb-2014,3199.00,3200.00,3129.00,3189.00,120
BATA,07-Feb-2014,3040.00,3040.00,3030.00,3030.00,40
BATA,10-Feb-2014,3090.00,3100.00,3020.00,3057.50,360
BATA,11-Feb-2014,3150.00,3150.00,3011.00,3100.00,200
BATA,12-Feb-2014,3100.00,3100.00,3000.00,3010.58,1200
BATA,13-Feb-2014,3000.00,3000.00,2911.00,2977.75,160
BATA,17-Feb-2014,3000.00,3099.00,3000.00,3000.00,1200
BATA,18-Feb-2014,3075.00,3125.00,2850.00,3086.66,320
BATA,19-Feb-2014,3015.00,3015.00,3000.00,3000.00,40
BATA,20-Feb-2014,3080.00,3100.00,3000.15,3000.15,480
BATA,21-Feb-2014,3065.00,3065.00,3065.00,3065.00,20
BATA,24-Feb-2014,3175.00,3200.00,2975.00,2975.00,380
BATA,25-Feb-2014,2900.00,2900.00,2890.00,2890.00,60
BATA,26-Feb-2014,2900.00,2900.00,2850.00,2900.00,60
BATA,27-Feb-2014,2900.00,2900.00,2830.00,2840.00,60
BATA,28-Feb-2014,2900.00,2900.00,2840.00,2840.00,40
BATA,03-Mar-2014,2890.00,2890.00,2888.90,2888.90,60
BATA,04-Mar-2014,2880.00,2880.00,2880.00,2888.90,20
BATA,05-Mar-2014,2900.00,2900.00,2900.00,2900.00,60
BATA,06-Mar-2014,2900.00,2900.00,2900.00,2900.00,140
BATA,07-Mar-2014,2975.00,3040.00,2975.00,3000.00,160
BATA,10-Mar-2014,3096.00,3099.00,3000.00,3000.00,100
BATA,11-Mar-2014,3000.00,3000.00,2999.00,2999.99,80
BATA,12-Mar-2014,2910.00,2920.00,2900.00,2901.50,220
BATA,13-Mar-2014,2945.00,2949.50,2939.00,2949.50,80
BATA,14-Mar-2014,2950.00,2983.99,2900.00,2978.25,320
BATA,18-Mar-2014,2910.00,2910.00,2895.00,2901.50,80
BATA,19-Mar-2014,2870.00,2870.00,2776.00,2781.47,920
BATA,20-Mar-2014,2750.00,2850.00,2750.00,2850.00,520
BATA,21-Mar-2014,2949.99,2949.99,2805.00,2808.33,380
BATA,24-Mar-2014,2799.00,2799.00,2667.92,2733.33,460
BATA,25-Mar-2014,2751.00,2751.00,2651.00,2678.40,340
BATA,26-Mar-2014,2700.05,2764.00,2700.00,2751.67,580
BATA,27-Mar-2014,2800.00,2800.00,2781.05,2800.00,200
BATA,28-Mar-2014,2870.00,2875.00,2750.05,2775.39,400
BATA,31-Mar-2014,2750.05,2750.05,2730.00,2736.75,180
BATA,01-Apr-2014,2794.00,2873.58,2794.00,2863.24,940
BATA,02-Apr-2014,3000.00,3000.00,2925.00,2993.99,280
BATA,03-Apr-2014,2993.48,3080.00,2925.00,2925.00,380
BATA,07-Apr-2014,2900.00,2900.00,2900.00,2900.00,20
BATA,08-Apr-2014,2850.00,2890.00,2840.00,2858.33,180
BATA,09-Apr-2014,2900.00,3001.24,2900.00,3000.50,740
BATA,10-Apr-2014,2999.00,3070.00,2999.00,3069.37,1180
BATA,11-Apr-2014,3137.00,3150.00,3000.00,3100.00,1260
BATA,14-Apr-2014,3194.00,3255.00,3194.00,3255.00,1740
BATA,15-Apr-2014,3388.90,3415.00,3300.00,3399.90,1140
BATA,16-Apr-2014,3445.00,3450.00,3250.00,3302.92,2040
BATA,17-Apr-2014,3300.00,3400.00,3111.00,3223.58,1060
BATA,18-Apr-2014,3200.00,3298.00,3110.00,3258.09,220
BATA,21-Apr-2014,3250.00,3400.00,3250.00,3307.50,1720
BATA,22-Apr-2014,3379.00,3400.00,3200.00,3365.16,2000
BATA,23-Apr-2014,3533.00,3533.00,3301.00,3411.00,3020
BATA,24-Apr-2014,3300.00,3443.00,3300.00,3443.00,1640
BATA,25-Apr-2014,3599.00,3599.00,3480.00,3485.00,240
BATA,02-May-2014,3350.00,3399.00,3350.00,3368.38,200
BATA,05-May-2014,3300.00,3399.00,3200.00,3395.00,2420
BATA,06-May-2014,3300.00,3444.00,3300.00,3444.00,280
BATA,09-May-2014,3595.00,3595.00,3280.00,3434.20,1280
BATA,12-May-2014,3400.00,3500.00,3300.00,3470.14,1720
BATA,14-May-2014,3305.00,3449.90,3300.01,3411.04,780
BATA,15-May-2014,3350.00,3448.00,3300.00,3402.28,1640
BATA,16-May-2014,3449.95,3572.39,3449.95,3572.39,3980
BATA,19-May-2014,3751.00,3751.00,3551.00,3751.00,2860
BATA,20-May-2014,3935.00,3938.55,3800.00,3864.29,2000
BATA,21-May-2014,3940.00,3940.00,3700.00,3701.48,1000
BATA,22-May-2014,3800.00,3800.00,3561.00,3618.00,660
BATA,23-May-2014,3700.00,3700.00,3550.00,3600.00,280
BATA,26-May-2014,3500.00,3680.00,3500.00,3680.00,800
BATA,27-May-2014,3700.00,3850.00,3601.01,3664.75,860
BATA,28-May-2014,3550.01,3729.00,3550.01,3705.56,960
