Symbol,Date,Open,High,Low,Close,Volume
BCML,01-Jan-2014,84.89,84.89,84.89,84.89,4000
BCML,02-Jan-2014,89.13,89.13,88.11,89.00,8000
BCML,03-Jan-2014,93.45,93.45,92.98,93.39,9500
BCML,06-Jan-2014,98.04,98.05,88.75,89.88,20000
BCML,07-Jan-2014,87.50,92.50,87.50,92.50,16000
BCML,08-Jan-2014,93.97,95.00,93.97,95.00,4500
BCML,09-Jan-2014,94.00,94.00,90.25,90.48,18500
BCML,10-Jan-2014,91.99,91.99,91.99,91.99,1000
BCML,13-Jan-2014,88.75,92.25,88.01,92.04,14000
BCML,15-Jan-2014,93.99,93.99,93.50,93.50,6000
BCML,16-Jan-2014,94.99,98.17,94.00,95.00,25000
BCML,17-Jan-2014,95.00,95.50,94.10,94.48,5000
BCML,20-Jan-2014,98.00,99.20,98.00,99.20,8000
BCML,21-Jan-2014,104.16,104.16,104.16,104.16,16000
BCML,22-Jan-2014,109.36,109.36,109.36,109.36,2000
BCML,23-Jan-2014,114.82,114.82,114.82,114.82,6000
BCML,24-Jan-2014,120.56,120.56,117.00,120.56,7000
BCML,27-Jan-2014,126.58,126.58,126.55,126.58,7000
BCML,28-Jan-2014,132.90,132.90,132.90,132.90,1000
BCML,29-Jan-2014,139.54,139.54,128.00,128.50,12000
BCML,30-Jan-2014,130.00,134.92,130.00,134.07,8000
BCML,31-Jan-2014,139.98,140.77,135.00,139.08,14500
BCML,03-Feb-2014,141.50,141.50,139.26,141.50,1000
BCML,04-Feb-2014,140.00,144.99,134.43,136.31,23500
BCML,06-Feb-2014,137.00,139.79,132.00,138.30,4500
BCML,07-Feb-2014,138.00,145.21,138.00,145.21,12000
BCML,10-Feb-2014,138.25,139.00,138.25,138.27,2000
BCML,11-Feb-2014,138.25,138.25,138.25,138.25,500
BCML,12-Feb-2014,137.55,142.99,137.50,142.99,2500
BCML,13-Feb-2014,149.99,150.00,140.00,140.00,3500
BCML,14-Feb-2014,140.00,140.00,140.00,140.00,1000
BCML,17-Feb-2014,135.00,135.00,133.00,133.00,3000
BCML,18-Feb-2014,126.55,127.00,126.50,127.00,2000
BCML,20-Feb-2014,132.50,133.35,132.50,133.35,1000
BCML,21-Feb-2014,135.00,139.49,135.00,135.00,7500
BCML,24-Feb-2014,141.74,141.74,141.74,141.74,500
BCML,07-Mar-2014,124.50,124.50,112.66,112.66,4000
BCML,11-Mar-2014,103.98,104.00,103.98,103.98,2500
BCML,13-Mar-2014,95.71,99.89,95.71,95.80,4500
BCML,14-Mar-2014,91.01,91.75,91.01,91.01,20000
BCML,17-Mar-2014,95.38,95.38,90.00,90.00,6000
BCML,18-Mar-2014,91.99,92.99,91.99,92.99,2500
BCML,19-Mar-2014,88.36,91.35,88.35,91.35,3500
BCML,20-Mar-2014,87.00,88.94,86.79,86.79,3000
BCML,21-Mar-2014,91.00,91.00,82.46,82.50,8500
BCML,24-Mar-2014,84.00,86.29,84.00,84.90,1500
BCML,25-Mar-2014,80.66,83.95,80.66,81.68,3000
