Symbol,Date,Open,High,Low,Close,Volume
BECO,04-Aug-2021,23.90,23.90,21.00,22.00,55000
BECO,05-Aug-2021,22.50,22.50,21.52,22.07,24500
BECO,06-Aug-2021,21.56,21.56,21.29,21.41,8500
BECO,09-Aug-2021,21.00,21.00,20.10,20.60,27000
BECO,10-Aug-2021,20.25,21.00,19.20,19.57,133000
BECO,11-Aug-2021,20.17,20.50,20.00,20.50,27500
BECO,12-Aug-2021,20.20,20.50,19.90,20.18,9000
BECO,13-Aug-2021,21.67,21.67,19.80,20.00,25000
BECO,16-Aug-2021,19.80,19.80,19.15,19.37,16500
BECO,17-Aug-2021,20.00,20.25,20.00,20.04,8500
BECO,20-Aug-2021,20.45,20.50,20.00,20.42,13500
BECO,23-Aug-2021,20.70,21.95,20.25,21.88,105500
BECO,24-Aug-2021,23.00,23.52,23.00,23.52,99500
BECO,25-Aug-2021,25.25,25.28,25.00,25.28,723500
BECO,26-Aug-2021,27.10,27.10,24.25,24.48,523500
BECO,27-Aug-2021,25.50,26.31,24.00,24.32,183000
BECO,30-Aug-2021,23.26,24.51,23.26,23.58,108500
BECO,31-Aug-2021,24.50,24.50,23.00,23.10,39000
BECO,01-Sep-2021,22.51,24.83,22.01,24.83,275000
BECO,02-Sep-2021,26.25,26.40,25.00,25.23,278500
BECO,03-Sep-2021,24.80,27.00,24.50,26.49,290500
BECO,06-Sep-2021,25.80,26.85,25.25,25.71,82500
BECO,07-Sep-2021,24.26,25.00,24.26,24.90,45000
BECO,08-Sep-2021,24.50,24.94,23.51,24.25,108500
BECO,09-Sep-2021,22.80,24.83,22.80,24.25,55500
BECO,10-Sep-2021,25.20,25.20,24.01,24.61,30500
BECO,13-Sep-2021,24.00,24.00,23.50,23.55,13500
BECO,14-Sep-2021,23.25,25.31,23.25,25.31,357500
BECO,15-Sep-2021,27.20,27.20,26.30,27.20,488000
BECO,16-Sep-2021,28.70,29.23,26.65,27.39,1039500
BECO,17-Sep-2021,27.39,27.39,25.50,26.12,513000
BECO,20-Sep-2021,25.11,26.00,25.00,25.08,89000
BECO,21-Sep-2021,24.75,25.00,24.00,24.25,84000
BECO,22-Sep-2021,24.00,24.25,22.44,23.01,212500
BECO,23-Sep-2021,22.52,22.70,21.50,21.58,55000
BECO,24-Sep-2021,20.90,22.60,20.89,22.26,14500
BECO,27-Sep-2021,21.00,23.92,20.60,23.35,93000
BECO,28-Sep-2021,23.19,23.75,22.01,23.42,30000
BECO,29-Sep-2021,23.10,23.10,21.67,21.86,72000
BECO,30-Sep-2021,22.34,22.34,22.34,22.34,500
BECO,01-Oct-2021,22.65,23.89,22.01,23.00,12500
BECO,04-Oct-2021,22.30,23.40,22.01,23.40,5000
BECO,05-Oct-2021,22.40,23.40,22.40,23.00,14000
BECO,06-Oct-2021,22.40,23.35,21.30,22.01,52000
BECO,07-Oct-2021,21.09,22.17,20.91,21.41,142000
BECO,08-Oct-2021,20.51,22.75,20.51,21.50,16500
BECO,11-Oct-2021,20.85,20.85,19.89,19.99,62000
BECO,12-Oct-2021,19.90,20.50,19.01,20.01,71500
BECO,13-Oct-2021,19.70,19.99,18.55,19.07,18000
BECO,14-Oct-2021,19.50,20.00,19.50,19.99,73500
BECO,15-Oct-2021,20.00,20.00,19.01,19.01,9500
BECO,18-Oct-2021,19.44,19.45,18.00,19.00,19500
BECO,20-Oct-2021,19.00,19.94,19.00,19.94,26500
BECO,21-Oct-2021,19.00,20.00,19.00,19.51,8500
BECO,22-Oct-2021,19.09,19.10,19.09,19.10,4500
BECO,25-Oct-2021,18.90,19.00,18.90,19.10,19500
