Symbol,Date,Open,High,Low,Close,Volume
BERG,01-Jan-2014,73.00,74.95,72.00,72.51,90500
BERG,02-Jan-2014,72.41,72.75,71.00,71.49,52500
BERG,03-Jan-2014,72.00,72.42,69.00,69.53,77500
BERG,06-Jan-2014,68.50,72.49,68.50,70.11,75500
BERG,07-Jan-2014,69.55,70.39,68.91,69.88,21000
BERG,08-Jan-2014,69.50,69.50,68.90,69.18,13000
BERG,09-Jan-2014,69.20,71.00,66.00,66.09,51000
BERG,10-Jan-2014,64.50,69.39,64.50,69.39,103000
BERG,13-Jan-2014,70.90,70.90,68.11,69.80,11000
BERG,15-Jan-2014,66.55,70.00,66.55,67.49,57500
BERG,16-Jan-2014,66.98,66.98,64.12,64.12,38000
BERG,17-Jan-2014,64.00,65.05,62.05,62.35,48500
BERG,20-Jan-2014,62.00,63.98,61.09,61.40,22000
BERG,21-Jan-2014,61.40,64.47,61.40,64.47,39500
BERG,22-Jan-2014,66.40,66.75,61.25,61.53,130000
BERG,23-Jan-2014,61.75,62.50,60.11,60.35,51500
BERG,24-Jan-2014,60.60,60.60,57.34,57.56,47000
BERG,27-Jan-2014,56.50,58.00,55.50,57.90,23500
BERG,28-Jan-2014,57.80,59.50,57.80,57.90,18000
BERG,29-Jan-2014,57.00,57.00,56.00,56.25,10000
BERG,30-Jan-2014,56.25,58.40,56.25,56.82,22500
BERG,31-Jan-2014,55.50,59.05,55.50,57.20,18000
BERG,03-Feb-2014,57.20,58.25,57.20,58.25,1000
BERG,04-Feb-2014,57.50,57.50,55.34,55.34,33500
BERG,06-Feb-2014,54.00,54.00,52.60,52.92,18500
BERG,07-Feb-2014,52.00,53.45,50.75,52.73,8000
BERG,10-Feb-2014,52.90,52.90,51.00,52.00,6000
BERG,11-Feb-2014,52.10,53.25,51.50,51.50,10500
BERG,12-Feb-2014,51.00,54.07,51.00,54.07,45000
BERG,13-Feb-2014,55.31,56.50,54.50,55.49,43000
BERG,14-Feb-2014,54.00,54.75,53.25,54.20,6000
BERG,17-Feb-2014,52.25,53.00,51.49,51.92,88000
BERG,18-Feb-2014,51.00,52.80,49.45,52.17,29500
BERG,19-Feb-2014,53.90,54.75,50.90,51.44,70000
BERG,20-Feb-2014,51.60,51.70,50.25,51.70,10000
BERG,21-Feb-2014,51.00,51.79,50.47,50.75,14000
BERG,24-Feb-2014,51.50,51.90,50.35,50.68,18000
BERG,25-Feb-2014,49.50,51.75,48.15,48.16,53500
BERG,26-Feb-2014,46.50,47.10,45.76,45.77,29500
BERG,27-Feb-2014,44.30,44.50,43.55,43.91,30000
BERG,28-Feb-2014,44.50,45.90,43.50,45.00,52500
BERG,03-Mar-2014,44.10,44.10,44.00,44.00,10500
BERG,04-Mar-2014,44.00,46.20,44.00,46.19,40500
BERG,05-Mar-2014,46.00,48.49,46.00,48.49,53500
BERG,06-Mar-2014,50.75,50.75,47.25,48.48,61000
BERG,07-Mar-2014,47.30,49.00,47.30,49.00,14000
BERG,10-Mar-2014,47.50,47.50,46.55,47.50,58500
BERG,11-Mar-2014,48.50,49.75,46.90,47.23,69500
BERG,12-Mar-2014,47.50,47.50,46.50,46.65,27000
BERG,13-Mar-2014,46.00,47.25,45.00,45.35,48500
BERG,14-Mar-2014,45.10,47.00,45.00,45.57,81500
BERG,17-Mar-2014,45.70,46.79,45.70,46.14,4500
BERG,18-Mar-2014,46.25,46.25,45.10,45.11,22500
BERG,19-Mar-2014,45.75,45.80,45.10,45.18,9000
BERG,20-Mar-2014,44.60,46.00,44.16,45.00,19000
BERG,21-Mar-2014,46.75,47.25,44.50,44.80,10000
BERG,24-Mar-2014,44.25,44.79,44.05,44.79,2000
BERG,25-Mar-2014,43.50,43.95,43.00,43.58,31000
BERG,26-Mar-2014,44.00,45.05,44.00,44.94,18500
BERG,27-Mar-2014,46.00,46.00,44.50,44.56,20000
BERG,28-Mar-2014,45.79,45.90,43.00,44.34,93500
