Symbol,Date,Open,High,Low,Close,Volume
BFMOD,04-Oct-2024,8.49,8.49,8.00,8.00,3003
BFMOD,07-Oct-2024,8.88,8.88,7.02,8.00,9
BFMOD,08-Oct-2024,8.49,8.49,8.49,8.00,3
BFMOD,09-Oct-2024,8.75,8.75,8.20,8.29,1502
BFMOD,10-Oct-2024,8.50,8.50,8.50,8.29,5
BFMOD,11-Oct-2024,8.24,8.24,8.24,8.29,1
BFMOD,14-Oct-2024,8.28,8.28,8.28,8.29,51
BFMOD,15-Oct-2024,8.25,8.25,8.25,8.29,15
BFMOD,16-Oct-2024,8.24,8.24,8.24,8.29,56
BFMOD,17-Oct-2024,8.65,8.65,7.29,8.29,110
BFMOD,18-Oct-2024,9.00,9.00,9.00,8.29,6
BFMOD,21-Oct-2024,8.95,8.95,8.00,8.29,5
BFMOD,23-Oct-2024,8.25,8.98,8.01,8.24,519
BFMOD,24-Oct-2024,8.95,8.95,8.00,8.24,101
BFMOD,25-Oct-2024,8.95,9.00,8.00,9.00,8858
BFMOD,28-Oct-2024,8.40,8.90,8.05,8.06,603
BFMOD,29-Oct-2024,8.30,8.50,7.75,8.38,8712
BFMOD,30-Oct-2024,8.00,9.33,8.00,9.27,1930
BFMOD,31-Oct-2024,8.40,9.50,8.40,8.98,14325
BFMOD,01-Nov-2024,8.20,9.98,8.00,9.76,3332
