Symbol,Date,Open,High,Low,Close,Volume
BGL,01-Jan-2014,4.70,5.10,4.70,5.02,41000
BGL,02-Jan-2014,5.00,5.35,4.98,5.00,109000
BGL,06-Jan-2014,4.65,4.65,4.65,4.65,1000
BGL,07-Jan-2014,4.60,5.10,4.60,5.00,51000
BGL,08-Jan-2014,5.00,5.60,5.00,5.39,147000
BGL,09-Jan-2014,5.70,6.00,5.30,5.59,130000
BGL,10-Jan-2014,5.69,5.87,5.45,5.57,29000
BGL,13-Jan-2014,5.75,6.35,5.75,6.24,360000
BGL,15-Jan-2014,6.30,6.40,6.00,6.02,72000
BGL,16-Jan-2014,5.76,5.76,5.35,5.55,59000
BGL,17-Jan-2014,5.50,5.52,5.35,5.37,44500
BGL,20-Jan-2014,5.30,5.75,5.30,5.48,60000
BGL,21-Jan-2014,5.60,6.48,5.60,6.01,759500
BGL,22-Jan-2014,6.15,7.01,5.60,7.01,794500
BGL,23-Jan-2014,8.01,8.01,7.30,7.62,790500
BGL,24-Jan-2014,7.50,7.50,7.10,7.23,92000
BGL,27-Jan-2014,6.80,6.82,6.60,6.62,18000
BGL,28-Jan-2014,6.66,6.90,6.60,6.70,35000
BGL,29-Jan-2014,6.67,6.67,6.20,6.21,19000
BGL,30-Jan-2014,6.15,7.00,6.00,6.62,45000
BGL,31-Jan-2014,6.50,7.30,6.50,7.07,198000
BGL,03-Feb-2014,6.96,7.10,6.81,6.99,14000
BGL,04-Feb-2014,6.80,6.98,5.99,6.01,120500
BGL,06-Feb-2014,6.25,6.30,5.75,6.15,20000
BGL,07-Feb-2014,5.80,6.00,5.80,5.91,7500
BGL,10-Feb-2014,6.00,6.00,5.41,5.41,24000
BGL,11-Feb-2014,5.80,5.80,5.60,5.61,21500
BGL,12-Feb-2014,5.60,6.25,5.55,6.18,59000
BGL,13-Feb-2014,6.30,7.18,6.30,7.08,417000
BGL,14-Feb-2014,7.00,7.20,6.85,7.02,79000
BGL,17-Feb-2014,6.70,7.00,6.61,6.61,15500
BGL,18-Feb-2014,6.62,6.65,6.62,6.65,1000
BGL,19-Feb-2014,6.65,7.08,6.65,7.00,69500
BGL,20-Feb-2014,6.90,7.05,6.90,7.00,41000
BGL,21-Feb-2014,7.00,7.05,7.00,7.00,47000
BGL,24-Feb-2014,7.00,7.60,7.00,7.55,102500
BGL,25-Feb-2014,7.30,7.70,7.25,7.45,67000
BGL,26-Feb-2014,7.30,7.30,7.25,7.25,10000
BGL,27-Feb-2014,7.25,7.25,7.25,7.25,19500
BGL,28-Feb-2014,7.40,7.75,7.00,7.02,348500
BGL,03-Mar-2014,6.60,6.90,6.50,6.73,71000
BGL,04-Mar-2014,6.92,7.25,6.92,7.00,137500
BGL,05-Mar-2014,7.10,7.50,7.00,7.29,142500
BGL,06-Mar-2014,7.15,7.38,7.15,7.18,14000
BGL,07-Mar-2014,7.50,8.15,7.20,7.75,83000
BGL,10-Mar-2014,8.05,8.20,7.75,7.85,34000
BGL,11-Mar-2014,7.95,8.50,7.76,7.97,58000
BGL,12-Mar-2014,7.35,7.98,7.35,7.67,3500
BGL,13-Mar-2014,7.40,8.00,7.40,7.98,22000
BGL,14-Mar-2014,7.50,7.84,7.50,7.84,1500
BGL,17-Mar-2014,7.40,7.85,7.40,7.85,2000
BGL,18-Mar-2014,7.70,8.74,7.40,8.60,203500
BGL,19-Mar-2014,8.21,8.30,8.00,8.00,110500
BGL,20-Mar-2014,8.49,8.70,8.00,8.04,16000
BGL,21-Mar-2014,8.55,8.55,7.56,7.56,8000
BGL,25-Mar-2014,8.20,8.20,7.51,7.68,21000
BGL,26-Mar-2014,7.11,7.75,6.68,7.50,9000
BGL,27-Mar-2014,7.60,7.90,7.60,7.85,3500
BGL,28-Mar-2014,7.75,7.80,7.50,7.75,7000
BGL,31-Mar-2014,7.55,7.55,7.55,7.55,4000
BGL,01-Apr-2014,7.55,7.55,7.55,7.55,5000
BGL,02-Apr-2014,7.75,8.00,7.70,7.80,38000
BGL,03-Apr-2014,7.75,8.00,7.75,8.00,36000
BGL,04-Apr-2014,7.99,7.99,7.99,7.99,2500
BGL,07-Apr-2014,7.97,7.99,7.97,7.99,10000
BGL,08-Apr-2014,7.51,7.97,7.51,7.57,11000
BGL,10-Apr-2014,7.75,8.00,7.75,8.00,138000
BGL,15-Apr-2014,7.35,8.00,7.35,8.00,25500
BGL,16-Apr-2014,7.90,8.20,7.90,7.90,26000
BGL,17-Apr-2014,7.55,7.64,7.55,7.64,2000
BGL,18-Apr-2014,7.40,7.75,7.40,7.64,2000
BGL,25-Apr-2014,7.84,7.84,7.84,7.84,1000
BGL,28-Apr-2014,7.50,7.80,7.50,7.80,1000
BGL,29-Apr-2014,8.41,8.41,7.30,7.74,5000
BGL,30-Apr-2014,7.96,7.96,7.96,7.96,1000
BGL,02-May-2014,7.20,7.88,7.20,7.88,3000
BGL,05-May-2014,7.99,8.37,7.99,8.37,2000
BGL,06-May-2014,7.37,7.94,7.37,7.82,12500
BGL,07-May-2014,6.90,7.38,6.86,7.38,7500
BGL,08-May-2014,7.77,7.77,7.77,7.77,1000
BGL,09-May-2014,6.77,6.77,6.77,6.77,5500
BGL,12-May-2014,7.34,7.34,6.25,6.99,10500
BGL,13-May-2014,6.21,6.88,5.99,6.01,88000
BGL,15-May-2014,6.01,6.01,6.00,6.00,12500
BGL,16-May-2014,6.00,6.00,6.00,6.00,1000
BGL,19-May-2014,5.56,6.27,5.56,5.56,1500
BGL,22-May-2014,6.00,6.56,6.00,6.28,5000
BGL,23-May-2014,6.00,7.00,6.00,6.55,5500
BGL,26-May-2014,6.10,6.94,6.00,6.82,123500
BGL,27-May-2014,6.28,6.82,6.28,6.33,2000
BGL,28-May-2014,6.50,6.50,6.50,6.50,15500
BGL,29-May-2014,6.66,6.99,6.66,6.92,42000
BGL,03-Jun-2014,6.97,6.99,6.17,6.95,12000
BGL,09-Jun-2014,6.60,6.60,6.50,6.50,2500
BGL,10-Jun-2014,6.20,6.20,6.20,6.20,500
BGL,12-Jun-2014,6.45,6.45,6.25,6.25,2000
BGL,16-Jun-2014,6.25,6.25,6.00,6.05,3000
BGL,17-Jun-2014,6.00,6.00,6.00,6.00,3500
BGL,18-Jun-2014,6.00,6.00,6.00,6.00,2500
BGL,20-Jun-2014,6.00,6.00,6.00,6.00,2500
BGL,24-Jun-2014,6.00,6.30,6.00,6.30,31000
BGL,25-Jun-2014,6.20,6.29,6.20,6.29,96000
BGL,26-Jun-2014,6.29,6.30,6.29,6.29,4000
BGL,27-Jun-2014,6.00,6.98,6.00,6.55,28000
BGL,11-Jul-2014,6.00,6.00,5.71,5.82,77500
BGL,14-Jul-2014,5.66,5.85,5.06,5.75,7000
BGL,15-Jul-2014,5.90,5.95,5.90,5.95,1000
BGL,17-Jul-2014,5.70,6.35,5.70,6.30,108000
BGL,06-Aug-2014,6.60,6.60,6.40,6.40,4500
BGL,15-Aug-2014,5.75,5.75,5.40,5.40,1500
BGL,29-Aug-2014,5.10,5.10,5.01,5.01,2000
BGL,12-Sep-2014,5.75,6.00,5.75,5.86,5000
BGL,15-Sep-2014,5.50,6.70,5.50,6.43,62500
BGL,16-Sep-2014,5.75,5.99,5.50,5.50,23500
BGL,17-Sep-2014,5.25,5.50,5.25,5.50,1000
BGL,19-Sep-2014,5.50,5.50,5.50,5.50,500
BGL,22-Sep-2014,5.70,5.70,5.45,5.50,4500
BGL,23-Sep-2014,5.75,5.75,5.74,5.74,11000
BGL,25-Sep-2014,5.50,5.50,5.50,5.50,500
BGL,29-Sep-2014,5.40,5.40,5.36,5.38,3000
BGL,01-Oct-2014,5.35,5.35,5.35,5.35,3000
BGL,10-Oct-2014,5.22,5.37,5.00,5.33,6500
BGL,14-Oct-2014,5.33,5.33,5.33,5.33,5000
BGL,15-Oct-2014,5.40,5.49,5.40,5.49,4000
BGL,20-Oct-2014,5.50,5.50,5.50,5.50,2500
BGL,05-Nov-2014,5.40,5.45,5.40,5.40,3500
BGL,10-Nov-2014,5.20,5.20,5.15,5.15,1000
BGL,12-Nov-2014,5.05,5.30,5.05,5.20,10500
BGL,13-Nov-2014,5.10,5.10,5.00,5.00,2000
BGL,14-Nov-2014,4.81,4.95,4.40,4.95,5000
BGL,17-Nov-2014,5.10,5.10,5.10,5.10,4000
BGL,18-Nov-2014,4.74,4.90,4.74,4.90,3000
BGL,28-Nov-2014,4.50,4.79,4.50,4.79,2500
BGL,03-Dec-2014,4.65,4.65,4.51,4.59,3000
BGL,04-Dec-2014,4.70,5.00,4.51,4.94,12000
BGL,05-Dec-2014,4.65,5.94,4.61,5.14,1324500
BGL,08-Dec-2014,5.39,6.14,5.36,6.14,1015000
BGL,09-Dec-2014,6.39,6.97,6.20,6.50,1286500
BGL,10-Dec-2014,6.50,6.50,5.81,6.16,103000
BGL,11-Dec-2014,6.09,6.35,5.69,5.85,148000
BGL,12-Dec-2014,6.00,6.00,5.80,5.82,59000
BGL,15-Dec-2014,6.20,6.20,5.75,5.75,52500
BGL,16-Dec-2014,5.55,5.70,5.51,5.55,61000
BGL,17-Dec-2014,5.26,5.64,5.26,5.55,34500
BGL,18-Dec-2014,5.60,5.60,5.40,5.46,50500
BGL,19-Dec-2014,5.32,5.47,5.25,5.47,6500
BGL,22-Dec-2014,5.40,5.98,5.15,5.51,349000
BGL,23-Dec-2014,5.31,5.93,5.31,5.56,198000
BGL,24-Dec-2014,5.66,5.74,5.49,5.50,183000
BGL,26-Dec-2014,5.40,5.40,5.30,5.31,23500
BGL,29-Dec-2014,5.40,5.40,5.40,5.40,500
BGL,30-Dec-2014,5.16,5.40,5.16,5.40,1000
BGL,31-Dec-2014,5.49,5.49,5.26,5.40,6500
BGL,01-Jan-2015,5.10,5.44,5.10,5.44,9000
BGL,02-Jan-2015,5.25,5.40,5.25,5.29,6000
BGL,05-Jan-2015,5.26,5.35,5.20,5.34,41500
BGL,06-Jan-2015,5.25,5.30,5.10,5.21,12500
BGL,07-Jan-2015,5.21,5.30,5.17,5.28,5500
BGL,08-Jan-2015,5.26,5.30,5.03,5.10,52000
BGL,09-Jan-2015,5.05,5.25,5.05,5.18,10000
BGL,12-Jan-2015,5.14,5.19,5.01,5.19,8500
BGL,13-Jan-2015,5.10,5.24,5.06,5.23,14500
BGL,14-Jan-2015,5.24,5.74,5.15,5.28,345000
BGL,15-Jan-2015,5.40,6.00,5.20,5.72,1157500
BGL,16-Jan-2015,5.70,5.90,5.65,5.74,685000
BGL,19-Jan-2015,5.85,5.85,5.60,5.61,91000
BGL,20-Jan-2015,5.75,5.79,5.61,5.61,37000
BGL,21-Jan-2015,5.40,5.69,5.40,5.47,87000
BGL,22-Jan-2015,5.60,5.65,5.40,5.46,221500
BGL,23-Jan-2015,5.45,5.60,5.45,5.60,12500
BGL,26-Jan-2015,5.57,5.64,5.42,5.42,65000
BGL,27-Jan-2015,5.40,5.59,5.30,5.40,44000
BGL,28-Jan-2015,5.37,5.50,5.32,5.32,9500
BGL,29-Jan-2015,5.28,5.89,5.28,5.40,28000
BGL,30-Jan-2015,5.36,5.49,5.26,5.38,36500
BGL,02-Feb-2015,5.12,5.57,5.12,5.44,57500
BGL,03-Feb-2015,5.22,5.50,5.22,5.45,99500
BGL,04-Feb-2015,5.29,5.30,5.29,5.30,2000
BGL,06-Feb-2015,5.25,5.29,5.20,5.29,20500
BGL,09-Feb-2015,5.17,5.23,5.10,5.23,16500
BGL,10-Feb-2015,5.14,5.14,5.00,5.01,106000
BGL,11-Feb-2015,4.92,4.92,4.90,4.90,10000
BGL,12-Feb-2015,5.55,5.55,4.73,5.10,39000
BGL,13-Feb-2015,5.20,6.10,4.80,4.96,439500
BGL,17-Feb-2015,4.80,4.95,4.80,4.95,6500
BGL,18-Feb-2015,4.75,4.95,4.71,4.79,10000
BGL,19-Feb-2015,4.76,4.89,4.75,4.80,3000
BGL,20-Feb-2015,4.70,4.80,4.51,4.53,15000
BGL,23-Feb-2015,4.74,4.74,4.50,4.74,8500
BGL,24-Feb-2015,4.74,4.85,4.55,4.85,13500
BGL,25-Feb-2015,4.61,4.73,4.61,4.67,5500
BGL,26-Feb-2015,4.55,4.70,4.21,4.45,20500
BGL,02-Mar-2015,4.31,4.33,4.00,4.25,29000
BGL,03-Mar-2015,4.00,4.25,3.90,4.25,6500
BGL,04-Mar-2015,4.02,4.19,4.02,4.19,3500
BGL,05-Mar-2015,3.97,3.97,3.95,3.95,6000
BGL,09-Mar-2015,4.34,4.50,4.12,4.13,5000
BGL,10-Mar-2015,3.87,3.87,3.40,3.62,64000
BGL,11-Mar-2015,3.75,3.75,3.55,3.75,65000
BGL,12-Mar-2015,3.65,3.65,3.65,3.65,10000
BGL,13-Mar-2015,3.56,3.95,3.56,3.92,24000
BGL,16-Mar-2015,3.90,3.90,3.70,3.70,3000
BGL,24-Mar-2015,3.84,3.84,3.41,3.53,16500
BGL,26-Mar-2015,3.55,3.55,3.03,3.07,41000
BGL,27-Mar-2015,3.10,3.30,3.10,3.10,24500
BGL,30-Mar-2015,2.75,3.10,2.70,2.95,125000
BGL,31-Mar-2015,3.20,3.30,3.20,3.30,1000
BGL,01-Apr-2015,3.35,3.43,3.35,3.43,3000
BGL,02-Apr-2015,3.39,3.40,3.39,3.40,5000
BGL,03-Apr-2015,3.22,3.99,3.22,3.95,119500
BGL,06-Apr-2015,4.00,4.00,3.53,3.83,35500
BGL,07-Apr-2015,3.65,3.82,3.65,3.82,1000
BGL,08-Apr-2015,3.62,3.62,3.51,3.51,13500
BGL,10-Apr-2015,3.50,3.75,3.50,3.73,5000
BGL,13-Apr-2015,3.40,3.64,3.39,3.64,6000
BGL,14-Apr-2015,3.51,3.51,3.41,3.43,17000
BGL,15-Apr-2015,3.20,3.59,3.20,3.59,28000
BGL,16-Apr-2015,3.84,3.94,3.65,3.91,15500
BGL,17-Apr-2015,3.95,4.49,3.95,4.20,285500
BGL,20-Apr-2015,4.25,4.25,4.00,4.00,20000
BGL,21-Apr-2015,3.95,4.19,3.80,4.19,18000
BGL,22-Apr-2015,3.99,4.10,3.99,4.08,39000
BGL,23-Apr-2015,3.84,4.18,3.80,4.18,11000
BGL,24-Apr-2015,3.88,4.04,3.85,4.04,5500
BGL,27-Apr-2015,3.75,3.75,3.30,3.72,51500
BGL,28-Apr-2015,3.55,3.56,3.50,3.51,30000
BGL,29-Apr-2015,3.50,3.51,3.50,3.51,8000
BGL,30-Apr-2015,3.51,3.51,3.12,3.34,6000
BGL,04-May-2015,3.60,3.60,3.60,3.60,1000
BGL,06-May-2015,3.50,3.56,3.50,3.56,60000
BGL,07-May-2015,3.50,3.62,3.50,3.60,49500
BGL,08-May-2015,3.50,3.67,3.50,3.67,1500
BGL,11-May-2015,3.40,3.50,3.31,3.41,31500
BGL,12-May-2015,3.50,3.60,3.50,3.52,6000
BGL,13-May-2015,3.36,3.58,3.35,3.50,44500
BGL,14-May-2015,3.55,3.55,3.55,3.55,2500
BGL,18-May-2015,3.50,3.55,3.50,3.50,25000
