Symbol,Date,Open,High,Low,Close,Volume
BHAT,09-Jan-2014,525.00,540.22,525.00,540.22,1000
BHAT,13-Jan-2014,560.00,567.23,560.00,567.23,300
BHAT,17-Jan-2014,595.59,595.59,595.59,595.59,100
BHAT,21-Jan-2014,625.00,625.00,625.00,625.00,200
BHAT,22-Jan-2014,655.00,655.00,655.00,655.00,300
BHAT,23-Jan-2014,687.49,687.75,687.49,687.75,500
BHAT,24-Jan-2014,722.13,722.13,722.13,722.13,700
BHAT,27-Jan-2014,758.23,758.23,758.00,758.00,400
BHAT,28-Jan-2014,730.00,730.00,730.00,730.00,100
BHAT,03-Feb-2014,750.00,750.00,750.00,750.00,100
BHAT,14-Feb-2014,712.50,749.99,712.50,749.99,200
BHAT,17-Feb-2014,712.50,712.50,712.50,712.50,100
BHAT,18-Feb-2014,725.00,725.00,725.00,725.00,100
BHAT,20-Feb-2014,740.00,740.00,740.00,740.00,100
BHAT,24-Feb-2014,715.00,715.00,703.00,703.00,200
BHAT,28-Feb-2014,668.01,668.01,668.00,668.00,200
BHAT,03-Mar-2014,670.00,700.00,670.00,700.00,200
BHAT,04-Mar-2014,725.00,735.00,725.00,732.95,500
BHAT,05-Mar-2014,750.00,750.00,750.00,750.00,100
BHAT,06-Mar-2014,768.50,768.50,768.50,768.50,100
BHAT,07-Mar-2014,730.10,788.00,730.10,788.00,200
BHAT,14-Mar-2014,823.90,823.90,823.90,823.90,500
BHAT,17-Mar-2014,834.90,834.90,834.90,834.90,100
BHAT,18-Mar-2014,795.00,849.95,795.00,849.95,200
BHAT,20-Mar-2014,852.00,852.00,852.00,852.00,100
BHAT,01-Apr-2014,852.00,852.00,852.00,852.00,100
BHAT,10-Apr-2014,809.40,809.40,809.40,809.40,700
BHAT,11-Apr-2014,768.95,768.95,768.95,768.95,100
BHAT,14-Apr-2014,768.95,768.95,768.95,768.95,100
BHAT,17-Apr-2014,799.95,799.95,799.95,799.95,300
BHAT,23-Apr-2014,839.90,839.90,839.90,839.90,100
BHAT,30-May-2014,784.29,784.29,784.29,784.29,900
BHAT,02-Jun-2014,814.99,814.99,745.08,745.10,3000
BHAT,03-Jun-2014,707.90,707.90,707.90,707.90,100
BHAT,04-Jun-2014,675.00,675.00,672.52,672.52,300
BHAT,09-Jun-2014,638.90,638.90,638.90,638.90,100
BHAT,19-Jun-2014,607.00,607.00,607.00,607.00,100
BHAT,20-Jun-2014,576.65,576.65,576.65,576.65,200
BHAT,23-Jun-2014,547.82,547.82,547.82,547.82,100
BHAT,24-Jun-2014,525.56,525.56,525.55,525.55,200
BHAT,02-Jul-2014,525.00,525.00,525.00,525.00,100
BHAT,15-Jul-2014,501.01,501.01,501.00,501.00,200
BHAT,04-Aug-2014,490.00,490.00,490.00,490.00,200
BHAT,05-Aug-2014,495.00,495.00,490.00,490.00,150
BHAT,06-Aug-2014,501.00,501.00,501.00,501.00,100
BHAT,07-Aug-2014,490.00,490.00,490.00,490.00,100
BHAT,08-Aug-2014,513.90,513.90,513.90,513.90,150
