Symbol,Date,Open,High,Low,Close,Volume
BNWM,01-Jan-2014,74.64,75.50,71.75,71.98,35000
BNWM,02-Jan-2014,71.00,72.99,70.10,70.10,12500
BNWM,03-Jan-2014,69.99,69.99,68.50,68.51,2000
BNWM,06-Jan-2014,68.01,70.50,68.01,68.10,5500
BNWM,07-Jan-2014,68.75,68.76,68.20,68.25,3500
BNWM,08-Jan-2014,68.65,70.80,68.60,69.75,14000
BNWM,09-Jan-2014,70.99,70.99,69.51,69.51,6000
BNWM,10-Jan-2014,66.09,70.90,66.09,69.56,10500
BNWM,13-Jan-2014,68.50,69.99,68.50,68.51,10000
BNWM,15-Jan-2014,69.20,69.20,68.68,68.68,1000
BNWM,16-Jan-2014,68.00,68.00,66.05,66.51,9000
BNWM,17-Jan-2014,64.10,69.40,63.50,69.40,3000
BNWM,20-Jan-2014,69.99,70.00,69.00,69.00,9000
BNWM,21-Jan-2014,69.25,69.99,68.62,68.91,13000
BNWM,22-Jan-2014,69.70,69.70,69.00,69.00,80000
BNWM,23-Jan-2014,70.95,72.45,70.00,72.40,47000
BNWM,24-Jan-2014,74.00,76.02,72.00,76.02,87500
BNWM,27-Jan-2014,79.82,79.82,79.79,79.82,55000
BNWM,28-Jan-2014,82.36,83.81,82.36,83.81,13500
BNWM,29-Jan-2014,88.00,88.00,79.65,80.20,65000
BNWM,30-Jan-2014,78.00,81.00,76.19,78.82,28000
BNWM,31-Jan-2014,81.90,81.90,77.30,77.90,7500
BNWM,03-Feb-2014,80.40,80.65,78.50,80.00,28500
BNWM,04-Feb-2014,78.01,80.01,77.80,79.89,34500
BNWM,06-Feb-2014,81.35,81.35,79.75,79.92,12000
BNWM,07-Feb-2014,79.01,79.75,77.00,77.17,9000
BNWM,10-Feb-2014,76.35,76.76,74.10,75.23,11500
BNWM,11-Feb-2014,75.00,78.49,75.00,77.99,39500
BNWM,12-Feb-2014,78.01,80.00,78.00,78.36,33500
BNWM,14-Feb-2014,77.05,77.05,76.00,76.27,2500
BNWM,17-Feb-2014,76.00,76.01,72.46,72.64,17500
BNWM,18-Feb-2014,74.00,74.00,70.10,71.51,12000
BNWM,19-Feb-2014,73.00,75.08,73.00,73.51,8000
BNWM,20-Feb-2014,75.00,75.00,75.00,75.00,3500
BNWM,25-Feb-2014,76.79,78.50,75.00,76.50,23000
BNWM,26-Feb-2014,78.40,80.32,78.40,80.00,71000
BNWM,27-Feb-2014,81.00,81.00,78.00,79.90,7500
BNWM,28-Feb-2014,77.75,78.01,77.10,77.19,25000
BNWM,03-Mar-2014,77.00,78.68,75.12,77.67,8500
BNWM,04-Mar-2014,76.56,78.50,75.00,78.36,13500
BNWM,05-Mar-2014,75.00,79.75,75.00,78.19,15000
BNWM,06-Mar-2014,80.00,80.00,80.00,80.00,500
BNWM,07-Mar-2014,80.00,80.00,78.50,78.50,1500
BNWM,10-Mar-2014,77.00,79.50,76.00,79.50,22000
BNWM,11-Mar-2014,79.98,82.00,79.80,81.37,31000
BNWM,12-Mar-2014,80.01,81.00,78.50,79.92,11000
BNWM,13-Mar-2014,79.01,80.30,79.01,79.36,3000
BNWM,14-Mar-2014,79.00,83.32,79.00,83.32,51500
BNWM,17-Mar-2014,84.80,87.48,84.80,85.30,29500
BNWM,18-Mar-2014,83.50,84.50,83.50,84.50,2000
BNWM,19-Mar-2014,86.49,88.72,80.75,87.95,26000
BNWM,20-Mar-2014,84.31,85.00,83.60,83.60,5000
BNWM,24-Mar-2014,80.26,85.70,80.26,85.60,1500
BNWM,26-Mar-2014,85.90,86.00,82.10,82.15,4500
BNWM,27-Mar-2014,83.70,84.00,83.70,84.00,2500
BNWM,28-Mar-2014,86.00,88.00,84.25,84.58,42000
BNWM,31-Mar-2014,83.00,83.00,82.11,82.21,11500
BNWM,01-Apr-2014,80.00,83.30,80.00,83.30,3500
BNWM,03-Apr-2014,80.51,80.51,80.00,80.00,10000
BNWM,04-Apr-2014,79.00,79.00,79.00,79.00,11000
BNWM,07-Apr-2014,82.00,82.00,82.00,82.00,500
BNWM,08-Apr-2014,83.00,83.00,83.00,83.00,500
BNWM,09-Apr-2014,79.44,79.50,79.40,79.50,2000
BNWM,10-Apr-2014,78.25,80.00,78.20,80.00,2000
BNWM,14-Apr-2014,80.00,81.00,80.00,80.63,2000
BNWM,15-Apr-2014,78.05,78.05,78.00,78.00,2500
BNWM,21-Apr-2014,79.00,79.00,74.10,78.00,4000
BNWM,24-Apr-2014,79.00,81.76,76.00,76.00,12000
BNWM,29-Apr-2014,79.25,79.49,79.25,79.25,11000
BNWM,30-Apr-2014,76.10,76.10,75.29,75.29,1500
BNWM,05-May-2014,77.95,77.95,77.95,77.95,500
BNWM,06-May-2014,74.40,79.60,74.10,74.10,5000
BNWM,12-May-2014,71.50,71.90,70.80,71.17,3000
BNWM,13-May-2014,69.55,69.55,69.50,69.51,2000
BNWM,14-May-2014,67.10,67.10,67.10,67.10,500
BNWM,15-May-2014,69.90,70.45,69.90,70.45,1000
BNWM,16-May-2014,72.80,73.97,72.75,73.69,3500
BNWM,20-May-2014,73.00,74.00,73.00,73.09,5500
BNWM,28-May-2014,73.00,73.00,73.00,73.00,500
BNWM,29-May-2014,72.05,74.90,72.05,72.05,1000
BNWM,03-Jun-2014,70.71,70.71,70.67,70.71,1500
BNWM,05-Jun-2014,73.75,73.75,73.75,73.75,500
BNWM,06-Jun-2014,75.68,75.68,75.68,75.68,500
BNWM,09-Jun-2014,72.87,72.87,72.87,72.87,500
BNWM,10-Jun-2014,75.00,75.00,71.00,71.00,1500
BNWM,12-Jun-2014,70.50,74.45,70.50,72.38,6000
BNWM,13-Jun-2014,70.50,70.55,69.50,70.43,7000
BNWM,17-Jun-2014,67.30,72.30,67.30,72.28,1500
BNWM,19-Jun-2014,70.49,75.80,70.49,73.87,6000
BNWM,23-Jun-2014,75.00,75.00,75.00,75.00,500
BNWM,24-Jun-2014,74.00,74.90,74.00,74.46,27500
BNWM,26-Jun-2014,73.60,78.17,73.60,76.52,9000
BNWM,27-Jun-2014,76.00,80.30,72.70,76.95,13500
BNWM,30-Jun-2014,73.25,76.00,73.11,75.10,14500
BNWM,03-Jul-2014,74.86,74.86,74.86,74.86,500
BNWM,08-Jul-2014,71.52,71.52,71.51,71.51,1500
BNWM,09-Jul-2014,69.50,69.50,67.94,67.94,9500
BNWM,10-Jul-2014,65.20,67.80,64.64,67.28,6000
BNWM,21-Jul-2014,67.00,67.00,67.00,67.00,500
BNWM,22-Jul-2014,68.00,68.00,68.00,68.00,18000
BNWM,04-Aug-2014,65.00,65.00,65.00,65.00,1000
BNWM,05-Aug-2014,66.00,66.00,66.00,66.00,500
BNWM,08-Aug-2014,68.86,68.86,68.86,68.86,1000
BNWM,11-Aug-2014,69.00,72.30,69.00,72.30,2500
BNWM,12-Aug-2014,73.45,75.91,73.45,75.50,34500
BNWM,13-Aug-2014,72.50,73.93,72.50,73.93,1500
BNWM,15-Aug-2014,75.97,75.97,72.11,73.55,24000
BNWM,18-Aug-2014,75.34,75.90,74.75,75.00,12000
BNWM,20-Aug-2014,74.50,75.00,74.50,75.00,4500
BNWM,21-Aug-2014,75.50,76.25,74.00,74.00,10000
BNWM,25-Aug-2014,75.50,76.00,75.50,76.00,2000
BNWM,26-Aug-2014,75.75,76.00,75.00,75.50,3500
BNWM,27-Aug-2014,74.00,74.01,74.00,74.00,3000
BNWM,29-Aug-2014,70.86,70.86,70.31,70.31,3000
BNWM,02-Sep-2014,70.00,70.00,68.25,69.00,7000
BNWM,04-Sep-2014,71.99,72.39,71.99,72.39,2000
BNWM,05-Sep-2014,75.00,75.00,75.00,75.00,500
BNWM,08-Sep-2014,74.00,75.00,71.50,74.67,4000
BNWM,10-Sep-2014,73.00,73.00,73.00,73.00,2000
BNWM,11-Sep-2014,70.25,70.25,69.36,69.36,11000
BNWM,12-Sep-2014,71.00,71.50,71.00,71.25,1000
BNWM,15-Sep-2014,70.50,74.50,70.50,72.85,5500
BNWM,16-Sep-2014,73.00,73.00,73.00,73.00,1500
BNWM,17-Sep-2014,72.00,72.00,71.25,71.25,1000
BNWM,18-Sep-2014,71.50,71.50,71.50,71.50,500
BNWM,19-Sep-2014,71.24,72.25,71.24,72.13,6000
BNWM,22-Sep-2014,68.61,70.75,68.53,68.53,33000
BNWM,23-Sep-2014,65.68,68.90,65.60,67.51,3500
BNWM,24-Sep-2014,66.00,68.50,66.00,67.38,8500
BNWM,25-Sep-2014,67.55,67.60,67.55,67.55,10500
