Symbol,Date,Open,High,Low,Close,Volume
BPBL,01-Jan-2014,3.99,5.61,3.99,5.21,6000
BPBL,02-Jan-2014,5.15,5.74,5.15,5.74,4500
BPBL,06-Jan-2014,5.30,5.75,5.30,5.32,6500
BPBL,07-Jan-2014,5.48,6.32,5.48,6.32,41500
BPBL,08-Jan-2014,6.30,7.32,6.30,7.32,69500
BPBL,09-Jan-2014,7.40,7.40,7.00,7.00,23000
BPBL,10-Jan-2014,6.50,8.00,6.50,7.63,141500
BPBL,22-Jan-2014,7.70,7.70,6.70,7.20,2000
BPBL,23-Jan-2014,6.45,8.20,6.20,7.96,225000
BPBL,24-Jan-2014,8.70,8.96,8.50,8.50,6000
BPBL,27-Jan-2014,7.80,7.80,7.80,7.80,500
BPBL,31-Jan-2014,6.82,8.50,6.80,8.50,191500
BPBL,03-Feb-2014,8.89,8.89,8.75,8.75,2500
BPBL,14-Feb-2014,9.25,9.25,9.25,9.25,500
BPBL,17-Feb-2014,8.25,8.25,8.25,8.25,1500
BPBL,18-Feb-2014,7.25,7.25,7.25,7.25,1500
BPBL,19-Feb-2014,6.25,6.25,6.25,6.25,1000
BPBL,20-Feb-2014,5.25,7.24,5.25,6.58,7500
BPBL,21-Feb-2014,6.05,7.45,6.05,6.65,55500
BPBL,24-Feb-2014,5.85,6.25,5.85,6.25,2000
BPBL,25-Feb-2014,5.66,5.66,5.66,5.66,500
BPBL,26-Feb-2014,6.66,6.66,5.30,5.69,130500
BPBL,27-Feb-2014,6.69,6.69,5.26,5.50,119000
BPBL,28-Feb-2014,5.10,5.51,5.10,5.23,20000
BPBL,03-Mar-2014,5.60,5.61,5.60,5.60,11000
BPBL,04-Mar-2014,5.89,6.05,5.89,6.05,5000
BPBL,05-Mar-2014,5.55,5.55,5.55,5.55,1000
BPBL,06-Mar-2014,6.00,6.10,5.82,6.08,45500
BPBL,07-Mar-2014,5.65,6.00,5.65,5.91,2500
BPBL,10-Mar-2014,5.71,5.71,5.70,5.70,6500
BPBL,11-Mar-2014,5.55,5.70,5.55,5.64,4000
BPBL,12-Mar-2014,5.05,5.05,5.05,5.05,1000
BPBL,13-Mar-2014,5.60,5.60,5.60,5.60,2000
BPBL,14-Mar-2014,5.10,5.10,5.10,5.10,500
