Symbol,Date,Open,High,Low,Close,Volume
BROT,01-Jan-2014,7.00,7.17,6.55,7.17,368500
BROT,02-Jan-2014,8.15,8.17,8.00,8.17,398500
BROT,03-Jan-2014,9.00,9.17,7.66,9.13,979500
BROT,06-Jan-2014,9.15,10.13,8.75,10.13,874500
BROT,07-Jan-2014,11.13,11.13,11.13,11.13,23000
BROT,08-Jan-2014,12.13,12.13,12.13,12.13,28000
BROT,09-Jan-2014,13.13,13.13,11.75,12.94,885000
BROT,10-Jan-2014,13.70,13.94,13.00,13.94,172000
BROT,13-Jan-2014,14.94,14.94,14.94,14.94,6500
BROT,15-Jan-2014,15.94,15.94,15.94,15.94,22500
BROT,16-Jan-2014,16.80,16.94,15.25,16.94,682000
BROT,17-Jan-2014,17.25,17.94,17.25,17.94,157500
BROT,20-Jan-2014,18.90,18.94,18.90,18.94,23000
BROT,21-Jan-2014,19.94,19.94,19.94,19.94,65500
BROT,22-Jan-2014,20.94,20.94,20.35,20.94,230000
BROT,23-Jan-2014,21.98,21.98,21.98,21.98,8500
BROT,24-Jan-2014,23.07,23.07,22.10,23.07,63000
BROT,27-Jan-2014,24.22,24.22,24.22,24.22,2000
BROT,28-Jan-2014,25.43,25.43,24.25,25.43,248000
BROT,29-Jan-2014,26.60,26.60,24.16,24.16,16500
BROT,31-Jan-2014,21.98,21.98,21.98,21.98,3000
BROT,03-Feb-2014,20.89,20.89,20.89,20.89,3000
BROT,06-Feb-2014,19.18,19.18,19.18,19.18,1000
BROT,07-Feb-2014,18.18,18.18,18.18,18.18,4000
BROT,10-Feb-2014,17.18,17.18,17.18,17.18,4000
BROT,12-Feb-2014,15.41,15.41,15.41,15.41,5000
BROT,13-Feb-2014,14.41,14.41,14.41,14.41,8000
BROT,14-Feb-2014,13.41,13.41,13.41,13.41,6000
BROT,17-Feb-2014,12.41,12.41,12.41,12.41,1500
BROT,18-Feb-2014,11.41,11.41,11.41,11.41,500
BROT,19-Feb-2014,10.41,12.41,10.41,12.14,1149000
BROT,20-Feb-2014,12.16,12.50,11.14,11.14,286500
BROT,21-Feb-2014,11.24,12.12,10.14,10.21,292000
BROT,24-Feb-2014,9.75,10.77,9.47,9.64,223000
BROT,25-Feb-2014,9.90,9.90,8.64,8.69,164500
BROT,26-Feb-2014,8.51,9.15,8.30,8.49,178500
BROT,27-Feb-2014,8.63,9.00,8.18,8.50,55000
BROT,28-Feb-2014,8.31,8.90,7.90,8.06,145000
BROT,03-Mar-2014,8.00,8.00,7.51,7.51,14000
BROT,04-Mar-2014,7.58,8.51,7.53,8.51,92000
BROT,05-Mar-2014,9.40,9.51,9.25,9.51,33500
BROT,06-Mar-2014,10.51,10.51,9.51,10.51,394000
BROT,07-Mar-2014,11.20,11.51,10.99,11.51,196500
BROT,10-Mar-2014,12.51,12.51,12.01,12.51,526500
BROT,11-Mar-2014,13.35,13.51,11.62,12.60,411500
BROT,12-Mar-2014,12.85,12.95,11.60,11.60,227000
BROT,13-Mar-2014,10.60,11.00,10.60,10.61,233000
BROT,14-Mar-2014,10.20,11.61,10.20,11.61,177000
BROT,17-Mar-2014,12.46,12.60,11.70,11.80,184500
BROT,18-Mar-2014,11.70,11.70,10.80,10.94,88000
BROT,19-Mar-2014,10.75,11.35,10.61,11.02,44000
BROT,20-Mar-2014,11.06,11.06,10.16,10.80,30500
BROT,21-Mar-2014,10.50,10.76,10.26,10.76,12500
BROT,24-Mar-2014,10.41,10.85,10.40,10.58,20500
BROT,25-Mar-2014,10.55,11.29,10.55,11.05,42500
BROT,26-Mar-2014,11.25,11.50,11.12,11.28,31500
BROT,27-Mar-2014,11.00,11.25,10.80,10.85,17000
BROT,28-Mar-2014,10.60,10.65,10.30,10.42,21500
BROT,31-Mar-2014,10.40,10.40,10.31,10.32,7500
BROT,01-Apr-2014,10.35,11.00,10.35,10.57,48000
BROT,02-Apr-2014,10.15,10.92,10.15,10.88,32000
BROT,03-Apr-2014,11.20,11.20,10.70,10.70,27000
BROT,04-Apr-2014,11.00,11.00,10.15,10.19,34500
BROT,07-Apr-2014,10.94,11.00,10.23,10.25,11000
BROT,08-Apr-2014,10.30,11.25,10.30,11.19,199000
BROT,09-Apr-2014,11.40,11.40,10.62,10.88,52500
BROT,10-Apr-2014,10.70,10.95,10.30,10.41,88500
