Symbol,Date,Open,High,Low,Close,Volume
BRR,01-Jan-2014,5.45,5.70,5.27,5.49,1209500
BRR,02-Jan-2014,5.74,5.74,5.20,5.31,1375500
BRR,03-Jan-2014,5.22,6.31,5.22,5.97,7398000
BRR,06-Jan-2014,6.15,6.15,5.60,5.65,1086000
BRR,07-Jan-2014,5.70,5.98,5.70,5.94,1009000
BRR,08-Jan-2014,6.10,6.48,6.01,6.20,3682500
BRR,09-Jan-2014,6.40,6.40,5.95,6.02,911500
BRR,10-Jan-2014,5.92,6.30,5.90,6.25,1986500
BRR,13-Jan-2014,6.30,6.35,6.06,6.16,351500
BRR,15-Jan-2014,6.34,6.34,6.13,6.18,200000
BRR,16-Jan-2014,6.25,6.25,5.66,5.98,375500
BRR,17-Jan-2014,6.15,6.15,5.55,5.60,564500
BRR,20-Jan-2014,5.73,5.90,5.65,5.68,353500
BRR,21-Jan-2014,5.85,5.85,5.68,5.70,48500
BRR,22-Jan-2014,5.64,5.74,5.56,5.61,224500
BRR,23-Jan-2014,5.58,5.70,5.55,5.56,47000
BRR,24-Jan-2014,5.57,5.75,5.45,5.52,304500
BRR,27-Jan-2014,5.56,5.75,5.49,5.65,192000
BRR,28-Jan-2014,5.80,6.00,5.71,5.76,905000
BRR,29-Jan-2014,5.70,5.85,5.70,5.70,162500
BRR,30-Jan-2014,5.72,5.72,5.55,5.63,90000
BRR,31-Jan-2014,5.55,5.80,5.55,5.61,109000
BRR,03-Feb-2014,5.61,5.80,5.53,5.57,235500
BRR,04-Feb-2014,5.72,5.72,5.56,5.60,17500
BRR,06-Feb-2014,5.65,5.65,5.51,5.54,68500
BRR,07-Feb-2014,5.69,5.80,5.35,5.45,400500
BRR,10-Feb-2014,5.50,5.50,5.35,5.41,384500
BRR,11-Feb-2014,5.36,5.58,5.25,5.36,74000
BRR,12-Feb-2014,5.50,5.65,5.40,5.50,40000
BRR,13-Feb-2014,5.33,5.69,5.33,5.50,96500
BRR,14-Feb-2014,5.50,5.50,5.50,5.50,30500
BRR,17-Feb-2014,5.40,5.40,5.20,5.30,141000
BRR,18-Feb-2014,5.18,5.25,5.16,5.25,48500
BRR,19-Feb-2014,5.22,5.30,5.18,5.20,55000
BRR,20-Feb-2014,5.18,5.30,5.18,5.21,36000
BRR,21-Feb-2014,5.20,5.48,5.15,5.27,59000
BRR,24-Feb-2014,5.25,5.38,5.25,5.31,22500
BRR,25-Feb-2014,5.20,5.23,5.05,5.10,409000
BRR,26-Feb-2014,5.20,5.20,5.13,5.14,181000
BRR,27-Feb-2014,5.17,5.18,5.17,5.18,14500
BRR,28-Feb-2014,5.25,5.25,5.00,5.03,22500
BRR,03-Mar-2014,4.92,5.10,4.75,4.89,439500
BRR,04-Mar-2014,4.90,5.24,4.90,5.02,261500
BRR,05-Mar-2014,5.00,5.10,5.00,5.01,68500
BRR,06-Mar-2014,5.15,5.15,5.00,5.06,90500
BRR,07-Mar-2014,5.00,5.23,5.00,5.11,79000
BRR,10-Mar-2014,5.28,5.40,5.01,5.40,225500
BRR,11-Mar-2014,5.25,5.44,5.10,5.27,157500
BRR,12-Mar-2014,5.25,5.30,5.25,5.27,38500
BRR,13-Mar-2014,5.20,5.36,5.10,5.23,1364500
BRR,14-Mar-2014,5.35,5.45,5.23,5.31,343000
BRR,17-Mar-2014,5.32,5.49,5.32,5.40,97500
BRR,18-Mar-2014,5.40,5.41,5.36,5.41,46500
BRR,19-Mar-2014,5.40,5.40,5.37,5.40,104000
BRR,20-Mar-2014,5.36,5.40,5.22,5.39,131500
BRR,21-Mar-2014,5.39,5.39,5.39,5.39,3500
BRR,24-Mar-2014,5.30,5.35,5.30,5.35,8500
BRR,25-Mar-2014,5.35,5.35,5.35,5.35,1000
BRR,26-Mar-2014,5.30,5.30,5.20,5.30,64500
BRR,27-Mar-2014,5.41,5.41,5.25,5.29,67000
BRR,28-Mar-2014,5.30,5.30,5.25,5.30,63500
BRR,31-Mar-2014,5.05,5.37,5.05,5.30,180500
BRR,01-Apr-2014,5.40,5.40,5.35,5.36,15000
BRR,02-Apr-2014,5.36,5.40,5.30,5.30,80000
BRR,03-Apr-2014,5.30,5.48,5.30,5.33,251500
BRR,04-Apr-2014,5.23,5.40,5.23,5.35,60000
BRR,07-Apr-2014,5.27,5.35,5.26,5.35,61000
BRR,08-Apr-2014,5.43,5.44,5.34,5.35,21000
BRR,09-Apr-2014,5.39,5.39,5.30,5.31,44000
BRR,10-Apr-2014,5.35,5.40,5.35,5.40,7500
BRR,11-Apr-2014,5.37,5.37,5.22,5.26,41000
BRR,14-Apr-2014,5.30,5.34,5.27,5.31,54500
BRR,15-Apr-2014,5.30,5.97,5.26,5.79,786500
BRR,16-Apr-2014,5.76,5.87,5.69,5.69,214000
BRR,17-Apr-2014,5.76,6.24,5.70,6.18,1290500
BRR,18-Apr-2014,6.16,6.29,6.10,6.23,403500
BRR,21-Apr-2014,6.20,6.40,6.00,6.31,549500
BRR,22-Apr-2014,6.55,6.55,5.90,5.91,460000
BRR,23-Apr-2014,6.01,6.01,5.70,5.75,352000
BRR,24-Apr-2014,5.76,5.76,5.71,5.71,16000
BRR,25-Apr-2014,5.50,5.65,5.50,5.59,139500
BRR,28-Apr-2014,5.99,6.01,5.65,5.66,230500
BRR,29-Apr-2014,5.99,5.99,5.61,5.85,95000
BRR,30-Apr-2014,5.67,5.94,5.67,5.86,59500
BRR,02-May-2014,5.95,5.95,5.60,5.70,131500
BRR,05-May-2014,5.57,5.70,5.52,5.60,182000
BRR,06-May-2014,5.60,5.75,5.60,5.64,147500
BRR,07-May-2014,5.62,5.95,5.60,5.90,125500
BRR,08-May-2014,5.90,5.90,5.70,5.78,101500
BRR,09-May-2014,5.64,5.90,5.61,5.80,26500
BRR,12-May-2014,5.70,5.80,5.60,5.66,41500
BRR,13-May-2014,5.61,5.70,5.60,5.65,58500
BRR,14-May-2014,5.66,5.68,5.66,5.67,111000
BRR,15-May-2014,5.79,5.79,5.70,5.79,42500
BRR,16-May-2014,5.65,5.70,5.65,5.68,20000
BRR,19-May-2014,5.67,5.94,5.67,5.85,55500
BRR,20-May-2014,5.80,5.85,5.75,5.75,49000
BRR,21-May-2014,5.65,5.80,5.60,5.75,437500
BRR,22-May-2014,5.75,5.75,5.75,5.75,53000
BRR,23-May-2014,5.75,5.75,5.75,5.75,12000
BRR,26-May-2014,5.54,5.80,5.53,5.75,52500
BRR,27-May-2014,5.70,5.70,5.70,5.70,23500
BRR,28-May-2014,5.70,5.75,5.67,5.75,3000
BRR,29-May-2014,5.55,5.85,5.55,5.79,184500
BRR,30-May-2014,5.99,5.99,5.75,5.78,38500
BRR,02-Jun-2014,5.80,5.90,5.70,5.80,143500
BRR,03-Jun-2014,5.81,5.81,5.75,5.80,59000
BRR,04-Jun-2014,5.80,5.85,5.70,5.85,68500
BRR,05-Jun-2014,5.90,5.98,5.72,5.72,428000
BRR,06-Jun-2014,5.77,6.00,5.77,5.90,55500
BRR,09-Jun-2014,5.99,6.35,5.95,6.25,718500
BRR,10-Jun-2014,6.28,6.30,6.10,6.18,152000
BRR,11-Jun-2014,6.10,6.20,6.05,6.09,111000
BRR,12-Jun-2014,6.03,6.15,6.02,6.03,101500
BRR,13-Jun-2014,6.15,6.15,6.00,6.07,163500
BRR,16-Jun-2014,6.23,6.27,6.00,6.16,293500
BRR,17-Jun-2014,6.30,6.30,6.00,6.01,128500
BRR,18-Jun-2014,5.95,6.00,5.82,6.00,172500
BRR,19-Jun-2014,6.09,6.15,5.81,5.97,129500
BRR,20-Jun-2014,5.91,5.99,5.84,5.84,35000
BRR,23-Jun-2014,5.90,5.98,5.81,5.98,28000
BRR,24-Jun-2014,5.99,6.00,5.96,6.00,75000
BRR,25-Jun-2014,6.00,6.00,5.82,5.94,93500
BRR,26-Jun-2014,6.00,6.00,5.99,6.00,16000
BRR,27-Jun-2014,5.91,6.00,5.90,6.00,35500
BRR,30-Jun-2014,6.34,6.34,6.00,6.00,1500
BRR,02-Jul-2014,6.00,6.00,5.96,5.97,11500
BRR,03-Jul-2014,5.96,5.97,5.91,5.91,17500
BRR,04-Jul-2014,5.92,5.92,5.90,5.90,13500
BRR,07-Jul-2014,5.86,5.90,5.85,5.88,22000
BRR,08-Jul-2014,5.90,5.98,5.90,5.95,16000
BRR,10-Jul-2014,5.81,5.81,5.81,5.81,7000
BRR,11-Jul-2014,5.95,5.95,5.81,5.81,10500
BRR,14-Jul-2014,5.84,5.84,5.80,5.80,25000
BRR,15-Jul-2014,5.81,5.88,5.80,5.82,16000
BRR,16-Jul-2014,5.76,5.88,5.73,5.84,39500
BRR,17-Jul-2014,5.76,5.80,5.74,5.78,134500
BRR,18-Jul-2014,5.81,5.81,5.75,5.78,50500
BRR,21-Jul-2014,6.00,6.00,5.75,5.75,46500
BRR,22-Jul-2014,5.80,5.81,5.80,5.81,10500
BRR,23-Jul-2014,5.84,5.84,5.83,5.83,11500
BRR,24-Jul-2014,5.78,5.85,5.76,5.77,113000
BRR,28-Jul-2014,5.69,5.70,5.69,5.70,20500
BRR,04-Aug-2014,5.60,5.75,5.53,5.55,166500
BRR,05-Aug-2014,5.60,5.63,5.60,5.61,170000
BRR,06-Aug-2014,5.60,5.60,5.55,5.55,50500
BRR,07-Aug-2014,5.70,5.70,5.55,5.56,40500
BRR,08-Aug-2014,5.55,5.55,5.50,5.51,61000
BRR,11-Aug-2014,5.35,5.35,5.00,5.10,528500
BRR,12-Aug-2014,5.10,5.50,5.00,5.50,484500
BRR,13-Aug-2014,5.55,5.58,5.30,5.50,114000
BRR,15-Aug-2014,5.45,5.45,5.45,5.45,15500
BRR,18-Aug-2014,5.10,5.42,5.01,5.25,128000
BRR,19-Aug-2014,5.20,5.63,5.15,5.20,85000
BRR,20-Aug-2014,5.44,5.66,5.19,5.43,157000
BRR,21-Aug-2014,5.36,5.41,5.35,5.35,94500
BRR,22-Aug-2014,5.45,5.50,5.45,5.47,17500
BRR,25-Aug-2014,5.50,5.50,5.33,5.33,79500
BRR,26-Aug-2014,5.31,5.70,5.31,5.70,146500
BRR,27-Aug-2014,5.36,5.50,5.27,5.50,42000
BRR,28-Aug-2014,5.55,5.55,5.54,5.54,2500
BRR,29-Aug-2014,5.80,5.80,5.50,5.50,20000
BRR,01-Sep-2014,5.50,5.70,5.50,5.70,24500
BRR,02-Sep-2014,5.69,5.89,5.69,5.89,11500
BRR,03-Sep-2014,5.89,6.00,5.65,5.75,637000
BRR,04-Sep-2014,5.70,5.95,5.70,5.92,8000
BRR,08-Sep-2014,5.72,5.72,5.60,5.61,361000
BRR,09-Sep-2014,5.75,5.78,5.65,5.70,16000
BRR,10-Sep-2014,5.65,5.80,5.65,5.67,35000
BRR,11-Sep-2014,5.71,5.75,5.71,5.71,31000
BRR,16-Sep-2014,5.71,5.80,5.65,5.66,10500
BRR,17-Sep-2014,5.67,5.70,5.65,5.66,174000
BRR,18-Sep-2014,5.62,5.62,5.62,5.62,7500
BRR,19-Sep-2014,5.72,5.72,5.65,5.65,3000
BRR,22-Sep-2014,5.71,6.19,5.71,5.89,1334500
BRR,23-Sep-2014,6.10,6.25,6.00,6.13,627000
BRR,24-Sep-2014,6.21,6.44,6.12,6.15,1055000
BRR,25-Sep-2014,6.19,6.20,6.10,6.15,129000
BRR,26-Sep-2014,6.19,6.19,6.10,6.12,78000
BRR,29-Sep-2014,6.04,6.20,5.90,5.90,279500
BRR,30-Sep-2014,5.99,6.00,5.80,5.87,108000
BRR,01-Oct-2014,5.55,5.90,5.55,5.69,381000
BRR,02-Oct-2014,5.55,5.89,5.52,5.65,217500
BRR,03-Oct-2014,5.62,5.62,5.62,5.62,500
BRR,09-Oct-2014,5.62,5.75,5.50,5.70,139000
BRR,10-Oct-2014,5.56,5.56,5.55,5.55,21500
BRR,13-Oct-2014,5.61,5.75,5.60,5.67,96500
BRR,14-Oct-2014,5.70,5.75,5.61,5.65,122500
BRR,15-Oct-2014,5.70,5.99,5.61,5.70,390000
BRR,16-Oct-2014,5.61,5.80,5.60,5.68,28000
BRR,17-Oct-2014,5.56,5.70,5.50,5.65,164000
BRR,20-Oct-2014,5.56,5.65,5.51,5.56,361000
BRR,21-Oct-2014,5.51,5.60,5.50,5.52,48000
BRR,22-Oct-2014,5.54,5.60,5.48,5.48,314000
BRR,23-Oct-2014,5.51,5.56,5.47,5.50,302500
BRR,24-Oct-2014,5.49,5.49,5.49,5.49,500
BRR,27-Oct-2014,5.32,5.75,5.26,5.34,216000
BRR,28-Oct-2014,5.27,5.35,5.25,5.35,757500
BRR,29-Oct-2014,5.30,5.30,5.18,5.21,160000
BRR,30-Oct-2014,5.20,5.25,5.20,5.25,5000
