Symbol,Date,Open,High,Low,Close,Volume
BWCL,01-Jan-2014,70.00,70.00,70.00,70.00,1500
BWCL,02-Jan-2014,70.00,70.00,70.00,70.00,1500
BWCL,03-Jan-2014,66.50,66.50,66.50,70.00,500
BWCL,08-Jan-2014,68.00,68.00,68.00,68.00,1000
BWCL,09-Jan-2014,70.49,70.49,70.49,70.49,1500
BWCL,17-Jan-2014,70.49,70.49,66.97,66.97,3000
BWCL,21-Jan-2014,67.00,67.00,67.00,67.00,500
BWCL,23-Jan-2014,69.00,70.35,69.00,70.35,12500
BWCL,24-Jan-2014,68.00,72.00,68.00,72.00,8000
BWCL,27-Jan-2014,71.00,72.00,69.50,69.50,12000
BWCL,28-Jan-2014,70.00,70.00,70.00,70.00,1000
BWCL,30-Jan-2014,71.50,71.50,71.50,71.50,2500
BWCL,07-Feb-2014,68.00,70.90,68.00,70.90,1500
BWCL,19-Feb-2014,67.40,70.95,67.40,70.95,1000
BWCL,21-Feb-2014,70.00,70.00,70.00,70.00,500
BWCL,24-Feb-2014,71.00,71.00,71.00,71.00,500
BWCL,25-Feb-2014,71.00,71.00,71.00,71.00,1500
BWCL,26-Feb-2014,73.74,74.55,73.00,74.53,7500
BWCL,03-Mar-2014,77.00,78.25,77.00,78.25,2000
BWCL,04-Mar-2014,78.00,78.50,78.00,78.50,4000
BWCL,14-Mar-2014,78.50,78.50,78.50,78.50,500
BWCL,17-Mar-2014,78.50,78.50,78.50,78.50,500
BWCL,18-Mar-2014,78.50,78.50,78.50,78.50,1000
BWCL,21-Mar-2014,80.00,80.00,80.00,80.00,1500
BWCL,24-Mar-2014,80.00,80.00,80.00,80.00,500
BWCL,25-Mar-2014,76.00,79.99,76.00,79.99,13000
BWCL,31-Mar-2014,77.00,77.50,77.00,77.42,12000
BWCL,02-Apr-2014,77.00,77.00,77.00,77.00,2000
BWCL,03-Apr-2014,78.00,78.00,78.00,78.00,1000
BWCL,04-Apr-2014,80.00,80.00,80.00,80.00,1500
BWCL,08-Apr-2014,76.00,76.00,76.00,76.00,500
BWCL,09-Apr-2014,77.90,77.90,77.90,77.90,500
BWCL,10-Apr-2014,77.90,77.90,77.90,77.90,18500
BWCL,15-Apr-2014,78.00,78.00,78.00,78.00,2000
BWCL,16-Apr-2014,78.00,80.00,78.00,80.00,3000
BWCL,18-Apr-2014,78.00,78.00,77.00,77.00,3000
BWCL,21-Apr-2014,73.15,75.00,73.15,75.00,5000
BWCL,22-Apr-2014,75.00,76.00,75.00,76.00,3000
BWCL,24-Apr-2014,75.00,75.00,75.00,75.00,1000
BWCL,25-Apr-2014,78.75,78.75,78.75,78.75,1500
BWCL,29-Apr-2014,75.10,82.40,75.10,82.38,7000
BWCL,30-Apr-2014,86.00,86.46,82.00,86.46,3000
BWCL,02-May-2014,90.00,90.00,89.00,89.95,2500
BWCL,06-May-2014,89.00,89.00,89.00,89.00,500
BWCL,07-May-2014,89.00,89.00,89.00,89.00,1000
BWCL,08-May-2014,89.50,89.50,89.50,89.50,500
BWCL,12-May-2014,92.00,92.00,92.00,92.00,5000
BWCL,13-May-2014,94.70,94.70,94.70,94.70,500
BWCL,20-May-2014,98.00,98.00,98.00,98.00,500
BWCL,21-May-2014,98.00,98.00,98.00,98.00,1000
BWCL,22-May-2014,94.00,94.00,94.00,94.00,1000
BWCL,29-May-2014,95.50,95.50,95.50,95.50,500
BWCL,09-Jun-2014,100.00,100.00,100.00,100.00,500
BWCL,11-Jun-2014,94.00,94.00,94.00,94.00,1500
BWCL,13-Jun-2014,98.00,98.00,98.00,98.00,500
BWCL,19-Jun-2014,100.99,100.99,100.99,100.99,500
BWCL,26-Jun-2014,104.50,104.50,103.00,103.00,1500
BWCL,07-Jul-2014,107.90,107.90,105.00,105.00,1000
BWCL,17-Jul-2014,104.99,104.99,104.99,104.99,500
BWCL,21-Jul-2014,100.00,100.00,100.00,100.00,500
BWCL,24-Jul-2014,104.95,104.95,104.95,104.95,500
BWCL,28-Jul-2014,105.50,105.50,105.50,105.50,500
BWCL,04-Aug-2014,100.23,100.23,100.23,100.23,500
BWCL,20-Aug-2014,95.22,95.25,95.22,95.25,1500
BWCL,21-Aug-2014,95.00,95.00,95.00,95.00,2000
BWCL,26-Aug-2014,94.00,94.00,94.00,94.00,1000
BWCL,29-Aug-2014,98.50,98.50,98.50,98.50,500
BWCL,02-Sep-2014,103.42,103.42,103.00,103.00,1500
BWCL,04-Sep-2014,103.50,103.50,103.50,103.50,500
BWCL,08-Sep-2014,106.00,106.00,106.00,106.00,1000
BWCL,09-Sep-2014,103.80,104.01,103.80,104.00,3500
BWCL,11-Sep-2014,106.00,106.00,106.00,106.00,500
BWCL,12-Sep-2014,105.00,105.00,105.00,105.00,1000
BWCL,15-Sep-2014,103.00,103.00,103.00,103.00,1000
BWCL,16-Sep-2014,103.00,103.00,103.00,103.00,1000
BWCL,17-Sep-2014,103.00,103.00,103.00,103.00,1000
BWCL,19-Sep-2014,102.00,102.00,102.00,102.00,1000
BWCL,22-Sep-2014,103.00,103.00,103.00,103.00,1000
BWCL,02-Oct-2014,104.99,105.00,102.00,102.00,2000
BWCL,03-Oct-2014,107.00,107.00,105.00,107.00,2000
BWCL,09-Oct-2014,104.00,104.00,104.00,104.00,1000
BWCL,10-Oct-2014,103.00,103.00,103.00,103.00,2000
BWCL,13-Oct-2014,105.10,107.00,105.10,107.00,5500
BWCL,14-Oct-2014,107.60,109.00,107.50,109.00,3000
BWCL,15-Oct-2014,109.50,109.50,109.50,109.50,1000
BWCL,16-Oct-2014,106.00,106.00,105.00,105.00,2500
BWCL,31-Oct-2014,104.90,105.00,104.90,105.00,5500
BWCL,05-Nov-2014,109.90,110.00,109.90,110.00,1500
BWCL,06-Nov-2014,115.50,115.50,115.50,115.50,1500
BWCL,07-Nov-2014,121.24,121.27,121.24,121.26,6000
BWCL,10-Nov-2014,127.31,127.32,126.00,126.63,9500
BWCL,11-Nov-2014,127.00,127.01,120.99,121.00,7500
BWCL,12-Nov-2014,117.00,121.00,117.00,119.00,2500
BWCL,13-Nov-2014,117.00,124.95,117.00,117.59,12500
BWCL,14-Nov-2014,118.99,120.84,118.99,119.75,7500
BWCL,17-Nov-2014,117.00,117.00,114.00,114.00,9000
BWCL,18-Nov-2014,111.00,112.50,111.00,112.50,2000
BWCL,19-Nov-2014,115.49,115.49,115.49,115.49,1500
BWCL,20-Nov-2014,113.00,113.00,111.01,111.01,1000
BWCL,24-Nov-2014,113.01,113.01,106.00,110.55,2000
BWCL,25-Nov-2014,110.01,110.01,110.00,110.00,2500
BWCL,26-Nov-2014,109.01,110.01,109.01,110.00,2500
BWCL,27-Nov-2014,110.01,110.01,110.01,110.01,500
BWCL,01-Dec-2014,111.15,111.15,111.15,111.15,1000
BWCL,02-Dec-2014,112.00,112.00,112.00,112.00,500
BWCL,03-Dec-2014,112.25,117.60,110.00,117.60,7000
BWCL,04-Dec-2014,123.45,123.48,123.45,123.45,6500
BWCL,05-Dec-2014,124.00,127.99,122.00,125.77,10500
BWCL,08-Dec-2014,125.00,127.99,125.00,127.50,28500
BWCL,09-Dec-2014,127.50,132.00,127.50,129.64,10000
BWCL,10-Dec-2014,125.00,125.00,125.00,125.00,3000
BWCL,11-Dec-2014,129.00,129.00,123.00,123.00,1000
BWCL,12-Dec-2014,119.00,119.00,119.00,119.00,1000
BWCL,15-Dec-2014,120.50,121.00,120.50,121.00,1500
BWCL,16-Dec-2014,125.50,127.05,125.50,127.00,24000
BWCL,17-Dec-2014,132.75,132.75,123.00,123.00,2500
BWCL,18-Dec-2014,123.00,123.00,122.50,122.50,10000
BWCL,19-Dec-2014,127.50,127.50,123.00,123.00,1000
BWCL,22-Dec-2014,123.00,123.00,123.00,123.00,10000
BWCL,23-Dec-2014,123.50,123.50,120.25,123.00,8000
BWCL,24-Dec-2014,123.30,123.30,121.00,122.00,5000
BWCL,26-Dec-2014,118.25,118.25,118.00,118.00,2500
BWCL,29-Dec-2014,121.95,122.65,121.50,121.50,4000
BWCL,30-Dec-2014,122.50,122.50,122.50,122.50,500
BWCL,31-Dec-2014,123.00,128.62,123.00,128.59,33000
BWCL,01-Jan-2015,129.00,134.50,129.00,132.50,8400
BWCL,02-Jan-2015,133.99,134.00,129.00,129.00,5900
BWCL,06-Jan-2015,123.51,127.99,123.51,127.99,600
BWCL,09-Jan-2015,133.50,133.50,133.50,133.50,500
BWCL,12-Jan-2015,130.00,130.00,130.00,130.00,10500
BWCL,13-Jan-2015,130.00,132.50,130.00,132.50,2100
BWCL,15-Jan-2015,130.00,131.00,130.00,131.00,1000
BWCL,16-Jan-2015,127.00,127.00,124.45,125.00,12900
BWCL,19-Jan-2015,122.00,122.00,122.00,122.00,500
BWCL,20-Jan-2015,121.05,125.50,121.05,125.22,21100
BWCL,21-Jan-2015,125.00,126.00,123.50,125.73,27000
BWCL,22-Jan-2015,124.10,125.50,121.50,122.21,8200
BWCL,23-Jan-2015,122.00,127.00,121.50,122.18,4000
BWCL,26-Jan-2015,123.00,125.00,123.00,123.29,7700
BWCL,27-Jan-2015,123.00,123.00,123.00,123.00,1000
BWCL,28-Jan-2015,126.50,126.50,123.50,123.80,4000
BWCL,29-Jan-2015,126.00,126.00,125.25,125.25,5600
BWCL,30-Jan-2015,125.00,125.00,124.00,124.96,8400
BWCL,02-Feb-2015,125.00,127.50,125.00,127.01,6100
BWCL,03-Feb-2015,128.00,130.00,127.00,127.45,2300
BWCL,04-Feb-2015,127.10,127.50,127.00,127.00,900
BWCL,06-Feb-2015,126.50,126.75,126.50,126.75,5200
BWCL,12-Feb-2015,126.00,126.00,124.00,124.00,4500
BWCL,13-Feb-2015,126.90,126.90,124.00,124.50,7800
BWCL,17-Feb-2015,124.50,125.45,124.50,125.45,3000
BWCL,18-Feb-2015,125.45,125.45,125.45,125.45,200
BWCL,19-Feb-2015,124.10,124.10,123.00,123.00,1500
BWCL,20-Feb-2015,126.00,126.00,126.00,126.00,500
BWCL,25-Feb-2015,125.50,125.75,125.50,125.75,900
BWCL,27-Feb-2015,125.50,126.00,124.00,124.92,7500
BWCL,02-Mar-2015,125.11,125.11,125.10,125.10,400
BWCL,03-Mar-2015,126.40,126.40,126.40,126.40,200
BWCL,04-Mar-2015,126.40,126.40,126.40,126.40,100
BWCL,06-Mar-2015,126.40,126.40,126.40,126.40,100
BWCL,09-Mar-2015,126.40,126.40,126.40,126.40,100
BWCL,10-Mar-2015,121.40,124.90,121.00,123.30,1400
BWCL,11-Mar-2015,125.00,125.00,125.00,125.00,500
BWCL,12-Mar-2015,123.00,125.00,123.00,124.98,1700
BWCL,13-Mar-2015,125.00,125.00,125.00,125.00,500
BWCL,25-Mar-2015,119.00,122.00,119.00,122.00,800
BWCL,30-Mar-2015,115.90,115.90,115.90,115.90,500
BWCL,02-Apr-2015,120.00,121.80,120.00,120.30,600
BWCL,06-Apr-2015,118.00,120.00,118.00,120.00,2000
BWCL,08-Apr-2015,115.00,120.00,115.00,119.99,9300
BWCL,10-Apr-2015,125.00,125.90,125.00,125.36,2800
BWCL,13-Apr-2015,125.00,125.25,125.00,125.00,5800
BWCL,14-Apr-2015,125.00,125.00,125.00,125.00,100
BWCL,15-Apr-2015,125.00,125.00,125.00,125.00,100
BWCL,16-Apr-2015,119.25,119.25,119.12,119.23,800
BWCL,17-Apr-2015,119.00,119.00,119.00,119.00,500
