Symbol,Date,Open,High,Low,Close,Volume
BWHL,06-Jan-2014,50.00,50.00,50.00,50.00,500
BWHL,09-Jan-2014,49.00,49.00,49.00,49.00,1000
BWHL,13-Jan-2014,50.00,50.00,50.00,50.00,2000
BWHL,16-Jan-2014,48.00,48.00,48.00,48.00,500
BWHL,23-Jan-2014,50.40,50.40,50.40,50.40,500
BWHL,24-Jan-2014,49.50,52.92,49.50,52.92,9500
BWHL,27-Jan-2014,55.56,55.56,55.56,55.56,500
BWHL,28-Jan-2014,57.00,57.00,56.50,56.50,2500
BWHL,30-Jan-2014,56.50,56.50,56.50,56.50,500
BWHL,20-Feb-2014,53.68,53.68,53.68,53.68,6500
BWHL,25-Feb-2014,51.00,51.00,51.00,51.00,500
BWHL,27-Feb-2014,48.45,48.45,48.45,48.45,500
BWHL,28-Feb-2014,46.03,46.03,46.03,46.03,500
BWHL,03-Mar-2014,43.73,43.73,43.73,43.73,1000
BWHL,04-Mar-2014,41.55,41.55,41.55,41.55,1000
BWHL,11-Mar-2014,40.00,43.61,39.48,39.48,4500
BWHL,17-Mar-2014,41.44,41.44,41.44,41.44,500
BWHL,21-Mar-2014,40.01,43.50,40.00,41.17,1500
BWHL,25-Mar-2014,43.22,43.22,43.22,43.22,500
BWHL,26-Mar-2014,41.50,41.50,41.50,41.50,500
BWHL,27-Mar-2014,41.00,41.00,41.00,41.00,1500
BWHL,01-Apr-2014,43.05,43.05,43.05,43.05,1000
BWHL,03-Apr-2014,45.20,45.20,45.20,45.20,2000
BWHL,04-Apr-2014,47.45,47.45,47.45,47.45,500
BWHL,07-Apr-2014,49.82,49.82,49.82,49.82,500
BWHL,08-Apr-2014,50.50,50.50,50.50,50.50,500
BWHL,11-Apr-2014,48.00,48.00,48.00,48.00,500
BWHL,15-Apr-2014,48.00,48.00,48.00,48.00,1000
BWHL,17-Apr-2014,47.00,47.00,46.00,46.00,1000
BWHL,21-Apr-2014,47.99,48.00,47.99,48.00,10000
BWHL,05-May-2014,45.60,45.60,45.60,45.60,500
BWHL,06-May-2014,43.32,43.32,43.32,43.32,500
BWHL,08-May-2014,42.00,42.00,41.16,41.44,3000
BWHL,21-May-2014,43.50,43.50,43.50,43.50,1500
BWHL,27-May-2014,45.67,45.67,45.67,45.67,500
BWHL,28-May-2014,47.60,47.95,47.60,47.95,1500
BWHL,29-May-2014,50.34,50.34,50.34,50.34,500
BWHL,30-May-2014,52.85,52.85,52.85,52.85,500
BWHL,03-Jun-2014,55.49,55.49,55.49,55.49,500
BWHL,04-Jun-2014,58.25,58.25,58.25,58.25,500
BWHL,05-Jun-2014,55.75,58.25,55.75,58.25,1000
BWHL,06-Jun-2014,60.00,61.00,60.00,61.00,1000
BWHL,09-Jun-2014,57.95,57.95,57.95,57.95,2500
BWHL,10-Jun-2014,55.06,55.06,55.06,55.06,500
BWHL,11-Jun-2014,52.31,57.00,52.31,52.31,16000
BWHL,12-Jun-2014,49.70,49.70,49.70,49.70,2000
BWHL,13-Jun-2014,47.22,47.22,47.22,47.22,1000
BWHL,16-Jun-2014,44.86,49.58,44.86,49.53,228500
BWHL,17-Jun-2014,52.00,52.00,47.06,47.06,75500
BWHL,18-Jun-2014,44.75,46.35,44.71,44.71,8000
BWHL,19-Jun-2014,46.94,46.94,46.94,46.94,1000
BWHL,20-Jun-2014,48.00,49.28,48.00,49.28,1500
BWHL,24-Jun-2014,46.03,49.99,46.03,46.08,109500
BWHL,25-Jun-2014,44.50,44.50,44.20,44.20,1000
BWHL,26-Jun-2014,43.00,45.00,41.99,42.54,33000
BWHL,27-Jun-2014,42.94,44.66,42.00,42.50,12500
BWHL,30-Jun-2014,42.50,42.50,42.50,42.50,500
BWHL,02-Jul-2014,44.40,44.40,41.50,41.75,3500
BWHL,03-Jul-2014,43.40,43.40,43.35,43.38,1000
BWHL,04-Jul-2014,42.00,42.00,41.22,41.22,6500
BWHL,07-Jul-2014,41.48,41.48,41.48,41.48,3000
BWHL,10-Jul-2014,39.51,42.99,39.50,41.34,7000
BWHL,11-Jul-2014,40.25,41.99,39.51,40.76,23000
BWHL,14-Jul-2014,41.99,41.99,41.00,41.45,4000
BWHL,15-Jul-2014,42.99,42.99,42.99,42.99,1000
BWHL,17-Jul-2014,44.99,44.99,40.87,42.00,92500
BWHL,18-Jul-2014,41.85,41.85,41.85,41.85,4000
BWHL,22-Jul-2014,41.00,41.02,40.70,40.74,8500
BWHL,23-Jul-2014,42.45,42.50,42.45,42.50,1500
BWHL,24-Jul-2014,43.50,43.50,43.50,43.50,500
BWHL,04-Aug-2014,41.33,41.33,41.33,41.33,2500
BWHL,05-Aug-2014,39.50,41.94,39.27,39.27,18000
BWHL,06-Aug-2014,39.39,39.39,37.31,37.31,15500
BWHL,07-Aug-2014,35.65,35.99,35.46,35.55,4500
BWHL,08-Aug-2014,36.49,36.50,36.49,36.50,2500
BWHL,11-Aug-2014,34.68,34.68,34.68,34.68,10500
BWHL,12-Aug-2014,33.30,35.90,33.30,35.90,1000
BWHL,13-Aug-2014,37.54,37.54,35.02,35.02,1500
BWHL,15-Aug-2014,35.50,35.50,35.50,35.50,1000
BWHL,19-Aug-2014,33.80,37.00,33.80,37.00,4500
BWHL,20-Aug-2014,38.45,38.49,38.45,38.47,1000
BWHL,21-Aug-2014,40.25,40.39,40.25,40.39,10500
BWHL,22-Aug-2014,40.90,40.99,40.90,40.99,24000
BWHL,25-Aug-2014,40.99,40.99,40.99,40.99,500
BWHL,26-Aug-2014,40.00,40.00,40.00,40.00,2000
BWHL,29-Aug-2014,40.00,40.65,38.00,40.65,2500
BWHL,03-Sep-2014,41.00,42.68,41.00,42.68,5000
BWHL,04-Sep-2014,44.70,44.72,42.00,42.50,24000
BWHL,05-Sep-2014,44.55,44.57,40.50,43.48,27500
BWHL,08-Sep-2014,41.31,41.31,41.31,41.31,2000
BWHL,09-Sep-2014,43.24,43.37,41.00,41.32,22000
BWHL,10-Sep-2014,41.00,41.00,41.00,41.00,3000
BWHL,11-Sep-2014,42.70,42.98,41.90,41.90,2000
BWHL,12-Sep-2014,43.00,43.00,41.00,41.00,19000
BWHL,15-Sep-2014,40.00,41.00,40.00,40.00,7000
BWHL,17-Sep-2014,40.00,40.00,40.00,40.00,2500
BWHL,18-Sep-2014,41.00,42.00,40.00,42.00,30500
BWHL,19-Sep-2014,44.10,44.10,44.00,44.10,65500
BWHL,22-Sep-2014,46.30,46.30,46.30,46.30,28500
