Symbol,Date,Open,High,Low,Close,Volume
CASH,30-Jun-2021,20.00,20.22,20.00,20.21,4500
CASH,01-Jul-2021,18.70,19.00,18.70,19.00,1000
CASH,02-Jul-2021,19.00,19.00,19.00,19.00,500
CASH,26-Aug-2021,20.42,20.42,20.42,20.42,1000
CASH,02-Sep-2021,19.50,19.50,19.00,19.00,3000
CASH,22-Feb-2022,18.27,18.27,18.27,18.27,500
CASH,15-Mar-2022,19.40,19.40,19.40,19.40,2000
CASH,25-Mar-2022,19.95,19.95,19.95,19.95,500
CASH,11-Apr-2022,21.39,21.39,21.39,21.39,500
CASH,24-May-2022,17.35,17.35,17.35,17.35,500
CASH,02-Nov-2022,14.42,14.42,14.42,14.42,500
CASH,08-Nov-2022,15.49,15.49,15.49,15.49,500
CASH,28-Nov-2022,16.66,16.66,16.66,16.66,500
CASH,28-Dec-2022,16.00,16.00,16.00,16.00,1000
CASH,05-May-2023,16.00,16.00,16.00,16.00,1500
CASH,09-May-2023,17.20,17.20,17.20,17.20,500
CASH,16-May-2023,18.48,18.48,18.48,18.48,500
CASH,05-Jul-2023,19.00,19.00,19.00,19.00,1500
CASH,21-Aug-2023,20.24,20.24,20.24,20.24,500
CASH,16-Oct-2023,20.00,21.20,19.10,21.20,21500
CASH,17-Oct-2023,21.00,21.00,21.00,21.00,500
CASH,24-Nov-2023,18.52,18.52,18.52,18.52,500
CASH,28-Nov-2023,19.91,19.91,17.13,19.89,2000
CASH,04-Dec-2023,20.00,20.00,20.00,20.00,500
CASH,08-Dec-2023,21.00,21.00,20.10,20.10,1500
CASH,11-Dec-2023,20.00,20.00,19.60,19.61,2000
CASH,14-Dec-2023,18.14,18.14,18.14,18.14,2000
CASH,29-Dec-2023,16.78,16.78,16.78,16.78,500
CASH,14-Feb-2024,15.53,15.53,15.53,15.53,500
CASH,20-Feb-2024,16.69,16.69,16.69,16.69,1000
CASH,22-Feb-2024,18.14,18.14,18.14,18.14,3000
CASH,23-Feb-2024,19.50,19.50,19.50,19.50,14000
CASH,26-Feb-2024,20.96,20.96,19.48,20.96,245000
CASH,27-Feb-2024,21.25,22.53,21.25,21.97,32500
CASH,28-Feb-2024,22.00,22.00,22.00,22.00,2000
CASH,29-Feb-2024,21.00,21.00,20.35,20.35,6500
CASH,01-Mar-2024,18.82,18.82,18.82,18.82,11500
CASH,04-Mar-2024,18.00,19.24,17.41,17.91,29500
CASH,05-Mar-2024,16.60,17.00,16.57,16.57,33500
CASH,06-Mar-2024,15.34,15.35,15.33,15.33,29500
CASH,07-Mar-2024,14.80,15.40,14.18,14.65,19000
CASH,08-Mar-2024,15.72,15.72,15.40,15.50,6500
CASH,11-Mar-2024,16.49,16.49,15.00,15.00,2000
CASH,13-Mar-2024,15.30,15.30,15.30,15.30,5000
CASH,19-Mar-2024,14.15,16.45,14.15,15.77,14500
CASH,20-Mar-2024,16.40,16.50,16.35,16.45,2000
CASH,21-Mar-2024,15.55,17.68,15.55,17.68,30500
CASH,22-Mar-2024,17.69,17.69,17.68,17.68,3500
CASH,27-Mar-2024,17.88,17.88,17.88,17.88,500
CASH,28-Mar-2024,19.22,19.22,19.21,19.21,6500
CASH,15-Apr-2024,18.00,18.15,18.00,18.15,1500
CASH,16-Apr-2024,18.99,19.51,18.99,19.50,12000
CASH,26-Apr-2024,18.11,18.11,18.11,18.11,500
CASH,29-Apr-2024,19.45,19.45,19.45,19.45,500
CASH,30-Apr-2024,20.91,20.91,20.20,20.20,1000
CASH,07-May-2024,18.69,18.69,18.69,18.69,500
CASH,15-May-2024,17.29,17.29,17.29,17.29,2000
CASH,17-May-2024,16.12,16.12,16.12,16.12,500
CASH,22-May-2024,17.33,17.33,15.20,16.20,2000
CASH,31-May-2024,14.90,15.01,14.90,14.90,547
CASH,03-Jun-2024,15.85,15.85,13.78,14.10,646
CASH,04-Jun-2024,15.23,15.23,14.01,15.00,4008
