Symbol,Date,Open,High,Low,Close,Volume
CCM,01-Jan-2014,50.50,51.00,50.50,51.00,15000
CCM,02-Jan-2014,53.55,53.55,53.55,53.55,500
CCM,06-Jan-2014,51.05,52.00,51.05,52.00,1000
CCM,07-Jan-2014,49.50,49.50,49.50,49.50,500
CCM,09-Jan-2014,51.97,51.97,51.97,51.97,4500
CCM,10-Jan-2014,54.56,54.56,54.56,54.56,1000
CCM,13-Jan-2014,52.43,52.53,52.43,52.53,1000
CCM,15-Jan-2014,50.00,50.00,50.00,50.00,1000
CCM,20-Jan-2014,51.99,52.45,51.99,52.30,3000
CCM,22-Jan-2014,53.00,53.20,52.05,52.50,3500
CCM,23-Jan-2014,55.12,55.12,55.00,55.12,2500
CCM,24-Jan-2014,57.70,57.70,57.70,57.70,500
CCM,27-Jan-2014,60.58,60.58,60.40,60.40,2000
CCM,29-Jan-2014,58.00,58.00,58.00,58.00,1000
CCM,06-Feb-2014,55.50,55.50,55.50,55.50,500
CCM,10-Feb-2014,55.00,55.00,53.00,54.60,3000
CCM,12-Feb-2014,55.00,55.00,55.00,55.00,1000
CCM,13-Feb-2014,54.00,54.00,54.00,54.00,500
CCM,14-Feb-2014,54.00,54.00,54.00,54.00,1000
CCM,27-Feb-2014,53.00,53.00,53.00,53.00,500
CCM,28-Feb-2014,55.65,55.65,55.65,55.65,500
CCM,04-Mar-2014,54.40,54.40,53.00,53.00,5000
CCM,06-Mar-2014,53.00,53.00,53.00,53.00,500
CCM,10-Mar-2014,52.00,52.00,52.00,52.00,1500
CCM,11-Mar-2014,51.01,51.01,51.01,51.01,1000
CCM,17-Mar-2014,52.00,52.00,52.00,52.00,500
CCM,27-Mar-2014,52.25,52.82,52.25,52.82,4000
CCM,31-Mar-2014,52.82,52.82,52.82,52.82,500
CCM,07-Apr-2014,51.50,51.50,51.50,51.50,1000
CCM,11-Apr-2014,50.00,51.00,50.00,51.00,2000
CCM,14-Apr-2014,51.00,51.00,51.00,51.00,500
CCM,15-Apr-2014,52.25,52.25,52.25,52.25,500
CCM,16-Apr-2014,50.55,50.55,50.55,50.55,1000
CCM,17-Apr-2014,50.50,51.00,50.50,51.00,1500
CCM,21-Apr-2014,51.00,51.25,51.00,51.25,1500
CCM,22-Apr-2014,51.50,52.00,51.50,51.75,3000
CCM,23-Apr-2014,52.20,52.50,52.20,52.50,5000
CCM,25-Apr-2014,54.00,54.32,54.00,54.32,1000
CCM,29-Apr-2014,54.33,56.50,53.00,53.00,406500
CCM,30-Apr-2014,53.54,53.54,53.00,53.00,1000
CCM,02-May-2014,53.00,53.00,53.00,53.00,1000
CCM,15-May-2014,51.50,53.00,51.50,53.00,2000
CCM,19-May-2014,53.60,53.60,53.00,53.00,1000
CCM,26-May-2014,53.40,53.40,53.40,53.40,500
CCM,30-May-2014,55.00,55.55,53.50,53.50,2500
CCM,16-Jun-2014,53.50,53.50,53.50,53.50,1000
CCM,19-Jun-2014,53.50,56.00,53.50,53.50,10500
CCM,20-Jun-2014,56.15,56.15,56.15,56.15,500
CCM,01-Jul-2014,56.00,56.00,54.00,54.00,3000
CCM,02-Jul-2014,55.00,55.00,55.00,55.00,500
CCM,03-Jul-2014,54.25,54.25,54.00,54.10,2500
CCM,08-Jul-2014,54.26,54.26,54.26,54.26,1500
CCM,09-Jul-2014,53.00,53.00,53.00,53.00,5000
CCM,29-Aug-2014,53.00,53.00,53.00,53.00,1000
CCM,03-Sep-2014,52.00,52.00,52.00,52.00,2000
CCM,12-Sep-2014,53.50,53.50,53.50,53.50,75000
CCM,17-Sep-2014,51.00,51.00,50.83,50.83,15000
CCM,25-Sep-2014,50.50,50.50,50.50,50.50,10000
CCM,26-Sep-2014,50.00,50.00,49.50,49.50,20000
CCM,30-Oct-2014,50.00,50.00,50.00,50.00,4500
CCM,06-Nov-2014,50.00,50.00,50.00,50.00,6500
CCM,11-Nov-2014,48.00,48.00,47.50,47.50,30000
CCM,01-Dec-2014,45.00,45.00,45.00,45.00,1000
CCM,03-Dec-2014,45.50,45.75,45.50,45.75,1500
CCM,04-Dec-2014,45.75,45.75,45.75,45.75,6000
CCM,05-Dec-2014,45.75,45.75,45.75,45.75,2000
CCM,08-Dec-2014,43.50,45.75,43.50,44.14,14000
CCM,09-Dec-2014,41.94,43.25,41.94,43.25,2500
CCM,26-Dec-2014,43.50,43.50,43.50,43.50,1000
CCM,20-Jan-2015,43.50,43.50,43.50,43.50,1000
CCM,26-Jan-2015,45.00,45.00,45.00,45.00,500
CCM,02-Feb-2015,45.00,45.00,45.00,45.00,1000
CCM,09-Feb-2015,45.00,45.00,44.99,44.99,2000
CCM,13-Feb-2015,43.00,43.00,43.00,43.00,1000
CCM,03-Mar-2015,41.00,41.00,41.00,41.00,1000
CCM,02-Apr-2015,39.00,39.00,39.00,39.00,1000
CCM,07-Apr-2015,37.05,37.05,37.05,37.05,500
CCM,10-Apr-2015,38.90,38.90,38.90,38.90,2000
CCM,20-Apr-2015,40.84,40.84,40.84,40.84,500
CCM,21-Apr-2015,41.00,41.00,41.00,41.00,1000
CCM,22-Apr-2015,42.00,42.00,41.50,41.50,2500
CCM,30-Apr-2015,44.10,44.10,44.10,44.10,1000
CCM,15-May-2015,42.50,43.40,42.50,43.40,2500
CCM,22-May-2015,41.25,41.25,41.25,41.25,2500
CCM,26-May-2015,39.50,39.50,39.50,39.50,500
CCM,02-Jun-2015,41.25,41.25,41.25,41.25,4000
CCM,08-Jun-2015,44.00,44.00,44.00,44.00,500
CCM,09-Jun-2015,46.20,46.20,46.20,46.20,500
CCM,10-Jun-2015,48.50,48.50,48.50,48.50,500
CCM,12-Jun-2015,49.99,49.99,49.99,49.99,1000
CCM,18-Jun-2015,50.00,50.00,50.00,50.00,500
CCM,19-Jun-2015,50.00,50.00,50.00,50.00,2000
CCM,22-Jun-2015,52.50,52.50,52.50,52.50,2500
CCM,25-Jun-2015,54.95,54.95,54.95,54.95,500
CCM,23-Nov-2015,48.01,52.10,48.00,48.00,33000
CCM,24-Nov-2015,48.00,48.00,48.00,48.00,20000
CCM,02-Dec-2015,47.00,47.00,47.00,47.00,500
CCM,05-May-2016,47.25,47.25,47.25,47.25,2000
CCM,11-May-2016,45.00,45.00,45.00,45.00,2500
CCM,20-May-2016,45.00,45.00,45.00,45.00,3000
CCM,23-May-2016,45.00,45.00,45.00,45.00,1000
CCM,06-Jun-2016,45.00,45.00,45.00,45.00,500
CCM,22-Jul-2016,42.45,42.55,42.45,42.45,25000
CCM,01-Aug-2016,44.57,44.57,40.50,40.51,5500
