Symbol,Date,Open,High,Low,Close,Volume
CENI,01-Jan-2014,15.81,16.19,15.81,16.19,5000
CENI,02-Jan-2014,16.16,16.21,16.16,16.21,2500
CENI,03-Jan-2014,15.95,16.40,15.95,16.40,3000
CENI,06-Jan-2014,16.00,16.10,15.85,16.10,4500
CENI,07-Jan-2014,16.10,16.10,16.00,16.00,39000
CENI,08-Jan-2014,16.02,16.55,16.02,16.50,34000
CENI,09-Jan-2014,16.15,16.49,16.00,16.43,64500
CENI,10-Jan-2014,16.39,16.39,16.00,16.00,12000
CENI,13-Jan-2014,16.39,16.67,16.39,16.50,9500
CENI,15-Jan-2014,16.88,17.50,16.88,17.20,1628500
CENI,16-Jan-2014,17.50,17.75,16.35,16.52,336500
CENI,17-Jan-2014,16.70,17.52,16.50,17.49,1081500
CENI,20-Jan-2014,17.35,17.90,16.66,16.99,568000
CENI,21-Jan-2014,17.05,17.99,17.00,17.99,517500
CENI,22-Jan-2014,18.99,18.99,18.20,18.99,900500
CENI,23-Jan-2014,19.40,19.99,19.10,19.99,733000
CENI,24-Jan-2014,20.11,20.99,19.52,20.99,864000
CENI,27-Jan-2014,21.20,22.03,20.53,22.01,1075500
CENI,28-Jan-2014,22.20,22.90,21.69,22.12,916000
CENI,29-Jan-2014,22.20,22.45,21.02,21.02,419500
CENI,30-Jan-2014,20.05,20.06,19.97,19.97,86000
CENI,31-Jan-2014,19.21,20.70,19.21,20.02,212000
CENI,03-Feb-2014,20.35,20.48,19.02,19.02,336000
CENI,04-Feb-2014,18.63,19.00,18.35,18.70,46500
CENI,06-Feb-2014,18.75,19.70,18.71,19.68,186500
CENI,07-Feb-2014,20.15,20.25,19.00,19.18,94000
CENI,10-Feb-2014,19.49,19.49,18.18,18.31,105500
CENI,11-Feb-2014,18.00,18.66,17.35,17.73,136000
CENI,12-Feb-2014,17.89,18.65,17.89,18.31,80500
CENI,13-Feb-2014,18.54,18.69,17.90,18.03,60000
CENI,14-Feb-2014,18.25,18.25,17.03,17.16,51500
CENI,17-Feb-2014,17.10,17.44,16.16,16.19,139500
CENI,18-Feb-2014,16.68,16.68,15.44,16.23,31000
CENI,19-Feb-2014,16.65,16.65,15.90,16.07,67000
CENI,20-Feb-2014,16.00,16.45,16.00,16.31,30500
CENI,21-Feb-2014,16.60,17.31,16.40,17.31,143500
CENI,24-Feb-2014,16.77,17.50,16.77,17.00,6500
CENI,25-Feb-2014,16.81,16.81,16.00,16.31,43000
CENI,26-Feb-2014,16.00,16.25,15.31,15.68,126000
CENI,27-Feb-2014,15.70,16.10,15.70,16.10,17000
CENI,28-Feb-2014,16.10,17.10,16.10,17.01,342500
CENI,03-Mar-2014,17.00,17.40,16.60,16.62,137000
CENI,04-Mar-2014,16.55,16.70,16.50,16.65,30500
CENI,05-Mar-2014,16.53,17.38,16.53,16.80,63000
CENI,06-Mar-2014,16.62,16.94,16.62,16.70,27000
CENI,07-Mar-2014,16.85,16.90,16.55,16.79,49500
CENI,10-Mar-2014,17.00,17.00,16.52,16.82,76500
CENI,11-Mar-2014,17.00,17.50,16.85,17.31,273000
CENI,12-Mar-2014,17.35,17.45,17.10,17.11,64500
CENI,13-Mar-2014,17.30,17.50,17.25,17.28,54500
CENI,14-Mar-2014,17.40,17.40,17.15,17.25,124000
CENI,17-Mar-2014,17.20,17.30,17.15,17.25,30500
CENI,18-Mar-2014,17.25,17.48,17.25,17.40,61000
CENI,19-Mar-2014,17.40,17.79,17.13,17.15,61000
CENI,20-Mar-2014,17.16,17.20,17.00,17.06,54000
CENI,21-Mar-2014,17.05,17.05,16.97,17.00,6500
CENI,24-Mar-2014,17.24,17.24,16.90,17.00,2500
CENI,25-Mar-2014,17.15,17.50,17.15,17.31,35500
CENI,26-Mar-2014,17.50,17.50,17.12,17.12,15500
CENI,27-Mar-2014,17.50,17.87,17.50,17.55,56500
CENI,28-Mar-2014,16.61,17.25,16.61,17.25,31000
CENI,31-Mar-2014,17.11,17.49,17.11,17.24,16500
CENI,01-Apr-2014,17.67,17.75,17.50,17.74,30500
CENI,02-Apr-2014,17.85,18.00,17.80,17.80,18500
CENI,03-Apr-2014,17.94,18.80,17.94,18.76,225000
CENI,04-Apr-2014,19.10,19.76,18.80,19.76,271000
CENI,07-Apr-2014,20.76,20.76,20.00,20.76,341000
CENI,08-Apr-2014,21.30,21.30,19.89,20.01,337500
CENI,09-Apr-2014,20.25,20.99,19.73,20.67,187000
CENI,10-Apr-2014,21.22,21.70,20.60,21.64,559000
CENI,11-Apr-2014,21.60,22.30,21.16,21.66,236000
CENI,14-Apr-2014,21.35,22.40,21.30,21.98,197500
CENI,15-Apr-2014,21.70,21.90,21.27,21.45,106500
CENI,16-Apr-2014,21.38,21.70,21.01,21.07,77500
CENI,17-Apr-2014,20.70,20.95,20.10,20.39,80000
CENI,18-Apr-2014,20.83,20.90,20.65,20.86,32500
CENI,21-Apr-2014,20.20,20.60,20.00,20.60,65500
CENI,22-Apr-2014,20.74,20.99,20.30,20.48,79000
CENI,23-Apr-2014,19.44,19.44,17.98,18.00,44500
CENI,24-Apr-2014,18.60,18.75,18.10,18.49,19000
CENI,25-Apr-2014,18.10,18.12,18.10,18.12,2500
CENI,28-Apr-2014,17.70,17.75,17.70,17.75,3500
CENI,29-Apr-2014,17.25,17.25,16.75,16.82,19500
CENI,30-Apr-2014,17.02,17.39,16.50,17.25,21500
CENI,02-May-2014,17.10,17.10,16.80,16.81,10500
CENI,05-May-2014,16.81,16.81,16.55,16.58,7000
