Symbol,Date,Open,High,Low,Close,Volume
CEPB,04-Oct-2024,25.49,25.84,25.11,25.44,120535
CEPB,07-Oct-2024,25.79,25.79,24.90,25.06,427926
CEPB,08-Oct-2024,24.56,25.50,24.56,25.02,238091
CEPB,09-Oct-2024,25.25,25.40,24.90,25.10,153099
CEPB,10-Oct-2024,24.95,25.20,24.77,24.80,126921
CEPB,11-Oct-2024,24.70,24.88,24.42,24.54,176458
CEPB,14-Oct-2024,24.75,24.98,24.70,24.90,162805
CEPB,15-Oct-2024,24.99,25.14,24.52,24.70,139953
CEPB,16-Oct-2024,24.93,25.10,24.70,24.84,293374
CEPB,17-Oct-2024,24.87,24.90,24.71,24.77,188529
CEPB,18-Oct-2024,24.73,24.76,24.51,24.68,194106
CEPB,21-Oct-2024,24.95,25.60,24.92,25.46,355439
CEPB,22-Oct-2024,25.50,26.80,25.50,25.97,1252880
CEPB,23-Oct-2024,26.47,26.65,26.00,26.43,447715
CEPB,24-Oct-2024,26.55,26.55,26.09,26.15,389708
CEPB,25-Oct-2024,26.15,26.20,25.49,25.52,479935
CEPB,28-Oct-2024,25.89,26.40,25.75,25.93,397457
CEPB,29-Oct-2024,25.70,26.35,25.45,25.50,497550
CEPB,30-Oct-2024,25.77,25.77,25.00,25.20,309464
CEPB,31-Oct-2024,25.02,25.48,24.50,24.87,489921
CEPB,01-Nov-2024,25.29,25.29,24.55,24.97,229586
