Symbol,Date,Open,High,Low,Close,Volume
CHBL,01-Jan-2014,5.20,5.94,5.20,5.79,3328500
CHBL,02-Jan-2014,5.94,5.94,5.42,5.48,751000
CHBL,03-Jan-2014,5.32,5.44,5.12,5.21,205500
CHBL,06-Jan-2014,5.16,5.55,5.15,5.41,392000
CHBL,07-Jan-2014,5.41,5.85,5.41,5.63,934500
CHBL,08-Jan-2014,5.60,6.25,5.60,6.00,2203500
CHBL,09-Jan-2014,6.27,6.27,5.70,5.84,1252000
CHBL,10-Jan-2014,5.25,6.00,5.25,5.80,237000
CHBL,13-Jan-2014,5.75,6.27,5.68,6.04,1664000
CHBL,15-Jan-2014,6.15,6.95,6.15,6.77,3303500
CHBL,16-Jan-2014,6.90,6.90,6.35,6.41,728000
CHBL,17-Jan-2014,6.25,6.70,6.25,6.38,580500
CHBL,20-Jan-2014,6.40,6.69,6.30,6.35,306000
CHBL,21-Jan-2014,6.31,6.50,6.21,6.35,290000
CHBL,22-Jan-2014,6.25,7.35,6.18,7.12,2990500
CHBL,23-Jan-2014,7.01,7.44,6.76,6.82,2124000
CHBL,24-Jan-2014,6.81,7.65,6.62,7.36,2217000
CHBL,27-Jan-2014,7.55,7.55,7.10,7.28,613500
CHBL,28-Jan-2014,7.50,8.28,7.20,7.83,3269000
CHBL,29-Jan-2014,7.95,8.83,7.85,8.83,2032000
CHBL,30-Jan-2014,9.70,9.83,9.40,9.83,759500
CHBL,31-Jan-2014,10.83,10.83,10.51,10.83,1409500
CHBL,03-Feb-2014,11.48,11.48,9.83,9.87,4011000
CHBL,04-Feb-2014,9.50,10.35,9.45,9.81,800500
CHBL,06-Feb-2014,10.02,10.02,9.41,9.50,447500
CHBL,07-Feb-2014,9.09,9.63,8.50,8.50,506500
CHBL,10-Feb-2014,8.30,8.94,8.06,8.37,602000
CHBL,11-Feb-2014,8.35,8.54,8.00,8.13,341000
CHBL,12-Feb-2014,8.25,8.60,8.03,8.15,444500
CHBL,13-Feb-2014,8.25,8.25,7.86,7.90,255500
CHBL,14-Feb-2014,7.83,7.90,7.50,7.66,465000
CHBL,17-Feb-2014,7.20,7.45,7.02,7.08,329500
CHBL,18-Feb-2014,6.81,7.40,6.60,6.79,282000
CHBL,19-Feb-2014,7.00,7.73,6.90,7.60,616000
