Symbol,Date,Open,High,Low,Close,Volume
CLCPS,01-Jan-2014,2.10,2.85,2.10,2.74,4420500
CLCPS,02-Jan-2014,2.85,2.93,2.50,2.54,2339000
CLCPS,03-Jan-2014,2.50,2.50,2.16,2.25,959000
CLCPS,06-Jan-2014,2.39,2.39,2.20,2.31,380000
CLCPS,07-Jan-2014,2.30,2.58,2.30,2.42,1242500
CLCPS,08-Jan-2014,2.51,2.85,2.45,2.61,2348000
CLCPS,09-Jan-2014,2.72,2.85,2.35,2.50,1404500
CLCPS,10-Jan-2014,2.22,2.58,2.22,2.36,624000
CLCPS,13-Jan-2014,2.49,2.60,2.27,2.54,875500
CLCPS,15-Jan-2014,2.65,2.95,2.55,2.84,2592500
CLCPS,16-Jan-2014,2.80,2.80,2.52,2.58,498000
CLCPS,17-Jan-2014,2.51,2.66,2.48,2.58,896500
CLCPS,20-Jan-2014,2.62,2.65,2.41,2.46,308500
CLCPS,21-Jan-2014,2.54,2.64,2.45,2.49,434000
CLCPS,22-Jan-2014,2.50,2.95,2.40,2.75,3151000
CLCPS,23-Jan-2014,2.75,2.89,2.56,2.59,1135000
CLCPS,24-Jan-2014,2.73,2.86,2.52,2.71,2613500
CLCPS,27-Jan-2014,2.70,2.70,2.46,2.55,1556500
CLCPS,28-Jan-2014,2.60,2.98,2.51,2.81,5074500
CLCPS,29-Jan-2014,2.89,3.81,2.79,3.81,13163500
CLCPS,30-Jan-2014,4.14,4.59,4.02,4.25,8984000
CLCPS,31-Jan-2014,4.30,4.35,3.75,3.81,4683000
CLCPS,03-Feb-2014,3.81,4.20,3.07,3.54,6479500
CLCPS,04-Feb-2014,3.41,3.68,3.40,3.46,1959000
CLCPS,06-Feb-2014,3.41,3.55,3.32,3.34,404000
CLCPS,07-Feb-2014,3.30,3.31,2.78,2.86,1059000
CLCPS,10-Feb-2014,2.90,3.10,2.70,2.94,2026000
CLCPS,11-Feb-2014,2.95,3.00,2.85,2.93,708500
CLCPS,12-Feb-2014,2.85,3.00,2.76,2.87,935000
CLCPS,13-Feb-2014,2.85,2.90,2.75,2.79,477000
CLCPS,14-Feb-2014,2.87,2.88,2.65,2.70,292500
CLCPS,17-Feb-2014,2.65,2.65,2.41,2.46,613500
CLCPS,18-Feb-2014,2.50,2.54,2.26,2.37,448500
CLCPS,19-Feb-2014,2.64,2.78,2.43,2.66,2609500
CLCPS,20-Feb-2014,2.57,2.65,2.50,2.52,430000
CLCPS,21-Feb-2014,2.41,2.80,2.41,2.62,1276500
CLCPS,24-Feb-2014,2.72,2.74,2.53,2.60,286500
CLCPS,25-Feb-2014,2.55,2.63,2.40,2.41,375000
CLCPS,26-Feb-2014,2.40,2.52,2.38,2.45,242500
CLCPS,27-Feb-2014,2.54,2.54,2.35,2.40,173000
CLCPS,28-Feb-2014,2.60,2.60,2.21,2.25,418000
CLCPS,03-Mar-2014,2.30,2.37,2.26,2.26,134000
CLCPS,04-Mar-2014,2.22,2.38,2.20,2.34,234500
CLCPS,05-Mar-2014,2.30,2.40,2.30,2.35,69500
CLCPS,06-Mar-2014,2.55,2.72,2.43,2.60,919500
CLCPS,07-Mar-2014,2.59,2.65,2.48,2.56,166000
CLCPS,10-Mar-2014,2.50,2.62,2.48,2.50,152500
CLCPS,11-Mar-2014,2.46,2.55,2.43,2.44,208500
CLCPS,12-Mar-2014,2.55,2.55,2.30,2.31,376500
CLCPS,13-Mar-2014,2.37,2.37,2.00,2.18,803500
CLCPS,14-Mar-2014,2.25,2.34,2.20,2.28,378000
CLCPS,17-Mar-2014,2.33,2.56,2.33,2.50,1902500
CLCPS,18-Mar-2014,2.58,2.58,2.30,2.32,340500
CLCPS,19-Mar-2014,2.45,2.45,2.20,2.37,358500
CLCPS,20-Mar-2014,2.30,2.34,2.25,2.28,100000
CLCPS,21-Mar-2014,2.27,2.34,2.15,2.22,637000
CLCPS,24-Mar-2014,2.15,2.28,2.14,2.20,110500
CLCPS,25-Mar-2014,2.20,2.35,2.20,2.25,194000
CLCPS,26-Mar-2014,2.25,2.30,2.21,2.28,63500
CLCPS,27-Mar-2014,2.35,2.39,2.21,2.23,68000
CLCPS,28-Mar-2014,2.35,2.35,2.11,2.18,340000
CLCPS,31-Mar-2014,2.27,2.27,2.14,2.18,180500
CLCPS,01-Apr-2014,2.30,2.30,2.17,2.21,398000
CLCPS,02-Apr-2014,2.28,2.37,2.20,2.24,290500
CLCPS,03-Apr-2014,2.30,2.35,2.22,2.29,317500
CLCPS,04-Apr-2014,2.25,2.30,2.22,2.22,116500
CLCPS,07-Apr-2014,2.30,2.30,2.16,2.20,161500
CLCPS,08-Apr-2014,2.24,2.30,2.15,2.25,1051000
CLCPS,09-Apr-2014,2.30,2.30,2.20,2.23,122000
CLCPS,10-Apr-2014,2.28,2.28,2.10,2.20,245000
CLCPS,11-Apr-2014,2.24,2.24,2.05,2.09,725500
CLCPS,14-Apr-2014,2.17,2.17,2.00,2.03,171000
CLCPS,15-Apr-2014,2.05,2.05,1.75,2.00,219000
CLCPS,16-Apr-2014,1.97,2.09,1.90,2.00,166500
CLCPS,17-Apr-2014,2.01,2.10,2.00,2.04,88000
CLCPS,18-Apr-2014,2.09,2.55,2.09,2.31,4341500
CLCPS,21-Apr-2014,2.35,2.44,2.21,2.23,197000
CLCPS,22-Apr-2014,2.25,2.29,2.15,2.19,123500
CLCPS,23-Apr-2014,2.15,2.33,2.10,2.18,276500
CLCPS,24-Apr-2014,2.15,2.24,2.13,2.16,128000
CLCPS,25-Apr-2014,2.10,2.18,2.05,2.08,278000
CLCPS,28-Apr-2014,2.10,2.15,2.03,2.05,141500
CLCPS,29-Apr-2014,2.03,2.05,2.00,2.00,134500
CLCPS,30-Apr-2014,2.00,2.10,2.00,2.04,175000
CLCPS,02-May-2014,2.30,2.30,2.05,2.11,164500
CLCPS,05-May-2014,2.27,2.27,1.85,1.99,457500
CLCPS,06-May-2014,2.00,2.00,1.74,1.82,923500
CLCPS,07-May-2014,1.89,1.89,1.70,1.79,537000
CLCPS,08-May-2014,1.80,1.83,1.75,1.78,243000
CLCPS,09-May-2014,1.89,1.90,1.82,1.85,165500
CLCPS,12-May-2014,1.83,1.87,1.81,1.83,41000
CLCPS,13-May-2014,1.85,1.85,1.82,1.85,36500
CLCPS,14-May-2014,1.84,1.85,1.70,1.78,352000
CLCPS,15-May-2014,1.83,1.88,1.75,1.85,76500
CLCPS,16-May-2014,1.80,2.35,1.80,2.24,4263000
CLCPS,19-May-2014,2.14,2.54,2.12,2.33,2901000
CLCPS,20-May-2014,2.40,2.40,2.15,2.16,648500
CLCPS,21-May-2014,2.10,2.18,2.03,2.06,245500
CLCPS,22-May-2014,2.06,2.34,2.01,2.20,758500
CLCPS,23-May-2014,2.15,2.23,2.04,2.14,153000
CLCPS,26-May-2014,2.20,2.34,2.15,2.31,523000
CLCPS,27-May-2014,2.22,2.33,2.22,2.23,352500
CLCPS,28-May-2014,2.20,2.21,2.10,2.20,173500
CLCPS,29-May-2014,2.20,2.35,2.19,2.31,751500
CLCPS,30-May-2014,2.24,2.36,2.15,2.27,207000
CLCPS,02-Jun-2014,2.25,2.40,2.24,2.28,369500
CLCPS,03-Jun-2014,2.28,2.30,2.02,2.21,464500
CLCPS,04-Jun-2014,2.49,2.93,2.36,2.88,7936500
CLCPS,05-Jun-2014,2.77,2.90,2.41,2.49,2125500
CLCPS,06-Jun-2014,2.45,2.45,2.31,2.35,469500
CLCPS,09-Jun-2014,2.42,2.42,2.26,2.30,212500
CLCPS,10-Jun-2014,2.35,2.42,2.30,2.35,231500
CLCPS,11-Jun-2014,2.37,2.39,2.27,2.30,146500
CLCPS,12-Jun-2014,2.31,2.67,2.30,2.57,1505500
CLCPS,13-Jun-2014,2.59,2.59,2.37,2.43,98000
CLCPS,16-Jun-2014,2.50,2.50,2.31,2.32,218000
CLCPS,17-Jun-2014,2.35,2.35,2.20,2.23,284000
CLCPS,18-Jun-2014,2.39,2.44,2.22,2.29,643500
CLCPS,19-Jun-2014,2.32,2.32,2.18,2.23,120500
CLCPS,20-Jun-2014,2.29,2.29,2.15,2.18,53500
CLCPS,23-Jun-2014,2.12,2.27,2.10,2.24,137500
CLCPS,24-Jun-2014,2.25,2.25,2.16,2.19,120000
CLCPS,25-Jun-2014,2.23,2.44,2.00,2.15,726500
CLCPS,26-Jun-2014,2.18,2.25,2.11,2.16,292000
CLCPS,27-Jun-2014,2.22,2.25,2.12,2.21,152500
CLCPS,30-Jun-2014,2.32,2.32,2.20,2.22,93500
CLCPS,01-Jul-2014,2.21,2.29,2.20,2.20,50000
CLCPS,02-Jul-2014,2.25,2.30,2.20,2.23,89500
CLCPS,03-Jul-2014,2.20,2.24,2.20,2.20,17500
CLCPS,04-Jul-2014,2.25,2.25,2.20,2.21,177000
CLCPS,07-Jul-2014,2.25,2.25,2.16,2.18,13000
CLCPS,08-Jul-2014,2.18,2.28,2.15,2.28,78000
CLCPS,09-Jul-2014,2.29,2.30,2.22,2.24,7000
CLCPS,10-Jul-2014,2.25,2.25,2.22,2.23,24500
CLCPS,11-Jul-2014,2.25,2.25,2.19,2.20,17000
CLCPS,14-Jul-2014,2.22,2.25,2.21,2.23,6500
CLCPS,15-Jul-2014,2.15,2.25,2.15,2.20,55500
CLCPS,16-Jul-2014,2.20,2.27,2.20,2.22,40500
CLCPS,17-Jul-2014,2.20,2.20,2.15,2.18,143500
CLCPS,18-Jul-2014,2.18,2.23,2.15,2.19,44500
CLCPS,21-Jul-2014,2.17,2.17,2.12,2.15,98500
