Symbol,Date,Open,High,Low,Close,Volume
CNERGY,01-Jan-2014,9.00,9.15,8.92,9.03,1657000
CNERGY,02-Jan-2014,9.10,9.36,9.05,9.18,4666500
CNERGY,03-Jan-2014,9.25,9.44,9.21,9.28,2741000
CNERGY,06-Jan-2014,9.30,9.37,9.17,9.20,1468000
CNERGY,07-Jan-2014,9.26,9.29,9.01,9.06,1829000
CNERGY,08-Jan-2014,9.14,9.19,8.90,8.98,1828500
CNERGY,09-Jan-2014,8.90,8.90,8.64,8.67,4319000
CNERGY,10-Jan-2014,8.70,8.75,8.61,8.64,768000
CNERGY,13-Jan-2014,8.66,8.91,8.59,8.88,1999000
CNERGY,15-Jan-2014,8.95,9.36,8.76,9.14,5420500
CNERGY,16-Jan-2014,9.18,9.25,8.91,9.03,1695000
CNERGY,17-Jan-2014,9.10,9.10,8.92,8.94,733500
CNERGY,20-Jan-2014,8.95,9.03,8.84,8.88,818000
CNERGY,21-Jan-2014,8.90,9.20,8.85,9.05,2133000
CNERGY,22-Jan-2014,9.15,9.15,8.93,9.07,1239500
CNERGY,23-Jan-2014,9.15,9.39,9.00,9.12,6650000
CNERGY,24-Jan-2014,9.24,9.24,8.93,8.95,1922500
CNERGY,27-Jan-2014,9.00,9.05,8.81,8.92,1560000
CNERGY,28-Jan-2014,8.99,9.56,8.92,9.42,8701000
CNERGY,29-Jan-2014,9.56,9.64,9.18,9.21,3769500
CNERGY,30-Jan-2014,9.22,9.32,9.01,9.05,2562000
CNERGY,31-Jan-2014,9.05,9.15,8.96,9.01,1054500
CNERGY,03-Feb-2014,10.01,10.01,10.01,10.01,2546500
CNERGY,04-Feb-2014,11.01,11.01,10.55,10.66,18633000
CNERGY,06-Feb-2014,10.75,10.90,10.25,10.46,10004500
CNERGY,07-Feb-2014,10.50,10.68,10.06,10.14,5421000
CNERGY,10-Feb-2014,10.23,10.35,9.60,9.83,4719500
CNERGY,11-Feb-2014,9.90,10.03,9.72,9.89,1799000
CNERGY,12-Feb-2014,9.85,10.45,9.85,10.27,4924500
CNERGY,13-Feb-2014,10.32,10.68,10.20,10.35,7256500
CNERGY,14-Feb-2014,10.26,10.76,10.21,10.63,9732000
CNERGY,17-Feb-2014,10.82,10.90,10.27,10.39,8988500
CNERGY,18-Feb-2014,10.40,10.54,9.95,10.25,4099000
CNERGY,19-Feb-2014,10.35,10.60,10.16,10.20,4275000
CNERGY,20-Feb-2014,10.35,10.48,10.20,10.26,3118000
CNERGY,21-Feb-2014,10.34,10.50,10.15,10.31,2262500
CNERGY,24-Feb-2014,10.48,11.08,10.27,10.75,14529000
CNERGY,25-Feb-2014,10.85,11.24,10.63,10.86,11566500
CNERGY,26-Feb-2014,10.86,11.04,10.48,10.53,4845500
CNERGY,27-Feb-2014,10.65,10.84,10.48,10.56,3722000
CNERGY,28-Feb-2014,10.60,10.80,10.20,10.29,3700000
CNERGY,03-Mar-2014,10.40,10.62,10.10,10.28,2705000
CNERGY,04-Mar-2014,10.31,10.33,10.11,10.17,2260500
CNERGY,05-Mar-2014,10.30,10.70,10.15,10.58,7018000
CNERGY,06-Mar-2014,11.00,11.18,10.70,10.75,10676000
CNERGY,07-Mar-2014,10.85,10.85,10.50,10.57,2137000
CNERGY,10-Mar-2014,10.65,11.47,10.55,11.32,17268500
CNERGY,11-Mar-2014,11.75,12.28,11.44,12.05,23535000
CNERGY,12-Mar-2014,12.16,12.36,11.95,12.09,16750500
CNERGY,13-Mar-2014,12.20,12.60,12.05,12.49,16250500
CNERGY,14-Mar-2014,12.49,12.51,11.60,11.84,10551000
CNERGY,17-Mar-2014,11.90,11.90,11.31,11.38,5291500
CNERGY,18-Mar-2014,11.45,11.64,11.30,11.40,3379500
CNERGY,19-Mar-2014,11.46,11.60,11.35,11.38,1863500
CNERGY,20-Mar-2014,11.45,11.69,11.32,11.54,5409500
CNERGY,21-Mar-2014,11.65,11.73,11.29,11.35,2489500
CNERGY,24-Mar-2014,11.36,11.36,10.93,10.97,2906500
CNERGY,25-Mar-2014,10.96,11.25,10.96,11.07,1396000
CNERGY,26-Mar-2014,11.15,11.44,11.06,11.34,2224500
CNERGY,27-Mar-2014,11.41,11.73,11.32,11.42,5885000
CNERGY,28-Mar-2014,11.49,11.60,11.26,11.33,1409000
CNERGY,31-Mar-2014,11.35,11.56,11.31,11.36,2792500
CNERGY,01-Apr-2014,11.36,11.77,11.36,11.62,5114500
CNERGY,02-Apr-2014,11.60,11.84,11.41,11.50,3989000
CNERGY,03-Apr-2014,11.45,11.58,11.37,11.41,2521500
CNERGY,04-Apr-2014,11.52,11.68,11.33,11.54,3912000
CNERGY,07-Apr-2014,11.82,11.95,11.66,11.75,8703500
CNERGY,08-Apr-2014,11.85,12.20,11.70,11.82,16060000
CNERGY,09-Apr-2014,11.79,11.93,11.66,11.75,4919000
CNERGY,10-Apr-2014,11.75,11.95,11.71,11.88,2994000
CNERGY,11-Apr-2014,11.97,12.15,11.71,11.77,6609000
CNERGY,14-Apr-2014,11.91,11.95,11.51,11.59,2710500
CNERGY,15-Apr-2014,11.62,11.70,11.47,11.64,2425500
CNERGY,16-Apr-2014,11.69,11.93,11.68,11.74,2548500
CNERGY,17-Apr-2014,11.78,11.80,11.40,11.50,1849500
CNERGY,18-Apr-2014,11.60,11.60,11.35,11.40,1429500
CNERGY,21-Apr-2014,11.40,11.50,11.30,11.34,813000
CNERGY,22-Apr-2014,11.43,11.48,11.13,11.18,1162000
