Symbol,Date,Open,High,Low,Close,Volume
COLG,01-Jan-2024,1599.89,1629.46,1587.00,1628.44,3300
COLG,02-Jan-2024,1629.00,1640.00,1622.00,1624.86,21040
COLG,03-Jan-2024,1620.00,1620.00,1595.00,1607.37,6400
COLG,04-Jan-2024,1590.82,1620.00,1590.82,1598.54,4460
COLG,05-Jan-2024,1619.00,1619.00,1581.35,1597.88,2720
COLG,08-Jan-2024,1600.00,1600.00,1589.11,1590.00,5240
COLG,09-Jan-2024,1586.03,1600.00,1586.03,1597.28,7680
COLG,10-Jan-2024,1600.00,1600.00,1587.04,1592.77,2240
COLG,11-Jan-2024,1592.00,1592.00,1588.00,1590.43,4660
COLG,12-Jan-2024,1598.99,1599.00,1585.00,1586.92,4660
COLG,15-Jan-2024,1596.95,1600.00,1589.00,1596.31,1960
COLG,16-Jan-2024,1595.00,1596.00,1580.11,1587.28,3680
COLG,17-Jan-2024,1587.92,1588.00,1572.73,1577.04,2060
COLG,18-Jan-2024,1573.00,1597.00,1545.00,1578.60,2660
COLG,19-Jan-2024,1580.00,1589.95,1574.00,1586.61,1340
COLG,22-Jan-2024,1580.00,1580.01,1570.00,1578.94,5800
COLG,23-Jan-2024,1591.99,1591.99,1565.02,1571.67,3700
COLG,24-Jan-2024,1578.01,1579.99,1568.00,1569.34,4180
COLG,25-Jan-2024,1584.00,1584.00,1560.00,1570.66,4300
COLG,26-Jan-2024,1560.02,1579.98,1550.10,1561.38,8100
COLG,29-Jan-2024,1589.89,1589.89,1550.00,1553.60,4400
COLG,30-Jan-2024,1568.00,1568.00,1437.08,1444.33,13720
COLG,31-Jan-2024,1445.00,1449.50,1385.00,1404.00,6060
COLG,01-Feb-2024,1424.00,1424.00,1394.00,1408.03,1960
COLG,02-Feb-2024,1428.00,1428.99,1406.07,1418.66,10300
COLG,06-Feb-2024,1420.00,1420.02,1385.00,1416.72,5000
COLG,07-Feb-2024,1430.00,1446.00,1421.20,1429.44,5660
COLG,09-Feb-2024,1410.00,1420.00,1323.00,1402.64,3360
COLG,12-Feb-2024,1436.00,1436.00,1380.00,1388.86,1420
COLG,13-Feb-2024,1371.11,1384.00,1301.00,1379.48,3860
COLG,14-Feb-2024,1412.00,1414.00,1393.00,1401.14,3220
COLG,15-Feb-2024,1393.02,1404.00,1390.00,1398.26,1260
COLG,16-Feb-2024,1400.00,1400.00,1379.00,1380.29,2220
COLG,19-Feb-2024,1380.29,1380.29,1345.00,1360.83,3720
COLG,20-Feb-2024,1380.00,1380.00,1350.00,1353.27,3680
COLG,21-Feb-2024,1365.00,1380.00,1350.00,1360.82,1820
COLG,22-Feb-2024,1379.00,1379.00,1350.00,1359.55,2340
COLG,23-Feb-2024,1359.55,1360.00,1355.00,1360.00,2840
COLG,26-Feb-2024,1365.00,1370.00,1356.01,1359.92,4000
COLG,27-Feb-2024,1360.00,1360.00,1350.00,1352.99,3700
COLG,28-Feb-2024,1379.00,1379.00,1348.01,1351.68,3560
