Symbol,Date,Open,High,Low,Close,Volume
COTT,01-Jan-2014,4.00,5.00,4.00,4.58,390000
COTT,02-Jan-2014,4.36,4.49,4.00,4.26,41500
COTT,03-Jan-2014,4.02,4.02,3.82,4.00,8000
COTT,07-Jan-2014,3.84,4.00,3.84,4.00,4500
COTT,08-Jan-2014,4.44,5.00,4.44,5.00,697500
COTT,09-Jan-2014,5.64,6.00,5.30,6.00,434000
COTT,10-Jan-2014,6.50,7.00,5.00,7.00,363500
COTT,13-Jan-2014,8.00,8.00,7.00,8.00,55500
COTT,15-Jan-2014,9.00,9.00,9.00,9.00,17500
COTT,16-Jan-2014,10.00,10.00,8.90,10.00,390500
COTT,17-Jan-2014,10.00,11.00,9.99,11.00,223000
COTT,20-Jan-2014,11.50,12.00,11.25,12.00,95000
COTT,21-Jan-2014,13.00,13.00,13.00,13.00,10000
COTT,22-Jan-2014,14.00,14.00,14.00,14.00,6500
COTT,23-Jan-2014,15.00,15.00,15.00,15.00,24000
COTT,24-Jan-2014,16.00,16.00,15.05,16.00,179500
COTT,27-Jan-2014,17.00,17.00,16.80,17.00,180500
COTT,28-Jan-2014,17.70,18.00,16.00,16.00,279000
COTT,29-Jan-2014,15.00,15.00,15.00,15.00,7500
COTT,30-Jan-2014,14.00,14.00,14.00,14.00,2000
COTT,31-Jan-2014,13.00,13.00,13.00,13.00,1000
COTT,04-Feb-2014,11.14,11.14,11.14,11.14,500
COTT,06-Feb-2014,10.14,12.14,10.14,10.53,1118000
COTT,07-Feb-2014,9.76,10.80,9.53,9.53,138000
COTT,10-Feb-2014,8.55,10.53,8.53,9.03,491500
COTT,11-Feb-2014,9.50,9.90,8.55,8.80,204000
COTT,12-Feb-2014,8.40,9.05,8.40,8.76,22500
COTT,13-Feb-2014,8.72,8.89,8.05,8.18,31000
COTT,14-Feb-2014,7.81,8.01,7.65,7.75,13000
COTT,17-Feb-2014,7.30,8.75,6.76,7.55,363000
COTT,18-Feb-2014,7.96,7.97,6.80,7.15,34500
COTT,19-Feb-2014,7.31,8.10,7.30,7.70,72000
COTT,20-Feb-2014,7.99,7.99,7.21,7.32,7000
COTT,21-Feb-2014,7.60,7.97,7.40,7.86,11000
COTT,24-Feb-2014,8.25,8.37,7.52,8.20,38500
COTT,25-Feb-2014,7.70,8.00,7.50,7.61,4500
COTT,26-Feb-2014,7.50,8.60,7.50,8.09,27500
COTT,27-Feb-2014,7.61,8.10,7.41,7.41,8000
COTT,28-Feb-2014,7.25,7.40,7.00,7.00,21000
COTT,03-Mar-2014,7.40,7.68,7.11,7.11,5500
COTT,04-Mar-2014,7.00,7.47,7.00,7.36,5000
COTT,05-Mar-2014,7.55,7.78,7.50,7.78,6000
COTT,06-Mar-2014,7.90,8.78,7.90,8.78,76000
COTT,07-Mar-2014,9.78,9.78,9.78,9.78,20500
COTT,10-Mar-2014,10.59,10.60,9.20,9.63,142500
COTT,11-Mar-2014,9.63,9.84,8.63,8.65,68000
COTT,12-Mar-2014,8.80,8.80,8.00,8.00,12500
COTT,13-Mar-2014,8.00,8.44,7.90,8.10,25000
COTT,14-Mar-2014,8.60,9.10,8.60,8.74,88500
COTT,17-Mar-2014,9.20,9.20,8.36,8.60,24000
COTT,18-Mar-2014,8.15,8.40,8.00,8.10,15500
COTT,19-Mar-2014,7.75,7.86,7.75,7.85,6500
COTT,20-Mar-2014,8.78,8.78,7.90,7.93,15500
COTT,21-Mar-2014,8.00,8.37,8.00,8.34,5000
COTT,24-Mar-2014,8.30,8.30,8.30,8.30,500
COTT,25-Mar-2014,8.40,8.40,8.01,8.08,4500
COTT,26-Mar-2014,7.50,8.45,7.50,7.76,13500
COTT,27-Mar-2014,8.39,8.39,7.90,7.91,3000
COTT,28-Mar-2014,7.51,7.78,7.40,7.78,3500
COTT,31-Mar-2014,7.50,7.80,7.50,7.53,20500
COTT,01-Apr-2014,7.96,7.96,7.55,7.96,1500
COTT,02-Apr-2014,8.20,8.20,7.50,7.56,12500
COTT,03-Apr-2014,7.50,7.99,7.50,7.53,33000
COTT,04-Apr-2014,7.10,7.44,7.05,7.28,16000
COTT,07-Apr-2014,7.64,7.97,7.59,7.89,15000
COTT,08-Apr-2014,7.95,8.25,7.75,8.00,29000
COTT,09-Apr-2014,8.39,8.39,7.50,7.51,10500
COTT,10-Apr-2014,7.90,7.90,7.51,7.89,3500
COTT,11-Apr-2014,7.50,7.50,7.40,7.40,125000
COTT,14-Apr-2014,7.70,7.70,7.50,7.50,13000
COTT,15-Apr-2014,7.50,7.75,7.25,7.30,13500
COTT,16-Apr-2014,7.78,8.27,7.78,7.95,14000
COTT,17-Apr-2014,8.15,8.15,7.61,7.61,3000
COTT,18-Apr-2014,8.15,8.45,7.76,8.00,66000
COTT,23-Apr-2014,7.50,7.65,7.50,7.65,3000
COTT,24-Apr-2014,7.25,7.25,7.25,7.25,1000
COTT,25-Apr-2014,7.74,7.74,7.25,7.25,2500
COTT,28-Apr-2014,7.00,7.34,7.00,7.34,26500
COTT,29-Apr-2014,7.40,7.40,6.35,7.10,2500
COTT,02-May-2014,7.38,7.38,7.00,7.10,2000
COTT,05-May-2014,6.90,7.00,6.90,6.98,11500
COTT,06-May-2014,6.90,6.99,6.40,6.40,6000
COTT,07-May-2014,5.60,6.68,5.50,5.61,17500
COTT,08-May-2014,5.61,6.25,5.60,6.16,43500
COTT,09-May-2014,6.16,7.10,5.85,6.60,6000
COTT,13-May-2014,5.61,6.00,5.61,6.00,1000
COTT,14-May-2014,6.50,6.98,6.50,6.98,1500
COTT,15-May-2014,6.13,6.25,5.99,6.23,15000
COTT,16-May-2014,6.00,7.00,6.00,6.97,37500
COTT,19-May-2014,6.90,6.90,6.30,6.80,4000
COTT,20-May-2014,6.30,6.30,6.10,6.18,22500
COTT,21-May-2014,5.85,6.20,5.85,6.10,4000
COTT,22-May-2014,5.92,6.25,5.92,6.08,2500
COTT,23-May-2014,6.50,6.87,6.05,6.59,5000
COTT,26-May-2014,6.90,6.90,6.00,6.09,21000
COTT,27-May-2014,5.73,6.63,5.73,6.00,3500
COTT,28-May-2014,6.39,6.39,5.71,6.34,2500
COTT,29-May-2014,6.00,6.49,6.00,6.37,9500
COTT,30-May-2014,5.82,6.49,5.82,6.09,6000
COTT,02-Jun-2014,6.11,6.70,6.11,6.70,3000
COTT,03-Jun-2014,6.21,6.30,6.10,6.10,4500
COTT,04-Jun-2014,6.69,7.10,6.69,7.10,105000
COTT,05-Jun-2014,7.39,7.49,6.67,6.75,54500
COTT,06-Jun-2014,6.41,6.87,6.40,6.70,3000
COTT,09-Jun-2014,6.14,6.47,6.14,6.17,19000
COTT,10-Jun-2014,6.70,6.70,6.06,6.59,1500
COTT,12-Jun-2014,6.20,6.50,6.20,6.49,8000
COTT,13-Jun-2014,6.50,6.50,6.50,6.50,3000
COTT,16-Jun-2014,6.00,6.04,6.00,6.04,1500
COTT,17-Jun-2014,6.00,6.00,5.90,5.90,12500
COTT,18-Jun-2014,6.01,6.29,6.01,6.29,2500
COTT,19-Jun-2014,6.00,6.00,5.70,6.00,14000
COTT,20-Jun-2014,6.00,6.00,6.00,6.00,2000
COTT,23-Jun-2014,6.00,6.50,6.00,6.50,5500
COTT,24-Jun-2014,6.00,6.01,6.00,6.00,7500
COTT,25-Jun-2014,6.04,6.04,6.04,6.04,15500
COTT,26-Jun-2014,6.01,6.01,6.01,6.01,500
COTT,27-Jun-2014,6.00,6.30,6.00,6.30,2000
COTT,30-Jun-2014,6.05,6.49,6.00,6.49,1500
COTT,01-Jul-2014,6.01,6.39,6.00,6.39,2500
COTT,02-Jul-2014,6.39,6.40,6.10,6.10,11500
COTT,03-Jul-2014,6.02,6.02,6.02,6.02,500
COTT,04-Jul-2014,6.00,6.00,6.00,6.00,1500
COTT,07-Jul-2014,6.00,6.00,6.00,6.00,1000
COTT,09-Jul-2014,5.52,5.60,5.30,5.60,27000
COTT,10-Jul-2014,5.99,5.99,5.99,5.99,500
COTT,15-Jul-2014,5.68,5.68,5.67,5.68,2000
COTT,16-Jul-2014,5.42,6.68,5.40,5.78,449500
COTT,17-Jul-2014,5.76,5.92,5.71,5.92,3500
COTT,18-Jul-2014,5.78,5.78,5.51,5.74,7000
COTT,22-Jul-2014,5.89,5.89,5.74,5.74,1000
COTT,23-Jul-2014,5.61,5.63,5.31,5.53,14500
COTT,28-Jul-2014,5.50,5.50,5.50,5.50,500
COTT,04-Aug-2014,5.10,5.29,5.10,5.29,1500
COTT,05-Aug-2014,5.04,5.29,5.04,5.29,3000
COTT,06-Aug-2014,5.50,5.50,5.50,5.50,7500
COTT,08-Aug-2014,5.40,5.83,5.05,5.83,1500
COTT,11-Aug-2014,4.83,5.00,4.83,5.00,3500
COTT,12-Aug-2014,4.20,4.99,4.20,4.40,4500
COTT,13-Aug-2014,5.00,5.24,4.90,5.08,7000
COTT,15-Aug-2014,5.34,5.34,5.29,5.29,1500
COTT,19-Aug-2014,4.56,4.99,4.55,4.82,3000
COTT,20-Aug-2014,4.89,5.25,4.89,5.15,4000
COTT,21-Aug-2014,5.00,5.30,4.55,4.95,5500
COTT,22-Aug-2014,5.25,5.25,5.25,5.25,500
COTT,26-Aug-2014,5.49,5.49,5.49,5.49,1500
COTT,27-Aug-2014,5.01,5.01,4.70,4.97,8500
COTT,28-Aug-2014,4.88,4.90,4.88,4.90,3000
COTT,29-Aug-2014,5.36,5.36,5.18,5.19,2500
COTT,01-Sep-2014,5.00,5.00,5.00,5.00,500
COTT,02-Sep-2014,4.95,5.40,4.90,5.35,9000
COTT,03-Sep-2014,5.50,5.50,5.20,5.40,14500
COTT,04-Sep-2014,5.99,5.99,5.51,5.89,5000
COTT,05-Sep-2014,5.99,5.99,5.18,5.61,7000
COTT,08-Sep-2014,5.99,5.99,5.25,5.45,6000
COTT,09-Sep-2014,5.75,5.80,5.36,5.72,9000
COTT,10-Sep-2014,5.50,5.87,5.50,5.87,2000
COTT,11-Sep-2014,5.95,6.10,5.80,5.86,9000
COTT,12-Sep-2014,6.01,6.01,5.81,6.00,6000
COTT,15-Sep-2014,6.30,6.30,6.30,6.30,500
COTT,16-Sep-2014,5.95,6.10,5.65,5.81,18000
COTT,17-Sep-2014,5.99,5.99,5.71,5.82,4500
COTT,18-Sep-2014,5.97,5.97,5.02,5.89,7000
COTT,19-Sep-2014,6.40,6.40,5.85,6.07,22000
COTT,23-Sep-2014,6.00,6.00,5.80,5.80,1000
COTT,24-Sep-2014,5.95,6.24,5.85,5.85,27000
COTT,25-Sep-2014,6.00,6.05,6.00,6.05,1500
COTT,26-Sep-2014,6.06,6.06,6.06,6.06,500
COTT,29-Sep-2014,5.51,5.51,5.51,5.51,500
COTT,30-Sep-2014,5.95,5.95,5.60,5.70,5500
COTT,03-Oct-2014,5.99,5.99,5.99,5.99,500
COTT,13-Oct-2014,5.10,5.49,5.10,5.40,21000
COTT,14-Oct-2014,5.64,5.64,5.54,5.54,1500
COTT,15-Oct-2014,5.88,5.88,5.55,5.55,1000
COTT,17-Oct-2014,6.54,6.54,4.61,5.07,7000
COTT,20-Oct-2014,5.03,5.29,4.98,4.98,13500
COTT,21-Oct-2014,5.00,5.00,4.86,4.89,14500
COTT,22-Oct-2014,5.00,5.20,4.99,5.20,20000
COTT,23-Oct-2014,5.95,5.95,5.95,5.95,500
COTT,24-Oct-2014,5.02,6.39,5.02,6.39,1000
COTT,27-Oct-2014,5.74,5.75,5.39,5.39,29500
COTT,28-Oct-2014,5.94,5.94,5.94,5.94,500
COTT,29-Oct-2014,5.11,5.40,5.07,5.32,5500
COTT,30-Oct-2014,5.78,5.78,4.95,5.20,22500
COTT,31-Oct-2014,5.99,6.09,5.40,5.40,16500
COTT,05-Nov-2014,5.21,5.40,5.15,5.40,9500
COTT,06-Nov-2014,5.30,5.30,5.20,5.20,3000
COTT,07-Nov-2014,5.64,5.89,5.54,5.64,45000
COTT,10-Nov-2014,5.45,5.59,5.40,5.46,2500
COTT,11-Nov-2014,5.60,6.46,5.40,6.11,283000
COTT,12-Nov-2014,6.39,6.99,6.00,6.77,121500
COTT,13-Nov-2014,7.40,7.40,6.03,6.15,69000
COTT,14-Nov-2014,6.18,7.15,6.10,6.51,135500
COTT,17-Nov-2014,6.80,6.82,6.00,6.17,20500
COTT,18-Nov-2014,6.50,6.50,5.80,5.81,16500
COTT,19-Nov-2014,5.99,5.99,5.40,5.40,8000
COTT,20-Nov-2014,5.10,5.15,5.00,5.15,11500
COTT,21-Nov-2014,5.44,5.70,5.44,5.70,7500
COTT,24-Nov-2014,6.20,6.20,5.65,5.65,5000
COTT,26-Nov-2014,5.41,5.41,5.40,5.40,1500
COTT,27-Nov-2014,5.20,5.22,5.10,5.18,22500
COTT,28-Nov-2014,5.00,5.49,5.00,5.06,15500
COTT,01-Dec-2014,5.01,5.40,5.01,5.25,4000
COTT,02-Dec-2014,5.95,5.95,5.49,5.87,10500
COTT,04-Dec-2014,5.71,5.74,5.70,5.74,2000
COTT,05-Dec-2014,5.16,5.16,5.05,5.05,3500
