Symbol,Date,Open,High,Low,Close,Volume
CPHL,09-Jul-2021,33.51,34.40,32.00,34.40,14909500
CPHL,12-Jul-2021,36.85,36.98,36.00,36.98,6925500
CPHL,13-Jul-2021,39.00,39.50,36.61,36.97,17619000
CPHL,14-Jul-2021,37.02,37.34,35.10,36.67,10806000
CPHL,15-Jul-2021,37.01,38.28,36.60,36.78,7227500
CPHL,16-Jul-2021,36.83,37.18,36.35,36.56,3797000
CPHL,19-Jul-2021,36.55,37.84,36.02,37.30,4592000
CPHL,23-Jul-2021,37.60,38.00,37.17,37.44,3368500
CPHL,26-Jul-2021,37.50,38.84,37.44,38.13,6580000
CPHL,27-Jul-2021,38.45,40.25,38.30,39.17,12666000
CPHL,28-Jul-2021,39.40,39.94,38.51,38.92,5310500
CPHL,29-Jul-2021,38.90,40.48,38.41,40.00,6207000
CPHL,30-Jul-2021,40.85,43.00,40.60,42.58,9173000
CPHL,02-Aug-2021,44.00,45.77,44.00,45.77,4272500
CPHL,03-Aug-2021,48.00,49.10,46.05,48.30,16016000
CPHL,04-Aug-2021,48.75,48.89,47.11,47.65,5010500
CPHL,05-Aug-2021,47.65,51.22,47.03,51.22,7611000
CPHL,06-Aug-2021,53.80,55.06,50.00,51.10,15185000
CPHL,09-Aug-2021,51.95,52.24,48.80,48.97,8499000
CPHL,10-Aug-2021,49.06,51.85,48.61,51.30,8470500
CPHL,11-Aug-2021,51.90,52.05,49.50,49.75,5671500
CPHL,12-Aug-2021,50.11,50.90,49.21,49.53,3701500
CPHL,13-Aug-2021,49.70,52.00,49.36,50.28,7472000
CPHL,16-Aug-2021,50.75,50.84,49.40,49.66,3744000
CPHL,17-Aug-2021,49.80,50.30,49.51,49.64,1728500
CPHL,20-Aug-2021,49.80,49.85,48.70,48.84,2357000
CPHL,23-Aug-2021,48.95,50.79,48.45,49.13,5240500
CPHL,24-Aug-2021,49.49,49.94,48.76,48.89,1610000
CPHL,25-Aug-2021,49.50,49.60,49.00,49.06,1580000
