Symbol,Date,Open,High,Low,Close,Volume
CSAP,01-Jan-2015,50.90,52.40,50.30,51.04,527500
CSAP,02-Jan-2015,50.65,52.00,50.60,51.10,144500
CSAP,05-Jan-2015,51.50,51.89,51.00,51.32,172000
CSAP,06-Jan-2015,50.50,51.65,50.50,51.28,101000
CSAP,07-Jan-2015,51.30,52.74,51.10,52.28,515000
CSAP,08-Jan-2015,52.50,53.10,52.10,52.55,214000
CSAP,09-Jan-2015,52.01,53.50,51.95,52.14,437000
CSAP,12-Jan-2015,53.65,54.74,53.65,54.74,687500
CSAP,13-Jan-2015,56.50,57.47,55.95,56.03,1259500
CSAP,14-Jan-2015,55.70,56.30,54.00,54.21,345000
CSAP,15-Jan-2015,53.71,56.92,53.71,56.85,1171000
CSAP,16-Jan-2015,57.69,57.69,56.26,56.87,485500
CSAP,19-Jan-2015,57.45,59.38,57.40,58.21,927000
CSAP,20-Jan-2015,58.00,58.18,56.62,57.99,336500
CSAP,21-Jan-2015,58.01,59.35,58.00,58.51,510000
CSAP,22-Jan-2015,59.20,61.43,58.50,59.29,1919000
CSAP,23-Jan-2015,58.75,60.90,58.50,59.33,770500
CSAP,26-Jan-2015,60.70,62.29,60.27,62.29,935500
CSAP,27-Jan-2015,63.05,65.40,62.02,62.41,1171000
CSAP,28-Jan-2015,61.50,64.00,59.29,61.17,1380500
CSAP,29-Jan-2015,58.56,60.50,58.12,58.19,1640000
CSAP,30-Jan-2015,58.58,59.89,58.58,59.20,556000
CSAP,02-Feb-2015,59.99,62.16,59.60,62.08,1567500
CSAP,03-Feb-2015,62.00,62.59,60.25,61.41,392000
CSAP,04-Feb-2015,61.01,62.10,60.04,60.98,449500
CSAP,06-Feb-2015,62.28,62.28,61.00,61.39,357500
CSAP,09-Feb-2015,61.50,62.00,60.55,61.35,288000
CSAP,10-Feb-2015,60.81,61.00,58.29,58.90,238500
CSAP,11-Feb-2015,59.11,59.89,57.40,59.26,168500
CSAP,12-Feb-2015,58.99,58.99,56.30,57.48,172500
CSAP,13-Feb-2015,58.00,58.30,57.05,57.86,64500
CSAP,16-Feb-2015,56.60,59.89,56.25,59.08,175500
CSAP,17-Feb-2015,59.00,59.00,58.10,58.55,45000
CSAP,18-Feb-2015,57.57,58.00,57.20,57.44,26000
CSAP,19-Feb-2015,57.73,59.39,57.50,58.20,60500
CSAP,20-Feb-2015,58.51,58.80,58.18,58.24,47000
CSAP,23-Feb-2015,58.25,58.50,57.50,57.71,30500
CSAP,24-Feb-2015,57.20,58.20,57.10,57.50,77500
CSAP,25-Feb-2015,58.69,58.69,54.63,55.00,190000
CSAP,26-Feb-2015,54.60,55.49,52.70,53.55,84000
CSAP,27-Feb-2015,52.52,54.00,51.50,52.02,80500
CSAP,02-Mar-2015,52.10,52.10,49.42,49.65,269500
CSAP,03-Mar-2015,49.10,51.50,49.00,50.51,58000
CSAP,04-Mar-2015,51.00,51.90,50.10,50.81,253000
