Symbol,Date,Open,High,Low,Close,Volume
CTM,23-Jul-2014,6.89,7.45,6.31,6.41,1239500
CTM,24-Jul-2014,6.15,6.25,5.70,5.73,434500
CTM,28-Jul-2014,5.56,5.65,5.31,5.37,104000
CTM,04-Aug-2014,5.21,5.25,4.98,5.03,345500
CTM,05-Aug-2014,5.00,5.08,4.95,4.96,47000
CTM,06-Aug-2014,5.07,5.07,4.86,4.91,156500
CTM,07-Aug-2014,4.86,5.00,4.86,4.92,207500
CTM,08-Aug-2014,4.86,5.00,4.86,4.88,75000
CTM,11-Aug-2014,4.55,4.55,3.88,3.95,612000
CTM,12-Aug-2014,3.95,4.40,3.89,4.20,204000
CTM,13-Aug-2014,4.28,4.38,4.14,4.27,111000
CTM,15-Aug-2014,4.34,4.51,4.03,4.46,219500
CTM,18-Aug-2014,4.55,4.55,4.36,4.36,81500
CTM,19-Aug-2014,4.11,4.19,4.08,4.17,69500
CTM,20-Aug-2014,4.17,4.35,4.15,4.31,78500
CTM,21-Aug-2014,4.44,4.49,4.25,4.29,124000
CTM,22-Aug-2014,4.15,4.39,4.15,4.29,251000
CTM,25-Aug-2014,4.35,4.35,4.06,4.16,39500
CTM,26-Aug-2014,4.10,4.27,4.05,4.19,91500
CTM,27-Aug-2014,4.08,4.20,4.02,4.10,38000
CTM,28-Aug-2014,4.01,4.20,4.00,4.03,74500
CTM,29-Aug-2014,4.30,4.46,4.03,4.10,234000
CTM,01-Sep-2014,3.92,4.20,3.92,4.06,81500
CTM,02-Sep-2014,4.09,4.34,4.09,4.26,136000
CTM,03-Sep-2014,4.22,4.38,4.22,4.32,132500
CTM,04-Sep-2014,4.32,4.70,4.25,4.54,435500
CTM,05-Sep-2014,4.57,4.73,4.50,4.60,104000
CTM,08-Sep-2014,4.64,4.64,4.40,4.49,94000
CTM,09-Sep-2014,4.59,4.60,4.40,4.52,85000
CTM,10-Sep-2014,4.46,4.60,4.35,4.43,67500
CTM,11-Sep-2014,4.40,4.64,4.31,4.60,273000
CTM,12-Sep-2014,4.62,5.23,4.51,5.07,1313500
CTM,15-Sep-2014,4.99,5.45,4.90,5.26,536000
CTM,16-Sep-2014,5.39,5.39,4.85,4.91,277500
CTM,17-Sep-2014,5.08,5.08,4.86,4.95,158000
CTM,18-Sep-2014,4.95,5.25,4.95,5.02,117000
CTM,19-Sep-2014,5.04,5.56,5.00,5.37,946500
CTM,22-Sep-2014,5.40,5.40,5.21,5.28,244500
CTM,23-Sep-2014,5.25,5.29,5.17,5.20,71500
CTM,24-Sep-2014,5.16,5.38,5.01,5.03,258500
CTM,25-Sep-2014,5.14,5.15,4.95,5.03,83500
CTM,26-Sep-2014,5.15,5.19,5.00,5.11,225500
CTM,29-Sep-2014,5.24,5.25,4.85,4.96,215500
CTM,30-Sep-2014,5.00,5.00,4.92,4.97,39000
CTM,01-Oct-2014,5.03,5.06,4.83,4.85,105500
CTM,02-Oct-2014,4.90,4.90,4.66,4.74,119000
CTM,03-Oct-2014,4.85,4.89,4.65,4.74,130500
CTM,09-Oct-2014,4.74,4.84,4.65,4.70,127000
CTM,10-Oct-2014,4.77,4.84,4.60,4.68,221500
CTM,13-Oct-2014,4.79,5.00,4.75,4.91,259000
CTM,14-Oct-2014,4.96,5.22,4.85,5.03,729500
CTM,15-Oct-2014,5.15,5.28,5.01,5.06,265000
CTM,16-Oct-2014,5.06,5.18,5.04,5.09,77000
CTM,17-Oct-2014,5.15,5.21,4.96,5.02,329000
CTM,20-Oct-2014,5.00,5.00,4.72,4.75,208000
CTM,21-Oct-2014,4.81,5.00,4.78,4.90,138500
CTM,22-Oct-2014,5.00,5.11,4.82,4.90,258000
CTM,23-Oct-2014,4.95,4.98,4.81,4.83,44500
CTM,24-Oct-2014,4.81,4.90,4.73,4.77,98500
CTM,27-Oct-2014,4.70,4.94,4.66,4.88,132500
CTM,28-Oct-2014,4.92,4.93,4.75,4.79,96500
CTM,29-Oct-2014,4.88,4.88,4.65,4.68,106500
CTM,30-Oct-2014,4.80,4.82,4.70,4.76,32000
CTM,31-Oct-2014,4.84,4.89,4.47,4.55,292000
CTM,05-Nov-2014,4.50,4.65,4.50,4.60,31500
CTM,06-Nov-2014,4.60,4.80,4.57,4.65,95500
CTM,07-Nov-2014,4.62,5.24,4.62,5.11,1518500
CTM,10-Nov-2014,5.25,5.29,5.10,5.11,439500
CTM,11-Nov-2014,5.00,5.10,4.95,5.01,162500
CTM,12-Nov-2014,5.03,5.25,5.00,5.22,511000
CTM,13-Nov-2014,5.20,5.25,5.01,5.07,167500
CTM,14-Nov-2014,5.19,5.24,5.07,5.10,295500
CTM,17-Nov-2014,5.19,5.19,4.99,5.00,244000
CTM,18-Nov-2014,4.95,5.09,4.86,4.88,132500
CTM,19-Nov-2014,5.05,5.05,4.76,4.79,66000
CTM,20-Nov-2014,4.76,4.77,4.52,4.63,150500
CTM,21-Nov-2014,4.70,4.81,4.66,4.80,62000
CTM,24-Nov-2014,4.76,4.90,4.73,4.74,11500
CTM,25-Nov-2014,4.68,4.70,4.63,4.65,20500
CTM,26-Nov-2014,4.66,4.76,4.58,4.64,77500
CTM,27-Nov-2014,4.64,4.68,4.60,4.61,74000
CTM,28-Nov-2014,4.89,4.89,4.60,4.69,93000
CTM,01-Dec-2014,4.80,4.95,4.61,4.80,291000
CTM,02-Dec-2014,4.73,5.05,4.73,5.02,284000
CTM,03-Dec-2014,4.84,5.00,4.84,4.96,64500
CTM,04-Dec-2014,4.90,5.00,4.86,4.90,100500
CTM,05-Dec-2014,5.00,5.00,4.80,4.87,18500
CTM,08-Dec-2014,5.00,5.00,4.77,4.96,201000
CTM,09-Dec-2014,4.95,5.00,4.90,4.94,51000
CTM,10-Dec-2014,4.82,4.90,4.76,4.82,167500
CTM,11-Dec-2014,4.82,5.01,4.81,5.00,276000
CTM,12-Dec-2014,4.87,5.13,4.82,5.06,128500
CTM,15-Dec-2014,5.00,5.17,5.00,5.04,109000
CTM,16-Dec-2014,5.00,5.25,4.90,4.91,155000
CTM,17-Dec-2014,4.90,5.00,4.50,4.62,136500
CTM,18-Dec-2014,4.97,5.00,4.75,4.96,156500
CTM,19-Dec-2014,4.75,4.97,4.75,4.95,15500
CTM,22-Dec-2014,4.75,4.90,4.71,4.79,123500
CTM,23-Dec-2014,4.80,4.97,4.80,4.94,143000
CTM,24-Dec-2014,4.95,5.00,4.70,4.81,199500
CTM,26-Dec-2014,4.74,4.78,4.74,4.76,55000
CTM,29-Dec-2014,4.73,4.89,4.66,4.70,124000
CTM,30-Dec-2014,4.79,4.86,4.71,4.81,24000
CTM,31-Dec-2014,4.77,4.82,4.70,4.71,197000
CTM,01-Jan-2015,4.75,4.99,4.75,4.90,178000
CTM,02-Jan-2015,4.99,5.22,4.90,5.13,402500
CTM,05-Jan-2015,5.05,5.05,4.85,4.88,84000
CTM,06-Jan-2015,4.76,4.88,4.76,4.81,46500
CTM,07-Jan-2015,4.80,4.90,4.70,4.75,172000
CTM,08-Jan-2015,4.77,4.84,4.75,4.82,20000
CTM,09-Jan-2015,4.88,4.92,4.77,4.78,71000
CTM,12-Jan-2015,4.75,4.85,4.72,4.75,54000
CTM,13-Jan-2015,4.84,4.85,4.75,4.83,109000
CTM,14-Jan-2015,4.89,4.89,4.70,4.78,119000
CTM,15-Jan-2015,4.84,4.89,4.73,4.80,214500
CTM,16-Jan-2015,4.85,4.85,4.71,4.73,231000
CTM,19-Jan-2015,4.72,4.89,4.70,4.75,101500
CTM,20-Jan-2015,4.80,4.81,4.75,4.79,61000
CTM,21-Jan-2015,4.78,4.80,4.70,4.73,38000
CTM,22-Jan-2015,4.80,4.80,4.60,4.64,132500
CTM,23-Jan-2015,4.70,4.78,4.66,4.71,30000
CTM,26-Jan-2015,4.98,4.98,4.65,4.70,113000
