Symbol,Date,Open,High,Low,Close,Volume
CWSM,02-Jan-2014,14.99,15.30,13.81,15.29,31000
CWSM,03-Jan-2014,15.97,15.97,15.97,15.97,500
CWSM,09-Jan-2014,14.12,16.05,14.12,15.37,42500
CWSM,10-Jan-2014,15.00,15.00,15.00,15.37,1000
CWSM,13-Jan-2014,14.38,15.30,14.37,15.30,9000
CWSM,15-Jan-2014,15.98,16.30,15.70,16.29,53500
CWSM,16-Jan-2014,16.90,16.90,15.35,15.95,8000
CWSM,17-Jan-2014,15.61,15.61,15.00,15.00,2000
CWSM,20-Jan-2014,14.65,15.20,14.00,14.96,49500
CWSM,21-Jan-2014,14.05,15.45,13.96,15.26,33000
CWSM,22-Jan-2014,14.32,15.00,14.26,14.26,8500
CWSM,23-Jan-2014,14.48,14.50,13.40,14.50,6500
CWSM,24-Jan-2014,13.51,13.64,13.51,13.61,4000
CWSM,27-Jan-2014,13.51,13.55,13.50,13.50,3000
CWSM,28-Jan-2014,13.60,14.38,12.50,14.25,14500
CWSM,29-Jan-2014,14.59,14.61,13.60,13.80,22000
CWSM,30-Jan-2014,13.00,14.45,13.00,13.80,12000
CWSM,03-Feb-2014,14.39,14.40,14.39,14.40,4000
CWSM,04-Feb-2014,13.50,13.50,13.50,13.50,10500
CWSM,06-Feb-2014,13.60,13.60,13.55,13.55,6000
CWSM,17-Feb-2014,12.55,12.55,12.55,12.55,8500
CWSM,18-Feb-2014,12.50,12.50,12.50,12.50,2500
CWSM,19-Feb-2014,13.00,13.00,13.00,13.00,500
CWSM,25-Feb-2014,12.01,12.01,12.00,12.00,12500
CWSM,26-Feb-2014,11.48,11.48,11.00,11.00,13500
CWSM,27-Feb-2014,10.40,11.79,10.40,10.86,1500
CWSM,28-Feb-2014,11.00,11.00,11.00,11.00,11000
CWSM,05-Mar-2014,10.25,11.00,10.10,11.00,2000
CWSM,10-Mar-2014,11.20,12.00,11.20,11.87,4000
CWSM,11-Mar-2014,12.85,12.85,12.85,12.85,1000
CWSM,12-Mar-2014,12.95,12.95,12.95,12.95,4500
CWSM,17-Mar-2014,13.00,13.00,13.00,13.00,1000
CWSM,18-Mar-2014,12.50,12.50,12.50,12.50,500
CWSM,20-Mar-2014,13.44,13.44,12.50,12.50,3000
CWSM,26-Mar-2014,11.25,11.25,11.25,11.25,1000
CWSM,11-Apr-2014,10.32,10.32,10.30,10.30,29000
CWSM,15-Apr-2014,10.30,10.30,10.30,10.30,500
CWSM,23-Apr-2014,10.00,10.00,10.00,10.00,500
CWSM,28-Apr-2014,9.30,9.30,9.25,9.25,2000
CWSM,13-May-2014,9.31,9.31,9.30,9.30,1000
CWSM,15-May-2014,8.50,8.50,8.50,8.50,2000
CWSM,16-May-2014,9.49,9.49,9.49,9.49,2000
CWSM,26-May-2014,9.00,9.00,9.00,9.00,500
CWSM,04-Jun-2014,9.88,9.88,9.88,9.88,1500
CWSM,11-Jun-2014,9.10,9.10,9.10,9.10,1000
CWSM,16-Jun-2014,10.00,10.10,10.00,10.10,6000
CWSM,17-Jun-2014,10.30,10.35,10.30,10.30,5500
CWSM,18-Jun-2014,10.55,10.55,10.55,10.55,1500
CWSM,23-Jun-2014,10.50,11.00,10.50,11.00,2500
CWSM,24-Jun-2014,11.50,11.70,11.10,11.10,15000
CWSM,25-Jun-2014,11.89,11.89,11.89,11.89,500
CWSM,27-Jun-2014,12.58,12.58,12.58,12.58,500
CWSM,14-Jul-2014,11.20,11.20,11.20,11.20,500
CWSM,16-Jul-2014,10.22,10.22,10.20,10.20,2000
CWSM,07-Aug-2014,9.51,10.50,9.51,10.50,1000
CWSM,13-Aug-2014,11.40,11.40,11.40,11.40,500
CWSM,15-Aug-2014,12.40,12.40,12.40,12.40,500
CWSM,18-Aug-2014,13.37,13.37,13.37,13.37,500
CWSM,19-Aug-2014,13.10,13.10,13.10,13.10,3500
CWSM,20-Aug-2014,13.48,13.48,13.48,13.48,500
CWSM,21-Aug-2014,13.45,13.48,12.50,13.48,5000
CWSM,01-Sep-2014,13.00,13.00,13.00,13.00,500
CWSM,02-Sep-2014,12.00,12.50,12.00,12.50,1000
CWSM,03-Sep-2014,11.50,12.50,11.50,12.50,1000
CWSM,11-Sep-2014,11.50,12.94,11.50,12.94,1000
CWSM,19-Sep-2014,11.94,11.94,11.94,11.94,500
CWSM,22-Sep-2014,10.94,12.87,10.94,12.87,1500
CWSM,23-Sep-2014,11.87,11.87,11.87,11.87,1000
CWSM,24-Sep-2014,11.00,11.49,10.87,10.87,33000
CWSM,25-Sep-2014,10.00,11.85,9.87,11.35,12000
CWSM,26-Sep-2014,12.25,12.25,12.25,12.25,500
CWSM,09-Oct-2014,13.00,13.00,12.00,12.06,3500
CWSM,10-Oct-2014,12.06,12.06,12.00,12.00,1500
CWSM,13-Oct-2014,12.00,12.50,12.00,12.00,2500
CWSM,14-Oct-2014,11.90,12.50,11.00,12.50,23500
CWSM,15-Oct-2014,11.80,13.00,11.50,12.33,22500
CWSM,16-Oct-2014,13.30,13.33,11.33,11.89,248000
CWSM,17-Oct-2014,11.94,11.94,11.50,11.52,13000
CWSM,20-Oct-2014,11.05,11.05,11.00,11.01,2500
CWSM,21-Oct-2014,11.30,11.88,11.30,11.88,7000
CWSM,22-Oct-2014,11.98,12.23,11.98,12.10,11500
CWSM,23-Oct-2014,12.95,12.95,11.10,11.18,543500
CWSM,24-Oct-2014,11.68,11.68,10.01,10.37,16500
CWSM,27-Oct-2014,11.28,11.28,10.55,10.55,1000
CWSM,28-Oct-2014,11.22,11.22,10.75,10.75,2000
CWSM,29-Oct-2014,10.50,10.50,10.40,10.48,2500
CWSM,30-Oct-2014,11.00,11.00,11.00,11.00,500
CWSM,31-Oct-2014,10.50,12.00,10.50,11.35,5000
CWSM,05-Nov-2014,11.60,11.60,11.60,11.60,1000
CWSM,06-Nov-2014,12.24,12.24,11.49,11.49,3000
CWSM,07-Nov-2014,11.49,11.49,11.49,11.49,500
CWSM,10-Nov-2014,11.28,11.28,11.28,11.28,500
CWSM,11-Nov-2014,10.75,11.95,10.75,11.95,3000
CWSM,12-Nov-2014,11.01,11.95,11.00,11.50,12500
CWSM,13-Nov-2014,11.10,11.10,11.10,11.10,1000
CWSM,17-Nov-2014,12.00,12.00,12.00,12.00,500
CWSM,18-Nov-2014,11.40,11.98,11.00,11.98,3000
CWSM,20-Nov-2014,11.00,11.01,11.00,11.01,12500
CWSM,21-Nov-2014,10.50,11.75,10.50,11.74,2000
CWSM,26-Nov-2014,10.74,12.25,10.74,12.25,11500
CWSM,27-Nov-2014,11.26,11.26,11.25,11.25,1500
